ward,precinct,total,Richard A. Devine,Richard A. Devine Percent,Tommy H. Brewer,Tommy H. Brewer Percent,precinct_id
6,34,202,117,57.92,85,42.08,06034
6,35,278,155,55.76,123,44.24,06035
6,36,35,23,65.71,12,34.29,06036
6,37,265,153,57.74,112,42.26,06037
6,38,274,165,60.22,109,39.78,06038
6,39,198,95,47.98,103,52.02,06039
6,40,130,70,53.85,60,46.15,06040
6,41,223,101,45.29,122,54.71,06041
6,42,97,58,59.79,39,40.21,06042
6,43,232,134,57.76,98,42.24,06043
6,44,233,108,46.35,125,53.65,06044
6,45,151,77,50.99,74,49.01,06045
6,46,193,108,55.96,85,44.04,06046
6,47,236,136,57.63,100,42.37,06047
6,48,252,141,55.95,111,44.05,06048
6,49,213,139,65.26,74,34.74,06049
6,50,252,134,53.17,118,46.83,06050
6,51,169,96,56.8,73,43.2,06051
6,52,160,88,55.0,72,45.0,06052
6,53,201,114,56.72,87,43.28,06053
6,54,203,126,62.07,77,37.93,06054
6,55,171,89,52.05,82,47.95,06055
6,56,154,80,51.95,74,48.05,06056
6,57,125,74,59.2,51,40.8,06057
6,58,253,156,61.66,97,38.34,06058
6,59,222,142,63.96,80,36.04,06059
6,60,136,70,51.47,66,48.53,06060
6,61,132,85,64.39,47,35.61,06061
6,62,68,44,64.71,24,35.29,06062
6,63,193,113,58.55,80,41.45,06063
6,64,280,149,53.21,131,46.79,06064
6,65,64,35,54.69,29,45.31,06065
6,66,176,99,56.25,77,43.75,06066
7,1,251,166,66.14,85,33.86,07001
7,2,248,168,67.74,80,32.26,07002
7,3,146,104,71.23,42,28.77,07003
7,4,146,112,76.71,34,23.29,07004
7,5,144,110,76.39,34,23.61,07005
7,6,154,103,66.88,51,33.12,07006
7,7,112,80,71.43,32,28.57,07007
7,8,57,36,63.16,21,36.84,07008
7,9,201,116,57.71,85,42.29,07009
7,10,129,95,73.64,34,26.36,07010
7,11,198,128,64.65,70,35.35,07011
7,12,123,85,69.11,38,30.89,07012
7,13,143,90,62.94,53,37.06,07013
7,14,223,145,65.02,78,34.98,07014
7,15,114,72,63.16,42,36.84,07015
7,16,145,106,73.1,39,26.9,07016
7,17,109,63,57.8,46,42.2,07017
7,18,128,87,67.97,41,32.03,07018
7,19,301,194,64.45,107,35.55,07019
7,20,84,60,71.43,24,28.57,07020
7,21,194,127,65.46,67,34.54,07021
7,22,145,111,76.55,34,23.45,07022
7,23,116,72,62.07,44,37.93,07023
7,24,168,108,64.29,60,35.71,07024
7,25,214,158,73.83,56,26.17,07025
7,26,252,170,67.46,82,32.54,07026
7,27,282,180,63.83,102,36.17,07027
7,28,176,120,68.18,56,31.82,07028
7,29,125,86,68.8,39,31.2,07029
7,30,221,146,66.06,75,33.94,07030
7,31,190,135,71.05,55,28.95,07031
7,32,146,111,76.03,35,23.97,07032
7,33,138,96,69.57,42,30.43,07033
7,34,180,114,63.33,66,36.67,07034
7,35,98,73,74.49,25,25.51,07035
7,36,232,160,68.97,72,31.03,07036
7,37,91,60,65.93,31,34.07,07037
7,38,131,91,69.47,40,30.53,07038
7,39,162,112,69.14,50,30.86,07039
7,40,163,111,68.1,52,31.9,07040
7,41,144,112,77.78,32,22.22,07041
7,42,252,169,67.06,83,32.94,07042
7,43,206,134,65.05,72,34.95,07043
7,44,244,166,68.03,78,31.97,07044
7,45,304,203,66.78,101,33.22,07045
7,46,53,34,64.15,19,35.85,07046
7,47,149,103,69.13,46,30.87,07047
7,48,76,51,67.11,25,32.89,07048
7,49,111,80,72.07,31,27.93,07049
7,50,142,82,57.75,60,42.25,07050
7,51,156,94,60.26,62,39.74,07051
7,52,164,99,60.37,65,39.63,07052
7,53,158,106,67.09,52,32.91,07053
7,54,70,52,74.29,18,25.71,07054
7,55,159,103,64.78,56,35.22,07055
7,56,143,95,66.43,48,33.57,07056
7,57,153,82,53.59,71,46.41,07057
7,58,244,162,66.39,82,33.61,07058
7,59,90,65,72.22,25,27.78,07059
7,60,126,83,65.87,43,34.13,07060
7,61,161,116,72.05,45,27.95,07061
7,62,175,120,68.57,55,31.43,07062
7,63,149,96,64.43,53,35.57,07063
7,64,161,109,67.7,52,32.3,07064
7,65,145,96,66.21,49,33.79,07065
8,1,256,156,60.94,100,39.06,08001
8,2,140,97,69.29,43,30.71,08002
8,3,309,200,64.72,109,35.28,08003
8,4,230,168,73.04,62,26.96,08004
8,5,288,197,68.4,91,31.6,08005
8,6,258,178,68.99,80,31.01,08006
8,7,168,110,65.48,58,34.52,08007
8,8,281,207,73.67,74,26.33,08008
8,9,291,186,63.92,105,36.08,08009
8,10,329,210,63.83,119,36.17,08010
8,11,201,138,68.66,63,31.34,08011
8,12,181,140,77.35,41,22.65,08012
8,13,179,136,75.98,43,24.02,08013
8,14,168,113,67.26,55,32.74,08014
8,15,204,144,70.59,60,29.41,08015
8,16,258,163,63.18,95,36.82,08016
8,17,189,141,74.6,48,25.4,08017
8,18,122,82,67.21,40,32.79,08018
8,19,279,188,67.38,91,32.62,08019
8,20,174,117,67.24,57,32.76,08020
8,21,174,129,74.14,45,25.86,08021
8,22,195,127,65.13,68,34.87,08022
8,23,194,119,61.34,75,38.66,08023
8,24,247,176,71.26,71,28.74,08024
8,25,221,150,67.87,71,32.13,08025
8,26,161,101,62.73,60,37.27,08026
8,27,247,183,74.09,64,25.91,08027
8,28,210,132,62.86,78,37.14,08028
8,29,246,178,72.36,68,27.64,08029
8,30,174,111,63.79,63,36.21,08030
8,31,153,102,66.67,51,33.33,08031
8,32,357,237,66.39,120,33.61,08032
8,33,224,155,69.2,69,30.8,08033
8,34,243,170,69.96,73,30.04,08034
8,35,271,189,69.74,82,30.26,08035
8,36,210,154,73.33,56,26.67,08036
8,37,249,186,74.7,63,25.3,08037
8,38,217,159,73.27,58,26.73,08038
8,39,249,172,69.08,77,30.92,08039
8,40,216,137,63.43,79,36.57,08040
8,41,211,139,65.88,72,34.12,08041
8,42,241,180,74.69,61,25.31,08042
8,43,192,123,64.06,69,35.94,08043
8,44,167,124,74.25,43,25.75,08044
8,45,169,119,70.41,50,29.59,08045
8,46,179,130,72.63,49,27.37,08046
8,47,230,179,77.83,51,22.17,08047
8,48,182,127,69.78,55,30.22,08048
8,49,266,195,73.31,71,26.69,08049
8,50,232,146,62.93,86,37.07,08050
8,51,277,174,62.82,103,37.18,08051
8,52,254,174,68.5,80,31.5,08052
8,53,277,194,70.04,83,29.96,08053
8,54,221,159,71.95,62,28.05,08054
8,55,227,161,70.93,66,29.07,08055
8,56,243,178,73.25,65,26.75,08056
8,57,208,125,60.1,83,39.9,08057
8,58,266,163,61.28,103,38.72,08058
8,59,137,110,80.29,27,19.71,08059
8,60,197,111,56.35,86,43.65,08060
8,61,168,109,64.88,59,35.12,08061
8,62,215,143,66.51,72,33.49,08062
8,63,268,176,65.67,92,34.33,08063
8,64,191,139,72.77,52,27.23,08064
8,65,151,97,64.24,54,35.76,08065
8,66,291,196,67.35,95,32.65,08066
8,67,105,68,64.76,37,35.24,08067
8,68,139,94,67.63,45,32.37,08068
8,69,136,96,70.59,40,29.41,08069
8,70,245,174,71.02,71,28.98,08070
9,1,261,175,67.05,86,32.95,09001
9,2,235,172,73.19,63,26.81,09002
9,3,132,103,78.03,29,21.97,09003
9,4,245,167,68.16,78,31.84,09004
9,5,194,141,72.68,53,27.32,09005
9,6,226,148,65.49,78,34.51,09006
9,7,201,133,66.17,68,33.83,09007
9,8,165,114,69.09,51,30.91,09008
9,9,247,161,65.18,86,34.82,09009
9,10,200,141,70.5,59,29.5,09010
9,11,112,84,75.0,28,25.0,09011
9,12,215,144,66.98,71,33.02,09012
9,13,307,210,68.4,97,31.6,09013
9,14,319,231,72.41,88,27.59,09014
9,15,87,64,73.56,23,26.44,09015
9,16,188,145,77.13,43,22.87,09016
9,17,177,131,74.01,46,25.99,09017
9,18,224,157,70.09,67,29.91,09018
9,19,257,158,61.48,99,38.52,09019
9,20,257,186,72.37,71,27.63,09020
9,21,172,120,69.77,52,30.23,09021
9,22,244,158,64.75,86,35.25,09022
9,23,165,116,70.3,49,29.7,09023
9,24,104,86,82.69,18,17.31,09024
9,25,89,65,73.03,24,26.97,09025
9,26,143,108,75.52,35,24.48,09026
9,27,118,82,69.49,36,30.51,09027
9,28,116,86,74.14,30,25.86,09028
9,29,173,118,68.21,55,31.79,09029
9,30,172,114,66.28,58,33.72,09030
9,31,180,128,71.11,52,28.89,09031
9,32,225,152,67.56,73,32.44,09032
9,33,132,101,76.52,31,23.48,09033
9,34,162,104,64.2,58,35.8,09034
9,35,230,159,69.13,71,30.87,09035
9,36,93,55,59.14,38,40.86,09036
9,37,135,106,78.52,29,21.48,09037
9,38,211,143,67.77,68,32.23,09038
9,39,197,135,68.53,62,31.47,09039
9,40,258,165,63.95,93,36.05,09040
9,41,274,194,70.8,80,29.2,09041
9,42,125,101,80.8,24,19.2,09042
9,43,141,108,76.6,33,23.4,09043
9,44,149,101,67.79,48,32.21,09044
9,45,200,147,73.5,53,26.5,09045
9,46,177,115,64.97,62,35.03,09046
9,47,116,86,74.14,30,25.86,09047
9,48,242,146,60.33,96,39.67,09048
9,49,71,48,67.61,23,32.39,09049
9,50,86,62,72.09,24,27.91,09050
9,51,150,106,70.67,44,29.33,09051
9,52,243,171,70.37,72,29.63,09052
9,53,163,117,71.78,46,28.22,09053
9,54,178,107,60.11,71,39.89,09054
9,55,119,79,66.39,40,33.61,09055
9,56,124,80,64.52,44,35.48,09056
9,57,123,86,69.92,37,30.08,09057
9,58,166,111,66.87,55,33.13,09058
10,1,119,93,78.15,26,21.85,10001
10,2,117,101,86.32,16,13.68,10002
10,3,189,165,87.3,24,12.7,10003
10,4,128,99,77.34,29,22.66,10004
10,5,137,118,86.13,19,13.87,10005
10,6,164,114,69.51,50,30.49,10006
10,7,30,22,73.33,8,26.67,10007
10,8,140,122,87.14,18,12.86,10008
10,9,168,149,88.69,19,11.31,10009
10,10,147,129,87.76,18,12.24,10010
10,11,142,125,88.03,17,11.97,10011
10,12,101,88,87.13,13,12.87,10012
10,13,132,113,85.61,19,14.39,10013
10,14,157,136,86.62,21,13.38,10014
10,15,59,45,76.27,14,23.73,10015
10,16,155,145,93.55,10,6.45,10016
10,17,105,92,87.62,13,12.38,10017
10,18,115,91,79.13,24,20.87,10018
10,19,154,135,87.66,19,12.34,10019
10,20,117,104,88.89,13,11.11,10020
10,21,106,92,86.79,14,13.21,10021
10,22,37,31,83.78,6,16.22,10022
10,23,103,85,82.52,18,17.48,10023
10,24,117,103,88.03,14,11.97,10024
10,25,177,147,83.05,30,16.95,10025
10,26,97,78,80.41,19,19.59,10026
10,27,162,145,89.51,17,10.49,10027
10,28,157,110,70.06,47,29.94,10028
10,29,137,92,67.15,45,32.85,10029
10,30,152,126,82.89,26,17.11,10030
10,31,147,126,85.71,21,14.29,10031
10,32,143,124,86.71,19,13.29,10032
10,33,118,95,80.51,23,19.49,10033
10,34,135,114,84.44,21,15.56,10034
10,35,136,110,80.88,26,19.12,10035
10,36,168,131,77.98,37,22.02,10036
10,37,104,79,75.96,25,24.04,10037
10,38,186,160,86.02,26,13.98,10038
10,39,135,112,82.96,23,17.04,10039
10,40,130,110,84.62,20,15.38,10040
10,41,155,142,91.61,13,8.39,10041
10,42,142,121,85.21,21,14.79,10042
10,43,52,40,76.92,12,23.08,10043
10,44,97,77,79.38,20,20.62,10044
10,45,87,67,77.01,20,22.99,10045
10,46,127,113,88.98,14,11.02,10046
10,47,137,124,90.51,13,9.49,10047
10,48,102,72,70.59,30,29.41,10048
10,49,96,70,72.92,26,27.08,10049
11,1,195,179,91.79,16,8.21,11001
11,2,167,154,92.22,13,7.78,11002
11,3,148,137,92.57,11,7.43,11003
11,4,216,195,90.28,21,9.72,11004
11,5,107,88,82.24,19,17.76,11005
11,6,236,206,87.29,30,12.71,11006
11,7,191,176,92.15,15,7.85,11007
11,8,201,171,85.07,30,14.93,11008
11,9,192,176,91.67,16,8.33,11009
11,10,145,130,89.66,15,10.34,11010
11,11,223,192,86.1,31,13.9,11011
11,12,274,260,94.89,14,5.11,11012
11,13,209,189,90.43,20,9.57,11013
11,14,181,169,93.37,12,6.63,11014
11,15,156,150,96.15,6,3.85,11015
11,16,214,195,91.12,19,8.88,11016
11,17,218,195,89.45,23,10.55,11017
11,18,117,99,84.62,18,15.38,11018
11,19,142,127,89.44,15,10.56,11019
11,20,188,183,97.34,5,2.66,11020
11,21,232,224,96.55,8,3.45,11021
11,22,180,171,95.0,9,5.0,11022
11,23,181,170,93.92,11,6.08,11023
11,24,423,405,95.74,18,4.26,11024
11,25,140,133,95.0,7,5.0,11025
11,26,231,212,91.77,19,8.23,11026
11,27,186,180,96.77,6,3.23,11027
11,28,192,185,96.35,7,3.65,11028
11,29,249,226,90.76,23,9.24,11029
11,30,173,153,88.44,20,11.56,11030
11,31,192,178,92.71,14,7.29,11031
11,32,175,169,96.57,6,3.43,11032
11,33,142,136,95.77,6,4.23,11033
11,34,124,114,91.94,10,8.06,11034
11,35,287,278,96.86,9,3.14,11035
11,36,61,54,88.52,7,11.48,11036
11,37,227,220,96.92,7,3.08,11037
11,38,322,306,95.03,16,4.97,11038
11,39,325,305,93.85,20,6.15,11039
11,40,126,121,96.03,5,3.97,11040
11,41,131,127,96.95,4,3.05,11041
11,42,158,151,95.57,7,4.43,11042
11,43,227,215,94.71,12,5.29,11043
11,44,195,170,87.18,25,12.82,11044
11,45,96,88,91.67,8,8.33,11045
11,46,151,144,95.36,7,4.64,11046
11,47,204,189,92.65,15,7.35,11047
11,48,98,92,93.88,6,6.12,11048
11,49,204,188,92.16,16,7.84,11049
11,50,133,121,90.98,12,9.02,11050
12,1,52,37,71.15,15,28.85,12001
12,2,71,63,88.73,8,11.27,12002
12,3,87,79,90.8,8,9.2,12003
12,4,87,78,89.66,9,10.34,12004
12,5,92,75,81.52,17,18.48,12005
12,6,59,42,71.19,17,28.81,12006
12,7,45,38,84.44,7,15.56,12007
12,8,153,136,88.89,17,11.11,12008
12,9,73,66,90.41,7,9.59,12009
12,10,63,51,80.95,12,19.05,12010
12,11,106,89,83.96,17,16.04,12011
12,12,60,50,83.33,10,16.67,12012
12,13,60,45,75.0,15,25.0,12013
12,14,59,48,81.36,11,18.64,12014
12,15,79,63,79.75,16,20.25,12015
12,16,83,69,83.13,14,16.87,12016
12,17,83,64,77.11,19,22.89,12017
12,18,79,62,78.48,17,21.52,12018
12,19,87,71,81.61,16,18.39,12019
12,20,101,84,83.17,17,16.83,12020
12,21,107,84,78.5,23,21.5,12021
12,22,77,56,72.73,21,27.27,12022
12,23,73,57,78.08,16,21.92,12023
12,24,140,114,81.43,26,18.57,12024
12,25,78,70,89.74,8,10.26,12025
12,26,80,67,83.75,13,16.25,12026
12,27,54,45,83.33,9,16.67,12027
12,28,98,89,90.82,9,9.18,12028
