ward,precinct,total,Dorothy A. Brown,Dorothy A. Brown Percent,Jerry Orbach,Jerry Orbach Percent,precinct_id
2,35,46,36,78.26,10,21.74,02035
2,36,88,83,94.32,5,5.68,02036
2,37,174,135,77.59,39,22.41,02037
2,38,187,168,89.84,19,10.16,02038
2,39,150,125,83.33,25,16.67,02039
2,40,215,187,86.98,28,13.02,02040
2,41,100,94,94.0,6,6.0,02041
2,42,53,44,83.02,9,16.98,02042
2,43,235,193,82.13,42,17.87,02043
2,44,119,111,93.28,8,6.72,02044
2,45,144,141,97.92,3,2.08,02045
2,46,288,273,94.79,15,5.21,02046
2,47,173,167,96.53,6,3.47,02047
2,48,107,102,95.33,5,4.67,02048
2,49,125,91,72.8,34,27.2,02049
2,50,101,81,80.2,20,19.8,02050
2,51,143,138,96.5,5,3.5,02051
2,52,152,143,94.08,9,5.92,02052
2,53,73,67,91.78,6,8.22,02053
2,54,169,127,75.15,42,24.85,02054
2,55,34,26,76.47,8,23.53,02055
2,56,168,161,95.83,7,4.17,02056
2,57,87,78,89.66,9,10.34,02057
2,58,58,47,81.03,11,18.97,02058
2,59,182,134,73.63,48,26.37,02059
3,1,157,154,98.09,3,1.91,03001
3,2,286,278,97.2,8,2.8,03002
3,3,121,106,87.6,15,12.4,03003
3,4,60,56,93.33,4,6.67,03004
3,5,99,90,90.91,9,9.09,03005
3,6,108,99,91.67,9,8.33,03006
3,7,165,153,92.73,12,7.27,03007
3,8,33,28,84.85,5,15.15,03008
3,9,145,135,93.1,10,6.9,03009
3,10,93,91,97.85,2,2.15,03010
3,11,91,85,93.41,6,6.59,03011
3,12,194,188,96.91,6,3.09,03012
3,13,102,68,66.67,34,33.33,03013
3,14,76,71,93.42,5,6.58,03014
3,15,170,161,94.71,9,5.29,03015
3,16,329,316,96.05,13,3.95,03016
3,17,130,119,91.54,11,8.46,03017
3,18,125,116,92.8,9,7.2,03018
3,19,22,19,86.36,3,13.64,03019
3,20,8,6,75.0,2,25.0,03020
3,21,108,103,95.37,5,4.63,03021
3,22,122,117,95.9,5,4.1,03022
3,23,27,25,92.59,2,7.41,03023
3,24,140,136,97.14,4,2.86,03024
3,25,21,19,90.48,2,9.52,03025
3,26,126,119,94.44,7,5.56,03026
3,27,7,6,85.71,1,14.29,03027
3,28,87,78,89.66,9,10.34,03028
3,29,126,117,92.86,9,7.14,03029
3,30,143,139,97.2,4,2.8,03030
3,31,257,249,96.89,8,3.11,03031
3,32,123,120,97.56,3,2.44,03032
3,33,220,209,95.0,11,5.0,03033
3,34,128,121,94.53,7,5.47,03034
3,35,151,145,96.03,6,3.97,03035
3,36,90,88,97.78,2,2.22,03036
3,37,82,72,87.8,10,12.2,03037
3,38,41,39,95.12,2,4.88,03038
3,39,296,285,96.28,11,3.72,03039
3,40,155,150,96.77,5,3.23,03040
3,41,170,164,96.47,6,3.53,03041
3,42,129,122,94.57,7,5.43,03042
3,43,71,70,98.59,1,1.41,03043
3,44,75,70,93.33,5,6.67,03044
3,45,63,55,87.3,8,12.7,03045
3,46,173,163,94.22,10,5.78,03046
3,47,115,112,97.39,3,2.61,03047
3,48,133,128,96.24,5,3.76,03048
3,49,35,33,94.29,2,5.71,03049
3,50,162,152,93.83,10,6.17,03050
3,51,45,34,75.56,11,24.44,03051
3,52,66,63,95.45,3,4.55,03052
3,53,144,130,90.28,14,9.72,03053
3,54,118,87,73.73,31,26.27,03054
3,55,122,116,95.08,6,4.92,03055
3,56,145,139,95.86,6,4.14,03056
3,57,207,199,96.14,8,3.86,03057
3,58,53,49,92.45,4,7.55,03058
3,59,69,61,88.41,8,11.59,03059
3,60,149,145,97.32,4,2.68,03060
3,61,126,112,88.89,14,11.11,03061
3,62,88,81,92.05,7,7.95,03062
3,63,76,63,82.89,13,17.11,03063
4,1,193,172,89.12,21,10.88,04001
4,2,283,268,94.7,15,5.3,04002
4,3,288,275,95.49,13,4.51,04003
4,4,263,250,95.06,13,4.94,04004
4,5,264,253,95.83,11,4.17,04005
4,6,108,105,97.22,3,2.78,04006
4,7,162,155,95.68,7,4.32,04007
4,8,217,207,95.39,10,4.61,04008
4,9,460,436,94.78,24,5.22,04009
4,10,246,233,94.72,13,5.28,04010
4,11,242,228,94.21,14,5.79,04011
4,12,130,126,96.92,4,3.08,04012
4,13,210,193,91.9,17,8.1,04013
4,14,129,123,95.35,6,4.65,04014
4,15,124,118,95.16,6,4.84,04015
4,16,311,295,94.86,16,5.14,04016
4,17,233,213,91.42,20,8.58,04017
4,18,233,221,94.85,12,5.15,04018
4,19,262,253,96.56,9,3.44,04019
4,20,75,70,93.33,5,6.67,04020
4,21,289,266,92.04,23,7.96,04021
4,22,315,280,88.89,35,11.11,04022
4,23,167,154,92.22,13,7.78,04023
4,24,294,277,94.22,17,5.78,04024
4,25,243,232,95.47,11,4.53,04025
4,26,228,217,95.18,11,4.82,04026
4,27,279,266,95.34,13,4.66,04027
4,28,161,148,91.93,13,8.07,04028
4,29,186,168,90.32,18,9.68,04029
4,30,67,57,85.07,10,14.93,04030
4,31,54,53,98.15,1,1.85,04031
4,32,258,223,86.43,35,13.57,04032
4,33,89,86,96.63,3,3.37,04033
4,34,173,157,90.75,16,9.25,04034
4,35,119,112,94.12,7,5.88,04035
4,36,112,107,95.54,5,4.46,04036
4,37,100,87,87.0,13,13.0,04037
4,38,333,301,90.39,32,9.61,04038
4,39,103,98,95.15,5,4.85,04039
4,40,195,184,94.36,11,5.64,04040
4,41,97,84,86.6,13,13.4,04041
4,42,251,238,94.82,13,5.18,04042
4,43,143,126,88.11,17,11.89,04043
4,44,151,131,86.75,20,13.25,04044
4,45,409,386,94.38,23,5.62,04045
4,46,214,207,96.73,7,3.27,04046
4,47,326,306,93.87,20,6.13,04047
4,48,324,280,86.42,44,13.58,04048
4,49,107,97,90.65,10,9.35,04049
4,50,187,181,96.79,6,3.21,04050
4,51,262,246,93.89,16,6.11,04051
4,52,46,43,93.48,3,6.52,04052
4,53,226,214,94.69,12,5.31,04053
4,54,102,91,89.22,11,10.78,04054
4,55,155,140,90.32,15,9.68,04055
4,56,272,262,96.32,10,3.68,04056
4,57,127,118,92.91,9,7.09,04057
5,1,203,200,98.52,3,1.48,05001
5,2,205,197,96.1,8,3.9,05002
5,3,123,114,92.68,9,7.32,05003
5,4,183,178,97.27,5,2.73,05004
5,5,186,175,94.09,11,5.91,05005
5,6,239,223,93.31,16,6.69,05006
5,7,259,250,96.53,9,3.47,05007
5,8,257,228,88.72,29,11.28,05008
5,9,211,200,94.79,11,5.21,05009
5,10,232,220,94.83,12,5.17,05010
5,11,239,216,90.38,23,9.62,05011
5,12,149,138,92.62,11,7.38,05012
5,13,181,172,95.03,9,4.97,05013
5,14,295,251,85.08,44,14.92,05014
5,15,210,193,91.9,17,8.1,05015
5,16,166,155,93.37,11,6.63,05016
5,17,239,229,95.82,10,4.18,05017
5,18,260,248,95.38,12,4.62,05018
5,19,98,95,96.94,3,3.06,05019
5,20,88,79,89.77,9,10.23,05020
5,21,255,240,94.12,15,5.88,05021
5,22,223,205,91.93,18,8.07,05022
5,23,169,161,95.27,8,4.73,05023
5,24,193,174,90.16,19,9.84,05024
5,25,208,196,94.23,12,5.77,05025
5,26,221,211,95.48,10,4.52,05026
5,27,237,199,83.97,38,16.03,05027
5,28,241,230,95.44,11,4.56,05028
5,29,253,237,93.68,16,6.32,05029
5,30,155,119,76.77,36,23.23,05030
5,31,199,188,94.47,11,5.53,05031
5,32,318,304,95.6,14,4.4,05032
5,33,153,141,92.16,12,7.84,05033
5,34,216,207,95.83,9,4.17,05034
5,35,165,149,90.3,16,9.7,05035
5,36,134,125,93.28,9,6.72,05036
5,37,170,154,90.59,16,9.41,05037
5,38,227,198,87.22,29,12.78,05038
5,39,197,162,82.23,35,17.77,05039
5,40,222,212,95.5,10,4.5,05040
5,41,152,121,79.61,31,20.39,05041
5,42,242,227,93.8,15,6.2,05042
5,43,282,264,93.62,18,6.38,05043
5,44,265,253,95.47,12,4.53,05044
5,45,130,124,95.38,6,4.62,05045
5,46,243,206,84.77,37,15.23,05046
5,47,166,156,93.98,10,6.02,05047
5,48,160,144,90.0,16,10.0,05048
5,49,49,43,87.76,6,12.24,05049
5,50,204,197,96.57,7,3.43,05050
5,51,159,155,97.48,4,2.52,05051
5,52,61,53,86.89,8,13.11,05052
5,53,259,240,92.66,19,7.34,05053
5,54,325,316,97.23,9,2.77,05054
5,55,177,170,96.05,7,3.95,05055
6,1,300,288,96.0,12,4.0,06001
6,2,298,283,94.97,15,5.03,06002
6,3,274,260,94.89,14,5.11,06003
6,4,142,134,94.37,8,5.63,06004
6,5,113,109,96.46,4,3.54,06005
6,6,213,203,95.31,10,4.69,06006
6,7,285,276,96.84,9,3.16,06007
6,8,229,222,96.94,7,3.06,06008
6,9,181,173,95.58,8,4.42,06009
6,10,307,303,98.7,4,1.3,06010
6,11,251,233,92.83,18,7.17,06011
6,12,170,163,95.88,7,4.12,06012
6,13,212,207,97.64,5,2.36,06013
6,14,247,236,95.55,11,4.45,06014
6,15,193,183,94.82,10,5.18,06015
6,16,279,265,94.98,14,5.02,06016
6,17,299,292,97.66,7,2.34,06017
6,18,62,59,95.16,3,4.84,06018
6,19,282,275,97.52,7,2.48,06019
6,20,226,213,94.25,13,5.75,06020
6,21,239,234,97.91,5,2.09,06021
6,22,223,216,96.86,7,3.14,06022
6,23,201,189,94.03,12,5.97,06023
6,24,252,242,96.03,10,3.97,06024
6,25,169,157,92.9,12,7.1,06025
6,26,249,242,97.19,7,2.81,06026
6,27,339,326,96.17,13,3.83,06027
6,28,408,397,97.3,11,2.7,06028
6,29,299,287,95.99,12,4.01,06029
6,30,213,206,96.71,7,3.29,06030
6,31,300,288,96.0,12,4.0,06031
6,32,294,283,96.26,11,3.74,06032
6,33,296,280,94.59,16,5.41,06033
6,34,215,211,98.14,4,1.86,06034
6,35,296,285,96.28,11,3.72,06035
6,36,39,36,92.31,3,7.69,06036
6,37,290,279,96.21,11,3.79,06037
6,38,286,270,94.41,16,5.59,06038
6,39,217,205,94.47,12,5.53,06039
6,40,146,137,93.84,9,6.16,06040
6,41,238,228,95.8,10,4.2,06041
6,42,111,106,95.5,5,4.5,06042
6,43,253,244,96.44,9,3.56,06043
6,44,246,241,97.97,5,2.03,06044
6,45,171,166,97.08,5,2.92,06045
6,46,216,212,98.15,4,1.85,06046
6,47,257,245,95.33,12,4.67,06047
6,48,284,272,95.77,12,4.23,06048
6,49,243,229,94.24,14,5.76,06049
6,50,264,256,96.97,8,3.03,06050
6,51,193,185,95.85,8,4.15,06051
6,52,181,164,90.61,17,9.39,06052
6,53,219,214,97.72,5,2.28,06053
6,54,225,215,95.56,10,4.44,06054
6,55,196,187,95.41,9,4.59,06055
6,56,167,161,96.41,6,3.59,06056
6,57,135,129,95.56,6,4.44,06057
6,58,278,264,94.96,14,5.04,06058
6,59,237,232,97.89,5,2.11,06059
6,60,151,146,96.69,5,3.31,06060
6,61,160,150,93.75,10,6.25,06061
6,62,74,74,100.0,0,0.0,06062
6,63,203,193,95.07,10,4.93,06063
6,64,282,261,92.55,21,7.45,06064
6,65,74,72,97.3,2,2.7,06065
6,66,209,203,97.13,6,2.87,06066
7,1,267,257,96.25,10,3.75,07001
7,2,260,244,93.85,16,6.15,07002
7,3,149,140,93.96,9,6.04,07003
7,4,159,152,95.6,7,4.4,07004
7,5,141,125,88.65,16,11.35,07005
7,6,158,148,93.67,10,6.33,07006
7,7,118,113,95.76,5,4.24,07007
7,8,59,53,89.83,6,10.17,07008
7,9,210,202,96.19,8,3.81,07009
7,10,136,125,91.91,11,8.09,07010
7,11,211,201,95.26,10,4.74,07011
7,12,144,140,97.22,4,2.78,07012
7,13,155,151,97.42,4,2.58,07013
7,14,237,221,93.25,16,6.75,07014
7,15,121,117,96.69,4,3.31,07015
7,16,151,141,93.38,10,6.62,07016
7,17,126,119,94.44,7,5.56,07017
7,18,131,114,87.02,17,12.98,07018
7,19,326,310,95.09,16,4.91,07019
7,20,90,84,93.33,6,6.67,07020
7,21,206,195,94.66,11,5.34,07021
7,22,161,146,90.68,15,9.32,07022
7,23,132,126,95.45,6,4.55,07023
7,24,172,165,95.93,7,4.07,07024
7,25,225,208,92.44,17,7.56,07025
7,26,266,259,97.37,7,2.63,07026
7,27,303,291,96.04,12,3.96,07027
7,28,191,174,91.1,17,8.9,07028
7,29,129,126,97.67,3,2.33,07029
7,30,235,223,94.89,12,5.11,07030
7,31,203,190,93.6,13,6.4,07031
7,32,151,132,87.42,19,12.58,07032
7,33,147,141,95.92,6,4.08,07033
7,34,199,188,94.47,11,5.53,07034
7,35,101,95,94.06,6,5.94,07035
7,36,243,230,94.65,13,5.35,07036
7,37,96,93,96.88,3,3.13,07037
7,38,141,136,96.45,5,3.55,07038
7,39,167,155,92.81,12,7.19,07039
7,40,169,156,92.31,13,7.69,07040
7,41,154,149,96.75,5,3.25,07041
7,42,276,265,96.01,11,3.99,07042
7,43,213,200,93.9,13,6.1,07043
7,44,259,242,93.44,17,6.56,07044
7,45,312,303,97.12,9,2.88,07045
7,46,69,63,91.3,6,8.7,07046
7,47,160,156,97.5,4,2.5,07047
7,48,83,78,93.98,5,6.02,07048
7,49,121,119,98.35,2,1.65,07049
7,50,155,149,96.13,6,3.87,07050
7,51,161,155,96.27,6,3.73,07051
7,52,175,168,96.0,7,4.0,07052
7,53,171,162,94.74,9,5.26,07053
7,54,76,69,90.79,7,9.21,07054
7,55,173,162,93.64,11,6.36,07055
7,56,151,145,96.03,6,3.97,07056
7,57,165,156,94.55,9,5.45,07057
7,58,261,254,97.32,7,2.68,07058
7,59,95,92,96.84,3,3.16,07059
7,60,146,137,93.84,9,6.16,07060
7,61,179,171,95.53,8,4.47,07061
7,62,197,188,95.43,9,4.57,07062
7,63,161,150,93.17,11,6.83,07063
7,64,170,164,96.47,6,3.53,07064
7,65,156,147,94.23,9,5.77,07065
8,1,274,265,96.72,9,3.28,08001
8,2,148,141,95.27,7,4.73,08002
8,3,337,332,98.52,5,1.48,08003
8,4,245,239,97.55,6,2.45,08004
8,5,305,296,97.05,9,2.95,08005
8,6,280,269,96.07,11,3.93,08006
8,7,181,177,97.79,4,2.21,08007
8,8,307,291,94.79,16,5.21,08008
8,9,311,297,95.5,14,4.5,08009
8,10,345,326,94.49,19,5.51,08010
8,11,214,207,96.73,7,3.27,08011
8,12,203,196,96.55,7,3.45,08012
8,13,189,179,94.71,10,5.29,08013
8,14,181,171,94.48,10,5.52,08014
8,15,218,214,98.17,4,1.83,08015
8,16,265,252,95.09,13,4.91,08016
8,17,206,198,96.12,8,3.88,08017
8,18,130,126,96.92,4,3.08,08018
8,19,301,293,97.34,8,2.66,08019
8,20,191,183,95.81,8,4.19,08020
8,21,186,181,97.31,5,2.69,08021
8,22,211,198,93.84,13,6.16,08022
8,23,191,175,91.62,16,8.38,08023
8,24,260,248,95.38,12,4.62,08024
8,25,236,225,95.34,11,4.66,08025
8,26,175,169,96.57,6,3.43,08026
8,27,266,257,96.62,9,3.38,08027
8,28,219,211,96.35,8,3.65,08028
8,29,259,249,96.14,10,3.86,08029
8,30,192,187,97.4,5,2.6,08030
8,31,163,154,94.48,9,5.52,08031
8,32,378,365,96.56,13,3.44,08032
8,33,238,230,96.64,8,3.36,08033
8,34,260,243,93.46,17,6.54,08034
8,35,289,280,96.89,9,3.11,08035
8,36,223,211,94.62,12,5.38,08036
8,37,265,249,93.96,16,6.04,08037
8,38,230,219,95.22,11,4.78,08038
8,39,274,266,97.08,8,2.92,08039
8,40,227,219,96.48,8,3.52,08040
8,41,224,219,97.77,5,2.23,08041
8,42,260,250,96.15,10,3.85,08042
8,43,217,205,94.47,12,5.53,08043
8,44,185,175,94.59,10,5.41,08044
8,45,178,172,96.63,6,3.37,08045
8,46,187,179,95.72,8,4.28,08046
8,47,245,229,93.47,16,6.53,08047
8,48,196,187,95.41,9,4.59,08048
8,49,279,264,94.62,15,5.38,08049
8,50,250,244,97.6,6,2.4,08050
8,51,301,289,96.01,12,3.99,08051
8,52,264,253,95.83,11,4.17,08052
8,53,302,293,97.02,9,2.98,08053
8,54,242,229,94.63,13,5.37,08054
8,55,238,227,95.38,11,4.62,08055
8,56,261,244,93.49,17,6.51,08056
8,57,221,204,92.31,17,7.69,08057
8,58,279,266,95.34,13,4.66,08058
8,59,142,134,94.37,8,5.63,08059
8,60,211,199,94.31,12,5.69,08060
8,61,183,173,94.54,10,5.46,08061
8,62,229,220,96.07,9,3.93,08062
8,63,288,281,97.57,7,2.43,08063
8,64,216,210,97.22,6,2.78,08064
8,65,157,148,94.27,9,5.73,08065
8,66,316,306,96.84,10,3.16,08066
8,67,115,115,100.0,0,0.0,08067
8,68,147,139,94.56,8,5.44,08068
8,69,150,140,93.33,10,6.67,08069
8,70,276,259,93.84,17,6.16,08070
9,1,284,268,94.37,16,5.63,09001
9,2,261,249,95.4,12,4.6,09002
9,3,135,126,93.33,9,6.67,09003
9,4,281,276,98.22,5,1.78,09004
9,5,216,207,95.83,9,4.17,09005
9,6,239,232,97.07,7,2.93,09006
9,7,227,218,96.04,9,3.96,09007
9,8,177,172,97.18,5,2.82,09008
9,9,266,260,97.74,6,2.26,09009
9,10,221,210,95.02,11,4.98,09010
9,11,123,117,95.12,6,4.88,09011
9,12,230,220,95.65,10,4.35,09012
9,13,330,318,96.36,12,3.64,09013
9,14,338,328,97.04,10,2.96,09014
9,15,99,95,95.96,4,4.04,09015
9,16,215,209,97.21,6,2.79,09016
9,17,194,183,94.33,11,5.67,09017
9,18,238,233,97.9,5,2.1,09018
9,19,283,268,94.7,15,5.3,09019
9,20,282,270,95.74,12,4.26,09020
9,21,185,179,96.76,6,3.24,09021
9,22,255,242,94.9,13,5.1,09022
9,23,180,170,94.44,10,5.56,09023
9,24,116,109,93.97,7,6.03,09024
9,25,95,92,96.84,3,3.16,09025
9,26,142,137,96.48,5,3.52,09026
9,27,126,120,95.24,6,4.76,09027
9,28,118,102,86.44,16,13.56,09028
9,29,188,177,94.15,11,5.85,09029
9,30,187,181,96.79,6,3.21,09030
9,31,192,182,94.79,10,5.21,09031
9,32,241,232,96.27,9,3.73,09032
9,33,152,145,95.39,7,4.61,09033
9,34,194,187,96.39,7,3.61,09034
9,35,247,242,97.98,5,2.02,09035
9,36,104,99,95.19,5,4.81,09036
9,37,137,98,71.53,39,28.47,09037
9,38,232,220,94.83,12,5.17,09038
9,39,212,207,97.64,5,2.36,09039
9,40,271,255,94.1,16,5.9,09040
9,41,294,285,96.94,9,3.06,09041
9,42,130,121,93.08,9,6.92,09042
9,43,148,141,95.27,7,4.73,09043
9,44,164,152,92.68,12,7.32,09044
9,45,220,210,95.45,10,4.55,09045
9,46,185,174,94.05,11,5.95,09046
9,47,130,110,84.62,20,15.38,09047
9,48,259,244,94.21,15,5.79,09048
9,49,84,82,97.62,2,2.38,09049
9,50,93,91,97.85,2,2.15,09050
9,51,160,153,95.63,7,4.38,09051
9,52,263,250,95.06,13,4.94,09052
9,53,178,170,95.51,8,4.49,09053
9,54,187,182,97.33,5,2.67,09054
9,55,126,120,95.24,6,4.76,09055
9,56,137,123,89.78,14,10.22,09056
9,57,126,87,69.05,39,30.95,09057
9,58,178,172,96.63,6,3.37,09058
10,1,130,110,84.62,20,15.38,10001
10,2,117,72,61.54,45,38.46,10002
10,3,180,96,53.33,84,46.67,10003
10,4,129,100,77.52,29,22.48,10004
10,5,130,84,64.62,46,35.38,10005
10,6,173,166,95.95,7,4.05,10006
10,7,33,27,81.82,6,18.18,10007
10,8,132,79,59.85,53,40.15,10008
10,9,169,101,59.76,68,40.24,10009
10,10,148,75,50.68,73,49.32,10010
10,11,137,87,63.5,50,36.5,10011
10,12,97,56,57.73,41,42.27,10012
10,13,128,67,52.34,61,47.66,10013
10,14,150,71,47.33,79,52.67,10014
10,15,55,27,49.09,28,50.91,10015
10,16,145,78,53.79,67,46.21,10016
10,17,103,60,58.25,43,41.75,10017
10,18,111,76,68.47,35,31.53,10018
10,19,149,92,61.74,57,38.26,10019
10,20,111,62,55.86,49,44.14,10020
10,21,98,55,56.12,43,43.88,10021
10,22,34,21,61.76,13,38.24,10022
10,23,99,63,63.64,36,36.36,10023
10,24,114,50,43.86,64,56.14,10024
10,25,168,134,79.76,34,20.24,10025
10,26,100,59,59.0,41,41.0,10026
10,27,151,82,54.3,69,45.7,10027
10,28,158,147,93.04,11,6.96,10028
10,29,147,137,93.2,10,6.8,10029
10,30,145,96,66.21,49,33.79,10030
10,31,136,82,60.29,54,39.71,10031
10,32,135,78,57.78,57,42.22,10032
10,33,112,72,64.29,40,35.71,10033
10,34,134,82,61.19,52,38.81,10034
10,35,132,85,64.39,47,35.61,10035
10,36,173,130,75.14,43,24.86,10036
10,37,110,90,81.82,20,18.18,10037
10,38,181,97,53.59,84,46.41,10038
10,39,128,68,53.13,60,46.88,10039
10,40,130,98,75.38,32,24.62,10040
10,41,146,80,54.79,66,45.21,10041
10,42,135,65,48.15,70,51.85,10042
10,43,55,46,83.64,9,16.36,10043
10,44,98,59,60.2,39,39.8,10044
10,45,83,54,65.06,29,34.94,10045
10,46,125,80,64.0,45,36.0,10046
10,47,132,90,68.18,42,31.82,10047
10,48,108,87,80.56,21,19.44,10048
10,49,100,83,83.0,17,17.0,10049
11,1,176,125,71.02,51,28.98,11001
11,2,163,117,71.78,46,28.22,11002
11,3,137,102,74.45,35,25.55,11003
11,4,206,152,73.79,54,26.21,11004
11,5,106,69,65.09,37,34.91,11005
11,6,219,147,67.12,72,32.88,11006
11,7,181,138,76.24,43,23.76,11007
11,8,191,128,67.02,63,32.98,11008
11,9,185,140,75.68,45,24.32,11009
11,10,137,89,64.96,48,35.04,11010
11,11,217,146,67.28,71,32.72,11011
11,12,264,221,83.71,43,16.29,11012
11,13,191,146,76.44,45,23.56,11013
11,14,172,139,80.81,33,19.19,11014
11,15,144,112,77.78,32,22.22,11015
11,16,207,155,74.88,52,25.12,11016
11,17,207,149,71.98,58,28.02,11017
11,18,112,77,68.75,35,31.25,11018
11,19,135,102,75.56,33,24.44,11019
11,20,177,144,81.36,33,18.64,11020
11,21,223,178,79.82,45,20.18,11021
11,22,168,130,77.38,38,22.62,11022
11,23,174,139,79.89,35,20.11,11023
11,24,400,337,84.25,63,15.75,11024
11,25,133,102,76.69,31,23.31,11025
11,26,214,160,74.77,54,25.23,11026
11,27,155,121,78.06,34,21.94,11027
11,28,174,126,72.41,48,27.59,11028
11,29,231,169,73.16,62,26.84,11029
11,30,161,112,69.57,49,30.43,11030
11,31,185,135,72.97,50,27.03,11031
11,32,170,147,86.47,23,13.53,11032
11,33,139,115,82.73,24,17.27,11033
11,34,127,100,78.74,27,21.26,11034
11,35,273,223,81.68,50,18.32,11035
11,36,53,40,75.47,13,24.53,11036
11,37,221,185,83.71,36,16.29,11037
11,38,311,234,75.24,77,24.76,11038
11,39,308,222,72.08,86,27.92,11039
11,40,127,98,77.17,29,22.83,11040
11,41,128,101,78.91,27,21.09,11041
11,42,155,125,80.65,30,19.35,11042
11,43,214,154,71.96,60,28.04,11043
11,44,186,127,68.28,59,31.72,11044
11,45,93,58,62.37,35,37.63,11045
11,46,145,140,96.55,5,3.45,11046
11,47,177,129,72.88,48,27.12,11047
11,48,96,73,76.04,23,23.96,11048
11,49,197,155,78.68,42,21.32,11049
11,50,134,97,72.39,37,27.61,11050
12,1,44,33,75.0,11,25.0,12001
12,2,65,43,66.15,22,33.85,12002
12,3,67,48,71.64,19,28.36,12003
12,4,81,48,59.26,33,40.74,12004
12,5,87,51,58.62,36,41.38,12005
12,6,58,48,82.76,10,17.24,12006
12,7,42,34,80.95,8,19.05,12007
12,8,126,82,65.08,44,34.92,12008
12,9,69,50,72.46,19,27.54,12009
12,10,58,39,67.24,19,32.76,12010
12,11,101,63,62.38,38,37.62,12011
12,12,55,34,61.82,21,38.18,12012
12,13,57,26,45.61,31,54.39,12013
12,14,58,41,70.69,17,29.31,12014
12,15,74,59,79.73,15,20.27,12015
12,16,79,54,68.35,25,31.65,12016
12,17,68,46,67.65,22,32.35,12017
12,18,80,57,71.25,23,28.75,12018
12,19,82,58,70.73,24,29.27,12019
12,20,88,53,60.23,35,39.77,12020
12,21,89,58,65.17,31,34.83,12021
12,22,76,61,80.26,15,19.74,12022
12,23,68,47,69.12,21,30.88,12023
12,24,136,87,63.97,49,36.03,12024
12,25,75,54,72.0,21,28.0,12025
12,26,69,48,69.57,21,30.43,12026
12,27,51,29,56.86,22,43.14,12027
12,28,89,58,65.17,31,34.83,12028
