ward,precinct,total,Jason E. Tabour,Jason E. Tabour Percent,precinct_id
16,19,1,1,100.0,16019
16,25,1,1,100.0,16025
16,26,2,2,100.0,16026
16,27,1,1,100.0,16027
16,41,1,1,100.0,16041
16,44,2,2,100.0,16044
17,1,2,2,100.0,17001
17,2,5,5,100.0,17002
17,3,2,2,100.0,17003
17,4,1,1,100.0,17004
17,7,1,1,100.0,17007
17,9,1,1,100.0,17009
17,12,1,1,100.0,17012
17,13,4,4,100.0,17013
17,14,2,2,100.0,17014
17,15,1,1,100.0,17015
17,16,1,1,100.0,17016
17,20,1,1,100.0,17020
17,21,3,3,100.0,17021
17,22,1,1,100.0,17022
17,23,1,1,100.0,17023
17,24,3,3,100.0,17024
17,25,1,1,100.0,17025
17,26,1,1,100.0,17026
17,27,2,2,100.0,17027
17,28,2,2,100.0,17028
17,29,3,3,100.0,17029
17,30,3,3,100.0,17030
17,33,1,1,100.0,17033
17,35,3,3,100.0,17035
17,36,1,1,100.0,17036
17,38,1,1,100.0,17038
17,41,1,1,100.0,17041
17,42,1,1,100.0,17042
17,43,4,4,100.0,17043
17,45,2,2,100.0,17045
17,46,1,1,100.0,17046
17,47,1,1,100.0,17047
17,48,1,1,100.0,17048
17,49,4,4,100.0,17049
17,50,3,3,100.0,17050
17,52,1,1,100.0,17052
17,53,3,3,100.0,17053
17,54,1,1,100.0,17054
17,55,4,4,100.0,17055
17,57,2,2,100.0,17057
17,61,1,1,100.0,17061
17,63,1,1,100.0,17063
17,64,3,3,100.0,17064
18,1,1,1,100.0,18001
18,2,3,3,100.0,18002
18,4,2,2,100.0,18004
18,5,2,2,100.0,18005
18,7,7,7,100.0,18007
18,8,1,1,100.0,18008
18,9,3,3,100.0,18009
18,10,1,1,100.0,18010
18,11,8,8,100.0,18011
18,12,11,11,100.0,18012
18,13,2,2,100.0,18013
18,14,2,2,100.0,18014
18,16,1,1,100.0,18016
18,18,8,8,100.0,18018
18,20,2,2,100.0,18020
18,21,4,4,100.0,18021
18,23,4,4,100.0,18023
18,24,2,2,100.0,18024
18,26,3,3,100.0,18026
18,27,6,6,100.0,18027
18,29,14,14,100.0,18029
18,31,1,1,100.0,18031
18,32,2,2,100.0,18032
18,34,5,5,100.0,18034
18,35,3,3,100.0,18035
18,36,1,1,100.0,18036
18,37,4,4,100.0,18037
18,39,2,2,100.0,18039
18,40,1,1,100.0,18040
18,42,8,8,100.0,18042
18,44,6,6,100.0,18044
18,46,2,2,100.0,18046
18,47,3,3,100.0,18047
18,50,4,4,100.0,18050
18,52,1,1,100.0,18052
18,54,3,3,100.0,18054
18,58,1,1,100.0,18058
19,28,15,15,100.0,19028
19,43,6,6,100.0,19043
19,48,1,1,100.0,19048
19,60,4,4,100.0,19060
19,66,2,2,100.0,19066
20,1,1,1,100.0,20001
20,2,3,3,100.0,20002
20,3,1,1,100.0,20003
20,6,1,1,100.0,20006
20,16,1,1,100.0,20016
20,18,2,2,100.0,20018
20,22,1,1,100.0,20022
20,23,1,1,100.0,20023
20,29,2,2,100.0,20029
20,30,2,2,100.0,20030
20,32,1,1,100.0,20032
20,33,3,3,100.0,20033
20,34,2,2,100.0,20034
20,36,2,2,100.0,20036
20,37,1,1,100.0,20037
20,42,1,1,100.0,20042
20,46,2,2,100.0,20046
20,47,1,1,100.0,20047
21,1,2,2,100.0,21001
21,2,2,2,100.0,21002
21,3,1,1,100.0,21003
21,5,2,2,100.0,21005
21,6,1,1,100.0,21006
21,7,2,2,100.0,21007
21,8,4,4,100.0,21008
21,10,1,1,100.0,21010
21,11,1,1,100.0,21011
21,12,3,3,100.0,21012
21,14,1,1,100.0,21014
21,15,1,1,100.0,21015
21,17,2,2,100.0,21017
21,19,1,1,100.0,21019
21,20,1,1,100.0,21020
21,21,1,1,100.0,21021
21,23,1,1,100.0,21023
21,26,1,1,100.0,21026
21,27,4,4,100.0,21027
21,28,2,2,100.0,21028
21,29,1,1,100.0,21029
21,30,1,1,100.0,21030
21,31,2,2,100.0,21031
21,32,1,1,100.0,21032
21,33,1,1,100.0,21033
21,36,1,1,100.0,21036
21,37,1,1,100.0,21037
21,39,2,2,100.0,21039
21,42,2,2,100.0,21042
21,43,4,4,100.0,21043
21,44,1,1,100.0,21044
21,45,2,2,100.0,21045
21,46,1,1,100.0,21046
21,52,2,2,100.0,21052
21,53,2,2,100.0,21053
21,56,2,2,100.0,21056
21,57,1,1,100.0,21057
21,58,2,2,100.0,21058
21,60,2,2,100.0,21060
21,61,2,2,100.0,21061
21,63,1,1,100.0,21063
21,65,1,1,100.0,21065
21,66,1,1,100.0,21066
21,68,2,2,100.0,21068
21,69,1,1,100.0,21069
21,70,2,2,100.0,21070
21,73,3,3,100.0,21073
34,13,2,2,100.0,34013
34,33,1,1,100.0,34033
34,45,2,2,100.0,34045
34,51,2,2,100.0,34051
34,55,1,1,100.0,34055
34,57,1,1,100.0,34057
34,58,1,1,100.0,34058
34,60,2,2,100.0,34060
