ward,precinct,total,Charles Hutchinson,Charles Hutchinson Percent,precinct_id
32,51,22,22,100.0,32051
36,23,3,3,100.0,36023
36,24,5,5,100.0,36024
36,44,8,8,100.0,36044
36,54,10,10,100.0,36054
37,2,2,2,100.0,37002
37,3,1,1,100.0,37003
37,4,2,2,100.0,37004
37,5,2,2,100.0,37005
37,8,7,7,100.0,37008
37,9,1,1,100.0,37009
37,10,1,1,100.0,37010
37,12,5,5,100.0,37012
37,13,1,1,100.0,37013
37,14,3,3,100.0,37014
37,15,1,1,100.0,37015
37,16,1,1,100.0,37016
37,18,2,2,100.0,37018
37,20,1,1,100.0,37020
37,21,3,3,100.0,37021
37,25,7,7,100.0,37025
37,26,2,2,100.0,37026
37,27,6,6,100.0,37027
37,28,4,4,100.0,37028
37,31,1,1,100.0,37031
37,34,2,2,100.0,37034
37,35,2,2,100.0,37035
37,36,2,2,100.0,37036
37,37,3,3,100.0,37037
37,40,1,1,100.0,37040
37,41,4,4,100.0,37041
37,42,4,4,100.0,37042
37,43,3,3,100.0,37043
42,1,32,32,100.0,42001
42,2,13,13,100.0,42002
42,3,17,17,100.0,42003
42,4,31,31,100.0,42004
42,5,21,21,100.0,42005
42,6,48,48,100.0,42006
42,7,22,22,100.0,42007
42,8,32,32,100.0,42008
42,9,43,43,100.0,42009
42,10,17,17,100.0,42010
42,11,43,43,100.0,42011
42,12,13,13,100.0,42012
42,13,60,60,100.0,42013
42,14,30,30,100.0,42014
42,15,25,25,100.0,42015
42,16,10,10,100.0,42016
42,17,12,12,100.0,42017
42,18,21,21,100.0,42018
42,19,10,10,100.0,42019
42,20,16,16,100.0,42020
42,21,15,15,100.0,42021
42,22,21,21,100.0,42022
42,23,22,22,100.0,42023
42,24,20,20,100.0,42024
42,25,26,26,100.0,42025
42,26,19,19,100.0,42026
42,27,32,32,100.0,42027
42,28,22,22,100.0,42028
42,29,31,31,100.0,42029
42,30,17,17,100.0,42030
42,31,19,19,100.0,42031
42,32,20,20,100.0,42032
42,33,26,26,100.0,42033
42,34,15,15,100.0,42034
42,35,15,15,100.0,42035
42,36,28,28,100.0,42036
42,37,29,29,100.0,42037
42,38,19,19,100.0,42038
42,39,11,11,100.0,42039
42,40,21,21,100.0,42040
42,41,34,34,100.0,42041
42,42,16,16,100.0,42042
42,43,32,32,100.0,42043
42,44,25,25,100.0,42044
42,45,13,13,100.0,42045
42,46,15,15,100.0,42046
42,47,20,20,100.0,42047
42,48,17,17,100.0,42048
42,49,7,7,100.0,42049
42,50,22,22,100.0,42050
42,51,26,26,100.0,42051
42,52,15,15,100.0,42052
42,53,21,21,100.0,42053
42,54,15,15,100.0,42054
42,55,33,33,100.0,42055
42,56,22,22,100.0,42056
42,57,9,9,100.0,42057
42,58,4,4,100.0,42058
42,59,4,4,100.0,42059
42,60,10,10,100.0,42060
42,61,19,19,100.0,42061
42,62,25,25,100.0,42062
42,63,27,27,100.0,42063
42,64,13,13,100.0,42064
42,65,18,18,100.0,42065
42,66,15,15,100.0,42066
42,67,26,26,100.0,42067
42,68,25,25,100.0,42068
42,69,19,19,100.0,42069
43,1,17,17,100.0,43001
43,3,15,15,100.0,43003
43,4,24,24,100.0,43004
43,5,15,15,100.0,43005
43,9,9,9,100.0,43009
43,10,13,13,100.0,43010
43,11,15,15,100.0,43011
43,13,11,11,100.0,43013
43,15,13,13,100.0,43015
43,16,20,20,100.0,43016
43,18,21,21,100.0,43018
43,19,18,18,100.0,43019
43,23,14,14,100.0,43023
43,24,18,18,100.0,43024
43,25,9,9,100.0,43025
43,26,24,24,100.0,43026
43,28,36,36,100.0,43028
43,30,8,8,100.0,43030
43,35,28,28,100.0,43035
43,36,21,21,100.0,43036
43,37,9,9,100.0,43037
43,39,26,26,100.0,43039
43,40,13,13,100.0,43040
43,41,8,8,100.0,43041
43,42,29,29,100.0,43042
43,46,42,42,100.0,43046
43,47,14,14,100.0,43047
43,49,15,15,100.0,43049
43,51,13,13,100.0,43051
43,52,14,14,100.0,43052
43,54,11,11,100.0,43054
43,55,11,11,100.0,43055
