ward,precinct,total,Mark Wayne Lorch,Mark Wayne Lorch Percent,precinct_id
31,24,9,9,100.0,31024
31,25,12,12,100.0,31025
31,26,8,8,100.0,31026
31,27,16,16,100.0,31027
31,28,7,7,100.0,31028
31,29,5,5,100.0,31029
31,30,5,5,100.0,31030
31,31,9,9,100.0,31031
31,32,15,15,100.0,31032
31,33,14,14,100.0,31033
31,34,12,12,100.0,31034
31,35,11,11,100.0,31035
31,36,5,5,100.0,31036
31,37,14,14,100.0,31037
31,38,5,5,100.0,31038
31,39,4,4,100.0,31039
31,40,4,4,100.0,31040
31,41,7,7,100.0,31041
32,1,0,0,0.0,32001
32,3,8,8,100.0,32003
32,11,3,3,100.0,32011
32,12,8,8,100.0,32012
32,14,5,5,100.0,32014
32,16,2,2,100.0,32016
32,17,16,16,100.0,32017
32,20,2,2,100.0,32020
32,22,10,10,100.0,32022
32,26,11,11,100.0,32026
32,28,8,8,100.0,32028
32,43,1,1,100.0,32043
33,1,7,7,100.0,33001
33,3,12,12,100.0,33003
33,4,15,15,100.0,33004
33,6,7,7,100.0,33006
33,7,4,4,100.0,33007
33,8,5,5,100.0,33008
33,9,12,12,100.0,33009
33,10,16,16,100.0,33010
33,11,19,19,100.0,33011
33,12,14,14,100.0,33012
33,13,7,7,100.0,33013
33,14,11,11,100.0,33014
33,15,13,13,100.0,33015
33,16,17,17,100.0,33016
33,17,25,25,100.0,33017
33,19,8,8,100.0,33019
33,20,7,7,100.0,33020
33,21,11,11,100.0,33021
33,22,24,24,100.0,33022
33,23,12,12,100.0,33023
33,25,18,18,100.0,33025
33,26,7,7,100.0,33026
33,27,7,7,100.0,33027
33,28,13,13,100.0,33028
35,1,15,15,100.0,35001
35,2,10,10,100.0,35002
35,3,5,5,100.0,35003
35,4,12,12,100.0,35004
35,5,7,7,100.0,35005
35,6,7,7,100.0,35006
35,7,4,4,100.0,35007
35,8,1,1,100.0,35008
35,9,14,14,100.0,35009
35,10,6,6,100.0,35010
35,11,11,11,100.0,35011
35,12,4,4,100.0,35012
35,13,2,2,100.0,35013
35,14,5,5,100.0,35014
35,15,9,9,100.0,35015
35,16,2,2,100.0,35016
35,17,5,5,100.0,35017
35,18,5,5,100.0,35018
35,19,6,6,100.0,35019
35,20,5,5,100.0,35020
35,21,11,11,100.0,35021
35,22,15,15,100.0,35022
35,23,14,14,100.0,35023
35,24,4,4,100.0,35024
35,25,5,5,100.0,35025
35,26,18,18,100.0,35026
35,27,12,12,100.0,35027
35,28,11,11,100.0,35028
35,29,11,11,100.0,35029
35,30,10,10,100.0,35030
35,31,19,19,100.0,35031
36,1,12,12,100.0,36001
36,2,9,9,100.0,36002
36,3,7,7,100.0,36003
36,4,5,5,100.0,36004
36,6,13,13,100.0,36006
36,8,6,6,100.0,36008
36,9,12,12,100.0,36009
36,10,21,21,100.0,36010
36,11,6,6,100.0,36011
36,12,3,3,100.0,36012
36,13,5,5,100.0,36013
36,16,5,5,100.0,36016
36,19,21,21,100.0,36019
36,20,15,15,100.0,36020
36,21,6,6,100.0,36021
36,22,8,8,100.0,36022
36,23,11,11,100.0,36023
36,24,0,0,0.0,36024
36,25,10,10,100.0,36025
36,27,15,15,100.0,36027
36,29,8,8,100.0,36029
37,26,0,0,0.0,37026
38,1,15,15,100.0,38001
38,35,10,10,100.0,38035
38,41,19,19,100.0,38041
39,6,0,0,0.0,39006
39,12,1,1,100.0,39012
39,25,0,0,0.0,39025
39,28,3,3,100.0,39028
39,31,6,6,100.0,39031
45,1,10,10,100.0,45001
45,2,4,4,100.0,45002
45,8,19,19,100.0,45008
45,9,30,30,100.0,45009
45,10,37,37,100.0,45010
