ward,precinct,total,Mark M. Weiman,Mark M. Weiman Percent,precinct_id
22,21,0,0,0.0,22021
24,1,0,0,0.0,24001
24,2,0,0,0.0,24002
24,3,0,0,0.0,24003
24,4,0,0,0.0,24004
24,5,1,1,100.0,24005
24,6,0,0,0.0,24006
24,7,1,1,100.0,24007
24,8,0,0,0.0,24008
24,9,2,2,100.0,24009
24,10,0,0,0.0,24010
24,11,0,0,0.0,24011
24,12,0,0,0.0,24012
24,13,0,0,0.0,24013
24,14,2,2,100.0,24014
24,15,0,0,0.0,24015
24,16,0,0,0.0,24016
24,17,0,0,0.0,24017
24,18,0,0,0.0,24018
24,19,1,1,100.0,24019
24,20,1,1,100.0,24020
24,21,1,1,100.0,24021
24,22,3,3,100.0,24022
24,23,0,0,0.0,24023
24,24,0,0,0.0,24024
24,25,0,0,0.0,24025
24,26,1,1,100.0,24026
24,27,5,5,100.0,24027
24,28,1,1,100.0,24028
24,29,3,3,100.0,24029
24,30,1,1,100.0,24030
24,31,0,0,0.0,24031
24,32,0,0,0.0,24032
24,33,1,1,100.0,24033
24,34,0,0,0.0,24034
24,35,1,1,100.0,24035
24,36,2,2,100.0,24036
24,37,0,0,0.0,24037
24,38,0,0,0.0,24038
24,39,0,0,0.0,24039
24,40,1,1,100.0,24040
24,41,1,1,100.0,24041
24,42,0,0,0.0,24042
24,43,1,1,100.0,24043
24,44,3,3,100.0,24044
24,45,1,1,100.0,24045
24,46,0,0,0.0,24046
24,47,0,0,0.0,24047
24,48,0,0,0.0,24048
24,49,2,2,100.0,24049
24,50,2,2,100.0,24050
24,51,2,2,100.0,24051
24,52,0,0,0.0,24052
24,54,0,0,0.0,24054
24,55,0,0,0.0,24055
24,56,0,0,0.0,24056
25,3,16,16,100.0,25003
25,4,13,13,100.0,25004
25,5,1,1,100.0,25005
25,6,0,0,0.0,25006
25,8,0,0,0.0,25008
25,10,1,1,100.0,25010
25,14,11,11,100.0,25014
25,16,9,9,100.0,25016
25,18,4,4,100.0,25018
25,21,16,16,100.0,25021
25,25,8,8,100.0,25025
25,26,10,10,100.0,25026
25,27,10,10,100.0,25027
25,28,16,16,100.0,25028
25,29,22,22,100.0,25029
26,17,15,15,100.0,26017
26,28,1,1,100.0,26028
26,33,13,13,100.0,26033
26,46,34,34,100.0,26046
27,1,39,39,100.0,27001
27,2,0,0,0.0,27002
27,3,1,1,100.0,27003
27,4,4,4,100.0,27004
27,5,14,14,100.0,27005
27,6,0,0,0.0,27006
27,7,26,26,100.0,27007
27,8,1,1,100.0,27008
27,9,8,8,100.0,27009
27,10,4,4,100.0,27010
27,11,18,18,100.0,27011
27,12,33,33,100.0,27012
27,14,3,3,100.0,27014
27,15,3,3,100.0,27015
27,16,7,7,100.0,27016
27,17,20,20,100.0,27017
27,18,22,22,100.0,27018
27,19,1,1,100.0,27019
27,20,0,0,0.0,27020
27,21,2,2,100.0,27021
27,22,0,0,0.0,27022
27,23,0,0,0.0,27023
27,24,0,0,0.0,27024
27,25,2,2,100.0,27025
27,26,3,3,100.0,27026
27,27,6,6,100.0,27027
27,28,22,22,100.0,27028
27,29,0,0,0.0,27029
27,30,3,3,100.0,27030
27,31,0,0,0.0,27031
27,33,3,3,100.0,27033
27,34,0,0,0.0,27034
27,36,1,1,100.0,27036
27,37,7,7,100.0,27037
27,39,1,1,100.0,27039
27,40,0,0,0.0,27040
27,42,15,15,100.0,27042
27,43,2,2,100.0,27043
27,44,1,1,100.0,27044
27,45,0,0,0.0,27045
27,46,0,0,0.0,27046
27,47,2,2,100.0,27047
27,48,0,0,0.0,27048
27,49,2,2,100.0,27049
27,50,25,25,100.0,27050
27,51,0,0,0.0,27051
27,52,0,0,0.0,27052
27,53,6,6,100.0,27053
27,54,14,14,100.0,27054
27,55,2,2,100.0,27055
27,57,16,16,100.0,27057
27,58,15,15,100.0,27058
28,1,0,0,0.0,28001
28,2,0,0,0.0,28002
28,3,1,1,100.0,28003
28,4,1,1,100.0,28004
28,5,3,3,100.0,28005
28,6,1,1,100.0,28006
28,7,0,0,0.0,28007
28,8,0,0,0.0,28008
28,9,0,0,0.0,28009
28,10,1,1,100.0,28010
28,11,0,0,0.0,28011
28,12,0,0,0.0,28012
28,13,0,0,0.0,28013
28,14,0,0,0.0,28014
28,15,0,0,0.0,28015
28,16,0,0,0.0,28016
28,17,0,0,0.0,28017
28,18,1,1,100.0,28018
28,19,1,1,100.0,28019
28,20,0,0,0.0,28020
28,21,2,2,100.0,28021
28,22,0,0,0.0,28022
28,23,0,0,0.0,28023
28,24,0,0,0.0,28024
28,25,0,0,0.0,28025
28,26,1,1,100.0,28026
28,27,0,0,0.0,28027
28,28,0,0,0.0,28028
28,30,1,1,100.0,28030
28,31,1,1,100.0,28031
28,32,2,2,100.0,28032
28,33,0,0,0.0,28033
28,35,0,0,0.0,28035
28,36,0,0,0.0,28036
28,37,1,1,100.0,28037
28,39,0,0,0.0,28039
28,40,0,0,0.0,28040
28,41,0,0,0.0,28041
28,42,0,0,0.0,28042
28,43,0,0,0.0,28043
28,44,0,0,0.0,28044
28,45,0,0,0.0,28045
28,46,0,0,0.0,28046
28,47,7,7,100.0,28047
28,48,0,0,0.0,28048
28,49,0,0,0.0,28049
28,50,0,0,0.0,28050
28,51,4,4,100.0,28051
28,52,0,0,0.0,28052
28,53,0,0,0.0,28053
28,54,0,0,0.0,28054
28,55,1,1,100.0,28055
28,56,0,0,0.0,28056
28,57,0,0,0.0,28057
28,58,3,3,100.0,28058
28,59,1,1,100.0,28059
28,60,0,0,0.0,28060
28,61,1,1,100.0,28061
29,1,1,1,100.0,29001
29,3,1,1,100.0,29003
29,4,0,0,0.0,29004
29,5,1,1,100.0,29005
29,7,0,0,0.0,29007
29,8,0,0,0.0,29008
29,11,1,1,100.0,29011
29,12,4,4,100.0,29012
29,13,1,1,100.0,29013
29,14,0,0,0.0,29014
29,15,0,0,0.0,29015
29,16,1,1,100.0,29016
29,17,0,0,0.0,29017
29,18,0,0,0.0,29018
29,19,2,2,100.0,29019
29,20,2,2,100.0,29020
29,21,0,0,0.0,29021
29,22,10,10,100.0,29022
29,23,0,0,0.0,29023
29,25,0,0,0.0,29025
29,26,0,0,0.0,29026
29,27,1,1,100.0,29027
29,28,2,2,100.0,29028
29,29,3,3,100.0,29029
29,31,0,0,0.0,29031
29,33,1,1,100.0,29033
29,34,3,3,100.0,29034
29,35,1,1,100.0,29035
29,36,0,0,0.0,29036
29,37,0,0,0.0,29037
29,38,1,1,100.0,29038
29,40,1,1,100.0,29040
29,41,1,1,100.0,29041
29,42,0,0,0.0,29042
29,43,0,0,0.0,29043
29,44,0,0,0.0,29044
29,45,1,1,100.0,29045
29,46,0,0,0.0,29046
29,47,2,2,100.0,29047
29,48,4,4,100.0,29048
29,49,0,0,0.0,29049
32,1,9,9,100.0,32001
32,6,23,23,100.0,32006
32,12,1,1,100.0,32012
32,17,5,5,100.0,32017
32,26,11,11,100.0,32026
32,37,0,0,0.0,32037
32,46,7,7,100.0,32046
32,50,28,28,100.0,32050
32,51,25,25,100.0,32051
36,23,1,1,100.0,36023
36,24,12,12,100.0,36024
36,44,11,11,100.0,36044
36,54,6,6,100.0,36054
37,2,0,0,0.0,37002
37,3,0,0,0.0,37003
37,4,4,4,100.0,37004
37,5,5,5,100.0,37005
37,6,1,1,100.0,37006
37,7,0,0,0.0,37007
37,8,3,3,100.0,37008
37,9,5,5,100.0,37009
37,10,0,0,0.0,37010
37,12,1,1,100.0,37012
37,13,1,1,100.0,37013
37,14,1,1,100.0,37014
37,15,1,1,100.0,37015
37,16,0,0,0.0,37016
37,17,0,0,0.0,37017
37,18,0,0,0.0,37018
37,20,0,0,0.0,37020
37,21,0,0,0.0,37021
37,22,1,1,100.0,37022
37,23,0,0,0.0,37023
37,24,0,0,0.0,37024
37,25,1,1,100.0,37025
37,26,1,1,100.0,37026
37,27,2,2,100.0,37027
37,28,2,2,100.0,37028
37,29,0,0,0.0,37029
37,30,1,1,100.0,37030
37,31,0,0,0.0,37031
37,32,0,0,0.0,37032
37,33,0,0,0.0,37033
37,34,3,3,100.0,37034
37,35,3,3,100.0,37035
37,36,1,1,100.0,37036
37,37,3,3,100.0,37037
37,38,0,0,0.0,37038
37,40,0,0,0.0,37040
37,41,2,2,100.0,37041
37,42,3,3,100.0,37042
37,43,3,3,100.0,37043
42,1,45,45,100.0,42001
42,2,16,16,100.0,42002
42,3,30,30,100.0,42003
42,4,40,40,100.0,42004
42,5,33,33,100.0,42005
42,6,67,67,100.0,42006
42,7,27,27,100.0,42007
42,8,57,57,100.0,42008
42,9,52,52,100.0,42009
42,10,22,22,100.0,42010
42,11,59,59,100.0,42011
42,12,20,20,100.0,42012
42,13,63,63,100.0,42013
42,14,25,25,100.0,42014
42,15,36,36,100.0,42015
42,16,18,18,100.0,42016
42,17,38,38,100.0,42017
42,18,39,39,100.0,42018
42,19,12,12,100.0,42019
42,20,21,21,100.0,42020
42,21,14,14,100.0,42021
42,22,30,30,100.0,42022
42,23,50,50,100.0,42023
42,24,44,44,100.0,42024
42,25,23,23,100.0,42025
42,26,23,23,100.0,42026
42,27,31,31,100.0,42027
42,28,25,25,100.0,42028
42,29,44,44,100.0,42029
42,30,21,21,100.0,42030
42,31,34,34,100.0,42031
42,32,37,37,100.0,42032
42,33,34,34,100.0,42033
42,34,28,28,100.0,42034
42,35,40,40,100.0,42035
42,36,29,29,100.0,42036
42,37,35,35,100.0,42037
42,38,29,29,100.0,42038
42,39,32,32,100.0,42039
42,40,45,45,100.0,42040
42,41,40,40,100.0,42041
42,42,28,28,100.0,42042
42,43,40,40,100.0,42043
42,44,20,20,100.0,42044
42,45,31,31,100.0,42045
42,46,43,43,100.0,42046
42,47,20,20,100.0,42047
42,48,43,43,100.0,42048
42,49,22,22,100.0,42049
42,50,53,53,100.0,42050
42,51,70,70,100.0,42051
42,52,21,21,100.0,42052
42,53,45,45,100.0,42053
42,54,23,23,100.0,42054
42,55,50,50,100.0,42055
42,56,55,55,100.0,42056
42,57,18,18,100.0,42057
42,58,24,24,100.0,42058
42,59,42,42,100.0,42059
42,60,18,18,100.0,42060
42,61,39,39,100.0,42061
42,62,28,28,100.0,42062
42,63,43,43,100.0,42063
42,64,7,7,100.0,42064
42,65,44,44,100.0,42065
42,66,38,38,100.0,42066
42,67,64,64,100.0,42067
42,68,35,35,100.0,42068
42,69,16,16,100.0,42069
43,1,30,30,100.0,43001
43,3,22,22,100.0,43003
43,4,50,50,100.0,43004
43,5,20,20,100.0,43005
43,9,34,34,100.0,43009
43,10,32,32,100.0,43010
43,11,21,21,100.0,43011
43,13,20,20,100.0,43013
43,15,28,28,100.0,43015
43,16,35,35,100.0,43016
43,18,42,42,100.0,43018
43,19,18,18,100.0,43019
43,23,17,17,100.0,43023
43,24,37,37,100.0,43024
43,25,17,17,100.0,43025
43,26,29,29,100.0,43026
43,28,55,55,100.0,43028
43,30,26,26,100.0,43030
43,35,49,49,100.0,43035
43,36,31,31,100.0,43036
43,37,27,27,100.0,43037
43,39,44,44,100.0,43039
43,40,15,15,100.0,43040
43,41,19,19,100.0,43041
43,42,35,35,100.0,43042
43,46,57,57,100.0,43046
43,47,28,28,100.0,43047
43,49,28,28,100.0,43049
43,51,22,22,100.0,43051
43,52,25,25,100.0,43052
43,54,28,28,100.0,43054
43,55,16,16,100.0,43055
