ward,precinct,total,Bill Brady & Maria Rodriguez,Bill Brady & Maria Rodriguez Percent,Dan Rutherford & Steve Kim,Dan Rutherford & Steve Kim Percent,Kirk W. Dillard & Jil Tracy,Kirk W. Dillard & Jil Tracy Percent,Bruce Rauner & Evelyn Sanguinetti,Bruce Rauner & Evelyn Sanguinetti Percent,precinct_id
3,39,34,3,8.82,3,8.82,14,41.18,14,41.18,03039
3,40,19,0,0.0,2,10.53,9,47.37,8,42.11,03040
3,41,5,1,20.0,0,0.0,1,20.0,3,60.0,03041
4,1,16,1,6.25,0,0.0,11,68.75,4,25.0,04001
4,2,46,7,15.22,2,4.35,12,26.09,25,54.35,04002
4,3,3,1,33.33,0,0.0,1,33.33,1,33.33,04003
4,4,4,1,25.0,0,0.0,2,50.0,1,25.0,04004
4,5,11,0,0.0,2,18.18,5,45.45,4,36.36,04005
4,6,14,0,0.0,2,14.29,5,35.71,7,50.0,04006
4,7,6,0,0.0,0,0.0,3,50.0,3,50.0,04007
4,8,5,0,0.0,0,0.0,4,80.0,1,20.0,04008
4,9,9,0,0.0,0,0.0,9,100.0,0,0.0,04009
4,10,7,2,28.57,2,28.57,1,14.29,2,28.57,04010
4,11,7,1,14.29,1,14.29,3,42.86,2,28.57,04011
4,12,4,2,50.0,1,25.0,1,25.0,0,0.0,04012
4,13,15,0,0.0,0,0.0,6,40.0,9,60.0,04013
4,14,8,0,0.0,2,25.0,4,50.0,2,25.0,04014
4,15,4,0,0.0,0,0.0,3,75.0,1,25.0,04015
4,16,32,3,9.38,0,0.0,9,28.13,20,62.5,04016
4,17,30,0,0.0,5,16.67,11,36.67,14,46.67,04017
4,18,9,1,11.11,1,11.11,6,66.67,1,11.11,04018
4,19,4,1,25.0,1,25.0,2,50.0,0,0.0,04019
4,20,35,3,8.57,1,2.86,13,37.14,18,51.43,04020
4,21,23,1,4.35,0,0.0,10,43.48,12,52.17,04021
4,22,13,5,38.46,0,0.0,7,53.85,1,7.69,04022
4,23,4,0,0.0,0,0.0,2,50.0,2,50.0,04023
4,24,20,2,10.0,0,0.0,3,15.0,15,75.0,04024
4,25,47,4,8.51,1,2.13,11,23.4,31,65.96,04025
4,26,2,0,0.0,0,0.0,0,0.0,2,100.0,04026
4,27,10,3,30.0,0,0.0,3,30.0,4,40.0,04027
4,28,12,1,8.33,0,0.0,6,50.0,5,41.67,04028
4,29,1,0,0.0,1,100.0,0,0.0,0,0.0,04029
4,30,8,0,0.0,1,12.5,5,62.5,2,25.0,04030
4,31,11,1,9.09,1,9.09,5,45.45,4,36.36,04031
4,32,2,0,0.0,1,50.0,0,0.0,1,50.0,04032
4,33,10,1,10.0,1,10.0,5,50.0,3,30.0,04033
4,34,10,4,40.0,1,10.0,2,20.0,3,30.0,04034
4,35,8,3,37.5,0,0.0,4,50.0,1,12.5,04035
4,36,3,2,66.67,1,33.33,0,0.0,0,0.0,04036
4,37,45,3,6.67,4,8.89,14,31.11,24,53.33,04037
4,38,3,0,0.0,0,0.0,1,33.33,2,66.67,04038
5,1,5,1,20.0,0,0.0,3,60.0,1,20.0,05001
5,2,4,1,25.0,0,0.0,0,0.0,3,75.0,05002
5,3,18,0,0.0,0,0.0,15,83.33,3,16.67,05003
5,4,5,3,60.0,0,0.0,2,40.0,0,0.0,05004
5,5,3,1,33.33,0,0.0,2,66.67,0,0.0,05005
5,6,4,0,0.0,0,0.0,3,75.0,1,25.0,05006
5,7,15,2,13.33,0,0.0,7,46.67,6,40.0,05007
5,8,28,4,14.29,1,3.57,9,32.14,14,50.0,05008
5,9,9,2,22.22,0,0.0,4,44.44,3,33.33,05009
5,10,2,1,50.0,0,0.0,1,50.0,0,0.0,05010
5,11,22,2,9.09,1,4.55,11,50.0,8,36.36,05011
5,12,4,0,0.0,0,0.0,4,100.0,0,0.0,05012
5,13,4,1,25.0,0,0.0,3,75.0,0,0.0,05013
5,14,2,0,0.0,0,0.0,2,100.0,0,0.0,05014
5,15,12,1,8.33,0,0.0,5,41.67,6,50.0,05015
5,16,3,0,0.0,0,0.0,2,66.67,1,33.33,05016
5,17,3,2,66.67,1,33.33,0,0.0,0,0.0,05017
5,18,8,0,0.0,0,0.0,5,62.5,3,37.5,05018
5,19,26,3,11.54,0,0.0,14,53.85,9,34.62,05019
5,20,12,1,8.33,0,0.0,7,58.33,4,33.33,05020
5,21,13,2,15.38,0,0.0,8,61.54,3,23.08,05021
5,22,31,2,6.45,3,9.68,11,35.48,15,48.39,05022
5,23,19,3,15.79,1,5.26,9,47.37,6,31.58,05023
5,24,10,2,20.0,1,10.0,6,60.0,1,10.0,05024
5,25,5,1,20.0,0,0.0,4,80.0,0,0.0,05025
5,26,6,0,0.0,1,16.67,4,66.67,1,16.67,05026
5,27,15,2,13.33,0,0.0,2,13.33,11,73.33,05027
5,28,5,2,40.0,0,0.0,2,40.0,1,20.0,05028
5,29,8,3,37.5,1,12.5,4,50.0,0,0.0,05029
5,30,4,0,0.0,1,25.0,1,25.0,2,50.0,05030
5,31,5,2,40.0,1,20.0,1,20.0,1,20.0,05031
5,32,8,0,0.0,0,0.0,7,87.5,1,12.5,05032
5,33,1,1,100.0,0,0.0,0,0.0,0,0.0,05033
5,34,26,0,0.0,1,3.85,8,30.77,17,65.38,05034
5,35,29,3,10.34,0,0.0,16,55.17,10,34.48,05035
5,36,5,1,20.0,0,0.0,1,20.0,3,60.0,05036
5,37,20,3,15.0,1,5.0,9,45.0,7,35.0,05037
5,38,3,0,0.0,0,0.0,2,66.67,1,33.33,05038
5,39,13,0,0.0,0,0.0,5,38.46,8,61.54,05039
5,40,7,1,14.29,1,14.29,2,28.57,3,42.86,05040
5,41,15,1,6.67,0,0.0,7,46.67,7,46.67,05041
6,1,9,1,11.11,1,11.11,5,55.56,2,22.22,06001
6,2,10,0,0.0,0,0.0,7,70.0,3,30.0,06002
6,3,2,0,0.0,1,50.0,1,50.0,0,0.0,06003
6,4,3,0,0.0,0,0.0,2,66.67,1,33.33,06004
6,5,1,0,0.0,0,0.0,1,100.0,0,0.0,06005
6,6,6,2,33.33,1,16.67,2,33.33,1,16.67,06006
6,7,4,0,0.0,0,0.0,3,75.0,1,25.0,06007
6,8,4,1,25.0,0,0.0,1,25.0,2,50.0,06008
6,9,0,0,0.0,0,0.0,0,0.0,0,0.0,06009
6,10,5,0,0.0,1,20.0,3,60.0,1,20.0,06010
6,11,3,2,66.67,0,0.0,1,33.33,0,0.0,06011
6,12,2,0,0.0,1,50.0,1,50.0,0,0.0,06012
6,13,7,0,0.0,1,14.29,3,42.86,3,42.86,06013
6,14,2,0,0.0,0,0.0,1,50.0,1,50.0,06014
6,15,2,1,50.0,0,0.0,1,50.0,0,0.0,06015
6,16,6,0,0.0,0,0.0,3,50.0,3,50.0,06016
6,17,1,1,100.0,0,0.0,0,0.0,0,0.0,06017
6,18,6,3,50.0,1,16.67,1,16.67,1,16.67,06018
6,19,4,0,0.0,0,0.0,3,75.0,1,25.0,06019
6,20,1,0,0.0,0,0.0,1,100.0,0,0.0,06020
6,21,2,0,0.0,0,0.0,2,100.0,0,0.0,06021
6,22,4,1,25.0,0,0.0,0,0.0,3,75.0,06022
6,23,5,1,20.0,1,20.0,1,20.0,2,40.0,06023
6,24,1,0,0.0,0,0.0,0,0.0,1,100.0,06024
6,25,4,1,25.0,0,0.0,3,75.0,0,0.0,06025
6,26,3,0,0.0,1,33.33,2,66.67,0,0.0,06026
6,27,1,1,100.0,0,0.0,0,0.0,0,0.0,06027
6,28,2,0,0.0,0,0.0,1,50.0,1,50.0,06028
6,29,3,1,33.33,0,0.0,2,66.67,0,0.0,06029
6,30,2,0,0.0,0,0.0,2,100.0,0,0.0,06030
6,31,10,1,10.0,0,0.0,8,80.0,1,10.0,06031
6,32,4,1,25.0,0,0.0,1,25.0,2,50.0,06032
6,33,6,2,33.33,1,16.67,2,33.33,1,16.67,06033
6,34,4,1,25.0,0,0.0,2,50.0,1,25.0,06034
6,35,12,2,16.67,1,8.33,4,33.33,5,41.67,06035
6,36,1,0,0.0,0,0.0,1,100.0,0,0.0,06036
6,37,13,0,0.0,1,7.69,11,84.62,1,7.69,06037
6,38,5,0,0.0,1,20.0,4,80.0,0,0.0,06038
6,39,5,1,20.0,0,0.0,0,0.0,4,80.0,06039
6,40,6,3,50.0,0,0.0,3,50.0,0,0.0,06040
6,41,4,0,0.0,1,25.0,1,25.0,2,50.0,06041
6,42,12,3,25.0,0,0.0,0,0.0,9,75.0,06042
6,43,3,0,0.0,1,33.33,2,66.67,0,0.0,06043
6,44,37,1,2.7,1,2.7,6,16.22,29,78.38,06044
6,45,11,3,27.27,1,9.09,4,36.36,3,27.27,06045
6,46,8,0,0.0,1,12.5,2,25.0,5,62.5,06046
6,47,6,1,16.67,1,16.67,2,33.33,2,33.33,06047
6,48,2,0,0.0,0,0.0,2,100.0,0,0.0,06048
7,1,2,0,0.0,0,0.0,1,50.0,1,50.0,07001
7,2,3,1,33.33,1,33.33,0,0.0,1,33.33,07002
7,3,5,1,20.0,0,0.0,1,20.0,3,60.0,07003
7,4,2,0,0.0,0,0.0,2,100.0,0,0.0,07004
7,5,8,0,0.0,0,0.0,5,62.5,3,37.5,07005
7,6,9,1,11.11,1,11.11,6,66.67,1,11.11,07006
7,7,3,1,33.33,1,33.33,1,33.33,0,0.0,07007
7,8,12,2,16.67,0,0.0,4,33.33,6,50.0,07008
7,9,9,0,0.0,1,11.11,6,66.67,2,22.22,07009
7,10,3,1,33.33,0,0.0,2,66.67,0,0.0,07010
7,11,2,0,0.0,0,0.0,2,100.0,0,0.0,07011
7,12,0,0,0.0,0,0.0,0,0.0,0,0.0,07012
7,13,2,0,0.0,0,0.0,2,100.0,0,0.0,07013
7,14,7,4,57.14,0,0.0,3,42.86,0,0.0,07014
7,15,2,0,0.0,0,0.0,2,100.0,0,0.0,07015
7,16,7,3,42.86,0,0.0,3,42.86,1,14.29,07016
7,17,3,0,0.0,0,0.0,2,66.67,1,33.33,07017
7,18,5,2,40.0,0,0.0,2,40.0,1,20.0,07018
7,19,3,0,0.0,0,0.0,1,33.33,2,66.67,07019
7,20,1,0,0.0,0,0.0,0,0.0,1,100.0,07020
7,21,7,0,0.0,0,0.0,4,57.14,3,42.86,07021
7,22,4,2,50.0,1,25.0,1,25.0,0,0.0,07022
7,23,1,0,0.0,0,0.0,1,100.0,0,0.0,07023
7,24,3,1,33.33,1,33.33,1,33.33,0,0.0,07024
7,25,2,0,0.0,0,0.0,1,50.0,1,50.0,07025
7,26,4,2,50.0,1,25.0,0,0.0,1,25.0,07026
7,27,3,0,0.0,1,33.33,2,66.67,0,0.0,07027
7,28,0,0,0.0,0,0.0,0,0.0,0,0.0,07028
7,29,8,1,12.5,0,0.0,5,62.5,2,25.0,07029
7,30,3,1,33.33,0,0.0,1,33.33,1,33.33,07030
7,31,1,0,0.0,0,0.0,0,0.0,1,100.0,07031
7,32,4,0,0.0,1,25.0,1,25.0,2,50.0,07032
7,33,3,0,0.0,0,0.0,3,100.0,0,0.0,07033
7,34,4,0,0.0,0,0.0,4,100.0,0,0.0,07034
7,35,2,0,0.0,0,0.0,1,50.0,1,50.0,07035
7,36,9,0,0.0,0,0.0,6,66.67,3,33.33,07036
7,37,2,0,0.0,0,0.0,1,50.0,1,50.0,07037
7,38,1,0,0.0,0,0.0,1,100.0,0,0.0,07038
7,39,3,1,33.33,0,0.0,1,33.33,1,33.33,07039
7,40,6,4,66.67,1,16.67,1,16.67,0,0.0,07040
7,41,4,0,0.0,0,0.0,1,25.0,3,75.0,07041
7,42,1,0,0.0,0,0.0,0,0.0,1,100.0,07042
7,43,4,1,25.0,0,0.0,1,25.0,2,50.0,07043
7,44,6,2,33.33,0,0.0,2,33.33,2,33.33,07044
7,45,8,0,0.0,1,12.5,3,37.5,4,50.0,07045
7,46,2,1,50.0,0,0.0,1,50.0,0,0.0,07046
8,1,4,1,25.0,0,0.0,2,50.0,1,25.0,08001
8,2,1,0,0.0,0,0.0,1,100.0,0,0.0,08002
8,3,8,1,12.5,0,0.0,4,50.0,3,37.5,08003
8,4,4,0,0.0,0,0.0,3,75.0,1,25.0,08004
8,5,7,1,14.29,1,14.29,2,28.57,3,42.86,08005
8,6,5,0,0.0,0,0.0,4,80.0,1,20.0,08006
8,7,5,1,20.0,0,0.0,3,60.0,1,20.0,08007
8,8,2,0,0.0,0,0.0,2,100.0,0,0.0,08008
8,9,6,1,16.67,0,0.0,4,66.67,1,16.67,08009
8,10,4,2,50.0,0,0.0,2,50.0,0,0.0,08010
8,11,3,1,33.33,0,0.0,1,33.33,1,33.33,08011
8,12,6,2,33.33,1,16.67,1,16.67,2,33.33,08012
8,13,1,0,0.0,0,0.0,0,0.0,1,100.0,08013
8,14,3,0,0.0,0,0.0,1,33.33,2,66.67,08014
8,15,3,2,66.67,0,0.0,1,33.33,0,0.0,08015
8,16,2,0,0.0,0,0.0,2,100.0,0,0.0,08016
8,17,2,0,0.0,0,0.0,2,100.0,0,0.0,08017
8,18,3,1,33.33,0,0.0,2,66.67,0,0.0,08018
8,19,12,1,8.33,0,0.0,9,75.0,2,16.67,08019
8,20,3,0,0.0,0,0.0,0,0.0,3,100.0,08020
8,21,2,0,0.0,0,0.0,2,100.0,0,0.0,08021
8,22,2,1,50.0,0,0.0,1,50.0,0,0.0,08022
8,23,3,0,0.0,1,33.33,2,66.67,0,0.0,08023
8,24,4,1,25.0,0,0.0,2,50.0,1,25.0,08024
8,25,3,0,0.0,0,0.0,2,66.67,1,33.33,08025
8,26,3,0,0.0,0,0.0,3,100.0,0,0.0,08026
8,27,5,1,20.0,1,20.0,1,20.0,2,40.0,08027
8,28,6,0,0.0,2,33.33,4,66.67,0,0.0,08028
8,29,5,0,0.0,2,40.0,3,60.0,0,0.0,08029
8,30,3,1,33.33,0,0.0,2,66.67,0,0.0,08030
8,31,8,2,25.0,0,0.0,4,50.0,2,25.0,08031
8,32,6,0,0.0,1,16.67,4,66.67,1,16.67,08032
8,33,4,1,25.0,1,25.0,2,50.0,0,0.0,08033
8,34,6,1,16.67,1,16.67,4,66.67,0,0.0,08034
8,35,3,0,0.0,0,0.0,2,66.67,1,33.33,08035
8,36,1,0,0.0,0,0.0,1,100.0,0,0.0,08036
8,37,5,0,0.0,0,0.0,4,80.0,1,20.0,08037
8,38,1,0,0.0,1,100.0,0,0.0,0,0.0,08038
8,39,5,2,40.0,2,40.0,1,20.0,0,0.0,08039
8,40,2,0,0.0,0,0.0,0,0.0,2,100.0,08040
8,41,3,2,66.67,0,0.0,1,33.33,0,0.0,08041
8,42,1,0,0.0,1,100.0,0,0.0,0,0.0,08042
8,43,3,1,33.33,0,0.0,2,66.67,0,0.0,08043
8,44,3,1,33.33,0,0.0,1,33.33,1,33.33,08044
8,45,9,3,33.33,0,0.0,4,44.44,2,22.22,08045
8,46,0,0,0.0,0,0.0,0,0.0,0,0.0,08046
8,47,3,2,66.67,0,0.0,1,33.33,0,0.0,08047
8,48,4,0,0.0,1,25.0,3,75.0,0,0.0,08048
8,49,1,0,0.0,0,0.0,0,0.0,1,100.0,08049
8,50,5,0,0.0,0,0.0,5,100.0,0,0.0,08050
8,51,3,1,33.33,0,0.0,0,0.0,2,66.67,08051
8,52,6,1,16.67,0,0.0,5,83.33,0,0.0,08052
8,53,5,2,40.0,1,20.0,1,20.0,1,20.0,08053
8,54,4,0,0.0,0,0.0,3,75.0,1,25.0,08054
8,55,3,0,0.0,2,66.67,0,0.0,1,33.33,08055
8,56,3,1,33.33,0,0.0,2,66.67,0,0.0,08056
9,1,4,1,25.0,0,0.0,2,50.0,1,25.0,09001
9,2,4,0,0.0,0,0.0,1,25.0,3,75.0,09002
9,3,1,0,0.0,1,100.0,0,0.0,0,0.0,09003
9,4,2,0,0.0,0,0.0,1,50.0,1,50.0,09004
9,5,1,1,100.0,0,0.0,0,0.0,0,0.0,09005
9,6,0,0,0.0,0,0.0,0,0.0,0,0.0,09006
9,7,1,0,0.0,0,0.0,1,100.0,0,0.0,09007
9,8,0,0,0.0,0,0.0,0,0.0,0,0.0,09008
9,9,3,1,33.33,0,0.0,2,66.67,0,0.0,09009
9,10,6,2,33.33,0,0.0,3,50.0,1,16.67,09010
9,11,4,0,0.0,0,0.0,3,75.0,1,25.0,09011
9,12,6,0,0.0,0,0.0,5,83.33,1,16.67,09012
9,13,4,0,0.0,0,0.0,4,100.0,0,0.0,09013
9,14,3,1,33.33,0,0.0,1,33.33,1,33.33,09014
9,15,3,1,33.33,0,0.0,1,33.33,1,33.33,09015
9,16,1,0,0.0,0,0.0,1,100.0,0,0.0,09016
9,17,4,3,75.0,0,0.0,0,0.0,1,25.0,09017
9,18,0,0,0.0,0,0.0,0,0.0,0,0.0,09018
9,19,4,2,50.0,0,0.0,2,50.0,0,0.0,09019
9,20,4,0,0.0,0,0.0,4,100.0,0,0.0,09020
9,21,5,0,0.0,0,0.0,3,60.0,2,40.0,09021
9,22,1,0,0.0,0,0.0,1,100.0,0,0.0,09022
9,23,4,0,0.0,0,0.0,2,50.0,2,50.0,09023
9,24,2,0,0.0,0,0.0,2,100.0,0,0.0,09024
9,25,1,0,0.0,0,0.0,1,100.0,0,0.0,09025
9,26,1,0,0.0,0,0.0,1,100.0,0,0.0,09026
9,27,1,0,0.0,0,0.0,1,100.0,0,0.0,09027
9,28,0,0,0.0,0,0.0,0,0.0,0,0.0,09028
9,29,0,0,0.0,0,0.0,0,0.0,0,0.0,09029
9,30,6,1,16.67,1,16.67,4,66.67,0,0.0,09030
9,31,4,0,0.0,0,0.0,4,100.0,0,0.0,09031
9,32,3,2,66.67,0,0.0,0,0.0,1,33.33,09032
9,33,3,2,66.67,0,0.0,1,33.33,0,0.0,09033
9,34,5,0,0.0,2,40.0,1,20.0,2,40.0,09034
9,35,4,0,0.0,0,0.0,4,100.0,0,0.0,09035
9,36,1,1,100.0,0,0.0,0,0.0,0,0.0,09036
9,37,24,3,12.5,2,8.33,9,37.5,10,41.67,09037
9,38,4,0,0.0,0,0.0,2,50.0,2,50.0,09038
9,39,1,0,0.0,0,0.0,1,100.0,0,0.0,09039
9,40,4,0,0.0,0,0.0,4,100.0,0,0.0,09040
9,41,2,0,0.0,0,0.0,2,100.0,0,0.0,09041
9,42,3,0,0.0,0,0.0,3,100.0,0,0.0,09042
9,43,1,0,0.0,0,0.0,1,100.0,0,0.0,09043
9,44,2,0,0.0,0,0.0,2,100.0,0,0.0,09044
9,45,4,0,0.0,1,25.0,3,75.0,0,0.0,09045
9,46,10,0,0.0,1,10.0,4,40.0,5,50.0,09046
9,47,3,0,0.0,1,33.33,2,66.67,0,0.0,09047
9,48,4,0,0.0,2,50.0,2,50.0,0,0.0,09048
9,49,4,0,0.0,0,0.0,4,100.0,0,0.0,09049
9,50,8,1,12.5,1,12.5,3,37.5,3,37.5,09050
9,51,4,0,0.0,0,0.0,3,75.0,1,25.0,09051
10,1,4,3,75.0,0,0.0,0,0.0,1,25.0,10001
10,2,19,0,0.0,0,0.0,13,68.42,6,31.58,10002
