ward,precinct,total,Robert L. Bumpers,Robert L. Bumpers Percent,precinct_id
20,30,1,1,100.0,20030
20,31,0,0,0.0,20031
20,32,1,1,100.0,20032
20,36,0,0,0.0,20036
20,37,0,0,0.0,20037
20,38,0,0,0.0,20038
20,39,0,0,0.0,20039
21,12,0,0,0.0,21012
22,14,4,4,100.0,22014
22,15,0,0,0.0,22015
22,19,0,0,0.0,22019
22,21,0,0,0.0,22021
23,9,0,0,0.0,23009
23,17,0,0,0.0,23017
23,19,0,0,0.0,23019
23,31,2,2,100.0,23031
24,1,3,3,100.0,24001
24,2,2,2,100.0,24002
24,3,7,7,100.0,24003
24,4,0,0,0.0,24004
24,5,1,1,100.0,24005
24,6,4,4,100.0,24006
24,7,4,4,100.0,24007
24,8,0,0,0.0,24008
24,9,1,1,100.0,24009
24,10,1,1,100.0,24010
24,11,2,2,100.0,24011
24,12,0,0,0.0,24012
24,13,0,0,0.0,24013
24,14,2,2,100.0,24014
24,15,0,0,0.0,24015
24,16,0,0,0.0,24016
24,17,1,1,100.0,24017
24,18,3,3,100.0,24018
24,19,1,1,100.0,24019
24,20,0,0,0.0,24020
24,21,1,1,100.0,24021
24,22,2,2,100.0,24022
24,23,2,2,100.0,24023
24,24,5,5,100.0,24024
24,25,1,1,100.0,24025
24,26,3,3,100.0,24026
24,27,4,4,100.0,24027
24,28,1,1,100.0,24028
24,29,1,1,100.0,24029
24,30,0,0,0.0,24030
24,31,2,2,100.0,24031
24,32,0,0,0.0,24032
24,33,2,2,100.0,24033
24,34,2,2,100.0,24034
24,35,1,1,100.0,24035
24,36,0,0,0.0,24036
24,37,3,3,100.0,24037
24,38,1,1,100.0,24038
24,39,3,3,100.0,24039
24,40,1,1,100.0,24040
24,41,0,0,0.0,24041
25,3,18,18,100.0,25003
25,4,1,1,100.0,25004
25,6,6,6,100.0,25006
25,10,20,20,100.0,25010
25,14,9,9,100.0,25014
25,16,24,24,100.0,25016
25,18,8,8,100.0,25018
25,20,1,1,100.0,25020
25,21,28,28,100.0,25021
25,25,22,22,100.0,25025
25,27,16,16,100.0,25027
25,29,5,5,100.0,25029
25,31,15,15,100.0,25031
26,1,1,1,100.0,26001
26,3,3,3,100.0,26003
26,4,3,3,100.0,26004
26,10,2,2,100.0,26010
26,17,20,20,100.0,26017
26,19,0,0,0.0,26019
26,21,8,8,100.0,26021
26,27,0,0,0.0,26027
26,28,15,15,100.0,26028
26,33,6,6,100.0,26033
26,36,8,8,100.0,26036
26,39,6,6,100.0,26039
26,45,1,1,100.0,26045
26,46,15,15,100.0,26046
27,1,15,15,100.0,27001
27,2,15,15,100.0,27002
27,3,2,2,100.0,27003
27,4,3,3,100.0,27004
27,5,0,0,0.0,27005
27,6,6,6,100.0,27006
27,8,0,0,0.0,27008
27,9,9,9,100.0,27009
27,10,2,2,100.0,27010
27,11,19,19,100.0,27011
27,13,2,2,100.0,27013
27,14,2,2,100.0,27014
27,15,3,3,100.0,27015
27,16,18,18,100.0,27016
27,17,0,0,0.0,27017
27,18,2,2,100.0,27018
27,19,4,4,100.0,27019
27,20,0,0,0.0,27020
27,21,11,11,100.0,27021
27,22,0,0,0.0,27022
27,23,1,1,100.0,27023
27,24,1,1,100.0,27024
27,25,4,4,100.0,27025
27,26,2,2,100.0,27026
27,27,5,5,100.0,27027
27,28,5,5,100.0,27028
27,29,1,1,100.0,27029
27,30,3,3,100.0,27030
27,31,0,0,0.0,27031
27,32,3,3,100.0,27032
27,33,11,11,100.0,27033
27,34,4,4,100.0,27034
27,35,7,7,100.0,27035
27,36,1,1,100.0,27036
27,37,4,4,100.0,27037
27,38,24,24,100.0,27038
27,39,2,2,100.0,27039
27,40,11,11,100.0,27040
27,41,4,4,100.0,27041
27,42,5,5,100.0,27042
27,43,0,0,0.0,27043
27,44,2,2,100.0,27044
27,45,13,13,100.0,27045
27,47,12,12,100.0,27047
27,48,8,8,100.0,27048
27,49,3,3,100.0,27049
27,50,1,1,100.0,27050
28,1,0,0,0.0,28001
28,2,3,3,100.0,28002
28,3,1,1,100.0,28003
28,4,11,11,100.0,28004
28,5,0,0,0.0,28005
28,6,4,4,100.0,28006
28,7,2,2,100.0,28007
28,8,7,7,100.0,28008
28,9,1,1,100.0,28009
28,10,22,22,100.0,28010
28,11,10,10,100.0,28011
28,12,2,2,100.0,28012
28,13,4,4,100.0,28013
28,14,0,0,0.0,28014
28,15,1,1,100.0,28015
28,16,1,1,100.0,28016
28,17,0,0,0.0,28017
28,18,0,0,0.0,28018
28,19,9,9,100.0,28019
28,20,1,1,100.0,28020
28,21,2,2,100.0,28021
28,22,3,3,100.0,28022
28,23,3,3,100.0,28023
28,24,0,0,0.0,28024
28,25,0,0,0.0,28025
28,26,4,4,100.0,28026
28,27,17,17,100.0,28027
28,28,25,25,100.0,28028
28,29,5,5,100.0,28029
28,30,0,0,0.0,28030
28,31,2,2,100.0,28031
28,32,0,0,0.0,28032
28,33,2,2,100.0,28033
28,34,4,4,100.0,28034
28,35,2,2,100.0,28035
28,36,0,0,0.0,28036
28,37,1,1,100.0,28037
28,38,0,0,0.0,28038
28,39,0,0,0.0,28039
28,40,1,1,100.0,28040
28,41,1,1,100.0,28041
28,42,1,1,100.0,28042
28,43,1,1,100.0,28043
28,44,1,1,100.0,28044
28,45,5,5,100.0,28045
28,46,23,23,100.0,28046
29,1,17,17,100.0,29001
29,2,1,1,100.0,29002
29,3,1,1,100.0,29003
29,4,1,1,100.0,29004
29,5,2,2,100.0,29005
29,6,1,1,100.0,29006
29,7,5,5,100.0,29007
29,8,0,0,0.0,29008
29,10,27,27,100.0,29010
29,11,0,0,0.0,29011
29,12,3,3,100.0,29012
29,13,5,5,100.0,29013
29,14,0,0,0.0,29014
29,15,1,1,100.0,29015
29,16,0,0,0.0,29016
29,17,0,0,0.0,29017
29,18,2,2,100.0,29018
29,19,3,3,100.0,29019
29,20,4,4,100.0,29020
29,21,5,5,100.0,29021
29,22,10,10,100.0,29022
29,24,0,0,0.0,29024
29,25,2,2,100.0,29025
29,26,4,4,100.0,29026
29,27,0,0,0.0,29027
29,28,0,0,0.0,29028
29,33,0,0,0.0,29033
29,34,12,12,100.0,29034
29,35,2,2,100.0,29035
29,36,1,1,100.0,29036
29,37,6,6,100.0,29037
29,40,0,0,0.0,29040
29,41,4,4,100.0,29041
29,42,2,2,100.0,29042
29,43,4,4,100.0,29043
29,44,2,2,100.0,29044
36,5,10,10,100.0,36005
36,21,3,3,100.0,36021
37,1,3,3,100.0,37001
37,2,1,1,100.0,37002
37,3,2,2,100.0,37003
37,4,4,4,100.0,37004
37,5,2,2,100.0,37005
37,6,2,2,100.0,37006
37,7,2,2,100.0,37007
37,8,0,0,0.0,37008
37,9,4,4,100.0,37009
37,10,2,2,100.0,37010
37,11,0,0,0.0,37011
37,12,5,5,100.0,37012
37,13,2,2,100.0,37013
37,14,0,0,0.0,37014
37,15,2,2,100.0,37015
37,16,1,1,100.0,37016
37,17,1,1,100.0,37017
37,18,2,2,100.0,37018
37,19,4,4,100.0,37019
37,20,1,1,100.0,37020
37,21,6,6,100.0,37021
37,22,1,1,100.0,37022
37,23,3,3,100.0,37023
37,24,2,2,100.0,37024
37,25,1,1,100.0,37025
37,26,3,3,100.0,37026
37,27,2,2,100.0,37027
37,28,6,6,100.0,37028
37,29,2,2,100.0,37029
37,30,0,0,0.0,37030
37,31,1,1,100.0,37031
37,32,1,1,100.0,37032
37,33,0,0,0.0,37033
37,34,0,0,0.0,37034
37,35,0,0,0.0,37035
37,36,0,0,0.0,37036
37,37,4,4,100.0,37037
37,38,0,0,0.0,37038
37,39,0,0,0.0,37039
37,40,1,1,100.0,37040
37,41,2,2,100.0,37041
42,1,61,61,100.0,42001
42,2,17,17,100.0,42002
42,3,19,19,100.0,42003
42,4,48,48,100.0,42004
42,5,21,21,100.0,42005
42,6,59,59,100.0,42006
42,7,36,36,100.0,42007
42,8,53,53,100.0,42008
42,9,20,20,100.0,42009
42,10,28,28,100.0,42010
42,11,55,55,100.0,42011
42,12,41,41,100.0,42012
42,13,69,69,100.0,42013
42,14,24,24,100.0,42014
42,15,17,17,100.0,42015
42,16,26,26,100.0,42016
42,17,39,39,100.0,42017
42,18,20,20,100.0,42018
42,19,57,57,100.0,42019
42,20,19,19,100.0,42020
42,21,10,10,100.0,42021
42,22,26,26,100.0,42022
42,23,33,33,100.0,42023
42,24,43,43,100.0,42024
42,25,43,43,100.0,42025
42,26,36,36,100.0,42026
42,27,40,40,100.0,42027
42,28,51,51,100.0,42028
42,29,37,37,100.0,42029
42,30,65,65,100.0,42030
42,31,45,45,100.0,42031
42,32,24,24,100.0,42032
42,33,24,24,100.0,42033
42,34,70,70,100.0,42034
42,35,36,36,100.0,42035
42,36,23,23,100.0,42036
42,37,24,24,100.0,42037
42,38,28,28,100.0,42038
42,39,27,27,100.0,42039
42,40,35,35,100.0,42040
42,41,28,28,100.0,42041
42,42,19,19,100.0,42042
43,1,21,21,100.0,43001
43,5,1,1,100.0,43005
43,9,4,4,100.0,43009
43,33,64,64,100.0,43033
43,35,71,71,100.0,43035
43,45,25,25,100.0,43045
