ward,precinct,total,Anita Alvarez,Anita Alvarez Percent,Tony Peraica,Tony Peraica Percent,Thomas O'Brien,Thomas O'Brien Percent,precinct_id
5,33,241,218,90.46,12,4.98,11,4.56,05033
5,34,497,454,91.35,21,4.23,22,4.43,05034
5,35,345,275,79.71,54,15.65,16,4.64,05035
5,36,318,292,91.82,14,4.4,12,3.77,05036
5,37,329,284,86.32,25,7.6,20,6.08,05037
5,38,369,301,81.57,46,12.47,22,5.96,05038
5,39,478,371,77.62,70,14.64,37,7.74,05039
5,40,539,503,93.32,22,4.08,14,2.6,05040
5,41,362,272,75.14,50,13.81,40,11.05,05041
5,42,487,456,93.63,21,4.31,10,2.05,05042
5,43,419,381,90.93,24,5.73,14,3.34,05043
5,44,531,482,90.77,28,5.27,21,3.95,05044
5,45,244,225,92.21,10,4.1,9,3.69,05045
5,46,464,360,77.59,56,12.07,48,10.34,05046
5,47,415,378,91.08,21,5.06,16,3.86,05047
5,48,277,227,81.95,29,10.47,21,7.58,05048
5,49,99,93,93.94,3,3.03,3,3.03,05049
5,50,365,333,91.23,17,4.66,15,4.11,05050
5,51,340,321,94.41,12,3.53,7,2.06,05051
5,52,89,77,86.52,7,7.87,5,5.62,05052
5,53,425,354,83.29,46,10.82,25,5.88,05053
5,54,552,488,88.41,35,6.34,29,5.25,05054
5,55,373,346,92.76,16,4.29,11,2.95,05055
6,1,454,399,87.89,29,6.39,26,5.73,06001
6,2,457,425,93.0,24,5.25,8,1.75,06002
6,3,453,415,91.61,20,4.42,18,3.97,06003
6,4,392,357,91.07,14,3.57,21,5.36,06004
6,5,294,279,94.9,8,2.72,7,2.38,06005
6,6,344,325,94.48,9,2.62,10,2.91,06006
6,7,476,439,92.23,22,4.62,15,3.15,06007
6,8,507,475,93.69,18,3.55,14,2.76,06008
6,9,381,337,88.45,26,6.82,18,4.72,06009
6,10,498,452,90.76,22,4.42,24,4.82,06010
6,11,423,387,91.49,19,4.49,17,4.02,06011
6,12,453,428,94.48,20,4.42,5,1.1,06012
6,13,377,341,90.45,14,3.71,22,5.84,06013
6,14,505,466,92.28,25,4.95,14,2.77,06014
6,15,313,296,94.57,9,2.88,8,2.56,06015
6,16,445,402,90.34,25,5.62,18,4.04,06016
6,17,454,412,90.75,21,4.63,21,4.63,06017
6,18,332,309,93.07,13,3.92,10,3.01,06018
6,19,509,457,89.78,22,4.32,30,5.89,06019
6,20,423,392,92.67,19,4.49,12,2.84,06020
6,21,402,367,91.29,22,5.47,13,3.23,06021
6,22,344,325,94.48,13,3.78,6,1.74,06022
6,23,362,341,94.2,12,3.31,9,2.49,06023
6,24,444,408,91.89,16,3.6,20,4.5,06024
6,25,339,317,93.51,14,4.13,8,2.36,06025
6,26,469,421,89.77,24,5.12,24,5.12,06026
6,27,517,477,92.26,22,4.26,18,3.48,06027
6,28,652,603,92.48,29,4.45,20,3.07,06028
6,29,470,434,92.34,16,3.4,20,4.26,06029
6,30,424,379,89.39,24,5.66,21,4.95,06030
6,31,466,424,90.99,25,5.36,17,3.65,06031
6,32,500,466,93.2,19,3.8,15,3.0,06032
6,33,546,504,92.31,21,3.85,21,3.85,06033
6,34,400,363,90.75,21,5.25,16,4.0,06034
6,35,369,342,92.68,18,4.88,9,2.44,06035
6,36,309,288,93.2,11,3.56,10,3.24,06036
6,37,430,388,90.23,29,6.74,13,3.02,06037
6,38,477,447,93.71,12,2.52,18,3.77,06038
6,39,459,431,93.9,14,3.05,14,3.05,06039
6,40,287,268,93.38,13,4.53,6,2.09,06040
6,41,416,381,91.59,19,4.57,16,3.85,06041
6,42,326,301,92.33,12,3.68,13,3.99,06042
6,43,468,435,92.95,21,4.49,12,2.56,06043
6,44,435,394,90.57,20,4.6,21,4.83,06044
6,45,347,314,90.49,19,5.48,14,4.03,06045
6,46,408,379,92.89,20,4.9,9,2.21,06046
6,47,445,405,91.01,28,6.29,12,2.7,06047
6,48,413,383,92.74,19,4.6,11,2.66,06048
6,49,452,409,90.49,21,4.65,22,4.87,06049
6,50,413,379,91.77,23,5.57,11,2.66,06050
6,51,299,275,91.97,16,5.35,8,2.68,06051
6,52,328,301,91.77,15,4.57,12,3.66,06052
6,53,400,368,92.0,18,4.5,14,3.5,06053
6,54,421,377,89.55,28,6.65,16,3.8,06054
6,55,424,383,90.33,26,6.13,15,3.54,06055
6,56,318,290,91.19,19,5.97,9,2.83,06056
6,57,263,243,92.4,11,4.18,9,3.42,06057
6,58,415,373,89.88,26,6.27,16,3.86,06058
6,59,374,346,92.51,20,5.35,8,2.14,06059
6,60,274,252,91.97,7,2.55,15,5.47,06060
6,61,285,264,92.63,12,4.21,9,3.16,06061
6,62,436,406,93.12,21,4.82,9,2.06,06062
6,63,398,372,93.47,17,4.27,9,2.26,06063
6,64,424,401,94.58,13,3.07,10,2.36,06064
7,1,559,514,91.95,28,5.01,17,3.04,07001
7,2,479,439,91.65,21,4.38,19,3.97,07002
7,3,347,310,89.34,23,6.63,14,4.03,07003
7,4,350,319,91.14,20,5.71,11,3.14,07004
7,5,381,357,93.7,16,4.2,8,2.1,07005
7,6,372,353,94.89,12,3.23,7,1.88,07006
7,7,335,305,91.04,13,3.88,17,5.07,07007
7,8,181,169,93.37,6,3.31,6,3.31,07008
7,9,369,334,90.51,18,4.88,17,4.61,07009
7,10,325,297,91.38,16,4.92,12,3.69,07010
7,11,404,365,90.35,24,5.94,15,3.71,07011
7,12,297,267,89.9,12,4.04,18,6.06,07012
7,13,276,246,89.13,15,5.43,15,5.43,07013
7,14,506,462,91.3,24,4.74,20,3.95,07014
7,15,241,224,92.95,14,5.81,3,1.24,07015
7,16,319,302,94.67,9,2.82,8,2.51,07016
7,17,260,235,90.38,14,5.38,11,4.23,07017
7,18,338,308,91.12,19,5.62,11,3.25,07018
7,19,567,519,91.53,31,5.47,17,3.0,07019
7,20,261,242,92.72,14,5.36,5,1.92,07020
7,21,408,369,90.44,24,5.88,15,3.68,07021
7,22,283,261,92.23,13,4.59,9,3.18,07022
7,23,484,454,93.8,20,4.13,10,2.07,07023
7,24,331,309,93.35,9,2.72,13,3.93,07024
7,25,439,405,92.26,20,4.56,14,3.19,07025
7,26,476,447,93.91,17,3.57,12,2.52,07026
7,27,497,448,90.14,26,5.23,23,4.63,07027
7,28,581,545,93.8,23,3.96,13,2.24,07028
7,29,412,380,92.23,19,4.61,13,3.16,07029
7,30,340,311,91.47,21,6.18,8,2.35,07030
7,31,326,308,94.48,13,3.99,5,1.53,07031
7,32,380,338,88.95,33,8.68,9,2.37,07032
7,33,267,250,93.63,8,3.0,9,3.37,07033
7,34,328,301,91.77,12,3.66,15,4.57,07034
7,35,533,492,92.31,23,4.32,18,3.38,07035
7,36,402,369,91.79,13,3.23,20,4.98,07036
7,37,182,168,92.31,4,2.2,10,5.49,07037
7,38,288,264,91.67,14,4.86,10,3.47,07038
7,39,476,441,92.65,20,4.2,15,3.15,07039
7,40,503,460,91.45,23,4.57,20,3.98,07040
7,41,282,254,90.07,16,5.67,12,4.26,07041
7,42,611,563,92.14,29,4.75,19,3.11,07042
7,43,402,371,92.29,19,4.73,12,2.99,07043
7,44,643,588,91.45,35,5.44,20,3.11,07044
7,45,475,434,91.37,22,4.63,19,4.0,07045
7,46,147,137,93.2,6,4.08,4,2.72,07046
7,47,325,296,91.08,16,4.92,13,4.0,07047
7,48,325,308,94.77,12,3.69,5,1.54,07048
7,49,195,180,92.31,5,2.56,10,5.13,07049
7,50,253,228,90.12,14,5.53,11,4.35,07050
7,51,636,584,91.82,24,3.77,28,4.4,07051
7,52,276,250,90.58,14,5.07,12,4.35,07052
7,53,310,282,90.97,17,5.48,11,3.55,07053
7,54,192,176,91.67,15,7.81,1,0.52,07054
7,55,289,251,86.85,19,6.57,19,6.57,07055
7,56,355,325,91.55,20,5.63,10,2.82,07056
7,57,287,258,89.9,12,4.18,17,5.92,07057
7,58,366,333,90.98,18,4.92,15,4.1,07058
7,59,222,201,90.54,12,5.41,9,4.05,07059
7,60,255,236,92.55,11,4.31,8,3.14,07060
7,61,305,287,94.1,7,2.3,11,3.61,07061
8,1,394,346,87.82,28,7.11,20,5.08,08001
8,2,220,207,94.09,8,3.64,5,2.27,08002
8,3,441,397,90.02,27,6.12,17,3.85,08003
8,4,388,357,92.01,21,5.41,10,2.58,08004
8,5,395,354,89.62,24,6.08,17,4.3,08005
8,6,386,364,94.3,14,3.63,8,2.07,08006
8,7,384,363,94.53,12,3.13,9,2.34,08007
8,8,381,350,91.86,20,5.25,11,2.89,08008
8,9,431,395,91.65,22,5.1,14,3.25,08009
8,10,480,422,87.92,39,8.13,19,3.96,08010
8,11,391,352,90.03,30,7.67,9,2.3,08011
8,12,434,401,92.4,18,4.15,15,3.46,08012
8,13,357,338,94.68,14,3.92,5,1.4,08013
8,14,429,399,93.01,16,3.73,14,3.26,08014
8,15,322,301,93.48,8,2.48,13,4.04,08015
8,16,386,352,91.19,16,4.15,18,4.66,08016
8,17,328,305,92.99,14,4.27,9,2.74,08017
8,18,340,327,96.18,8,2.35,5,1.47,08018
8,19,444,408,91.89,23,5.18,13,2.93,08019
8,20,323,296,91.64,9,2.79,18,5.57,08020
8,21,294,263,89.46,22,7.48,9,3.06,08021
8,22,387,355,91.73,13,3.36,19,4.91,08022
8,23,390,366,93.85,16,4.1,8,2.05,08023
8,24,413,370,89.59,29,7.02,14,3.39,08024
8,25,409,372,90.95,27,6.6,10,2.44,08025
8,26,325,301,92.62,16,4.92,8,2.46,08026
8,27,434,394,90.78,25,5.76,15,3.46,08027
8,28,339,311,91.74,18,5.31,10,2.95,08028
8,29,484,444,91.74,21,4.34,19,3.93,08029
8,30,338,308,91.12,16,4.73,14,4.14,08030
8,31,318,292,91.82,14,4.4,12,3.77,08031
8,32,585,546,93.33,19,3.25,20,3.42,08032
8,33,373,353,94.64,13,3.49,7,1.88,08033
8,34,499,467,93.59,19,3.81,13,2.61,08034
8,35,450,413,91.78,18,4.0,19,4.22,08035
8,36,381,355,93.18,12,3.15,14,3.67,08036
8,37,533,498,93.43,17,3.19,18,3.38,08037
8,38,436,400,91.74,21,4.82,15,3.44,08038
8,39,406,375,92.36,16,3.94,15,3.69,08039
8,40,437,406,92.91,12,2.75,19,4.35,08040
8,41,344,314,91.28,16,4.65,14,4.07,08041
8,42,387,344,88.89,27,6.98,16,4.13,08042
8,43,403,372,92.31,18,4.47,13,3.23,08043
8,44,294,263,89.46,20,6.8,11,3.74,08044
8,45,369,353,95.66,12,3.25,4,1.08,08045
8,46,338,309,91.42,18,5.33,11,3.25,08046
8,47,379,343,90.5,18,4.75,18,4.75,08047
8,48,345,311,90.14,11,3.19,23,6.67,08048
8,49,505,474,93.86,18,3.56,13,2.57,08049
8,50,393,366,93.13,20,5.09,7,1.78,08050
8,51,462,428,92.64,17,3.68,17,3.68,08051
8,52,374,340,90.91,25,6.68,9,2.41,08052
8,53,439,397,90.43,31,7.06,11,2.51,08053
8,54,414,377,91.06,14,3.38,23,5.56,08054
8,55,511,477,93.35,17,3.33,17,3.33,08055
8,56,444,414,93.24,21,4.73,9,2.03,08056
8,57,363,335,92.29,22,6.06,6,1.65,08057
8,58,395,364,92.15,14,3.54,17,4.3,08058
8,59,290,268,92.41,14,4.83,8,2.76,08059
8,60,349,317,90.83,17,4.87,15,4.3,08060
8,61,351,327,93.16,18,5.13,6,1.71,08061
8,62,314,283,90.13,16,5.1,15,4.78,08062
8,63,368,338,91.85,10,2.72,20,5.43,08063
8,64,411,379,92.21,23,5.6,9,2.19,08064
8,65,258,240,93.02,9,3.49,9,3.49,08065
8,66,573,525,91.62,25,4.36,23,4.01,08066
8,67,262,248,94.66,5,1.91,9,3.44,08067
8,68,338,307,90.83,20,5.92,11,3.25,08068
8,69,312,295,94.55,8,2.56,9,2.88,08069
8,70,634,588,92.74,22,3.47,24,3.79,08070
9,1,445,408,91.69,20,4.49,17,3.82,09001
9,2,485,458,94.43,17,3.51,10,2.06,09002
9,3,291,275,94.5,4,1.37,12,4.12,09003
9,4,390,362,92.82,12,3.08,16,4.1,09004
9,5,454,418,92.07,18,3.96,18,3.96,09005
9,6,468,422,90.17,26,5.56,20,4.27,09006
9,7,398,368,92.46,18,4.52,12,3.02,09007
9,8,481,443,92.1,23,4.78,15,3.12,09008
9,9,450,418,92.89,17,3.78,15,3.33,09009
9,10,404,374,92.57,15,3.71,15,3.71,09010
9,11,333,316,94.89,8,2.4,9,2.7,09011
9,12,439,414,94.31,13,2.96,12,2.73,09012
9,13,406,381,93.84,11,2.71,14,3.45,09013
9,14,541,488,90.2,29,5.36,24,4.44,09014
9,15,473,429,90.7,26,5.5,18,3.81,09015
9,16,413,390,94.43,14,3.39,9,2.18,09016
9,17,420,403,95.95,8,1.9,9,2.14,09017
9,18,431,402,93.27,15,3.48,14,3.25,09018
9,19,436,397,91.06,31,7.11,8,1.83,09019
9,20,410,372,90.73,22,5.37,16,3.9,09020
9,21,436,408,93.58,15,3.44,13,2.98,09021
9,22,471,440,93.42,15,3.18,16,3.4,09022
9,23,361,336,93.07,12,3.32,13,3.6,09023
9,24,254,240,94.49,4,1.57,10,3.94,09024
9,25,336,254,75.6,58,17.26,24,7.14,09025
9,26,373,354,94.91,13,3.49,6,1.61,09026
9,27,420,374,89.05,26,6.19,20,4.76,09027
9,28,336,313,93.15,14,4.17,9,2.68,09028
9,29,441,409,92.74,23,5.22,9,2.04,09029
9,30,401,362,90.27,17,4.24,22,5.49,09030
9,31,391,361,92.33,17,4.35,13,3.32,09031
9,32,430,397,92.33,20,4.65,13,3.02,09032
9,33,324,311,95.99,4,1.23,9,2.78,09033
9,34,394,363,92.13,10,2.54,21,5.33,09034
9,35,453,415,91.61,22,4.86,16,3.53,09035
9,36,492,454,92.28,21,4.27,17,3.46,09036
9,37,368,291,79.08,58,15.76,19,5.16,09037
9,38,498,462,92.77,16,3.21,20,4.02,09038
9,39,475,438,92.21,20,4.21,17,3.58,09039
9,40,442,402,90.95,26,5.88,14,3.17,09040
9,41,469,424,90.41,24,5.12,21,4.48,09041
9,42,286,271,94.76,8,2.8,7,2.45,09042
9,43,326,300,92.02,17,5.21,9,2.76,09043
9,44,355,332,93.52,13,3.66,10,2.82,09044
9,45,338,300,88.76,22,6.51,16,4.73,09045
9,46,405,371,91.6,17,4.2,17,4.2,09046
9,47,452,411,90.93,26,5.75,15,3.32,09047
9,48,411,376,91.48,19,4.62,16,3.89,09048
9,49,364,343,94.23,12,3.3,9,2.47,09049
9,50,430,404,93.95,13,3.02,13,3.02,09050
9,51,240,213,88.75,16,6.67,11,4.58,09051
9,52,415,374,90.12,24,5.78,17,4.1,09052
9,53,283,268,94.7,8,2.83,7,2.47,09053
10,1,359,336,93.59,14,3.9,9,2.51,10001
