ward,precinct,total,Christopher Pfannkuche,Christopher Pfannkuche Percent,Kim Foxx,Kim Foxx Percent,precinct_id
3,33,733,175,23.87,558,76.13,03033
3,34,748,167,22.33,581,77.67,03034
3,35,304,10,3.29,294,96.71,03035
3,36,367,7,1.91,360,98.09,03036
3,37,531,12,2.26,519,97.74,03037
3,38,471,12,2.55,459,97.45,03038
3,39,809,216,26.7,593,73.3,03039
3,40,667,75,11.24,592,88.76,03040
3,41,466,57,12.23,409,87.77,03041
4,1,742,60,8.09,682,91.91,04001
4,2,745,189,25.37,556,74.63,04002
4,3,562,8,1.42,554,98.58,04003
4,4,796,19,2.39,777,97.61,04004
4,5,578,21,3.63,557,96.37,04005
4,6,671,32,4.77,639,95.23,04006
4,7,696,11,1.58,685,98.42,04007
4,8,664,10,1.51,654,98.49,04008
4,9,630,15,2.38,615,97.62,04009
4,10,658,25,3.8,633,96.2,04010
4,11,651,17,2.61,634,97.39,04011
4,12,656,19,2.9,637,97.1,04012
4,13,676,127,18.79,549,81.21,04013
4,14,610,21,3.44,589,96.56,04014
4,15,721,25,3.47,696,96.53,04015
4,16,876,191,21.8,685,78.2,04016
4,17,797,137,17.19,660,82.81,04017
4,18,523,18,3.44,505,96.56,04018
4,19,595,11,1.85,584,98.15,04019
4,20,521,121,23.22,400,76.78,04020
4,21,820,137,16.71,683,83.29,04021
4,22,606,41,6.77,565,93.23,04022
4,23,761,52,6.83,709,93.17,04023
4,24,556,37,6.65,519,93.35,04024
4,25,685,168,24.53,517,75.47,04025
4,26,589,19,3.23,570,96.77,04026
4,27,689,40,5.81,649,94.19,04027
4,28,555,30,5.41,525,94.59,04028
4,29,602,11,1.83,591,98.17,04029
4,30,828,22,2.66,806,97.34,04030
4,31,584,27,4.62,557,95.38,04031
4,32,644,10,1.55,634,98.45,04032
4,33,641,30,4.68,611,95.32,04033
4,34,557,12,2.15,545,97.85,04034
4,35,706,21,2.97,685,97.03,04035
4,36,652,20,3.07,632,96.93,04036
4,37,958,215,22.44,743,77.56,04037
4,38,608,17,2.8,591,97.2,04038
5,1,550,14,2.55,536,97.45,05001
5,2,494,7,1.42,487,98.58,05002
5,3,586,42,7.17,544,92.83,05003
5,4,700,35,5.0,665,95.0,05004
5,5,548,12,2.19,536,97.81,05005
5,6,485,11,2.27,474,97.73,05006
5,7,535,34,6.36,501,93.64,05007
5,8,591,59,9.98,532,90.02,05008
5,9,650,34,5.23,616,94.77,05009
5,10,522,8,1.53,514,98.47,05010
5,11,589,50,8.49,539,91.51,05011
5,12,462,8,1.73,454,98.27,05012
5,13,490,11,2.24,479,97.76,05013
5,14,454,7,1.54,447,98.46,05014
5,15,547,36,6.58,511,93.42,05015
5,16,588,12,2.04,576,97.96,05016
5,17,516,15,2.91,501,97.09,05017
5,18,541,22,4.07,519,95.93,05018
5,19,541,50,9.24,491,90.76,05019
5,20,626,35,5.59,591,94.41,05020
5,21,602,46,7.64,556,92.36,05021
5,22,620,70,11.29,550,88.71,05022
5,23,985,85,8.63,900,91.37,05023
5,24,625,45,7.2,580,92.8,05024
5,25,516,13,2.52,503,97.48,05025
5,26,611,13,2.13,598,97.87,05026
5,27,769,95,12.35,674,87.65,05027
5,28,580,21,3.62,559,96.38,05028
5,29,629,20,3.18,609,96.82,05029
5,30,470,19,4.04,451,95.96,05030
5,31,483,9,1.86,474,98.14,05031
5,32,593,13,2.19,580,97.81,05032
5,33,578,4,0.69,574,99.31,05033
5,34,707,90,12.73,617,87.27,05034
5,35,577,52,9.01,525,90.99,05035
5,36,378,10,2.65,368,97.35,05036
5,37,580,43,7.41,537,92.59,05037
5,38,562,6,1.07,556,98.93,05038
5,39,452,41,9.07,411,90.93,05039
5,40,446,10,2.24,436,97.76,05040
5,41,283,15,5.3,268,94.7,05041
6,1,499,9,1.8,490,98.2,06001
6,2,494,7,1.42,487,98.58,06002
6,3,495,10,2.02,485,97.98,06003
6,4,422,9,2.13,413,97.87,06004
6,5,386,7,1.81,379,98.19,06005
6,6,466,13,2.79,453,97.21,06006
6,7,490,12,2.45,478,97.55,06007
6,8,480,8,1.67,472,98.33,06008
6,9,549,13,2.37,536,97.63,06009
6,10,364,9,2.47,355,97.53,06010
6,11,461,7,1.52,454,98.48,06011
6,12,432,5,1.16,427,98.84,06012
6,13,365,8,2.19,357,97.81,06013
6,14,497,9,1.81,488,98.19,06014
6,15,487,12,2.46,475,97.54,06015
6,16,474,8,1.69,466,98.31,06016
6,17,413,5,1.21,408,98.79,06017
6,18,405,10,2.47,395,97.53,06018
6,19,463,7,1.51,456,98.49,06019
6,20,357,6,1.68,351,98.32,06020
6,21,342,5,1.46,337,98.54,06021
6,22,383,6,1.57,377,98.43,06022
6,23,325,9,2.77,316,97.23,06023
6,24,301,4,1.33,297,98.67,06024
6,25,327,4,1.22,323,98.78,06025
6,26,426,11,2.58,415,97.42,06026
6,27,343,12,3.5,331,96.5,06027
6,28,312,5,1.6,307,98.4,06028
6,29,495,10,2.02,485,97.98,06029
6,30,465,13,2.8,452,97.2,06030
6,31,477,10,2.1,467,97.9,06031
6,32,468,8,1.71,460,98.29,06032
6,33,490,14,2.86,476,97.14,06033
6,34,514,8,1.56,506,98.44,06034
6,35,438,7,1.6,431,98.4,06035
6,36,505,6,1.19,499,98.81,06036
6,37,469,17,3.62,452,96.38,06037
6,38,497,9,1.81,488,98.19,06038
6,39,462,10,2.16,452,97.84,06039
6,40,420,4,0.95,416,99.05,06040
6,41,498,11,2.21,487,97.79,06041
6,42,535,13,2.43,522,97.57,06042
6,43,444,6,1.35,438,98.65,06043
6,44,534,8,1.5,526,98.5,06044
6,45,542,9,1.66,533,98.34,06045
6,46,353,5,1.42,348,98.58,06046
6,47,397,7,1.76,390,98.24,06047
6,48,496,6,1.21,490,98.79,06048
7,1,476,15,3.15,461,96.85,07001
7,2,518,9,1.74,509,98.26,07002
7,3,445,11,2.47,434,97.53,07003
7,4,435,7,1.61,428,98.39,07004
7,5,415,12,2.89,403,97.11,07005
7,6,609,18,2.96,591,97.04,07006
7,7,513,14,2.73,499,97.27,07007
7,8,386,10,2.59,376,97.41,07008
7,9,758,23,3.03,735,96.97,07009
7,10,498,9,1.81,489,98.19,07010
7,11,570,9,1.58,561,98.42,07011
7,12,474,10,2.11,464,97.89,07012
7,13,290,6,2.07,284,97.93,07013
7,14,529,16,3.02,513,96.98,07014
7,15,469,7,1.49,462,98.51,07015
7,16,435,10,2.3,425,97.7,07016
7,17,419,13,3.1,406,96.9,07017
7,18,461,17,3.69,444,96.31,07018
7,19,450,15,3.33,435,96.67,07019
7,20,370,7,1.89,363,98.11,07020
7,21,405,15,3.7,390,96.3,07021
7,22,418,27,6.46,391,93.54,07022
7,23,433,4,0.92,429,99.08,07023
7,24,397,8,2.02,389,97.98,07024
7,25,463,30,6.48,433,93.52,07025
7,26,373,7,1.88,366,98.12,07026
7,27,386,8,2.07,378,97.93,07027
7,28,370,15,4.05,355,95.95,07028
7,29,397,8,2.02,389,97.98,07029
7,30,385,15,3.9,370,96.1,07030
7,31,311,13,4.18,298,95.82,07031
7,32,590,14,2.37,576,97.63,07032
7,33,533,15,2.81,518,97.19,07033
7,34,511,10,1.96,501,98.04,07034
7,35,475,15,3.16,460,96.84,07035
7,36,540,13,2.41,527,97.59,07036
7,37,479,17,3.55,462,96.45,07037
7,38,430,9,2.09,421,97.91,07038
7,39,420,12,2.86,408,97.14,07039
7,40,413,7,1.69,406,98.31,07040
7,41,442,14,3.17,428,96.83,07041
7,42,424,15,3.54,409,96.46,07042
7,43,441,8,1.81,433,98.19,07043
7,44,431,4,0.93,427,99.07,07044
7,45,503,15,2.98,488,97.02,07045
7,46,176,5,2.84,171,97.16,07046
8,1,399,9,2.26,390,97.74,08001
8,2,483,14,2.9,469,97.1,08002
8,3,481,11,2.29,470,97.71,08003
8,4,492,8,1.63,484,98.37,08004
8,5,482,3,0.62,479,99.38,08005
8,6,473,9,1.9,464,98.1,08006
8,7,532,13,2.44,519,97.56,08007
8,8,434,6,1.38,428,98.62,08008
8,9,323,5,1.55,318,98.45,08009
8,10,544,12,2.21,532,97.79,08010
8,11,431,14,3.25,417,96.75,08011
8,12,427,12,2.81,415,97.19,08012
8,13,539,11,2.04,528,97.96,08013
8,14,466,10,2.15,456,97.85,08014
8,15,484,10,2.07,474,97.93,08015
8,16,178,6,3.37,172,96.63,08016
8,17,384,7,1.82,377,98.18,08017
8,18,537,11,2.05,526,97.95,08018
8,19,491,16,3.26,475,96.74,08019
8,20,506,9,1.78,497,98.22,08020
8,21,636,5,0.79,631,99.21,08021
8,22,441,7,1.59,434,98.41,08022
8,23,437,10,2.29,427,97.71,08023
8,24,295,6,2.03,289,97.97,08024
8,25,498,15,3.01,483,96.99,08025
8,26,491,15,3.05,476,96.95,08026
8,27,502,12,2.39,490,97.61,08027
8,28,495,12,2.42,483,97.58,08028
8,29,558,16,2.87,542,97.13,08029
8,30,522,13,2.49,509,97.51,08030
8,31,381,10,2.62,371,97.38,08031
8,32,389,4,1.03,385,98.97,08032
8,33,453,10,2.21,443,97.79,08033
8,34,421,14,3.33,407,96.67,08034
8,35,479,11,2.3,468,97.7,08035
8,36,502,3,0.6,499,99.4,08036
8,37,372,8,2.15,364,97.85,08037
8,38,313,7,2.24,306,97.76,08038
8,39,490,13,2.65,477,97.35,08039
8,40,379,6,1.58,373,98.42,08040
8,41,519,8,1.54,511,98.46,08041
8,42,640,14,2.19,626,97.81,08042
8,43,270,9,3.33,261,96.67,08043
8,44,327,6,1.83,321,98.17,08044
8,45,517,11,2.13,506,97.87,08045
8,46,412,11,2.67,401,97.33,08046
8,47,402,4,1.0,398,99.0,08047
8,48,472,15,3.18,457,96.82,08048
8,49,433,5,1.15,428,98.85,08049
8,50,479,9,1.88,470,98.12,08050
8,51,508,10,1.97,498,98.03,08051
8,52,598,9,1.51,589,98.49,08052
8,53,269,7,2.6,262,97.4,08053
8,54,478,11,2.3,467,97.7,08054
8,55,364,5,1.37,359,98.63,08055
8,56,492,5,1.02,487,98.98,08056
9,1,481,7,1.46,474,98.54,09001
9,2,440,5,1.14,435,98.86,09002
9,3,454,8,1.76,446,98.24,09003
9,4,380,1,0.26,379,99.74,09004
9,5,401,3,0.75,398,99.25,09005
9,6,449,7,1.56,442,98.44,09006
9,7,369,10,2.71,359,97.29,09007
9,8,529,8,1.51,521,98.49,09008
9,9,519,8,1.54,511,98.46,09009
9,10,391,4,1.02,387,98.98,09010
9,11,372,9,2.42,363,97.58,09011
9,12,522,12,2.3,510,97.7,09012
9,13,474,9,1.9,465,98.1,09013
9,14,556,7,1.26,549,98.74,09014
9,15,559,10,1.79,549,98.21,09015
9,16,403,17,4.22,386,95.78,09016
9,17,428,8,1.87,420,98.13,09017
9,18,350,5,1.43,345,98.57,09018
9,19,431,9,2.09,422,97.91,09019
9,20,462,5,1.08,457,98.92,09020
9,21,431,10,2.32,421,97.68,09021
9,22,483,12,2.48,471,97.52,09022
9,23,489,7,1.43,482,98.57,09023
9,24,453,9,1.99,444,98.01,09024
9,25,466,8,1.72,458,98.28,09025
9,26,657,14,2.13,643,97.87,09026
9,27,436,7,1.61,429,98.39,09027
9,28,347,18,5.19,329,94.81,09028
9,29,466,11,2.36,455,97.64,09029
9,30,396,9,2.27,387,97.73,09030
9,31,392,9,2.3,383,97.7,09031
9,32,447,15,3.36,432,96.64,09032
9,33,386,8,2.07,378,97.93,09033
9,34,425,9,2.12,416,97.88,09034
9,35,438,5,1.14,433,98.86,09035
9,36,426,5,1.17,421,98.83,09036
9,37,571,98,17.16,473,82.84,09037
9,38,473,13,2.75,460,97.25,09038
9,39,502,5,1.0,497,99.0,09039
9,40,474,7,1.48,467,98.52,09040
9,41,386,6,1.55,380,98.45,09041
9,42,454,4,0.88,450,99.12,09042
9,43,475,7,1.47,468,98.53,09043
9,44,385,5,1.3,380,98.7,09044
9,45,428,11,2.57,417,97.43,09045
9,46,497,20,4.02,477,95.98,09046
9,47,482,12,2.49,470,97.51,09047
9,48,487,10,2.05,477,97.95,09048
9,49,482,4,0.83,478,99.17,09049
9,50,571,7,1.23,564,98.77,09050
9,51,450,11,2.44,439,97.56,09051
10,1,402,18,4.48,384,95.52,10001
10,2,416,180,43.27,236,56.73,10002
10,3,416,153,36.78,263,63.22,10003
10,4,412,36,8.74,376,91.26,10004
10,5,362,129,35.64,233,64.36,10005
10,6,369,69,18.7,300,81.3,10006
10,7,335,52,15.52,283,84.48,10007
10,8,384,7,1.82,377,98.18,10008
10,9,421,170,40.38,251,59.62,10009
10,10,450,141,31.33,309,68.67,10010
10,11,537,100,18.62,437,81.38,10011
10,12,310,88,28.39,222,71.61,10012
10,13,501,57,11.38,444,88.62,10013
10,14,568,156,27.46,412,72.54,10014
10,15,867,11,1.27,856,98.73,10015
10,16,361,92,25.48,269,74.52,10016
10,17,565,239,42.3,326,57.7,10017
10,18,321,23,7.17,298,92.83,10018
10,19,477,153,32.08,324,67.92,10019
10,20,449,114,25.39,335,74.61,10020
10,21,454,92,20.26,362,79.74,10021
10,22,288,44,15.28,244,84.72,10022
10,23,416,68,16.35,348,83.65,10023
10,24,463,216,46.65,247,53.35,10024
10,25,147,11,7.48,136,92.52,10025
10,26,365,48,13.15,317,86.85,10026
10,27,496,38,7.66,458,92.34,10027
10,28,502,93,18.53,409,81.47,10028
10,29,424,75,17.69,349,82.31,10029
10,30,419,52,12.41,367,87.59,10030
10,31,348,45,12.93,303,87.07,10031
10,32,426,97,22.77,329,77.23,10032
10,33,330,41,12.42,289,87.58,10033
10,34,346,29,8.38,317,91.62,10034
10,35,459,179,39.0,280,61.0,10035
10,36,105,6,5.71,99,94.29,10036
11,1,503,164,32.6,339,67.4,11001
11,2,79,16,20.25,63,79.75,11002
11,3,472,62,13.14,410,86.86,11003
11,4,448,110,24.55,338,75.45,11004
11,5,653,126,19.3,527,80.7,11005
11,6,740,199,26.89,541,73.11,11006
11,7,872,149,17.09,723,82.91,11007
11,8,459,115,25.05,344,74.95,11008
11,9,431,119,27.61,312,72.39,11009
11,10,417,121,29.02,296,70.98,11010
11,11,549,191,34.79,358,65.21,11011
11,12,649,269,41.45,380,58.55,11012
11,13,600,258,43.0,342,57.0,11013
11,14,260,100,38.46,160,61.54,11014
11,15,173,39,22.54,134,77.46,11015
11,16,356,128,35.96,228,64.04,11016
11,17,570,145,25.44,425,74.56,11017
11,18,410,137,33.41,273,66.59,11018
11,19,643,155,24.11,488,75.89,11019
11,20,342,118,34.5,224,65.5,11020
11,21,607,230,37.89,377,62.11,11021
11,22,616,190,30.84,426,69.16,11022
11,23,281,102,36.3,179,63.7,11023
11,24,551,189,34.3,362,65.7,11024
11,25,582,185,31.79,397,68.21,11025
11,26,577,188,32.58,389,67.42,11026
11,27,189,57,30.16,132,69.84,11027
11,28,246,89,36.18,157,63.82,11028
11,29,551,229,41.56,322,58.44,11029
11,30,250,98,39.2,152,60.8,11030
11,31,487,196,40.25,291,59.75,11031
11,32,247,106,42.91,141,57.09,11032
11,33,601,162,26.96,439,73.04,11033
11,34,159,64,40.25,95,59.75,11034
11,35,106,35,33.02,71,66.98,11035
11,36,220,70,31.82,150,68.18,11036
11,37,145,27,18.62,118,81.38,11037
11,38,247,35,14.17,212,85.83,11038
12,1,481,95,19.75,386,80.25,12001
12,2,387,62,16.02,325,83.98,12002
12,3,572,124,21.68,448,78.32,12003
12,4,468,105,22.44,363,77.56,12004
12,5,390,98,25.13,292,74.87,12005
12,6,445,87,19.55,358,80.45,12006
12,7,477,51,10.69,426,89.31,12007
12,8,480,100,20.83,380,79.17,12008
12,9,385,81,21.04,304,78.96,12009
12,10,522,43,8.24,479,91.76,12010
12,11,471,64,13.59,407,86.41,12011
12,12,470,76,16.17,394,83.83,12012
12,13,476,83,17.44,393,82.56,12013
12,14,420,32,7.62,388,92.38,12014
12,15,405,42,10.37,363,89.63,12015
12,16,432,48,11.11,384,88.89,12016
12,17,516,88,17.05,428,82.95,12017
12,18,406,41,10.1,365,89.9,12018
12,19,449,81,18.04,368,81.96,12019
12,20,572,74,12.94,498,87.06,12020
12,21,493,83,16.84,410,83.16,12021
12,22,437,38,8.7,399,91.3,12022
12,23,464,105,22.63,359,77.37,12023
13,1,340,110,32.35,230,67.65,13001
13,2,321,136,42.37,185,57.63,13002
13,3,317,59,18.61,258,81.39,13003
13,4,417,167,40.05,250,59.95,13004
13,5,466,83,17.81,383,82.19,13005
13,6,366,175,47.81,191,52.19,13006
13,7,327,65,19.88,262,80.12,13007
13,8,326,139,42.64,187,57.36,13008
13,9,421,98,23.28,323,76.72,13009
13,10,347,203,58.5,144,41.5,13010
13,11,410,140,34.15,270,65.85,13011
13,12,362,96,26.52,266,73.48,13012
13,13,384,60,15.63,324,84.38,13013
13,14,406,86,21.18,320,78.82,13014
13,15,604,104,17.22,500,82.78,13015
13,16,302,48,15.89,254,84.11,13016
13,17,379,136,35.88,243,64.12,13017
13,18,332,157,47.29,175,52.71,13018
13,19,491,44,8.96,447,91.04,13019
13,20,264,141,53.41,123,46.59,13020
13,21,447,216,48.32,231,51.68,13021
13,22,427,200,46.84,227,53.16,13022
13,23,349,74,21.2,275,78.8,13023
13,24,376,91,24.2,285,75.8,13024
13,25,401,104,25.94,297,74.06,13025
13,26,417,113,27.1,304,72.9,13026
13,27,375,115,30.67,260,69.33,13027
13,28,301,52,17.28,249,82.72,13028
13,29,346,91,26.3,255,73.7,13029
13,30,318,34,10.69,284,89.31,13030
13,31,414,195,47.1,219,52.9,13031
13,32,331,174,52.57,157,47.43,13032
13,33,360,164,45.56,196,54.44,13033
13,34,454,59,13.0,395,87.0,13034
13,35,358,68,18.99,290,81.01,13035
13,36,258,47,18.22,211,81.78,13036
13,37,451,72,15.96,379,84.04,13037
13,38,351,168,47.86,183,52.14,13038
13,39,406,75,18.47,331,81.53,13039
13,40,329,80,24.32,249,75.68,13040
13,41,460,65,14.13,395,85.87,13041
13,42,379,208,54.88,171,45.12,13042
13,43,403,98,24.32,305,75.68,13043
13,44,442,50,11.31,392,88.69,13044
13,45,430,142,33.02,288,66.98,13045
13,46,499,97,19.44,402,80.56,13046
13,47,464,69,14.87,395,85.13,13047
13,48,348,159,45.69,189,54.31,13048
14,1,479,264,55.11,215,44.89,14001
14,2,576,125,21.7,451,78.3,14002
14,3,495,55,11.11,440,88.89,14003
14,4,420,206,49.05,214,50.95,14004
14,5,627,60,9.57,567,90.43,14005
14,6,225,32,14.22,193,85.78,14006
14,7,554,103,18.59,451,81.41,14007
14,8,519,109,21.0,410,79.0,14008
14,9,503,205,40.76,298,59.24,14009
14,10,308,72,23.38,236,76.62,14010
14,11,282,24,8.51,258,91.49,14011
14,12,457,104,22.76,353,77.24,14012
14,13,363,50,13.77,313,86.23,14013
14,14,455,52,11.43,403,88.57,14014
14,15,518,48,9.27,470,90.73,14015
14,16,317,69,21.77,248,78.23,14016
14,17,370,56,15.14,314,84.86,14017
14,18,172,55,31.98,117,68.02,14018
14,19,452,64,14.16,388,85.84,14019
14,20,317,55,17.35,262,82.65,14020
14,21,410,59,14.39,351,85.61,14021
14,22,563,170,30.2,393,69.8,14022
14,23,348,100,28.74,248,71.26,14023
14,24,505,230,45.54,275,54.46,14024
14,25,283,42,14.84,241,85.16,14025
14,26,328,47,14.33,281,85.67,14026
14,27,448,95,21.21,353,78.79,14027
14,28,347,64,18.44,283,81.56,14028
14,29,394,43,10.91,351,89.09,14029
14,30,269,21,7.81,248,92.19,14030
14,31,261,33,12.64,228,87.36,14031
15,1,420,59,14.05,361,85.95,15001
15,2,332,4,1.2,328,98.8,15002
15,3,336,11,3.27,325,96.73,15003
15,4,425,57,13.41,368,86.59,15004
15,5,424,46,10.85,378,89.15,15005
15,6,481,87,18.09,394,81.91,15006
15,7,349,8,2.29,341,97.71,15007
15,8,403,46,11.41,357,88.59,15008
15,9,554,73,13.18,481,86.82,15009
15,10,603,99,16.42,504,83.58,15010
15,11,554,74,13.36,480,86.64,15011
15,12,538,79,14.68,459,85.32,15012
15,13,436,43,9.86,393,90.14,15013
15,14,413,48,11.62,365,88.38,15014
15,15,398,47,11.81,351,88.19,15015
15,16,461,40,8.68,421,91.32,15016
15,17,347,14,4.03,333,95.97,15017
15,18,359,5,1.39,354,98.61,15018
15,19,392,40,10.2,352,89.8,15019
15,20,304,6,1.97,298,98.03,15020
15,21,303,6,1.98,297,98.02,15021
15,22,384,7,1.82,377,98.18,15022
15,23,390,10,2.56,380,97.44,15023
15,24,374,4,1.07,370,98.93,15024
16,1,490,85,17.35,405,82.65,16001
16,2,426,13,3.05,413,96.95,16002
16,3,369,13,3.52,356,96.48,16003
16,4,399,15,3.76,384,96.24,16004
16,5,352,9,2.56,343,97.44,16005
16,6,398,5,1.26,393,98.74,16006
16,7,382,14,3.66,368,96.34,16007
16,8,294,10,3.4,284,96.6,16008
16,9,439,14,3.19,425,96.81,16009
16,10,386,11,2.85,375,97.15,16010
16,11,412,23,5.58,389,94.42,16011
16,12,365,9,2.47,356,97.53,16012
16,13,457,35,7.66,422,92.34,16013
16,14,382,14,3.66,368,96.34,16014
16,15,432,7,1.62,425,98.38,16015
16,16,384,3,0.78,381,99.22,16016
16,17,478,33,6.9,445,93.1,16017
16,18,393,26,6.62,367,93.38,16018
16,19,377,16,4.24,361,95.76,16019
16,20,357,7,1.96,350,98.04,16020
16,21,356,5,1.4,351,98.6,16021
16,22,392,7,1.79,385,98.21,16022
16,23,430,31,7.21,399,92.79,16023
16,24,241,9,3.73,232,96.27,16024
16,25,431,10,2.32,421,97.68,16025
16,26,359,5,1.39,354,98.61,16026
16,27,371,6,1.62,365,98.38,16027
16,28,369,8,2.17,361,97.83,16028
16,29,389,4,1.03,385,98.97,16029
16,30,376,14,3.72,362,96.28,16030
16,31,408,5,1.23,403,98.77,16031
16,32,464,45,9.7,419,90.3,16032
16,33,382,2,0.52,380,99.48,16033
16,34,361,7,1.94,354,98.06,16034
16,35,480,34,7.08,446,92.92,16035
16,36,301,9,2.99,292,97.01,16036
17,1,425,41,9.65,384,90.35,17001
17,2,441,9,2.04,432,97.96,17002
17,3,486,16,3.29,470,96.71,17003
17,4,608,5,0.82,603,99.18,17004
17,5,373,12,3.22,361,96.78,17005
17,6,434,13,3.0,421,97.0,17006
17,7,436,42,9.63,394,90.37,17007
17,8,452,14,3.1,438,96.9,17008
17,9,370,2,0.54,368,99.46,17009
17,10,594,16,2.69,578,97.31,17010
17,11,402,10,2.49,392,97.51,17011
17,12,589,34,5.77,555,94.23,17012
17,13,420,15,3.57,405,96.43,17013
