ward,precinct,total,Eric Pulia (Donald J Trump),Eric Pulia (Donald J Trump) Percent,John Bergholz (Donald J Trump),John Bergholz (Donald J Trump) Percent,Kristine Farra (Donald J Trump),Kristine Farra (Donald J Trump) Percent,precinct_id
3,12,6,2,33.33,2,33.33,2,33.33,03012
3,13,16,6,37.5,5,31.25,5,31.25,03013
3,14,26,9,34.62,8,30.77,9,34.62,03014
3,15,1,1,100.0,0,0.0,0,0.0,03015
3,16,6,2,33.33,2,33.33,2,33.33,03016
3,17,9,3,33.33,3,33.33,3,33.33,03017
3,18,5,1,20.0,1,20.0,3,60.0,03018
3,19,37,12,32.43,12,32.43,13,35.14,03019
3,20,10,2,20.0,4,40.0,4,40.0,03020
3,21,13,4,30.77,5,38.46,4,30.77,03021
3,22,36,12,33.33,11,30.56,13,36.11,03022
3,23,3,1,33.33,1,33.33,1,33.33,03023
3,24,3,0,0.0,3,100.0,0,0.0,03024
3,25,71,24,33.8,22,30.99,25,35.21,03025
3,26,27,9,33.33,9,33.33,9,33.33,03026
3,27,45,16,35.56,13,28.89,16,35.56,03027
3,28,0,0,0.0,0,0.0,0,0.0,03028
3,29,7,2,28.57,2,28.57,3,42.86,03029
3,30,1,0,0.0,0,0.0,1,100.0,03030
3,31,5,1,20.0,1,20.0,3,60.0,03031
3,32,41,15,36.59,12,29.27,14,34.15,03032
3,33,33,11,33.33,10,30.3,12,36.36,03033
3,34,19,6,31.58,6,31.58,7,36.84,03034
3,35,0,0,0.0,0,0.0,0,0.0,03035
3,36,0,0,0.0,0,0.0,0,0.0,03036
3,37,3,1,33.33,1,33.33,1,33.33,03037
3,39,29,9,31.03,10,34.48,10,34.48,03039
3,40,18,6,33.33,6,33.33,6,33.33,03040
4,2,30,10,33.33,10,33.33,10,33.33,04002
4,4,1,0,0.0,0,0.0,1,100.0,04004
4,5,1,1,100.0,0,0.0,0,0.0,04005
4,6,6,2,33.33,2,33.33,2,33.33,04006
4,7,4,1,25.0,2,50.0,1,25.0,04007
4,8,0,0,0.0,0,0.0,0,0.0,04008
4,10,9,3,33.33,3,33.33,3,33.33,04010
4,11,0,0,0.0,0,0.0,0,0.0,04011
4,13,20,6,30.0,6,30.0,8,40.0,04013
4,14,3,1,33.33,1,33.33,1,33.33,04014
4,15,0,0,0.0,0,0.0,0,0.0,04015
4,16,26,7,26.92,10,38.46,9,34.62,04016
4,17,15,4,26.67,5,33.33,6,40.0,04017
4,20,16,5,31.25,6,37.5,5,31.25,04020
4,21,7,1,14.29,2,28.57,4,57.14,04021
4,22,0,0,0.0,0,0.0,0,0.0,04022
4,25,43,12,27.91,15,34.88,16,37.21,04025
4,28,6,3,50.0,1,16.67,2,33.33,04028
4,29,0,0,0.0,0,0.0,0,0.0,04029
4,30,0,0,0.0,0,0.0,0,0.0,04030
4,34,1,1,100.0,0,0.0,0,0.0,04034
4,35,7,2,28.57,2,28.57,3,42.86,04035
4,36,10,4,40.0,3,30.0,3,30.0,04036
4,37,26,8,30.77,9,34.62,9,34.62,04037
6,21,6,2,33.33,2,33.33,2,33.33,06021
11,2,5,2,40.0,1,20.0,2,40.0,11002
11,6,26,9,34.62,10,38.46,7,26.92,11006
11,7,5,1,20.0,1,20.0,3,60.0,11007
11,14,30,10,33.33,10,33.33,10,33.33,11014
11,30,4,1,25.0,1,25.0,2,50.0,11030
11,33,36,11,30.56,13,36.11,12,33.33,11033
11,34,19,7,36.84,7,36.84,5,26.32,11034
11,35,9,3,33.33,3,33.33,3,33.33,11035
11,36,14,4,28.57,4,28.57,6,42.86,11036
11,37,9,3,33.33,3,33.33,3,33.33,11037
12,10,1,0,0.0,0,0.0,1,100.0,12010
12,15,6,1,16.67,2,33.33,3,50.0,12015
12,18,3,1,33.33,0,0.0,2,66.67,12018
15,2,3,1,33.33,1,33.33,1,33.33,15002
15,3,4,2,50.0,1,25.0,1,25.0,15003
15,7,2,1,50.0,1,50.0,0,0.0,15007
15,13,0,0,0.0,0,0.0,0,0.0,15013
15,14,0,0,0.0,0,0.0,0,0.0,15014
15,16,0,0,0.0,0,0.0,0,0.0,15016
15,17,1,0,0.0,0,0.0,1,100.0,15017
15,18,0,0,0.0,0,0.0,0,0.0,15018
15,20,4,1,25.0,2,50.0,1,25.0,15020
15,21,1,1,100.0,0,0.0,0,0.0,15021
15,22,7,2,28.57,2,28.57,3,42.86,15022
15,23,3,1,33.33,1,33.33,1,33.33,15023
15,24,0,0,0.0,0,0.0,0,0.0,15024
16,2,8,4,50.0,2,25.0,2,25.0,16002
16,3,6,2,33.33,2,33.33,2,33.33,16003
16,4,8,2,25.0,2,25.0,4,50.0,16004
16,5,0,0,0.0,0,0.0,0,0.0,16005
16,6,0,0,0.0,0,0.0,0,0.0,16006
16,7,4,1,25.0,2,50.0,1,25.0,16007
16,8,0,0,0.0,0,0.0,0,0.0,16008
16,9,3,1,33.33,1,33.33,1,33.33,16009
16,10,2,0,0.0,0,0.0,2,100.0,16010
16,11,12,5,41.67,5,41.67,2,16.67,16011
16,12,3,1,33.33,1,33.33,1,33.33,16012
16,13,3,2,66.67,0,0.0,1,33.33,16013
16,14,5,1,20.0,2,40.0,2,40.0,16014
16,15,1,1,100.0,0,0.0,0,0.0,16015
16,16,3,1,33.33,1,33.33,1,33.33,16016
16,17,5,3,60.0,1,20.0,1,20.0,16017
16,18,6,2,33.33,2,33.33,2,33.33,16018
16,19,7,2,28.57,1,14.29,4,57.14,16019
16,20,3,1,33.33,1,33.33,1,33.33,16020
16,21,3,1,33.33,1,33.33,1,33.33,16021
16,22,3,1,33.33,1,33.33,1,33.33,16022
16,23,1,0,0.0,0,0.0,1,100.0,16023
16,24,0,0,0.0,0,0.0,0,0.0,16024
16,25,6,2,33.33,2,33.33,2,33.33,16025
16,26,0,0,0.0,0,0.0,0,0.0,16026
16,27,0,0,0.0,0,0.0,0,0.0,16027
16,29,0,0,0.0,0,0.0,0,0.0,16029
16,31,0,0,0.0,0,0.0,0,0.0,16031
16,33,1,0,0.0,1,100.0,0,0.0,16033
16,34,1,0,0.0,0,0.0,1,100.0,16034
16,35,2,1,50.0,0,0.0,1,50.0,16035
16,36,4,1,25.0,2,50.0,1,25.0,16036
17,6,4,1,25.0,2,50.0,1,25.0,17006
17,7,4,1,25.0,1,25.0,2,50.0,17007
17,8,0,0,0.0,0,0.0,0,0.0,17008
17,12,3,1,33.33,1,33.33,1,33.33,17012
17,13,0,0,0.0,0,0.0,0,0.0,17013
17,14,3,2,66.67,0,0.0,1,33.33,17014
17,16,6,3,50.0,1,16.67,2,33.33,17016
17,19,1,0,0.0,0,0.0,1,100.0,17019
17,25,0,0,0.0,0,0.0,0,0.0,17025
17,31,0,0,0.0,0,0.0,0,0.0,17031
17,33,0,0,0.0,0,0.0,0,0.0,17033
17,35,0,0,0.0,0,0.0,0,0.0,17035
17,36,0,0,0.0,0,0.0,0,0.0,17036
20,2,3,1,33.33,1,33.33,1,33.33,20002
20,4,0,0,0.0,0,0.0,0,0.0,20004
20,6,0,0,0.0,0,0.0,0,0.0,20006
20,11,1,1,100.0,0,0.0,0,0.0,20011
20,15,12,4,33.33,4,33.33,4,33.33,20015
20,17,0,0,0.0,0,0.0,0,0.0,20017
20,20,1,0,0.0,0,0.0,1,100.0,20020
20,21,2,1,50.0,0,0.0,1,50.0,20021
20,25,0,0,0.0,0,0.0,0,0.0,20025
20,27,0,0,0.0,0,0.0,0,0.0,20027
20,30,0,0,0.0,0,0.0,0,0.0,20030
20,31,0,0,0.0,0,0.0,0,0.0,20031
20,32,6,2,33.33,2,33.33,2,33.33,20032
20,36,1,0,0.0,1,100.0,0,0.0,20036
20,37,0,0,0.0,0,0.0,0,0.0,20037
20,38,1,0,0.0,0,0.0,1,100.0,20038
20,39,0,0,0.0,0,0.0,0,0.0,20039
22,14,4,1,25.0,2,50.0,1,25.0,22014
22,15,0,0,0.0,0,0.0,0,0.0,22015
22,19,3,1,33.33,1,33.33,1,33.33,22019
22,21,3,1,33.33,1,33.33,1,33.33,22021
23,17,4,1,25.0,2,50.0,1,25.0,23017
23,19,0,0,0.0,0,0.0,0,0.0,23019
23,31,9,3,33.33,3,33.33,3,33.33,23031
24,1,0,0,0.0,0,0.0,0,0.0,24001
24,2,0,0,0.0,0,0.0,0,0.0,24002
24,3,3,1,33.33,1,33.33,1,33.33,24003
24,4,4,1,25.0,1,25.0,2,50.0,24004
24,5,0,0,0.0,0,0.0,0,0.0,24005
24,6,2,0,0.0,1,50.0,1,50.0,24006
24,7,3,1,33.33,1,33.33,1,33.33,24007
24,8,1,0,0.0,0,0.0,1,100.0,24008
24,9,3,1,33.33,1,33.33,1,33.33,24009
24,10,3,1,33.33,1,33.33,1,33.33,24010
24,11,0,0,0.0,0,0.0,0,0.0,24011
24,12,6,2,33.33,2,33.33,2,33.33,24012
24,13,0,0,0.0,0,0.0,0,0.0,24013
24,14,3,1,33.33,1,33.33,1,33.33,24014
24,15,7,2,28.57,2,28.57,3,42.86,24015
24,16,48,18,37.5,16,33.33,14,29.17,24016
24,17,3,1,33.33,1,33.33,1,33.33,24017
24,18,0,0,0.0,0,0.0,0,0.0,24018
24,19,0,0,0.0,0,0.0,0,0.0,24019
24,20,2,2,100.0,0,0.0,0,0.0,24020
24,21,3,1,33.33,1,33.33,1,33.33,24021
24,22,2,0,0.0,0,0.0,2,100.0,24022
24,23,0,0,0.0,0,0.0,0,0.0,24023
24,24,6,2,33.33,3,50.0,1,16.67,24024
24,25,0,0,0.0,0,0.0,0,0.0,24025
24,26,4,2,50.0,1,25.0,1,25.0,24026
24,27,5,2,40.0,2,40.0,1,20.0,24027
24,28,0,0,0.0,0,0.0,0,0.0,24028
24,29,0,0,0.0,0,0.0,0,0.0,24029
24,30,0,0,0.0,0,0.0,0,0.0,24030
24,31,1,1,100.0,0,0.0,0,0.0,24031
24,32,0,0,0.0,0,0.0,0,0.0,24032
24,33,0,0,0.0,0,0.0,0,0.0,24033
24,34,1,0,0.0,0,0.0,1,100.0,24034
24,35,0,0,0.0,0,0.0,0,0.0,24035
24,36,3,1,33.33,1,33.33,1,33.33,24036
24,37,0,0,0.0,0,0.0,0,0.0,24037
24,38,0,0,0.0,0,0.0,0,0.0,24038
24,39,9,3,33.33,3,33.33,3,33.33,24039
24,40,5,3,60.0,1,20.0,1,20.0,24040
24,41,5,2,40.0,2,40.0,1,20.0,24041
25,3,37,12,32.43,13,35.14,12,32.43,25003
25,4,5,2,40.0,2,40.0,1,20.0,25004
25,6,17,7,41.18,5,29.41,5,29.41,25006
25,10,26,10,38.46,8,30.77,8,30.77,25010
25,14,24,9,37.5,8,33.33,7,29.17,25014
25,16,51,16,31.37,18,35.29,17,33.33,25016
25,18,24,9,37.5,8,33.33,7,29.17,25018
25,20,1,0,0.0,1,100.0,0,0.0,25020
25,21,15,5,33.33,4,26.67,6,40.0,25021
25,25,29,10,34.48,9,31.03,10,34.48,25025
25,27,19,6,31.58,6,31.58,7,36.84,25027
25,29,7,3,42.86,2,28.57,2,28.57,25029
25,31,26,9,34.62,7,26.92,10,38.46,25031
26,1,6,2,33.33,3,50.0,1,16.67,26001
26,3,16,4,25.0,5,31.25,7,43.75,26003
26,4,6,3,50.0,1,16.67,2,33.33,26004
26,10,10,3,30.0,3,30.0,4,40.0,26010
26,17,14,4,28.57,6,42.86,4,28.57,26017
26,19,3,3,100.0,0,0.0,0,0.0,26019
26,21,18,7,38.89,5,27.78,6,33.33,26021
26,27,0,0,0.0,0,0.0,0,0.0,26027
26,28,16,5,31.25,6,37.5,5,31.25,26028
26,33,8,2,25.0,4,50.0,2,25.0,26033
26,36,12,4,33.33,3,25.0,5,41.67,26036
26,39,10,4,40.0,3,30.0,3,30.0,26039
26,45,0,0,0.0,0,0.0,0,0.0,26045
26,46,14,5,35.71,5,35.71,4,28.57,26046
27,1,33,11,33.33,11,33.33,11,33.33,27001
27,2,9,3,33.33,3,33.33,3,33.33,27002
27,3,1,0,0.0,1,100.0,0,0.0,27003
27,4,3,1,33.33,1,33.33,1,33.33,27004
27,5,3,1,33.33,1,33.33,1,33.33,27005
27,6,39,13,33.33,13,33.33,13,33.33,27006
27,8,1,1,100.0,0,0.0,0,0.0,27008
27,9,16,6,37.5,5,31.25,5,31.25,27009
27,10,5,2,40.0,1,20.0,2,40.0,27010
27,11,33,11,33.33,9,27.27,13,39.39,27011
27,13,9,3,33.33,3,33.33,3,33.33,27013
27,14,3,1,33.33,1,33.33,1,33.33,27014
27,15,1,0,0.0,1,100.0,0,0.0,27015
27,16,16,7,43.75,4,25.0,5,31.25,27016
27,17,2,0,0.0,0,0.0,2,100.0,27017
27,18,7,2,28.57,1,14.29,4,57.14,27018
27,19,0,0,0.0,0,0.0,0,0.0,27019
27,20,3,1,33.33,0,0.0,2,66.67,27020
27,21,34,13,38.24,10,29.41,11,32.35,27021
27,22,0,0,0.0,0,0.0,0,0.0,27022
27,23,6,1,16.67,3,50.0,2,33.33,27023
27,24,6,2,33.33,2,33.33,2,33.33,27024
27,25,6,1,16.67,3,50.0,2,33.33,27025
27,26,0,0,0.0,0,0.0,0,0.0,27026
27,27,4,1,25.0,1,25.0,2,50.0,27027
27,28,19,6,31.58,6,31.58,7,36.84,27028
27,29,1,0,0.0,1,100.0,0,0.0,27029
27,30,3,1,33.33,1,33.33,1,33.33,27030
27,31,1,1,100.0,0,0.0,0,0.0,27031
27,32,6,2,33.33,3,50.0,1,16.67,27032
27,33,20,7,35.0,6,30.0,7,35.0,27033
27,34,3,1,33.33,1,33.33,1,33.33,27034
27,35,24,7,29.17,9,37.5,8,33.33,27035
27,36,1,0,0.0,0,0.0,1,100.0,27036
27,37,21,5,23.81,7,33.33,9,42.86,27037
27,38,51,18,35.29,16,31.37,17,33.33,27038
27,39,10,3,30.0,3,30.0,4,40.0,27039
27,40,15,4,26.67,4,26.67,7,46.67,27040
27,41,7,2,28.57,2,28.57,3,42.86,27041
27,42,4,1,25.0,2,50.0,1,25.0,27042
27,43,1,0,0.0,0,0.0,1,100.0,27043
27,44,0,0,0.0,0,0.0,0,0.0,27044
27,45,32,11,34.38,7,21.88,14,43.75,27045
27,47,4,1,25.0,2,50.0,1,25.0,27047
27,48,23,7,30.43,6,26.09,10,43.48,27048
27,49,2,1,50.0,0,0.0,1,50.0,27049
27,50,2,2,100.0,0,0.0,0,0.0,27050
28,1,0,0,0.0,0,0.0,0,0.0,28001
28,2,2,1,50.0,1,50.0,0,0.0,28002
28,3,0,0,0.0,0,0.0,0,0.0,28003
28,4,13,4,30.77,4,30.77,5,38.46,28004
28,5,3,2,66.67,1,33.33,0,0.0,28005
28,6,7,3,42.86,2,28.57,2,28.57,28006
28,7,2,2,100.0,0,0.0,0,0.0,28007
28,8,23,7,30.43,7,30.43,9,39.13,28008
28,9,0,0,0.0,0,0.0,0,0.0,28009
28,10,16,5,31.25,6,37.5,5,31.25,28010
28,11,23,9,39.13,6,26.09,8,34.78,28011
28,12,1,0,0.0,0,0.0,1,100.0,28012
28,13,1,0,0.0,1,100.0,0,0.0,28013
28,14,2,0,0.0,1,50.0,1,50.0,28014
28,15,0,0,0.0,0,0.0,0,0.0,28015
28,16,1,0,0.0,0,0.0,1,100.0,28016
28,17,0,0,0.0,0,0.0,0,0.0,28017
28,18,2,1,50.0,0,0.0,1,50.0,28018
28,19,3,1,33.33,1,33.33,1,33.33,28019
28,20,0,0,0.0,0,0.0,0,0.0,28020
28,21,4,1,25.0,2,50.0,1,25.0,28021
28,22,0,0,0.0,0,0.0,0,0.0,28022
28,23,7,3,42.86,2,28.57,2,28.57,28023
28,24,4,1,25.0,1,25.0,2,50.0,28024
28,25,5,1,20.0,2,40.0,2,40.0,28025
28,26,4,1,25.0,1,25.0,2,50.0,28026
28,27,18,6,33.33,6,33.33,6,33.33,28027
28,28,36,12,33.33,11,30.56,13,36.11,28028
28,29,7,3,42.86,2,28.57,2,28.57,28029
28,30,0,0,0.0,0,0.0,0,0.0,28030
28,31,3,1,33.33,1,33.33,1,33.33,28031
28,32,3,1,33.33,1,33.33,1,33.33,28032
28,33,1,0,0.0,0,0.0,1,100.0,28033
28,34,14,6,42.86,4,28.57,4,28.57,28034
28,35,0,0,0.0,0,0.0,0,0.0,28035
28,36,0,0,0.0,0,0.0,0,0.0,28036
28,37,1,0,0.0,1,100.0,0,0.0,28037
28,38,0,0,0.0,0,0.0,0,0.0,28038
28,39,0,0,0.0,0,0.0,0,0.0,28039
28,40,3,1,33.33,1,33.33,1,33.33,28040
28,41,0,0,0.0,0,0.0,0,0.0,28041
28,42,0,0,0.0,0,0.0,0,0.0,28042
28,43,0,0,0.0,0,0.0,0,0.0,28043
28,44,2,0,0.0,0,0.0,2,100.0,28044
28,45,12,6,50.0,2,16.67,4,33.33,28045
28,46,37,12,32.43,12,32.43,13,35.14,28046
29,1,23,7,30.43,7,30.43,9,39.13,29001
29,2,0,0,0.0,0,0.0,0,0.0,29002
29,3,2,0,0.0,1,50.0,1,50.0,29003
29,4,1,1,100.0,0,0.0,0,0.0,29004
29,5,8,3,37.5,3,37.5,2,25.0,29005
29,6,5,1,20.0,3,60.0,1,20.0,29006
29,7,13,4,30.77,4,30.77,5,38.46,29007
29,8,0,0,0.0,0,0.0,0,0.0,29008
29,9,0,0,0.0,0,0.0,0,0.0,29009
29,10,35,12,34.29,11,31.43,12,34.29,29010
29,11,3,1,33.33,1,33.33,1,33.33,29011
29,12,6,2,33.33,2,33.33,2,33.33,29012
29,13,7,3,42.86,3,42.86,1,14.29,29013
29,14,2,1,50.0,1,50.0,0,0.0,29014
29,15,6,2,33.33,2,33.33,2,33.33,29015
29,16,1,0,0.0,0,0.0,1,100.0,29016
29,17,1,1,100.0,0,0.0,0,0.0,29017
29,18,4,1,25.0,1,25.0,2,50.0,29018
29,19,1,1,100.0,0,0.0,0,0.0,29019
29,20,1,0,0.0,0,0.0,1,100.0,29020
29,21,7,2,28.57,3,42.86,2,28.57,29021
29,22,10,3,30.0,3,30.0,4,40.0,29022
29,24,6,4,66.67,1,16.67,1,16.67,29024
29,25,2,1,50.0,1,50.0,0,0.0,29025
29,26,0,0,0.0,0,0.0,0,0.0,29026
29,27,0,0,0.0,0,0.0,0,0.0,29027
29,28,0,0,0.0,0,0.0,0,0.0,29028
29,33,0,0,0.0,0,0.0,0,0.0,29033
29,34,8,1,12.5,2,25.0,5,62.5,29034
29,35,0,0,0.0,0,0.0,0,0.0,29035
29,36,0,0,0.0,0,0.0,0,0.0,29036
29,37,11,4,36.36,3,27.27,4,36.36,29037
29,40,6,2,33.33,1,16.67,3,50.0,29040
29,41,3,2,66.67,1,33.33,0,0.0,29041
29,42,10,3,30.0,4,40.0,3,30.0,29042
29,43,4,1,25.0,1,25.0,2,50.0,29043
29,44,10,3,30.0,3,30.0,4,40.0,29044
36,5,14,5,35.71,4,28.57,5,35.71,36005
36,21,1,0,0.0,1,100.0,0,0.0,36021
37,1,11,2,18.18,4,36.36,5,45.45,37001
37,2,9,3,33.33,3,33.33,3,33.33,37002
37,3,0,0,0.0,0,0.0,0,0.0,37003
37,4,8,2,25.0,2,25.0,4,50.0,37004
37,5,4,1,25.0,1,25.0,2,50.0,37005
37,6,8,3,37.5,3,37.5,2,25.0,37006
37,7,3,1,33.33,1,33.33,1,33.33,37007
37,8,1,0,0.0,1,100.0,0,0.0,37008
37,9,1,0,0.0,1,100.0,0,0.0,37009
37,10,6,2,33.33,2,33.33,2,33.33,37010
37,11,2,0,0.0,2,100.0,0,0.0,37011
37,12,1,0,0.0,1,100.0,0,0.0,37012
37,13,7,2,28.57,2,28.57,3,42.86,37013
37,14,3,1,33.33,1,33.33,1,33.33,37014
37,15,5,1,20.0,2,40.0,2,40.0,37015
37,16,8,2,25.0,3,37.5,3,37.5,37016
37,17,0,0,0.0,0,0.0,0,0.0,37017
37,18,7,2,28.57,2,28.57,3,42.86,37018
37,19,1,1,100.0,0,0.0,0,0.0,37019
37,20,4,2,50.0,2,50.0,0,0.0,37020
37,21,1,1,100.0,0,0.0,0,0.0,37021
37,22,2,1,50.0,0,0.0,1,50.0,37022
37,23,5,2,40.0,2,40.0,1,20.0,37023
37,24,7,2,28.57,3,42.86,2,28.57,37024
37,25,5,2,40.0,2,40.0,1,20.0,37025
37,26,7,3,42.86,2,28.57,2,28.57,37026
37,27,4,1,25.0,2,50.0,1,25.0,37027
37,28,9,3,33.33,3,33.33,3,33.33,37028
37,29,7,2,28.57,1,14.29,4,57.14,37029
37,30,3,1,33.33,1,33.33,1,33.33,37030
37,31,3,1,33.33,1,33.33,1,33.33,37031
37,32,0,0,0.0,0,0.0,0,0.0,37032
37,33,5,1,20.0,2,40.0,2,40.0,37033
37,34,3,1,33.33,1,33.33,1,33.33,37034
37,35,0,0,0.0,0,0.0,0,0.0,37035
37,36,0,0,0.0,0,0.0,0,0.0,37036
37,37,8,2,25.0,3,37.5,3,37.5,37037
37,38,3,1,33.33,1,33.33,1,33.33,37038
37,39,3,1,33.33,1,33.33,1,33.33,37039
37,40,1,1,100.0,0,0.0,0,0.0,37040
37,41,11,3,27.27,4,36.36,4,36.36,37041
42,1,60,19,31.67,21,35.0,20,33.33,42001
42,2,23,9,39.13,7,30.43,7,30.43,42002
42,3,22,6,27.27,6,27.27,10,45.45,42003
42,4,102,34,33.33,31,30.39,37,36.27,42004
42,5,32,11,34.38,9,28.13,12,37.5,42005
42,6,64,21,32.81,19,29.69,24,37.5,42006
42,7,60,21,35.0,19,31.67,20,33.33,42007
42,8,46,15,32.61,16,34.78,15,32.61,42008
42,9,50,17,34.0,17,34.0,16,32.0,42009
42,10,72,23,31.94,25,34.72,24,33.33,42010
42,11,14,5,35.71,4,28.57,5,35.71,42011
42,12,28,8,28.57,8,28.57,12,42.86,42012
42,13,91,31,34.07,32,35.16,28,30.77,42013
42,14,57,19,33.33,18,31.58,20,35.09,42014
42,15,44,17,38.64,11,25.0,16,36.36,42015
42,16,39,13,33.33,12,30.77,14,35.9,42016
42,17,45,13,28.89,14,31.11,18,40.0,42017
42,18,13,5,38.46,3,23.08,5,38.46,42018
42,19,101,33,32.67,34,33.66,34,33.66,42019
42,20,49,15,30.61,17,34.69,17,34.69,42020
42,21,9,4,44.44,2,22.22,3,33.33,42021
42,22,1,0,0.0,0,0.0,1,100.0,42022
42,23,64,23,35.94,21,32.81,20,31.25,42023
42,24,33,13,39.39,10,30.3,10,30.3,42024
42,25,62,22,35.48,20,32.26,20,32.26,42025
42,26,40,12,30.0,14,35.0,14,35.0,42026
42,27,39,12,30.77,11,28.21,16,41.03,42027
42,28,30,8,26.67,11,36.67,11,36.67,42028
42,29,59,20,33.9,20,33.9,19,32.2,42029
42,30,34,11,32.35,12,35.29,11,32.35,42030
42,31,78,27,34.62,25,32.05,26,33.33,42031
42,32,72,22,30.56,19,26.39,31,43.06,42032
42,33,30,10,33.33,10,33.33,10,33.33,42033
42,34,46,15,32.61,14,30.43,17,36.96,42034
42,35,54,19,35.19,19,35.19,16,29.63,42035
42,36,61,21,34.43,20,32.79,20,32.79,42036
42,37,38,12,31.58,11,28.95,15,39.47,42037
42,38,38,11,28.95,15,39.47,12,31.58,42038
42,39,62,21,33.87,21,33.87,20,32.26,42039
42,40,46,15,32.61,16,34.78,15,32.61,42040
42,41,49,18,36.73,16,32.65,15,30.61,42041
42,42,56,18,32.14,16,28.57,22,39.29,42042
43,1,9,3,33.33,3,33.33,3,33.33,43001
43,5,3,1,33.33,1,33.33,1,33.33,43005
43,9,0,0,0.0,0,0.0,0,0.0,43009
43,33,63,22,34.92,19,30.16,22,34.92,43033
43,35,49,16,32.65,16,32.65,17,34.69,43035
43,45,25,10,40.0,7,28.0,8,32.0,43045
