ward,precinct,total,Stephanie D. Neely,Stephanie D. Neely Percent,precinct_id
2,41,69,69,100.0,02041
2,42,55,55,100.0,02042
2,43,276,276,100.0,02043
2,44,138,138,100.0,02044
2,45,127,127,100.0,02045
2,46,247,247,100.0,02046
2,47,129,129,100.0,02047
2,48,112,112,100.0,02048
2,49,155,155,100.0,02049
2,50,106,106,100.0,02050
2,51,128,128,100.0,02051
2,52,168,168,100.0,02052
2,53,40,40,100.0,02053
2,54,188,188,100.0,02054
2,55,52,52,100.0,02055
2,56,145,145,100.0,02056
2,57,125,125,100.0,02057
2,58,95,95,100.0,02058
2,59,194,194,100.0,02059
2,60,404,404,100.0,02060
3,1,165,165,100.0,03001
3,2,249,249,100.0,03002
3,3,145,145,100.0,03003
3,4,140,140,100.0,03004
3,5,154,154,100.0,03005
3,6,73,73,100.0,03006
3,7,188,188,100.0,03007
3,8,25,25,100.0,03008
3,9,155,155,100.0,03009
3,10,70,70,100.0,03010
3,11,185,185,100.0,03011
3,12,161,161,100.0,03012
3,13,136,136,100.0,03013
3,14,89,89,100.0,03014
3,15,160,160,100.0,03015
3,16,149,149,100.0,03016
3,17,112,112,100.0,03017
3,18,95,95,100.0,03018
3,19,3,3,100.0,03019
3,20,113,113,100.0,03020
3,21,66,66,100.0,03021
3,22,115,115,100.0,03022
3,23,20,20,100.0,03023
3,24,170,170,100.0,03024
3,25,105,105,100.0,03025
3,26,137,137,100.0,03026
3,27,134,134,100.0,03027
3,28,55,55,100.0,03028
3,29,131,131,100.0,03029
3,30,138,138,100.0,03030
3,31,219,219,100.0,03031
3,32,132,132,100.0,03032
3,33,202,202,100.0,03033
3,34,136,136,100.0,03034
3,35,157,157,100.0,03035
3,36,61,61,100.0,03036
3,37,68,68,100.0,03037
3,38,224,224,100.0,03038
3,39,220,220,100.0,03039
3,40,119,119,100.0,03040
3,41,136,136,100.0,03041
3,42,105,105,100.0,03042
3,43,63,63,100.0,03043
3,44,50,50,100.0,03044
3,45,161,161,100.0,03045
3,46,47,47,100.0,03046
3,47,106,106,100.0,03047
3,48,119,119,100.0,03048
3,49,42,42,100.0,03049
3,50,147,147,100.0,03050
3,51,52,52,100.0,03051
3,52,63,63,100.0,03052
3,53,115,115,100.0,03053
3,54,298,298,100.0,03054
4,1,130,130,100.0,04001
4,2,229,229,100.0,04002
4,3,214,214,100.0,04003
4,4,211,211,100.0,04004
4,5,197,197,100.0,04005
4,6,84,84,100.0,04006
4,7,158,158,100.0,04007
4,8,203,203,100.0,04008
4,9,341,341,100.0,04009
4,10,151,151,100.0,04010
4,11,156,156,100.0,04011
4,12,94,94,100.0,04012
4,13,135,135,100.0,04013
4,14,114,114,100.0,04014
4,15,117,117,100.0,04015
4,16,206,206,100.0,04016
4,17,194,194,100.0,04017
4,18,174,174,100.0,04018
4,19,182,182,100.0,04019
4,20,40,40,100.0,04020
4,21,194,194,100.0,04021
4,22,205,205,100.0,04022
4,23,122,122,100.0,04023
4,24,180,180,100.0,04024
4,25,209,209,100.0,04025
4,26,185,185,100.0,04026
4,27,161,161,100.0,04027
4,28,103,103,100.0,04028
4,29,152,152,100.0,04029
4,30,43,43,100.0,04030
4,31,102,102,100.0,04031
4,32,144,144,100.0,04032
4,33,121,121,100.0,04033
4,34,110,110,100.0,04034
4,35,102,102,100.0,04035
4,36,87,87,100.0,04036
4,37,68,68,100.0,04037
4,38,237,237,100.0,04038
4,39,103,103,100.0,04039
4,40,142,142,100.0,04040
4,41,56,56,100.0,04041
4,42,213,213,100.0,04042
4,43,91,91,100.0,04043
4,44,100,100,100.0,04044
4,45,297,297,100.0,04045
4,46,133,133,100.0,04046
4,47,165,165,100.0,04047
4,48,209,209,100.0,04048
4,49,142,142,100.0,04049
4,50,161,161,100.0,04050
4,51,200,200,100.0,04051
4,52,220,220,100.0,04052
4,53,173,173,100.0,04053
4,54,81,81,100.0,04054
4,55,82,82,100.0,04055
5,1,175,175,100.0,05001
5,2,149,149,100.0,05002
5,3,73,73,100.0,05003
5,4,120,120,100.0,05004
5,5,149,149,100.0,05005
5,6,191,191,100.0,05006
5,7,177,177,100.0,05007
5,8,124,124,100.0,05008
5,9,155,155,100.0,05009
5,10,157,157,100.0,05010
5,11,121,121,100.0,05011
5,12,123,123,100.0,05012
5,13,117,117,100.0,05013
5,14,171,171,100.0,05014
5,15,125,125,100.0,05015
5,16,127,127,100.0,05016
5,17,170,170,100.0,05017
5,18,160,160,100.0,05018
5,19,88,88,100.0,05019
5,20,79,79,100.0,05020
5,21,167,167,100.0,05021
5,22,172,172,100.0,05022
5,23,107,107,100.0,05023
5,24,185,185,100.0,05024
5,25,138,138,100.0,05025
5,26,172,172,100.0,05026
5,27,113,113,100.0,05027
5,28,191,191,100.0,05028
5,29,170,170,100.0,05029
5,30,81,81,100.0,05030
5,31,128,128,100.0,05031
5,32,282,282,100.0,05032
5,33,147,147,100.0,05033
5,34,161,161,100.0,05034
5,35,127,127,100.0,05035
5,36,88,88,100.0,05036
5,37,110,110,100.0,05037
5,38,164,164,100.0,05038
5,39,114,114,100.0,05039
5,40,141,141,100.0,05040
5,41,89,89,100.0,05041
5,42,162,162,100.0,05042
5,43,189,189,100.0,05043
5,44,205,205,100.0,05044
5,45,97,97,100.0,05045
5,46,127,127,100.0,05046
5,47,129,129,100.0,05047
5,48,95,95,100.0,05048
5,49,38,38,100.0,05049
5,50,137,137,100.0,05050
5,51,96,96,100.0,05051
5,52,10,10,100.0,05052
5,53,168,168,100.0,05053
5,54,244,244,100.0,05054
5,55,148,148,100.0,05055
6,1,237,237,100.0,06001
6,2,232,232,100.0,06002
6,3,219,219,100.0,06003
6,4,154,154,100.0,06004
6,5,101,101,100.0,06005
6,6,163,163,100.0,06006
6,7,198,198,100.0,06007
6,8,229,229,100.0,06008
6,9,196,196,100.0,06009
6,10,302,302,100.0,06010
6,11,175,175,100.0,06011
6,12,133,133,100.0,06012
6,13,168,168,100.0,06013
6,14,162,162,100.0,06014
6,15,112,112,100.0,06015
6,16,205,205,100.0,06016
6,17,241,241,100.0,06017
6,18,91,91,100.0,06018
6,19,204,204,100.0,06019
6,20,172,172,100.0,06020
6,21,178,178,100.0,06021
6,22,179,179,100.0,06022
6,23,149,149,100.0,06023
6,24,188,188,100.0,06024
6,25,125,125,100.0,06025
6,26,226,226,100.0,06026
6,27,257,257,100.0,06027
6,28,334,334,100.0,06028
6,29,244,244,100.0,06029
6,30,145,145,100.0,06030
6,31,245,245,100.0,06031
6,32,180,180,100.0,06032
6,33,224,224,100.0,06033
6,34,163,163,100.0,06034
6,35,196,196,100.0,06035
6,36,90,90,100.0,06036
6,37,228,228,100.0,06037
6,38,182,182,100.0,06038
6,39,145,145,100.0,06039
6,40,85,85,100.0,06040
6,41,217,217,100.0,06041
6,42,79,79,100.0,06042
6,43,210,210,100.0,06043
6,44,182,182,100.0,06044
6,45,138,138,100.0,06045
6,46,164,164,100.0,06046
6,47,203,203,100.0,06047
6,48,161,161,100.0,06048
6,49,185,185,100.0,06049
6,50,212,212,100.0,06050
6,51,128,128,100.0,06051
6,52,125,125,100.0,06052
6,53,164,164,100.0,06053
6,54,166,166,100.0,06054
6,55,157,157,100.0,06055
6,56,143,143,100.0,06056
6,57,95,95,100.0,06057
6,58,222,222,100.0,06058
6,59,157,157,100.0,06059
6,60,126,126,100.0,06060
6,61,90,90,100.0,06061
6,62,163,163,100.0,06062
6,63,151,151,100.0,06063
6,64,229,229,100.0,06064
7,1,233,233,100.0,07001
7,2,229,229,100.0,07002
7,3,137,137,100.0,07003
7,4,133,133,100.0,07004
7,5,150,150,100.0,07005
7,6,144,144,100.0,07006
7,7,121,121,100.0,07007
7,8,71,71,100.0,07008
7,9,161,161,100.0,07009
7,10,119,119,100.0,07010
7,11,197,197,100.0,07011
7,12,134,134,100.0,07012
7,13,130,130,100.0,07013
7,14,184,184,100.0,07014
7,15,113,113,100.0,07015
7,16,113,113,100.0,07016
7,17,111,111,100.0,07017
7,18,114,114,100.0,07018
7,19,274,274,100.0,07019
7,20,88,88,100.0,07020
7,21,169,169,100.0,07021
7,22,126,126,100.0,07022
7,23,140,140,100.0,07023
7,24,181,181,100.0,07024
7,25,217,217,100.0,07025
7,26,256,256,100.0,07026
7,27,279,279,100.0,07027
7,28,179,179,100.0,07028
7,29,115,115,100.0,07029
7,30,221,221,100.0,07030
7,31,190,190,100.0,07031
7,32,155,155,100.0,07032
7,33,159,159,100.0,07033
7,34,178,178,100.0,07034
7,35,100,100,100.0,07035
7,36,209,209,100.0,07036
7,37,84,84,100.0,07037
7,38,133,133,100.0,07038
7,39,145,145,100.0,07039
7,40,192,192,100.0,07040
7,41,132,132,100.0,07041
7,42,251,251,100.0,07042
7,43,188,188,100.0,07043
7,44,221,221,100.0,07044
7,45,261,261,100.0,07045
7,46,86,86,100.0,07046
7,47,161,161,100.0,07047
7,48,74,74,100.0,07048
7,49,91,91,100.0,07049
7,50,130,130,100.0,07050
7,51,161,161,100.0,07051
7,52,149,149,100.0,07052
7,53,150,150,100.0,07053
7,54,70,70,100.0,07054
7,55,160,160,100.0,07055
7,56,150,150,100.0,07056
7,57,140,140,100.0,07057
7,58,237,237,100.0,07058
7,59,107,107,100.0,07059
7,60,111,111,100.0,07060
7,61,162,162,100.0,07061
7,62,156,156,100.0,07062
7,63,144,144,100.0,07063
7,64,165,165,100.0,07064
7,65,158,158,100.0,07065
8,1,211,211,100.0,08001
8,2,104,104,100.0,08002
8,3,253,253,100.0,08003
8,4,202,202,100.0,08004
8,5,267,267,100.0,08005
8,6,212,212,100.0,08006
8,7,151,151,100.0,08007
8,8,239,239,100.0,08008
8,9,254,254,100.0,08009
8,10,263,263,100.0,08010
8,11,177,177,100.0,08011
8,12,168,168,100.0,08012
8,13,142,142,100.0,08013
8,14,114,114,100.0,08014
8,15,150,150,100.0,08015
8,16,221,221,100.0,08016
8,17,172,172,100.0,08017
8,18,106,106,100.0,08018
8,19,248,248,100.0,08019
8,20,143,143,100.0,08020
8,21,156,156,100.0,08021
8,22,165,165,100.0,08022
8,23,158,158,100.0,08023
8,24,216,216,100.0,08024
8,25,169,169,100.0,08025
8,26,141,141,100.0,08026
8,27,232,232,100.0,08027
8,28,162,162,100.0,08028
8,29,206,206,100.0,08029
8,30,174,174,100.0,08030
8,31,126,126,100.0,08031
8,32,267,267,100.0,08032
8,33,181,181,100.0,08033
8,34,217,217,100.0,08034
8,35,222,222,100.0,08035
8,36,172,172,100.0,08036
8,37,184,184,100.0,08037
8,38,180,180,100.0,08038
8,39,204,204,100.0,08039
8,40,167,167,100.0,08040
8,41,144,144,100.0,08041
8,42,194,194,100.0,08042
8,43,136,136,100.0,08043
8,44,131,131,100.0,08044
8,45,121,121,100.0,08045
8,46,165,165,100.0,08046
8,47,187,187,100.0,08047
8,48,156,156,100.0,08048
8,49,232,232,100.0,08049
8,50,188,188,100.0,08050
8,51,222,222,100.0,08051
8,52,212,212,100.0,08052
8,53,225,225,100.0,08053
8,54,189,189,100.0,08054
8,55,145,145,100.0,08055
8,56,205,205,100.0,08056
8,57,161,161,100.0,08057
8,58,192,192,100.0,08058
8,59,119,119,100.0,08059
8,60,149,149,100.0,08060
8,61,171,171,100.0,08061
8,62,160,160,100.0,08062
8,63,212,212,100.0,08063
8,64,149,149,100.0,08064
8,65,128,128,100.0,08065
8,66,249,249,100.0,08066
8,67,90,90,100.0,08067
8,68,89,89,100.0,08068
8,69,120,120,100.0,08069
8,70,216,216,100.0,08070
9,1,213,213,100.0,09001
9,2,216,216,100.0,09002
9,3,66,66,100.0,09003
9,4,160,160,100.0,09004
9,5,179,179,100.0,09005
9,6,173,173,100.0,09006
9,7,153,153,100.0,09007
9,8,162,162,100.0,09008
9,9,205,205,100.0,09009
9,10,173,173,100.0,09010
9,11,139,139,100.0,09011
9,12,151,151,100.0,09012
9,13,212,212,100.0,09013
9,14,252,252,100.0,09014
9,15,135,135,100.0,09015
9,16,102,102,100.0,09016
9,17,153,153,100.0,09017
9,18,185,185,100.0,09018
9,19,177,177,100.0,09019
9,20,233,233,100.0,09020
9,21,183,183,100.0,09021
9,22,220,220,100.0,09022
9,23,131,131,100.0,09023
9,24,102,102,100.0,09024
9,25,142,142,100.0,09025
9,26,73,73,100.0,09026
9,27,163,163,100.0,09027
9,28,85,85,100.0,09028
9,29,137,137,100.0,09029
9,30,167,167,100.0,09030
9,31,148,148,100.0,09031
9,32,174,174,100.0,09032
9,33,106,106,100.0,09033
9,34,150,150,100.0,09034
9,35,244,244,100.0,09035
9,36,207,207,100.0,09036
9,37,149,149,100.0,09037
9,38,183,183,100.0,09038
9,39,238,238,100.0,09039
9,40,191,191,100.0,09040
9,41,172,172,100.0,09041
9,42,49,49,100.0,09042
9,43,96,96,100.0,09043
9,44,114,114,100.0,09044
9,45,151,151,100.0,09045
9,46,170,170,100.0,09046
9,47,201,201,100.0,09047
9,48,215,215,100.0,09048
9,49,108,108,100.0,09049
9,50,153,153,100.0,09050
9,51,96,96,100.0,09051
9,52,206,206,100.0,09052
9,53,69,69,100.0,09053
10,1,116,116,100.0,10001
10,2,124,124,100.0,10002
10,3,219,219,100.0,10003
10,4,112,112,100.0,10004
10,5,158,158,100.0,10005
10,6,128,128,100.0,10006
10,7,36,36,100.0,10007
10,8,169,169,100.0,10008
10,9,196,196,100.0,10009
10,10,177,177,100.0,10010
10,11,172,172,100.0,10011
10,12,136,136,100.0,10012
10,13,155,155,100.0,10013
10,14,183,183,100.0,10014
10,15,84,84,100.0,10015
10,16,180,180,100.0,10016
10,17,145,145,100.0,10017
10,18,122,122,100.0,10018
10,19,219,219,100.0,10019
10,20,132,132,100.0,10020
10,21,145,145,100.0,10021
10,22,22,22,100.0,10022
10,23,133,133,100.0,10023
10,24,165,165,100.0,10024
10,25,170,170,100.0,10025
10,26,143,143,100.0,10026
10,27,200,200,100.0,10027
10,28,95,95,100.0,10028
10,29,126,126,100.0,10029
10,30,178,178,100.0,10030
10,31,171,171,100.0,10031
10,32,168,168,100.0,10032
10,33,141,141,100.0,10033
10,34,163,163,100.0,10034
10,35,135,135,100.0,10035
10,36,169,169,100.0,10036
10,37,116,116,100.0,10037
10,38,186,186,100.0,10038
10,39,152,152,100.0,10039
10,40,127,127,100.0,10040
10,41,213,213,100.0,10041
10,42,154,154,100.0,10042
10,43,60,60,100.0,10043
10,44,152,152,100.0,10044
10,45,87,87,100.0,10045
10,46,169,169,100.0,10046
10,47,146,146,100.0,10047
10,48,110,110,100.0,10048
10,49,114,114,100.0,10049
11,1,209,209,100.0,11001
11,2,150,150,100.0,11002
11,3,147,147,100.0,11003
11,4,184,184,100.0,11004
11,5,102,102,100.0,11005
11,6,214,214,100.0,11006
11,7,187,187,100.0,11007
11,8,190,190,100.0,11008
11,9,137,137,100.0,11009
11,10,97,97,100.0,11010
11,11,225,225,100.0,11011
11,12,223,223,100.0,11012
11,13,173,173,100.0,11013
11,14,146,146,100.0,11014
11,15,173,173,100.0,11015
11,16,190,190,100.0,11016
11,17,230,230,100.0,11017
11,18,116,116,100.0,11018
11,19,135,135,100.0,11019
11,20,175,175,100.0,11020
11,21,230,230,100.0,11021
11,22,189,189,100.0,11022
11,23,158,158,100.0,11023
11,24,385,385,100.0,11024
11,25,180,180,100.0,11025
11,26,258,258,100.0,11026
11,27,167,167,100.0,11027
11,28,152,152,100.0,11028
11,29,195,195,100.0,11029
11,30,162,162,100.0,11030
11,31,161,161,100.0,11031
11,32,165,165,100.0,11032
11,33,134,134,100.0,11033
11,34,115,115,100.0,11034
11,35,301,301,100.0,11035
11,36,63,63,100.0,11036
11,37,239,239,100.0,11037
11,38,300,300,100.0,11038
11,39,299,299,100.0,11039
11,40,138,138,100.0,11040
11,41,127,127,100.0,11041
11,42,140,140,100.0,11042
11,43,215,215,100.0,11043
11,44,151,151,100.0,11044
11,45,95,95,100.0,11045
11,46,143,143,100.0,11046
11,47,179,179,100.0,11047
11,48,71,71,100.0,11048
11,49,179,179,100.0,11049
11,50,111,111,100.0,11050
12,1,79,79,100.0,12001
12,2,138,138,100.0,12002
12,3,130,130,100.0,12003
12,4,120,120,100.0,12004
12,5,123,123,100.0,12005
12,6,93,93,100.0,12006
12,7,133,133,100.0,12007
12,8,253,253,100.0,12008
12,9,117,117,100.0,12009
12,10,139,139,100.0,12010
12,11,211,211,100.0,12011
12,12,128,128,100.0,12012
12,13,202,202,100.0,12013
12,14,150,150,100.0,12014
12,15,107,107,100.0,12015
12,16,114,114,100.0,12016
12,17,171,171,100.0,12017
12,18,126,126,100.0,12018
12,19,181,181,100.0,12019
12,20,126,126,100.0,12020
12,21,168,168,100.0,12021
12,22,122,122,100.0,12022
12,23,152,152,100.0,12023
12,24,187,187,100.0,12024
13,1,224,224,100.0,13001
13,2,161,161,100.0,13002
13,3,204,204,100.0,13003
13,4,312,312,100.0,13004
13,5,247,247,100.0,13005
13,6,210,210,100.0,13006
13,7,197,197,100.0,13007
13,8,245,245,100.0,13008
13,9,226,226,100.0,13009
13,10,216,216,100.0,13010
13,11,234,234,100.0,13011
13,12,179,179,100.0,13012
13,13,220,220,100.0,13013
13,14,170,170,100.0,13014
13,15,314,314,100.0,13015
13,16,169,169,100.0,13016
13,17,218,218,100.0,13017
13,18,130,130,100.0,13018
13,19,132,132,100.0,13019
13,20,174,174,100.0,13020
13,21,253,253,100.0,13021
13,22,218,218,100.0,13022
13,23,175,175,100.0,13023
13,24,227,227,100.0,13024
13,25,162,162,100.0,13025
13,26,142,142,100.0,13026
13,27,238,238,100.0,13027
13,28,151,151,100.0,13028
13,29,207,207,100.0,13029
13,30,242,242,100.0,13030
13,31,262,262,100.0,13031
13,32,188,188,100.0,13032
13,33,188,188,100.0,13033
13,34,178,178,100.0,13034
13,35,227,227,100.0,13035
13,36,131,131,100.0,13036
13,37,148,148,100.0,13037
13,38,208,208,100.0,13038
13,39,192,192,100.0,13039
13,40,242,242,100.0,13040
13,41,202,202,100.0,13041
13,42,225,225,100.0,13042
13,43,122,122,100.0,13043
13,44,330,330,100.0,13044
13,45,307,307,100.0,13045
13,46,228,228,100.0,13046
13,47,192,192,100.0,13047
13,48,225,225,100.0,13048
13,49,243,243,100.0,13049
13,50,293,293,100.0,13050
14,1,92,92,100.0,14001
14,2,137,137,100.0,14002
14,3,170,170,100.0,14003
14,4,130,130,100.0,14004
14,5,178,178,100.0,14005
14,6,125,125,100.0,14006
14,7,119,119,100.0,14007
14,8,124,124,100.0,14008
14,9,164,164,100.0,14009
14,10,151,151,100.0,14010
14,11,117,117,100.0,14011
14,12,127,127,100.0,14012
14,13,188,188,100.0,14013
14,14,126,126,100.0,14014
14,15,187,187,100.0,14015
14,16,148,148,100.0,14016
14,17,171,171,100.0,14017
14,18,160,160,100.0,14018
14,19,188,188,100.0,14019
14,20,114,114,100.0,14020
14,21,167,167,100.0,14021
14,22,188,188,100.0,14022
14,23,175,175,100.0,14023
14,24,124,124,100.0,14024
14,25,182,182,100.0,14025
14,26,151,151,100.0,14026
14,27,180,180,100.0,14027
14,28,154,154,100.0,14028
14,29,166,166,100.0,14029
14,30,146,146,100.0,14030
14,31,156,156,100.0,14031
14,32,112,112,100.0,14032
14,33,118,118,100.0,14033
14,34,127,127,100.0,14034
14,35,132,132,100.0,14035
15,1,106,106,100.0,15001
15,2,110,110,100.0,15002
15,3,104,104,100.0,15003
15,4,104,104,100.0,15004
15,5,119,119,100.0,15005
15,6,119,119,100.0,15006
15,7,109,109,100.0,15007
15,8,126,126,100.0,15008
15,9,116,116,100.0,15009
15,10,89,89,100.0,15010
15,11,107,107,100.0,15011
15,12,68,68,100.0,15012
15,13,62,62,100.0,15013
15,14,138,138,100.0,15014
15,15,112,112,100.0,15015
15,16,76,76,100.0,15016
15,17,102,102,100.0,15017
15,18,53,53,100.0,15018
15,19,118,118,100.0,15019
15,20,98,98,100.0,15020
15,21,103,103,100.0,15021
15,22,111,111,100.0,15022
15,23,69,69,100.0,15023
15,24,145,145,100.0,15024
15,25,93,93,100.0,15025
15,26,99,99,100.0,15026
15,27,88,88,100.0,15027
15,28,137,137,100.0,15028
15,29,46,46,100.0,15029
15,30,98,98,100.0,15030
15,31,84,84,100.0,15031
15,32,105,105,100.0,15032
15,33,66,66,100.0,15033
15,34,78,78,100.0,15034
15,35,143,143,100.0,15035
15,36,100,100,100.0,15036
15,37,90,90,100.0,15037
15,38,98,98,100.0,15038
15,39,125,125,100.0,15039
15,40,133,133,100.0,15040
15,41,138,138,100.0,15041
15,42,52,52,100.0,15042
15,43,95,95,100.0,15043
15,44,125,125,100.0,15044
15,45,61,61,100.0,15045
15,46,69,69,100.0,15046
15,47,125,125,100.0,15047
15,48,72,72,100.0,15048
15,49,97,97,100.0,15049
15,50,95,95,100.0,15050
15,51,74,74,100.0,15051
15,52,90,90,100.0,15052
16,1,90,90,100.0,16001
16,2,90,90,100.0,16002
16,3,110,110,100.0,16003
16,4,81,81,100.0,16004
16,5,134,134,100.0,16005
16,6,56,56,100.0,16006
16,7,123,123,100.0,16007
16,8,144,144,100.0,16008
16,9,178,178,100.0,16009
16,10,91,91,100.0,16010
16,11,136,136,100.0,16011
16,12,78,78,100.0,16012
16,13,110,110,100.0,16013
16,14,115,115,100.0,16014
16,15,143,143,100.0,16015
16,16,140,140,100.0,16016
16,17,119,119,100.0,16017
16,18,114,114,100.0,16018
16,19,97,97,100.0,16019
16,20,109,109,100.0,16020
16,21,115,115,100.0,16021
16,22,117,117,100.0,16022
16,23,119,119,100.0,16023
16,24,76,76,100.0,16024
16,25,119,119,100.0,16025
16,26,128,128,100.0,16026
16,27,183,183,100.0,16027
16,28,154,154,100.0,16028
16,29,54,54,100.0,16029
16,30,67,67,100.0,16030
16,31,146,146,100.0,16031
16,32,95,95,100.0,16032
16,33,95,95,100.0,16033
16,34,94,94,100.0,16034
16,35,122,122,100.0,16035
16,36,108,108,100.0,16036
16,37,76,76,100.0,16037
16,38,108,108,100.0,16038
16,39,92,92,100.0,16039
16,40,157,157,100.0,16040
16,41,60,60,100.0,16041
16,42,99,99,100.0,16042
16,43,136,136,100.0,16043
16,44,132,132,100.0,16044
16,45,76,76,100.0,16045
16,46,45,45,100.0,16046
17,1,93,93,100.0,17001
17,2,130,130,100.0,17002
17,3,88,88,100.0,17003
17,4,185,185,100.0,17004
17,5,112,112,100.0,17005
17,6,91,91,100.0,17006
17,7,163,163,100.0,17007
17,8,129,129,100.0,17008
17,9,94,94,100.0,17009
17,10,147,147,100.0,17010
17,11,142,142,100.0,17011
17,12,165,165,100.0,17012
17,13,104,104,100.0,17013
17,14,112,112,100.0,17014
17,15,132,132,100.0,17015
17,16,104,104,100.0,17016
17,17,91,91,100.0,17017
17,18,157,157,100.0,17018
17,19,48,48,100.0,17019
17,20,119,119,100.0,17020
17,21,188,188,100.0,17021
17,22,139,139,100.0,17022
17,23,94,94,100.0,17023
17,24,119,119,100.0,17024
17,25,84,84,100.0,17025
17,26,175,175,100.0,17026
17,27,192,192,100.0,17027
17,28,109,109,100.0,17028
17,29,145,145,100.0,17029
17,30,147,147,100.0,17030
17,31,122,122,100.0,17031
17,32,152,152,100.0,17032
17,33,125,125,100.0,17033
17,34,111,111,100.0,17034
17,35,86,86,100.0,17035
17,36,76,76,100.0,17036
17,37,114,114,100.0,17037
17,38,109,109,100.0,17038
17,39,112,112,100.0,17039
17,40,109,109,100.0,17040
17,41,114,114,100.0,17041
17,42,93,93,100.0,17042
17,43,93,93,100.0,17043
17,44,89,89,100.0,17044
17,45,86,86,100.0,17045
17,46,128,128,100.0,17046
17,47,83,83,100.0,17047
17,48,145,145,100.0,17048
17,49,92,92,100.0,17049
17,50,130,130,100.0,17050
17,51,147,147,100.0,17051
17,52,179,179,100.0,17052
17,53,127,127,100.0,17053
17,54,170,170,100.0,17054
17,55,124,124,100.0,17055
17,56,130,130,100.0,17056
17,57,156,156,100.0,17057
17,58,101,101,100.0,17058
17,59,61,61,100.0,17059
17,60,165,165,100.0,17060
17,61,103,103,100.0,17061
17,62,90,90,100.0,17062
17,63,78,78,100.0,17063
17,64,89,89,100.0,17064
18,1,88,88,100.0,18001
18,2,189,189,100.0,18002
18,3,167,167,100.0,18003
18,4,211,211,100.0,18004
18,5,187,187,100.0,18005
18,6,159,159,100.0,18006
18,7,175,175,100.0,18007
18,8,88,88,100.0,18008
18,9,231,231,100.0,18009
18,10,309,309,100.0,18010
18,11,173,173,100.0,18011
18,12,265,265,100.0,18012
18,13,213,213,100.0,18013
18,14,239,239,100.0,18014
18,15,107,107,100.0,18015
18,16,221,221,100.0,18016
18,17,155,155,100.0,18017
18,18,199,199,100.0,18018
18,19,237,237,100.0,18019
18,20,175,175,100.0,18020
18,21,275,275,100.0,18021
18,22,226,226,100.0,18022
18,23,158,158,100.0,18023
18,24,217,217,100.0,18024
18,25,197,197,100.0,18025
18,26,166,166,100.0,18026
18,27,147,147,100.0,18027
18,28,216,216,100.0,18028
18,29,217,217,100.0,18029
18,30,136,136,100.0,18030
18,31,170,170,100.0,18031
18,32,236,236,100.0,18032
