ward,precinct,total,Toni Preckwinkle,Toni Preckwinkle Percent,Richard R. Boykin,Richard R. Boykin Percent,precinct_id
2,27,121,87,71.9,34,28.1,02027
2,28,162,130,80.25,32,19.75,02028
2,29,156,110,70.51,46,29.49,02029
2,30,135,96,71.11,39,28.89,02030
2,31,225,168,74.67,57,25.33,02031
2,32,97,75,77.32,22,22.68,02032
2,33,230,165,71.74,65,28.26,02033
2,34,165,121,73.33,44,26.67,02034
2,35,178,139,78.09,39,21.91,02035
2,36,168,127,75.6,41,24.4,02036
2,37,184,150,81.52,34,18.48,02037
2,38,150,112,74.67,38,25.33,02038
2,39,78,53,67.95,25,32.05,02039
2,40,166,132,79.52,34,20.48,02040
2,41,135,99,73.33,36,26.67,02041
2,42,136,106,77.94,30,22.06,02042
2,43,169,123,72.78,46,27.22,02043
2,44,182,129,70.88,53,29.12,02044
2,45,103,79,76.7,24,23.3,02045
2,46,100,74,74.0,26,26.0,02046
3,1,205,163,79.51,42,20.49,03001
3,2,295,241,81.69,54,18.31,03002
3,3,117,89,76.07,28,23.93,03003
3,4,232,182,78.45,50,21.55,03004
3,5,92,69,75.0,23,25.0,03005
3,6,265,211,79.62,54,20.38,03006
3,7,174,122,70.11,52,29.89,03007
3,8,117,87,74.36,30,25.64,03008
3,9,201,155,77.11,46,22.89,03009
3,10,74,59,79.73,15,20.27,03010
3,11,175,136,77.71,39,22.29,03011
3,12,276,209,75.72,67,24.28,03012
3,13,235,175,74.47,60,25.53,03013
3,14,190,151,79.47,39,20.53,03014
3,15,132,101,76.52,31,23.48,03015
3,16,154,108,70.13,46,29.87,03016
3,17,200,157,78.5,43,21.5,03017
3,18,230,175,76.09,55,23.91,03018
3,19,221,174,78.73,47,21.27,03019
3,20,202,155,76.73,47,23.27,03020
3,21,245,194,79.18,51,20.82,03021
3,22,234,183,78.21,51,21.79,03022
3,23,131,95,72.52,36,27.48,03023
3,24,137,109,79.56,28,20.44,03024
3,25,357,245,68.63,112,31.37,03025
3,26,258,202,78.29,56,21.71,03026
3,27,230,171,74.35,59,25.65,03027
3,28,130,109,83.85,21,16.15,03028
3,29,131,102,77.86,29,22.14,03029
3,30,191,148,77.49,43,22.51,03030
3,31,175,130,74.29,45,25.71,03031
3,32,248,189,76.21,59,23.79,03032
3,33,208,155,74.52,53,25.48,03033
3,34,261,207,79.31,54,20.69,03034
3,35,101,78,77.23,23,22.77,03035
3,36,67,48,71.64,19,28.36,03036
3,37,131,103,78.63,28,21.37,03037
3,38,199,158,79.4,41,20.6,03038
3,39,296,232,78.38,64,21.62,03039
3,40,156,112,71.79,44,28.21,03040
3,41,197,159,80.71,38,19.29,03041
4,1,276,242,87.68,34,12.32,04001
4,2,260,206,79.23,54,20.77,04002
4,3,131,108,82.44,23,17.56,04003
4,4,254,200,78.74,54,21.26,04004
4,5,237,185,78.06,52,21.94,04005
4,6,334,252,75.45,82,24.55,04006
4,7,280,212,75.71,68,24.29,04007
4,8,268,212,79.1,56,20.9,04008
4,9,352,288,81.82,64,18.18,04009
4,10,323,261,80.8,62,19.2,04010
4,11,114,88,77.19,26,22.81,04011
4,12,230,187,81.3,43,18.7,04012
4,13,130,100,76.92,30,23.08,04013
4,14,235,191,81.28,44,18.72,04014
4,15,243,208,85.6,35,14.4,04015
4,16,307,261,85.02,46,14.98,04016
4,17,251,202,80.48,49,19.52,04017
4,18,238,190,79.83,48,20.17,04018
4,19,113,80,70.8,33,29.2,04019
4,20,203,153,75.37,50,24.63,04020
4,21,184,142,77.17,42,22.83,04021
4,22,241,197,81.74,44,18.26,04022
4,23,296,262,88.51,34,11.49,04023
4,24,195,175,89.74,20,10.26,04024
4,25,267,215,80.52,52,19.48,04025
4,26,182,135,74.18,47,25.82,04026
4,27,276,245,88.77,31,11.23,04027
4,28,163,128,78.53,35,21.47,04028
4,29,204,158,77.45,46,22.55,04029
4,30,215,179,83.26,36,16.74,04030
4,31,330,259,78.48,71,21.52,04031
4,32,237,196,82.7,41,17.3,04032
4,33,193,163,84.46,30,15.54,04033
4,34,184,151,82.07,33,17.93,04034
4,35,281,222,79.0,59,21.0,04035
4,36,295,222,75.25,73,24.75,04036
4,37,350,261,74.57,89,25.43,04037
4,38,273,219,80.22,54,19.78,04038
5,1,129,105,81.4,24,18.6,05001
5,2,104,71,68.27,33,31.73,05002
5,3,209,189,90.43,20,9.57,05003
5,4,261,216,82.76,45,17.24,05004
5,5,162,128,79.01,34,20.99,05005
5,6,148,115,77.7,33,22.3,05006
5,7,209,170,81.34,39,18.66,05007
5,8,249,231,92.77,18,7.23,05008
5,9,282,247,87.59,35,12.41,05009
5,10,108,80,74.07,28,25.93,05010
5,11,244,216,88.52,28,11.48,05011
5,12,93,65,69.89,28,30.11,05012
5,13,149,117,78.52,32,21.48,05013
5,14,238,197,82.77,41,17.23,05014
5,15,195,168,86.15,27,13.85,05015
5,16,164,123,75.0,41,25.0,05016
5,17,120,89,74.17,31,25.83,05017
5,18,184,158,85.87,26,14.13,05018
5,19,244,219,89.75,25,10.25,05019
5,20,315,271,86.03,44,13.97,05020
5,21,203,172,84.73,31,15.27,05021
5,22,355,317,89.3,38,10.7,05022
5,23,360,326,90.56,34,9.44,05023
5,24,247,217,87.85,30,12.15,05024
5,25,197,165,83.76,32,16.24,05025
5,26,181,142,78.45,39,21.55,05026
5,27,185,177,95.68,8,4.32,05027
5,28,219,174,79.45,45,20.55,05028
5,29,196,161,82.14,35,17.86,05029
5,30,96,67,69.79,29,30.21,05030
5,31,115,95,82.61,20,17.39,05031
5,32,231,192,83.12,39,16.88,05032
5,33,210,164,78.1,46,21.9,05033
5,34,247,220,89.07,27,10.93,05034
5,35,297,277,93.27,20,6.73,05035
5,36,66,48,72.73,18,27.27,05036
5,37,286,259,90.56,27,9.44,05037
5,38,150,115,76.67,35,23.33,05038
5,39,217,193,88.94,24,11.06,05039
5,40,143,114,79.72,29,20.28,05040
5,41,180,150,83.33,30,16.67,05041
6,1,185,137,74.05,48,25.95,06001
6,2,211,156,73.93,55,26.07,06002
6,3,176,130,73.86,46,26.14,06003
6,4,84,59,70.24,25,29.76,06004
6,5,82,57,69.51,25,30.49,06005
6,6,168,120,71.43,48,28.57,06006
6,7,100,85,85.0,15,15.0,06007
6,8,199,140,70.35,59,29.65,06008
6,9,102,78,76.47,24,23.53,06009
6,10,67,54,80.6,13,19.4,06010
6,11,111,81,72.97,30,27.03,06011
6,12,68,51,75.0,17,25.0,06012
6,13,139,99,71.22,40,28.78,06013
6,14,143,96,67.13,47,32.87,06014
6,15,86,64,74.42,22,25.58,06015
6,16,179,141,78.77,38,21.23,06016
6,17,79,64,81.01,15,18.99,06017
6,18,100,78,78.0,22,22.0,06018
6,19,101,70,69.31,31,30.69,06019
6,20,76,59,77.63,17,22.37,06020
6,21,50,36,72.0,14,28.0,06021
6,22,68,51,75.0,17,25.0,06022
6,23,51,32,62.75,19,37.25,06023
6,24,60,43,71.67,17,28.33,06024
6,25,61,42,68.85,19,31.15,06025
6,26,71,45,63.38,26,36.62,06026
6,27,69,53,76.81,16,23.19,06027
6,28,43,33,76.74,10,23.26,06028
6,29,208,154,74.04,54,25.96,06029
6,30,93,70,75.27,23,24.73,06030
6,31,190,140,73.68,50,26.32,06031
6,32,149,112,75.17,37,24.83,06032
6,33,160,128,80.0,32,20.0,06033
6,34,148,116,78.38,32,21.62,06034
6,35,173,118,68.21,55,31.79,06035
6,36,210,162,77.14,48,22.86,06036
6,37,227,169,74.45,58,25.55,06037
6,38,198,149,75.25,49,24.75,06038
6,39,124,93,75.0,31,25.0,06039
6,40,117,90,76.92,27,23.08,06040
6,41,174,132,75.86,42,24.14,06041
6,42,132,108,81.82,24,18.18,06042
6,43,133,106,79.7,27,20.3,06043
6,44,144,108,75.0,36,25.0,06044
6,45,169,129,76.33,40,23.67,06045
6,46,117,85,72.65,32,27.35,06046
6,47,121,90,74.38,31,25.62,06047
6,48,126,95,75.4,31,24.6,06048
7,1,99,71,71.72,28,28.28,07001
7,2,108,77,71.3,31,28.7,07002
7,3,142,111,78.17,31,21.83,07003
7,4,127,94,74.02,33,25.98,07004
7,5,98,73,74.49,25,25.51,07005
7,6,188,148,78.72,40,21.28,07006
7,7,97,82,84.54,15,15.46,07007
7,8,117,84,71.79,33,28.21,07008
7,9,272,200,73.53,72,26.47,07009
7,10,185,140,75.68,45,24.32,07010
7,11,113,85,75.22,28,24.78,07011
7,12,90,65,72.22,25,27.78,07012
7,13,118,92,77.97,26,22.03,07013
7,14,129,92,71.32,37,28.68,07014
7,15,144,111,77.08,33,22.92,07015
7,16,88,66,75.0,22,25.0,07016
7,17,103,72,69.9,31,30.1,07017
7,18,113,85,75.22,28,24.78,07018
7,19,118,85,72.03,33,27.97,07019
7,20,78,63,80.77,15,19.23,07020
7,21,72,55,76.39,17,23.61,07021
7,22,104,69,66.35,35,33.65,07022
7,23,161,128,79.5,33,20.5,07023
7,24,86,68,79.07,18,20.93,07024
7,25,60,47,78.33,13,21.67,07025
7,26,126,93,73.81,33,26.19,07026
7,27,107,78,72.9,29,27.1,07027
7,28,81,63,77.78,18,22.22,07028
7,29,118,91,77.12,27,22.88,07029
7,30,81,49,60.49,32,39.51,07030
7,31,66,47,71.21,19,28.79,07031
7,32,247,188,76.11,59,23.89,07032
7,33,242,195,80.58,47,19.42,07033
7,34,196,150,76.53,46,23.47,07034
7,35,119,83,69.75,36,30.25,07035
7,36,188,139,73.94,49,26.06,07036
7,37,165,121,73.33,44,26.67,07037
7,38,117,90,76.92,27,23.08,07038
7,39,135,109,80.74,26,19.26,07039
7,40,123,91,73.98,32,26.02,07040
7,41,98,77,78.57,21,21.43,07041
7,42,127,89,70.08,38,29.92,07042
7,43,128,92,71.88,36,28.13,07043
7,44,117,84,71.79,33,28.21,07044
7,45,77,59,76.62,18,23.38,07045
7,46,65,47,72.31,18,27.69,07046
8,1,110,82,74.55,28,25.45,08001
8,2,101,79,78.22,22,21.78,08002
8,3,241,180,74.69,61,25.31,08003
8,4,201,153,76.12,48,23.88,08004
8,5,217,156,71.89,61,28.11,08005
8,6,182,141,77.47,41,22.53,08006
8,7,196,159,81.12,37,18.88,08007
8,8,217,173,79.72,44,20.28,08008
8,9,95,78,82.11,17,17.89,08009
8,10,280,214,76.43,66,23.57,08010
8,11,108,87,80.56,21,19.44,08011
8,12,125,102,81.6,23,18.4,08012
8,13,147,112,76.19,35,23.81,08013
8,14,64,55,85.94,9,14.06,08014
8,15,125,98,78.4,27,21.6,08015
8,16,34,24,70.59,10,29.41,08016
8,17,164,123,75.0,41,25.0,08017
8,18,68,59,86.76,9,13.24,08018
8,19,226,171,75.66,55,24.34,08019
8,20,198,148,74.75,50,25.25,08020
8,21,182,124,68.13,58,31.87,08021
8,22,145,107,73.79,38,26.21,08022
8,23,94,71,75.53,23,24.47,08023
8,24,102,75,73.53,27,26.47,08024
8,25,136,100,73.53,36,26.47,08025
8,26,100,73,73.0,27,27.0,08026
8,27,245,194,79.18,51,20.82,08027
8,28,156,126,80.77,30,19.23,08028
8,29,194,147,75.77,47,24.23,08029
8,30,175,133,76.0,42,24.0,08030
8,31,114,82,71.93,32,28.07,08031
8,32,124,94,75.81,30,24.19,08032
8,33,115,83,72.17,32,27.83,08033
8,34,156,115,73.72,41,26.28,08034
8,35,194,145,74.74,49,25.26,08035
8,36,163,133,81.6,30,18.4,08036
8,37,147,114,77.55,33,22.45,08037
8,38,106,79,74.53,27,25.47,08038
8,39,153,124,81.05,29,18.95,08039
8,40,112,88,78.57,24,21.43,08040
8,41,155,111,71.61,44,28.39,08041
8,42,187,158,84.49,29,15.51,08042
8,43,60,42,70.0,18,30.0,08043
8,44,105,81,77.14,24,22.86,08044
8,45,71,55,77.46,16,22.54,08045
8,46,118,88,74.58,30,25.42,08046
8,47,135,106,78.52,29,21.48,08047
8,48,142,105,73.94,37,26.06,08048
8,49,154,105,68.18,49,31.82,08049
8,50,179,124,69.27,55,30.73,08050
8,51,197,147,74.62,50,25.38,08051
8,52,261,190,72.8,71,27.2,08052
8,53,82,57,69.51,25,30.49,08053
8,54,76,58,76.32,18,23.68,08054
8,55,156,125,80.13,31,19.87,08055
8,56,199,143,71.86,56,28.14,08056
9,1,132,90,68.18,42,31.82,09001
9,2,100,77,77.0,23,23.0,09002
9,3,49,37,75.51,12,24.49,09003
9,4,103,81,78.64,22,21.36,09004
9,5,155,123,79.35,32,20.65,09005
9,6,116,86,74.14,30,25.86,09006
9,7,66,48,72.73,18,27.27,09007
9,8,87,62,71.26,25,28.74,09008
9,9,170,131,77.06,39,22.94,09009
9,10,90,69,76.67,21,23.33,09010
9,11,100,78,78.0,22,22.0,09011
9,12,188,144,76.6,44,23.4,09012
9,13,179,136,75.98,43,24.02,09013
9,14,176,135,76.7,41,23.3,09014
9,15,49,39,79.59,10,20.41,09015
9,16,128,105,82.03,23,17.97,09016
9,17,60,47,78.33,13,21.67,09017
9,18,108,81,75.0,27,25.0,09018
9,19,118,81,68.64,37,31.36,09019
9,20,128,91,71.09,37,28.91,09020
9,21,108,94,87.04,14,12.96,09021
9,22,147,106,72.11,41,27.89,09022
9,23,181,120,66.3,61,33.7,09023
9,24,176,134,76.14,42,23.86,09024
9,25,127,91,71.65,36,28.35,09025
9,26,75,57,76.0,18,24.0,09026
9,27,122,86,70.49,36,29.51,09027
9,28,49,36,73.47,13,26.53,09028
9,29,70,44,62.86,26,37.14,09029
9,30,93,73,78.49,20,21.51,09030
9,31,82,59,71.95,23,28.05,09031
9,32,145,107,73.79,38,26.21,09032
9,33,86,60,69.77,26,30.23,09033
9,34,95,66,69.47,29,30.53,09034
9,35,154,113,73.38,41,26.62,09035
9,36,99,81,81.82,18,18.18,09036
9,37,207,157,75.85,50,24.15,09037
9,38,105,82,78.1,23,21.9,09038
9,39,160,124,77.5,36,22.5,09039
9,40,191,140,73.3,51,26.7,09040
9,41,110,78,70.91,32,29.09,09041
9,42,186,154,82.8,32,17.2,09042
9,43,94,67,71.28,27,28.72,09043
9,44,129,97,75.19,32,24.81,09044
9,45,93,78,83.87,15,16.13,09045
9,46,134,105,78.36,29,21.64,09046
9,47,182,147,80.77,35,19.23,09047
9,48,181,131,72.38,50,27.62,09048
9,49,180,149,82.78,31,17.22,09049
9,50,230,177,76.96,53,23.04,09050
9,51,181,128,70.72,53,29.28,09051
10,1,119,93,78.15,26,21.85,10001
10,2,85,51,60.0,34,40.0,10002
10,3,96,66,68.75,30,31.25,10003
10,4,55,40,72.73,15,27.27,10004
10,5,71,53,74.65,18,25.35,10005
10,6,79,53,67.09,26,32.91,10006
10,7,44,30,68.18,14,31.82,10007
10,8,33,26,78.79,7,21.21,10008
10,9,69,45,65.22,24,34.78,10009
10,10,94,69,73.4,25,26.6,10010
10,11,87,61,70.11,26,29.89,10011
10,12,53,32,60.38,21,39.62,10012
10,13,89,62,69.66,27,30.34,10013
10,14,98,64,65.31,34,34.69,10014
10,15,221,169,76.47,52,23.53,10015
10,16,56,34,60.71,22,39.29,10016
10,17,133,90,67.67,43,32.33,10017
10,18,47,36,76.6,11,23.4,10018
10,19,66,41,62.12,25,37.88,10019
10,20,86,55,63.95,31,36.05,10020
10,21,77,48,62.34,29,37.66,10021
10,22,28,22,78.57,6,21.43,10022
10,23,72,58,80.56,14,19.44,10023
10,24,73,42,57.53,31,42.47,10024
10,25,36,25,69.44,11,30.56,10025
10,26,61,45,73.77,16,26.23,10026
10,27,61,46,75.41,15,24.59,10027
10,28,86,58,67.44,28,32.56,10028
10,29,66,38,57.58,28,42.42,10029
10,30,60,34,56.67,26,43.33,10030
10,31,51,35,68.63,16,31.37,10031
10,32,72,39,54.17,33,45.83,10032
10,33,59,37,62.71,22,37.29,10033
10,34,38,24,63.16,14,36.84,10034
10,35,104,66,63.46,38,36.54,10035
10,36,36,30,83.33,6,16.67,10036
11,1,149,108,72.48,41,27.52,11001
11,2,4,2,50.0,2,50.0,11002
11,3,167,128,76.65,39,23.35,11003
11,4,116,88,75.86,28,24.14,11004
11,5,167,141,84.43,26,15.57,11005
11,6,209,163,77.99,46,22.01,11006
11,7,99,78,78.79,21,21.21,11007
11,8,125,88,70.4,37,29.6,11008
11,9,106,71,66.98,35,33.02,11009
11,10,103,66,64.08,37,35.92,11010
11,11,125,85,68.0,40,32.0,11011
11,12,153,61,39.87,92,60.13,11012
11,13,144,69,47.92,75,52.08,11013
11,14,57,39,68.42,18,31.58,11014
11,15,57,32,56.14,25,43.86,11015
11,16,88,49,55.68,39,44.32,11016
11,17,204,152,74.51,52,25.49,11017
11,18,104,66,63.46,38,36.54,11018
11,19,204,166,81.37,38,18.63,11019
11,20,106,76,71.7,30,28.3,11020
11,21,215,114,53.02,101,46.98,11021
11,22,162,108,66.67,54,33.33,11022
11,23,94,63,67.02,31,32.98,11023
11,24,229,122,53.28,107,46.72,11024
11,25,185,123,66.49,62,33.51,11025
11,26,171,119,69.59,52,30.41,11026
11,27,43,26,60.47,17,39.53,11027
11,28,56,26,46.43,30,53.57,11028
11,29,168,104,61.9,64,38.1,11029
11,30,78,48,61.54,30,38.46,11030
11,31,129,63,48.84,66,51.16,11031
11,32,66,36,54.55,30,45.45,11032
11,33,156,117,75.0,39,25.0,11033
11,34,61,36,59.02,25,40.98,11034
11,35,39,32,82.05,7,17.95,11035
11,36,44,30,68.18,14,31.82,11036
11,37,38,28,73.68,10,26.32,11037
11,38,74,58,78.38,16,21.62,11038
12,1,131,95,72.52,36,27.48,12001
12,2,71,51,71.83,20,28.17,12002
12,3,175,123,70.29,52,29.71,12003
12,4,137,102,74.45,35,25.55,12004
12,5,118,90,76.27,28,23.73,12005
12,6,122,85,69.67,37,30.33,12006
12,7,73,55,75.34,18,24.66,12007
12,8,125,94,75.2,31,24.8,12008
12,9,86,64,74.42,22,25.58,12009
12,10,101,83,82.18,18,17.82,12010
12,11,67,43,64.18,24,35.82,12011
12,12,82,50,60.98,32,39.02,12012
12,13,90,67,74.44,23,25.56,12013
12,14,73,56,76.71,17,23.29,12014
12,15,66,47,71.21,19,28.79,12015
12,16,39,32,82.05,7,17.95,12016
12,17,79,52,65.82,27,34.18,12017
12,18,49,34,69.39,15,30.61,12018
12,19,95,62,65.26,33,34.74,12019
12,20,83,52,62.65,31,37.35,12020
12,21,104,72,69.23,32,30.77,12021
12,22,68,49,72.06,19,27.94,12022
12,23,138,98,71.01,40,28.99,12023
13,1,99,61,61.62,38,38.38,13001
13,2,89,54,60.67,35,39.33,13002
13,3,40,31,77.5,9,22.5,13003
13,4,93,54,58.06,39,41.94,13004
13,5,62,42,67.74,20,32.26,13005
13,6,109,66,60.55,43,39.45,13006
13,7,47,32,68.09,15,31.91,13007
13,8,62,31,50.0,31,50.0,13008
13,9,66,41,62.12,25,37.88,13009
13,10,92,45,48.91,47,51.09,13010
13,11,111,65,58.56,46,41.44,13011
13,12,71,47,66.2,24,33.8,13012
13,13,83,53,63.86,30,36.14,13013
13,14,86,51,59.3,35,40.7,13014
13,15,89,52,58.43,37,41.57,13015
13,16,43,29,67.44,14,32.56,13016
13,17,87,47,54.02,40,45.98,13017
13,18,77,44,57.14,33,42.86,13018
13,19,60,44,73.33,16,26.67,13019
13,20,57,32,56.14,25,43.86,13020
13,21,126,61,48.41,65,51.59,13021
13,22,106,56,52.83,50,47.17,13022
13,23,62,42,67.74,20,32.26,13023
13,24,72,44,61.11,28,38.89,13024
13,25,63,41,65.08,22,34.92,13025
13,26,87,59,67.82,28,32.18,13026
13,27,80,51,63.75,29,36.25,13027
13,28,60,40,66.67,20,33.33,13028
13,29,51,34,66.67,17,33.33,13029
13,30,38,25,65.79,13,34.21,13030
13,31,109,62,56.88,47,43.12,13031
13,32,80,33,41.25,47,58.75,13032
13,33,107,62,57.94,45,42.06,13033
13,34,73,47,64.38,26,35.62,13034
13,35,68,47,69.12,21,30.88,13035
13,36,35,25,71.43,10,28.57,13036
13,37,136,92,67.65,44,32.35,13037
13,38,73,34,46.58,39,53.42,13038
13,39,76,47,61.84,29,38.16,13039
13,40,45,28,62.22,17,37.78,13040
13,41,86,61,70.93,25,29.07,13041
13,42,114,57,50.0,57,50.0,13042
13,43,97,49,50.52,48,49.48,13043
13,44,60,48,80.0,12,20.0,13044
13,45,83,44,53.01,39,46.99,13045
13,46,66,43,65.15,23,34.85,13046
13,47,93,67,72.04,26,27.96,13047
13,48,84,42,50.0,42,50.0,13048
14,1,144,68,47.22,76,52.78,14001
14,2,82,58,70.73,24,29.27,14002
14,3,48,38,79.17,10,20.83,14003
14,4,74,42,56.76,32,43.24,14004
14,5,60,38,63.33,22,36.67,14005
14,6,22,16,72.73,6,27.27,14006
14,7,84,58,69.05,26,30.95,14007
14,8,71,50,70.42,21,29.58,14008
14,9,84,51,60.71,33,39.29,14009
14,10,48,31,64.58,17,35.42,14010
14,11,26,16,61.54,10,38.46,14011
14,12,82,62,75.61,20,24.39,14012
14,13,70,53,75.71,17,24.29,14013
14,14,72,47,65.28,25,34.72,14014
14,15,52,41,78.85,11,21.15,14015
14,16,62,49,79.03,13,20.97,14016
14,17,38,35,92.11,3,7.89,14017
14,18,39,23,58.97,16,41.03,14018
14,19,63,43,68.25,20,31.75,14019
14,20,53,34,64.15,19,35.85,14020
14,21,43,32,74.42,11,25.58,14021
14,22,97,64,65.98,33,34.02,14022
14,23,68,38,55.88,30,44.12,14023
14,24,114,64,56.14,50,43.86,14024
14,25,31,21,67.74,10,32.26,14025
14,26,60,45,75.0,15,25.0,14026
14,27,66,45,68.18,21,31.82,14027
14,28,47,33,70.21,14,29.79,14028
14,29,52,36,69.23,16,30.77,14029
14,30,41,31,75.61,10,24.39,14030
14,31,46,27,58.7,19,41.3,14031
15,1,77,51,66.23,26,33.77,15001
15,2,59,43,72.88,16,27.12,15002
15,3,75,52,69.33,23,30.67,15003
15,4,49,31,63.27,18,36.73,15004
15,5,50,35,70.0,15,30.0,15005
15,6,56,39,69.64,17,30.36,15006
15,7,50,34,68.0,16,32.0,15007
15,8,56,33,58.93,23,41.07,15008
15,9,78,54,69.23,24,30.77,15009
15,10,121,65,53.72,56,46.28,15010
15,11,75,50,66.67,25,33.33,15011
15,12,64,43,67.19,21,32.81,15012
15,13,71,48,67.61,23,32.39,15013
15,14,44,29,65.91,15,34.09,15014
15,15,52,30,57.69,22,42.31,15015
15,16,62,47,75.81,15,24.19,15016
15,17,80,61,76.25,19,23.75,15017
15,18,56,40,71.43,16,28.57,15018
15,19,86,68,79.07,18,20.93,15019
15,20,70,52,74.29,18,25.71,15020
15,21,58,43,74.14,15,25.86,15021
15,22,74,44,59.46,30,40.54,15022
15,23,92,67,72.83,25,27.17,15023
15,24,51,41,80.39,10,19.61,15024
16,1,83,53,63.86,30,36.14,16001
16,2,85,66,77.65,19,22.35,16002
16,3,64,48,75.0,16,25.0,16003
16,4,69,49,71.01,20,28.99,16004
16,5,61,44,72.13,17,27.87,16005
16,6,81,56,69.14,25,30.86,16006
16,7,81,57,70.37,24,29.63,16007
16,8,46,33,71.74,13,28.26,16008
16,9,75,56,74.67,19,25.33,16009
16,10,79,58,73.42,21,26.58,16010
16,11,58,44,75.86,14,24.14,16011
16,12,46,31,67.39,15,32.61,16012
16,13,25,18,72.0,7,28.0,16013
16,14,61,49,80.33,12,19.67,16014
16,15,80,61,76.25,19,23.75,16015
16,16,92,79,85.87,13,14.13,16016
16,17,64,49,76.56,15,23.44,16017
16,18,72,58,80.56,14,19.44,16018
16,19,73,55,75.34,18,24.66,16019
16,20,66,50,75.76,16,24.24,16020
16,21,53,43,81.13,10,18.87,16021
16,22,57,44,77.19,13,22.81,16022
16,23,48,29,60.42,19,39.58,16023
16,24,41,27,65.85,14,34.15,16024
16,25,106,85,80.19,21,19.81,16025
16,26,50,37,74.0,13,26.0,16026
16,27,44,32,72.73,12,27.27,16027
16,28,90,68,75.56,22,24.44,16028
16,29,63,48,76.19,15,23.81,16029
16,30,60,40,66.67,20,33.33,16030
16,31,71,57,80.28,14,19.72,16031
16,32,63,39,61.9,24,38.1,16032
16,33,61,48,78.69,13,21.31,16033
16,34,72,53,73.61,19,26.39,16034
16,35,57,41,71.93,16,28.07,16035
16,36,48,33,68.75,15,31.25,16036
17,1,66,46,69.7,20,30.3,17001
17,2,102,77,75.49,25,24.51,17002
17,3,117,90,76.92,27,23.08,17003
17,4,149,106,71.14,43,28.86,17004
17,5,91,73,80.22,18,19.78,17005
17,6,82,68,82.93,14,17.07,17006
17,7,67,43,64.18,24,35.82,17007
17,8,75,53,70.67,22,29.33,17008
17,9,94,67,71.28,27,28.72,17009
17,10,135,108,80.0,27,20.0,17010
17,11,67,49,73.13,18,26.87,17011
17,12,87,61,70.11,26,29.89,17012
17,13,84,64,76.19,20,23.81,17013
