ward,precinct,total,Michelle A. Harris,Michelle A. Harris Percent,precinct_id
6,12,54,54,100.0,06012
6,13,125,125,100.0,06013
6,14,131,131,100.0,06014
6,15,75,75,100.0,06015
6,16,158,158,100.0,06016
6,17,62,62,100.0,06017
6,18,81,81,100.0,06018
6,19,87,87,100.0,06019
6,20,68,68,100.0,06020
6,25,31,31,100.0,06025
6,26,32,32,100.0,06026
6,28,28,28,100.0,06028
6,29,182,182,100.0,06029
6,30,79,79,100.0,06030
6,31,174,174,100.0,06031
6,32,130,130,100.0,06032
6,33,141,141,100.0,06033
6,34,138,138,100.0,06034
6,35,158,158,100.0,06035
6,36,176,176,100.0,06036
6,37,204,204,100.0,06037
6,38,169,169,100.0,06038
6,39,103,103,100.0,06039
6,40,103,103,100.0,06040
6,41,153,153,100.0,06041
6,42,115,115,100.0,06042
6,43,110,110,100.0,06043
6,44,128,128,100.0,06044
6,45,148,148,100.0,06045
6,46,110,110,100.0,06046
6,47,102,102,100.0,06047
6,48,109,109,100.0,06048
7,1,85,85,100.0,07001
7,2,97,97,100.0,07002
7,3,123,123,100.0,07003
7,4,113,113,100.0,07004
7,10,167,167,100.0,07010
7,15,134,134,100.0,07015
7,19,103,103,100.0,07019
7,20,63,63,100.0,07020
7,23,145,145,100.0,07023
7,24,75,75,100.0,07024
7,26,116,116,100.0,07026
7,27,102,102,100.0,07027
7,28,71,71,100.0,07028
7,29,101,101,100.0,07029
7,30,75,75,100.0,07030
7,31,61,61,100.0,07031
7,32,227,227,100.0,07032
7,33,227,227,100.0,07033
7,34,182,182,100.0,07034
7,35,108,108,100.0,07035
7,36,173,173,100.0,07036
7,37,141,141,100.0,07037
7,38,100,100,100.0,07038
7,39,115,115,100.0,07039
7,40,110,110,100.0,07040
7,41,82,82,100.0,07041
7,42,112,112,100.0,07042
7,43,52,52,100.0,07043
7,44,26,26,100.0,07044
8,1,102,102,100.0,08001
8,2,96,96,100.0,08002
8,3,208,208,100.0,08003
8,4,181,181,100.0,08004
8,5,185,185,100.0,08005
8,6,163,163,100.0,08006
8,7,188,188,100.0,08007
8,8,196,196,100.0,08008
8,9,82,82,100.0,08009
8,10,253,253,100.0,08010
8,11,94,94,100.0,08011
8,12,110,110,100.0,08012
8,13,134,134,100.0,08013
8,14,50,50,100.0,08014
8,15,113,113,100.0,08015
8,16,30,30,100.0,08016
8,17,149,149,100.0,08017
8,18,60,60,100.0,08018
8,19,196,196,100.0,08019
8,20,176,176,100.0,08020
8,21,169,169,100.0,08021
8,22,136,136,100.0,08022
8,23,85,85,100.0,08023
8,24,90,90,100.0,08024
8,25,109,109,100.0,08025
8,26,93,93,100.0,08026
8,27,226,226,100.0,08027
8,28,144,144,100.0,08028
8,29,173,173,100.0,08029
8,30,163,163,100.0,08030
8,31,101,101,100.0,08031
8,32,118,118,100.0,08032
8,33,104,104,100.0,08033
8,34,145,145,100.0,08034
8,35,172,172,100.0,08035
8,36,149,149,100.0,08036
8,37,133,133,100.0,08037
8,38,94,94,100.0,08038
8,39,144,144,100.0,08039
8,40,97,97,100.0,08040
8,41,137,137,100.0,08041
8,42,169,169,100.0,08042
8,43,53,53,100.0,08043
8,44,103,103,100.0,08044
8,45,64,64,100.0,08045
8,46,103,103,100.0,08046
8,47,126,126,100.0,08047
8,48,122,122,100.0,08048
8,49,138,138,100.0,08049
8,50,154,154,100.0,08050
8,51,181,181,100.0,08051
8,52,230,230,100.0,08052
8,53,76,76,100.0,08053
8,54,61,61,100.0,08054
8,55,144,144,100.0,08055
8,56,174,174,100.0,08056
9,4,79,79,100.0,09004
9,6,99,99,100.0,09006
9,10,71,71,100.0,09010
9,11,59,59,100.0,09011
9,12,163,163,100.0,09012
9,16,92,92,100.0,09016
9,18,92,92,100.0,09018
9,19,99,99,100.0,09019
9,20,114,114,100.0,09020
9,21,94,94,100.0,09021
9,23,163,163,100.0,09023
9,24,159,159,100.0,09024
9,25,116,116,100.0,09025
9,27,108,108,100.0,09027
9,30,80,80,100.0,09030
9,36,86,86,100.0,09036
9,39,144,144,100.0,09039
9,42,168,168,100.0,09042
9,44,119,119,100.0,09044
9,47,165,165,100.0,09047
9,48,168,168,100.0,09048
9,49,159,159,100.0,09049
9,50,214,214,100.0,09050
9,51,166,166,100.0,09051
10,15,77,77,100.0,10015
17,2,95,95,100.0,17002
17,4,123,123,100.0,17004
17,9,79,79,100.0,17009
17,10,111,111,100.0,17010
17,15,106,106,100.0,17015
17,18,141,141,100.0,17018
17,20,149,149,100.0,17020
17,21,175,175,100.0,17021
17,22,92,92,100.0,17022
17,24,122,122,100.0,17024
17,26,108,108,100.0,17026
17,27,105,105,100.0,17027
17,29,101,101,100.0,17029
17,38,97,97,100.0,17038
17,39,98,98,100.0,17039
17,40,137,137,100.0,17040
17,41,134,134,100.0,17041
18,1,83,83,100.0,18001
18,2,58,58,100.0,18002
18,4,163,163,100.0,18004
18,7,90,90,100.0,18007
18,8,156,156,100.0,18008
18,9,169,169,100.0,18009
18,10,230,230,100.0,18010
18,11,100,100,100.0,18011
18,12,124,124,100.0,18012
18,13,106,106,100.0,18013
18,14,158,158,100.0,18014
18,16,127,127,100.0,18016
18,17,90,90,100.0,18017
18,18,152,152,100.0,18018
18,19,136,136,100.0,18019
18,20,82,82,100.0,18020
18,21,180,180,100.0,18021
18,22,164,164,100.0,18022
18,23,105,105,100.0,18023
18,26,210,210,100.0,18026
18,27,94,94,100.0,18027
18,29,119,119,100.0,18029
18,31,116,116,100.0,18031
18,32,137,137,100.0,18032
18,34,199,199,100.0,18034
18,35,163,163,100.0,18035
18,36,81,81,100.0,18036
18,37,184,184,100.0,18037
18,38,121,121,100.0,18038
18,39,79,79,100.0,18039
18,41,177,177,100.0,18041
18,42,82,82,100.0,18042
18,45,75,75,100.0,18045
18,47,74,74,100.0,18047
18,49,57,57,100.0,18049
18,50,71,71,100.0,18050
19,10,28,28,100.0,19010
19,11,6,6,100.0,19011
19,13,223,223,100.0,19013
19,14,191,191,100.0,19014
19,20,169,169,100.0,19020
19,25,43,43,100.0,19025
19,27,180,180,100.0,19027
19,28,211,211,100.0,19028
19,36,213,213,100.0,19036
19,37,212,212,100.0,19037
19,38,169,169,100.0,19038
19,39,38,38,100.0,19039
19,40,169,169,100.0,19040
19,42,137,137,100.0,19042
19,43,206,206,100.0,19043
19,47,291,291,100.0,19047
19,48,157,157,100.0,19048
19,49,236,236,100.0,19049
19,57,3,3,100.0,19057
20,1,130,130,100.0,20001
20,3,110,110,100.0,20003
20,5,114,114,100.0,20005
20,8,94,94,100.0,20008
20,9,178,178,100.0,20009
20,10,64,64,100.0,20010
20,13,97,97,100.0,20013
20,14,69,69,100.0,20014
20,16,134,134,100.0,20016
20,18,73,73,100.0,20018
20,19,80,80,100.0,20019
20,22,193,193,100.0,20022
20,24,142,142,100.0,20024
20,26,128,128,100.0,20026
20,28,60,60,100.0,20028
20,29,126,126,100.0,20029
20,33,62,62,100.0,20033
20,34,125,125,100.0,20034
20,35,28,28,100.0,20035
21,1,153,153,100.0,21001
21,2,64,64,100.0,21002
21,3,153,153,100.0,21003
21,4,116,116,100.0,21004
21,5,157,157,100.0,21005
21,6,89,89,100.0,21006
21,7,163,163,100.0,21007
21,8,136,136,100.0,21008
21,9,160,160,100.0,21009
21,10,123,123,100.0,21010
21,11,109,109,100.0,21011
21,12,94,94,100.0,21012
21,13,101,101,100.0,21013
21,14,146,146,100.0,21014
21,15,103,103,100.0,21015
21,16,89,89,100.0,21016
21,17,95,95,100.0,21017
21,18,157,157,100.0,21018
21,19,141,141,100.0,21019
21,20,132,132,100.0,21020
21,21,117,117,100.0,21021
21,22,123,123,100.0,21022
21,23,126,126,100.0,21023
21,24,137,137,100.0,21024
21,25,128,128,100.0,21025
21,26,73,73,100.0,21026
21,27,135,135,100.0,21027
21,28,134,134,100.0,21028
21,29,144,144,100.0,21029
21,30,94,94,100.0,21030
21,31,130,130,100.0,21031
21,32,104,104,100.0,21032
21,33,95,95,100.0,21033
21,34,95,95,100.0,21034
21,35,156,156,100.0,21035
21,36,116,116,100.0,21036
21,37,102,102,100.0,21037
21,38,93,93,100.0,21038
21,39,77,77,100.0,21039
21,40,120,120,100.0,21040
21,41,150,150,100.0,21041
21,42,141,141,100.0,21042
21,43,133,133,100.0,21043
21,44,137,137,100.0,21044
21,45,107,107,100.0,21045
21,46,135,135,100.0,21046
21,47,98,98,100.0,21047
21,48,124,124,100.0,21048
21,49,155,155,100.0,21049
21,50,104,104,100.0,21050
21,51,145,145,100.0,21051
21,52,136,136,100.0,21052
21,53,101,101,100.0,21053
21,54,111,111,100.0,21054
34,1,170,170,100.0,34001
34,2,127,127,100.0,34002
34,3,137,137,100.0,34003
34,4,84,84,100.0,34004
34,5,96,96,100.0,34005
34,6,143,143,100.0,34006
34,7,152,152,100.0,34007
34,8,90,90,100.0,34008
34,9,69,69,100.0,34009
34,10,151,151,100.0,34010
34,11,71,71,100.0,34011
34,12,164,164,100.0,34012
34,13,112,112,100.0,34013
34,14,88,88,100.0,34014
34,15,106,106,100.0,34015
34,16,107,107,100.0,34016
34,17,158,158,100.0,34017
34,18,68,68,100.0,34018
34,19,118,118,100.0,34019
34,20,187,187,100.0,34020
34,21,198,198,100.0,34021
34,22,135,135,100.0,34022
34,23,99,99,100.0,34023
34,24,90,90,100.0,34024
34,25,203,203,100.0,34025
34,26,143,143,100.0,34026
34,27,73,73,100.0,34027
34,28,44,44,100.0,34028
34,29,94,94,100.0,34029
34,30,171,171,100.0,34030
34,31,75,75,100.0,34031
34,32,98,98,100.0,34032
34,33,90,90,100.0,34033
34,34,155,155,100.0,34034
34,35,157,157,100.0,34035
34,36,120,120,100.0,34036
34,37,39,39,100.0,34037
34,38,41,41,100.0,34038
34,39,59,59,100.0,34039
34,40,120,120,100.0,34040
34,41,61,61,100.0,34041
34,42,140,140,100.0,34042
34,43,145,145,100.0,34043
34,44,138,138,100.0,34044
34,45,135,135,100.0,34045
34,46,115,115,100.0,34046
34,47,96,96,100.0,34047
34,48,162,162,100.0,34048
34,49,158,158,100.0,34049
34,50,91,91,100.0,34050
34,51,163,163,100.0,34051
34,52,118,118,100.0,34052
34,53,62,62,100.0,34053
