ward,precinct,total,Stanley S. Moore,Stanley S. Moore Percent,precinct_id
21,36,118,118,100.0,21036
21,37,105,105,100.0,21037
21,38,91,91,100.0,21038
21,39,75,75,100.0,21039
21,40,117,117,100.0,21040
21,41,152,152,100.0,21041
21,42,137,137,100.0,21042
21,43,133,133,100.0,21043
21,44,139,139,100.0,21044
21,45,112,112,100.0,21045
21,46,129,129,100.0,21046
21,47,100,100,100.0,21047
21,48,126,126,100.0,21048
21,49,154,154,100.0,21049
21,50,98,98,100.0,21050
21,51,140,140,100.0,21051
21,52,136,136,100.0,21052
21,53,98,98,100.0,21053
21,54,112,112,100.0,21054
