ward,precinct,total,ROBERT DALLAS,ROBERT DALLAS Percent,STEVE DENARI,STEVE DENARI Percent,precinct_id
28,12,1,0,0.0,1,100.0,28012
28,13,0,0,0.0,0,0.0,28013
28,15,0,0,0.0,0,0.0,28015
28,16,1,1,100.0,0,0.0,28016
28,17,1,0,0.0,1,100.0,28017
28,18,2,1,50.0,1,50.0,28018
28,19,0,0,0.0,0,0.0,28019
28,20,2,1,50.0,1,50.0,28020
28,21,1,1,100.0,0,0.0,28021
28,22,1,0,0.0,1,100.0,28022
28,23,1,0,0.0,1,100.0,28023
28,24,1,1,100.0,0,0.0,28024
28,25,1,1,100.0,0,0.0,28025
28,26,1,1,100.0,0,0.0,28026
28,27,0,0,0.0,0,0.0,28027
28,28,0,0,0.0,0,0.0,28028
28,29,4,2,50.0,2,50.0,28029
28,30,3,3,100.0,0,0.0,28030
28,31,0,0,0.0,0,0.0,28031
28,32,2,2,100.0,0,0.0,28032
28,33,0,0,0.0,0,0.0,28033
28,34,1,1,100.0,0,0.0,28034
28,35,0,0,0.0,0,0.0,28035
28,36,2,2,100.0,0,0.0,28036
28,37,0,0,0.0,0,0.0,28037
28,38,0,0,0.0,0,0.0,28038
28,39,1,1,100.0,0,0.0,28039
28,40,1,1,100.0,0,0.0,28040
28,41,0,0,0.0,0,0.0,28041
28,42,0,0,0.0,0,0.0,28042
28,43,0,0,0.0,0,0.0,28043
28,44,1,1,100.0,0,0.0,28044
28,45,0,0,0.0,0,0.0,28045
28,46,0,0,0.0,0,0.0,28046
28,47,1,0,0.0,1,100.0,28047
28,48,0,0,0.0,0,0.0,28048
28,49,1,1,100.0,0,0.0,28049
28,50,0,0,0.0,0,0.0,28050
28,51,1,1,100.0,0,0.0,28051
28,52,0,0,0.0,0,0.0,28052
28,53,0,0,0.0,0,0.0,28053
28,54,0,0,0.0,0,0.0,28054
28,55,1,1,100.0,0,0.0,28055
28,56,3,2,66.67,1,33.33,28056
28,57,0,0,0.0,0,0.0,28057
28,58,1,1,100.0,0,0.0,28058
28,59,2,0,0.0,2,100.0,28059
28,60,0,0,0.0,0,0.0,28060
28,61,0,0,0.0,0,0.0,28061
29,1,1,1,100.0,0,0.0,29001
29,3,0,0,0.0,0,0.0,29003
29,4,0,0,0.0,0,0.0,29004
29,5,2,2,100.0,0,0.0,29005
29,7,0,0,0.0,0,0.0,29007
29,8,2,2,100.0,0,0.0,29008
29,9,6,3,50.0,3,50.0,29009
29,10,0,0,0.0,0,0.0,29010
29,11,1,1,100.0,0,0.0,29011
29,12,4,2,50.0,2,50.0,29012
29,13,2,1,50.0,1,50.0,29013
29,14,3,3,100.0,0,0.0,29014
29,15,0,0,0.0,0,0.0,29015
29,16,0,0,0.0,0,0.0,29016
29,18,0,0,0.0,0,0.0,29018
29,19,0,0,0.0,0,0.0,29019
29,20,0,0,0.0,0,0.0,29020
29,21,2,2,100.0,0,0.0,29021
29,23,0,0,0.0,0,0.0,29023
29,24,0,0,0.0,0,0.0,29024
29,25,0,0,0.0,0,0.0,29025
29,26,0,0,0.0,0,0.0,29026
29,27,3,2,66.67,1,33.33,29027
29,28,2,1,50.0,1,50.0,29028
29,29,5,4,80.0,1,20.0,29029
29,30,3,1,33.33,2,66.67,29030
29,31,2,1,50.0,1,50.0,29031
29,32,1,1,100.0,0,0.0,29032
29,33,1,1,100.0,0,0.0,29033
29,35,0,0,0.0,0,0.0,29035
29,36,0,0,0.0,0,0.0,29036
29,37,3,3,100.0,0,0.0,29037
29,38,2,2,100.0,0,0.0,29038
29,39,0,0,0.0,0,0.0,29039
29,40,1,1,100.0,0,0.0,29040
29,41,0,0,0.0,0,0.0,29041
29,42,0,0,0.0,0,0.0,29042
29,43,1,0,0.0,1,100.0,29043
29,44,3,2,66.67,1,33.33,29044
29,45,1,0,0.0,1,100.0,29045
29,46,0,0,0.0,0,0.0,29046
29,47,6,2,33.33,4,66.67,29047
29,49,0,0,0.0,0,0.0,29049
29,50,2,2,100.0,0,0.0,29050
29,51,4,1,25.0,3,75.0,29051
29,52,0,0,0.0,0,0.0,29052
29,56,0,0,0.0,0,0.0,29056
31,19,0,0,0.0,0,0.0,31019
32,1,12,6,50.0,6,50.0,32001
32,6,5,3,60.0,2,40.0,32006
32,12,0,0,0.0,0,0.0,32012
32,26,11,4,36.36,7,63.64,32026
32,46,2,0,0.0,2,100.0,32046
36,4,1,0,0.0,1,100.0,36004
36,16,4,2,50.0,2,50.0,36016
36,23,2,1,50.0,1,50.0,36023
36,24,7,5,71.43,2,28.57,36024
36,26,4,2,50.0,2,50.0,36026
36,33,10,5,50.0,5,50.0,36033
36,43,1,1,100.0,0,0.0,36043
36,44,6,2,33.33,4,66.67,36044
36,54,5,2,40.0,3,60.0,36054
36,55,11,5,45.45,6,54.55,36055
37,1,1,0,0.0,1,100.0,37001
37,2,0,0,0.0,0,0.0,37002
37,3,3,1,33.33,2,66.67,37003
37,4,1,1,100.0,0,0.0,37004
37,5,0,0,0.0,0,0.0,37005
37,6,1,1,100.0,0,0.0,37006
37,7,1,0,0.0,1,100.0,37007
37,8,2,1,50.0,1,50.0,37008
37,9,1,1,100.0,0,0.0,37009
37,10,0,0,0.0,0,0.0,37010
37,12,4,1,25.0,3,75.0,37012
37,13,5,2,40.0,3,60.0,37013
37,14,0,0,0.0,0,0.0,37014
37,15,3,2,66.67,1,33.33,37015
37,16,4,2,50.0,2,50.0,37016
37,17,3,1,33.33,2,66.67,37017
37,18,1,0,0.0,1,100.0,37018
37,19,7,3,42.86,4,57.14,37019
37,20,3,2,66.67,1,33.33,37020
37,21,0,0,0.0,0,0.0,37021
37,22,0,0,0.0,0,0.0,37022
37,23,2,1,50.0,1,50.0,37023
37,24,0,0,0.0,0,0.0,37024
37,25,1,1,100.0,0,0.0,37025
37,26,4,3,75.0,1,25.0,37026
37,27,1,0,0.0,1,100.0,37027
37,28,2,2,100.0,0,0.0,37028
37,29,1,1,100.0,0,0.0,37029
37,30,3,3,100.0,0,0.0,37030
37,31,4,0,0.0,4,100.0,37031
37,32,2,2,100.0,0,0.0,37032
37,33,3,1,33.33,2,66.67,37033
37,34,1,1,100.0,0,0.0,37034
37,36,0,0,0.0,0,0.0,37036
37,37,3,1,33.33,2,66.67,37037
37,38,4,4,100.0,0,0.0,37038
37,39,1,0,0.0,1,100.0,37039
37,40,0,0,0.0,0,0.0,37040
37,41,0,0,0.0,0,0.0,37041
37,42,0,0,0.0,0,0.0,37042
37,43,0,0,0.0,0,0.0,37043
37,44,3,0,0.0,3,100.0,37044
37,45,0,0,0.0,0,0.0,37045
37,46,1,0,0.0,1,100.0,37046
37,47,2,1,50.0,1,50.0,37047
37,48,3,1,33.33,2,66.67,37048
37,49,3,3,100.0,0,0.0,37049
37,50,0,0,0.0,0,0.0,37050
42,2,16,7,43.75,9,56.25,42002
42,3,21,11,52.38,10,47.62,42003
42,4,44,31,70.45,13,29.55,42004
42,6,47,30,63.83,17,36.17,42006
42,9,23,16,69.57,7,30.43,42009
42,11,25,13,52.0,12,48.0,42011
42,12,19,13,68.42,6,31.58,42012
42,13,64,30,46.88,34,53.13,42013
42,14,16,10,62.5,6,37.5,42014
42,17,0,0,0.0,0,0.0,42017
42,18,15,8,53.33,7,46.67,42018
42,19,28,15,53.57,13,46.43,42019
42,20,10,7,70.0,3,30.0,42020
42,21,5,0,0.0,5,100.0,42021
42,22,13,5,38.46,8,61.54,42022
42,25,32,13,40.63,19,59.38,42025
42,26,6,5,83.33,1,16.67,42026
42,27,38,15,39.47,23,60.53,42027
42,31,8,6,75.0,2,25.0,42031
42,32,16,7,43.75,9,56.25,42032
42,34,25,13,52.0,12,48.0,42034
42,36,37,17,45.95,20,54.05,42036
42,37,22,10,45.45,12,54.55,42037
42,38,24,14,58.33,10,41.67,42038
42,39,10,4,40.0,6,60.0,42039
42,40,13,6,46.15,7,53.85,42040
42,41,14,9,64.29,5,35.71,42041
42,43,56,33,58.93,23,41.07,42043
42,45,14,9,64.29,5,35.71,42045
42,46,13,8,61.54,5,38.46,42046
42,47,29,17,58.62,12,41.38,42047
42,48,3,1,33.33,2,66.67,42048
42,49,17,9,52.94,8,47.06,42049
42,50,41,23,56.1,18,43.9,42050
42,51,20,14,70.0,6,30.0,42051
42,52,20,11,55.0,9,45.0,42052
42,53,23,11,47.83,12,52.17,42053
42,54,17,12,70.59,5,29.41,42054
42,55,36,14,38.89,22,61.11,42055
42,56,6,4,66.67,2,33.33,42056
42,57,19,10,52.63,9,47.37,42057
42,58,22,11,50.0,11,50.0,42058
42,59,11,8,72.73,3,27.27,42059
42,60,16,8,50.0,8,50.0,42060
42,62,27,19,70.37,8,29.63,42062
42,63,39,28,71.79,11,28.21,42063
42,64,10,6,60.0,4,40.0,42064
42,65,21,8,38.1,13,61.9,42065
42,66,16,8,50.0,8,50.0,42066
42,67,7,3,42.86,4,57.14,42067
43,1,1,0,0.0,1,100.0,43001
43,13,5,4,80.0,1,20.0,43013
43,25,8,1,12.5,7,87.5,43025
43,40,5,4,80.0,1,20.0,43040
43,55,1,1,100.0,0,0.0,43055
