ward,precinct,total,Hillary Clinton,Hillary Clinton Percent,Willie L. Wilson,Willie L. Wilson Percent,Martin J. O'Malley,Martin J. O'Malley Percent,Roque ''Rocky'' De La Fuente,Roque ''Rocky'' De La Fuente Percent,Larry (Lawrence) Cohen,Larry (Lawrence) Cohen Percent,Bernie Sanders,Bernie Sanders Percent,precinct_id
3,9,455,249,54.73,8,1.76,2,0.44,1,0.22,0,0.0,195,42.86,03009
3,10,256,180,70.31,1,0.39,3,1.17,0,0.0,0,0.0,72,28.13,03010
3,11,475,269,56.63,3,0.63,0,0.0,0,0.0,0,0.0,203,42.74,03011
3,12,484,310,64.05,9,1.86,0,0.0,0,0.0,0,0.0,165,34.09,03012
3,13,420,276,65.71,0,0.0,1,0.24,1,0.24,0,0.0,142,33.81,03013
3,14,407,221,54.3,1,0.25,0,0.0,1,0.25,0,0.0,184,45.21,03014
3,15,477,312,65.41,7,1.47,1,0.21,0,0.0,0,0.0,157,32.91,03015
3,16,445,284,63.82,4,0.9,0,0.0,0,0.0,0,0.0,157,35.28,03016
3,17,449,258,57.46,2,0.45,1,0.22,1,0.22,0,0.0,187,41.65,03017
3,18,671,427,63.64,6,0.89,0,0.0,1,0.15,0,0.0,237,35.32,03018
3,19,359,235,65.46,0,0.0,1,0.28,0,0.0,0,0.0,123,34.26,03019
3,20,498,295,59.24,4,0.8,1,0.2,0,0.0,0,0.0,198,39.76,03020
3,21,387,296,76.49,0,0.0,1,0.26,0,0.0,1,0.26,89,23.0,03021
3,22,469,211,44.99,0,0.0,0,0.0,0,0.0,0,0.0,258,55.01,03022
3,23,434,308,70.97,0,0.0,0,0.0,1,0.23,1,0.23,124,28.57,03023
3,24,420,280,66.67,3,0.71,0,0.0,0,0.0,0,0.0,137,32.62,03024
3,25,493,333,67.55,0,0.0,2,0.41,0,0.0,0,0.0,158,32.05,03025
3,26,465,298,64.09,2,0.43,6,1.29,1,0.22,0,0.0,158,33.98,03026
3,27,364,194,53.3,1,0.27,1,0.27,0,0.0,0,0.0,168,46.15,03027
3,28,306,221,72.22,6,1.96,0,0.0,0,0.0,1,0.33,78,25.49,03028
3,29,485,313,64.54,11,2.27,0,0.0,0,0.0,2,0.41,159,32.78,03029
3,30,441,267,60.54,7,1.59,0,0.0,0,0.0,0,0.0,167,37.87,03030
3,31,550,330,60.0,4,0.73,0,0.0,0,0.0,0,0.0,216,39.27,03031
3,32,438,244,55.71,1,0.23,2,0.46,0,0.0,0,0.0,191,43.61,03032
3,33,407,222,54.55,3,0.74,0,0.0,0,0.0,0,0.0,182,44.72,03033
3,34,471,287,60.93,2,0.42,0,0.0,1,0.21,0,0.0,181,38.43,03034
3,35,219,135,61.64,5,2.28,0,0.0,1,0.46,0,0.0,78,35.62,03035
3,36,265,174,65.66,3,1.13,0,0.0,0,0.0,0,0.0,88,33.21,03036
3,37,395,251,63.54,3,0.76,2,0.51,0,0.0,0,0.0,139,35.19,03037
3,38,387,287,74.16,6,1.55,0,0.0,0,0.0,0,0.0,94,24.29,03038
3,39,404,230,56.93,0,0.0,3,0.74,0,0.0,0,0.0,171,42.33,03039
3,40,494,288,58.3,1,0.2,1,0.2,0,0.0,0,0.0,204,41.3,03040
3,41,379,226,59.63,8,2.11,2,0.53,0,0.0,0,0.0,143,37.73,03041
4,1,535,227,42.43,1,0.19,0,0.0,0,0.0,0,0.0,307,57.38,04001
4,2,433,249,57.51,0,0.0,2,0.46,0,0.0,0,0.0,182,42.03,04002
4,3,465,293,63.01,3,0.65,2,0.43,0,0.0,0,0.0,167,35.91,04003
4,4,648,392,60.49,6,0.93,0,0.0,0,0.0,1,0.15,249,38.43,04004
4,5,486,258,53.09,5,1.03,0,0.0,0,0.0,1,0.21,222,45.68,04005
4,6,557,400,71.81,4,0.72,1,0.18,0,0.0,0,0.0,152,27.29,04006
4,7,550,359,65.27,4,0.73,1,0.18,0,0.0,0,0.0,186,33.82,04007
4,8,536,310,57.84,3,0.56,0,0.0,0,0.0,0,0.0,223,41.6,04008
4,9,569,354,62.21,4,0.7,0,0.0,0,0.0,0,0.0,211,37.08,04009
4,10,552,324,58.7,0,0.0,0,0.0,0,0.0,0,0.0,228,41.3,04010
4,11,530,332,62.64,5,0.94,0,0.0,1,0.19,0,0.0,192,36.23,04011
4,12,526,303,57.6,3,0.57,1,0.19,0,0.0,0,0.0,219,41.63,04012
4,13,387,140,36.18,2,0.52,0,0.0,0,0.0,0,0.0,245,63.31,04013
4,14,472,267,56.57,4,0.85,0,0.0,0,0.0,0,0.0,201,42.58,04014
4,15,602,343,56.98,2,0.33,1,0.17,0,0.0,1,0.17,255,42.36,04015
4,16,504,224,44.44,0,0.0,2,0.4,0,0.0,0,0.0,278,55.16,04016
4,17,504,229,45.44,0,0.0,1,0.2,0,0.0,0,0.0,274,54.37,04017
4,18,432,306,70.83,4,0.93,1,0.23,0,0.0,0,0.0,121,28.01,04018
4,19,507,319,62.92,1,0.2,0,0.0,1,0.2,0,0.0,186,36.69,04019
4,20,392,227,57.91,1,0.26,3,0.77,0,0.0,0,0.0,161,41.07,04020
4,21,515,198,38.45,2,0.39,0,0.0,0,0.0,0,0.0,315,61.17,04021
4,22,476,298,62.61,3,0.63,0,0.0,0,0.0,0,0.0,175,36.76,04022
4,23,614,301,49.02,0,0.0,1,0.16,0,0.0,0,0.0,312,50.81,04023
4,24,443,242,54.63,0,0.0,0,0.0,0,0.0,0,0.0,201,45.37,04024
4,25,424,226,53.3,4,0.94,0,0.0,0,0.0,1,0.24,193,45.52,04025
4,26,479,314,65.55,3,0.63,0,0.0,0,0.0,0,0.0,162,33.82,04026
4,27,524,227,43.32,0,0.0,0,0.0,0,0.0,1,0.19,296,56.49,04027
4,28,408,255,62.5,4,0.98,0,0.0,0,0.0,0,0.0,149,36.52,04028
4,29,455,266,58.46,2,0.44,0,0.0,0,0.0,0,0.0,187,41.1,04029
4,30,639,410,64.16,2,0.31,0,0.0,0,0.0,0,0.0,227,35.52,04030
4,31,486,329,67.7,3,0.62,1,0.21,0,0.0,0,0.0,153,31.48,04031
4,32,501,275,54.89,3,0.6,1,0.2,0,0.0,0,0.0,222,44.31,04032
4,33,524,298,56.87,2,0.38,1,0.19,0,0.0,0,0.0,223,42.56,04033
4,34,408,227,55.64,5,1.23,0,0.0,0,0.0,0,0.0,176,43.14,04034
4,35,575,385,66.96,5,0.87,0,0.0,0,0.0,1,0.17,184,32.0,04035
4,36,522,293,56.13,5,0.96,0,0.0,0,0.0,0,0.0,224,42.91,04036
4,37,450,270,60.0,0,0.0,4,0.89,0,0.0,0,0.0,176,39.11,04037
4,38,516,327,63.37,4,0.78,2,0.39,0,0.0,0,0.0,183,35.47,04038
5,1,393,242,61.58,0,0.0,1,0.25,0,0.0,0,0.0,150,38.17,05001
5,2,391,245,62.66,3,0.77,0,0.0,0,0.0,0,0.0,143,36.57,05002
5,3,480,197,41.04,1,0.21,1,0.21,0,0.0,0,0.0,281,58.54,05003
5,4,522,269,51.53,3,0.57,0,0.0,0,0.0,0,0.0,250,47.89,05004
5,5,450,279,62.0,3,0.67,0,0.0,0,0.0,0,0.0,168,37.33,05005
5,6,382,233,60.99,2,0.52,1,0.26,0,0.0,0,0.0,146,38.22,05006
5,7,434,235,54.15,2,0.46,0,0.0,0,0.0,0,0.0,197,45.39,05007
5,8,457,228,49.89,1,0.22,0,0.0,0,0.0,1,0.22,227,49.67,05008
5,9,536,260,48.51,1,0.19,0,0.0,0,0.0,0,0.0,275,51.31,05009
5,10,380,244,64.21,1,0.26,0,0.0,0,0.0,0,0.0,135,35.53,05010
5,11,468,231,49.36,0,0.0,0,0.0,0,0.0,1,0.21,236,50.43,05011
5,12,360,224,62.22,1,0.28,0,0.0,1,0.28,0,0.0,134,37.22,05012
5,13,378,243,64.29,1,0.26,0,0.0,0,0.0,0,0.0,134,35.45,05013
5,14,399,221,55.39,3,0.75,0,0.0,0,0.0,1,0.25,174,43.61,05014
5,15,434,234,53.92,3,0.69,0,0.0,0,0.0,1,0.23,196,45.16,05015
5,16,431,262,60.79,4,0.93,0,0.0,0,0.0,0,0.0,165,38.28,05016
5,17,444,295,66.44,5,1.13,0,0.0,0,0.0,1,0.23,143,32.21,05017
5,18,405,170,41.98,0,0.0,0,0.0,0,0.0,0,0.0,235,58.02,05018
5,19,435,195,44.83,1,0.23,0,0.0,0,0.0,0,0.0,239,54.94,05019
5,20,486,258,53.09,3,0.62,0,0.0,0,0.0,0,0.0,225,46.3,05020
5,21,476,219,46.01,0,0.0,0,0.0,0,0.0,0,0.0,257,53.99,05021
5,22,476,289,60.71,2,0.42,1,0.21,0,0.0,0,0.0,184,38.66,05022
5,23,703,337,47.94,3,0.43,1,0.14,0,0.0,1,0.14,361,51.35,05023
5,24,507,224,44.18,2,0.39,1,0.2,0,0.0,0,0.0,280,55.23,05024
5,25,423,292,69.03,4,0.95,0,0.0,0,0.0,0,0.0,127,30.02,05025
5,26,443,264,59.59,3,0.68,1,0.23,0,0.0,0,0.0,175,39.5,05026
5,27,460,197,42.83,1,0.22,1,0.22,0,0.0,0,0.0,261,56.74,05027
5,28,474,290,61.18,6,1.27,0,0.0,1,0.21,1,0.21,176,37.13,05028
5,29,479,283,59.08,4,0.84,1,0.21,0,0.0,0,0.0,191,39.87,05029
5,30,346,215,62.14,8,2.31,0,0.0,1,0.29,0,0.0,122,35.26,05030
5,31,377,231,61.27,0,0.0,0,0.0,0,0.0,0,0.0,146,38.73,05031
5,32,485,312,64.33,3,0.62,1,0.21,0,0.0,0,0.0,169,34.85,05032
5,33,475,334,70.32,2,0.42,0,0.0,0,0.0,0,0.0,139,29.26,05033
5,34,549,280,51.0,0,0.0,0,0.0,0,0.0,0,0.0,269,49.0,05034
5,35,477,226,47.38,1,0.21,0,0.0,0,0.0,0,0.0,250,52.41,05035
5,36,358,237,66.2,3,0.84,0,0.0,0,0.0,1,0.28,117,32.68,05036
5,37,431,267,61.95,0,0.0,0,0.0,0,0.0,0,0.0,164,38.05,05037
5,38,455,281,61.76,4,0.88,0,0.0,0,0.0,0,0.0,170,37.36,05038
5,39,347,194,55.91,1,0.29,1,0.29,0,0.0,0,0.0,151,43.52,05039
5,40,355,205,57.75,2,0.56,0,0.0,0,0.0,0,0.0,148,41.69,05040
5,41,243,167,68.72,1,0.41,0,0.0,0,0.0,0,0.0,75,30.86,05041
6,1,417,280,67.15,4,0.96,0,0.0,0,0.0,0,0.0,133,31.89,06001
6,2,403,265,65.76,3,0.74,0,0.0,0,0.0,0,0.0,135,33.5,06002
6,3,408,310,75.98,5,1.23,0,0.0,0,0.0,0,0.0,93,22.79,06003
6,4,311,216,69.45,1,0.32,1,0.32,0,0.0,0,0.0,93,29.9,06004
6,5,279,190,68.1,2,0.72,1,0.36,0,0.0,1,0.36,85,30.47,06005
6,6,388,244,62.89,5,1.29,0,0.0,0,0.0,0,0.0,139,35.82,06006
6,7,380,234,61.58,3,0.79,0,0.0,0,0.0,0,0.0,143,37.63,06007
6,8,417,287,68.82,4,0.96,0,0.0,1,0.24,0,0.0,125,29.98,06008
6,9,410,262,63.9,1,0.24,0,0.0,0,0.0,0,0.0,147,35.85,06009
6,10,287,203,70.73,2,0.7,1,0.35,0,0.0,0,0.0,81,28.22,06010
6,11,408,263,64.46,6,1.47,1,0.25,0,0.0,0,0.0,138,33.82,06011
6,12,341,227,66.57,5,1.47,0,0.0,0,0.0,0,0.0,109,31.96,06012
6,13,299,176,58.86,2,0.67,0,0.0,0,0.0,0,0.0,121,40.47,06013
6,14,354,247,69.77,6,1.69,0,0.0,0,0.0,0,0.0,101,28.53,06014
6,15,385,243,63.12,6,1.56,1,0.26,0,0.0,0,0.0,135,35.06,06015
6,16,422,260,61.61,2,0.47,0,0.0,0,0.0,0,0.0,160,37.91,06016
6,17,323,201,62.23,2,0.62,1,0.31,0,0.0,0,0.0,119,36.84,06017
6,18,285,194,68.07,9,3.16,0,0.0,1,0.35,2,0.7,79,27.72,06018
6,19,379,262,69.13,1,0.26,0,0.0,0,0.0,0,0.0,116,30.61,06019
6,20,268,180,67.16,2,0.75,0,0.0,0,0.0,0,0.0,86,32.09,06020
6,21,263,179,68.06,2,0.76,3,1.14,0,0.0,0,0.0,79,30.04,06021
6,22,277,204,73.65,2,0.72,0,0.0,0,0.0,0,0.0,71,25.63,06022
6,23,283,194,68.55,2,0.71,1,0.35,0,0.0,0,0.0,86,30.39,06023
6,24,295,216,73.22,5,1.69,0,0.0,1,0.34,1,0.34,72,24.41,06024
6,25,259,164,63.32,4,1.54,0,0.0,0,0.0,0,0.0,91,35.14,06025
6,26,337,220,65.28,2,0.59,0,0.0,0,0.0,1,0.3,114,33.83,06026
6,27,257,186,72.37,1,0.39,0,0.0,0,0.0,0,0.0,70,27.24,06027
6,28,230,161,70.0,0,0.0,1,0.43,0,0.0,0,0.0,68,29.57,06028
6,29,418,263,62.92,6,1.44,1,0.24,0,0.0,0,0.0,148,35.41,06029
6,30,349,230,65.9,5,1.43,0,0.0,0,0.0,0,0.0,114,32.66,06030
6,31,387,258,66.67,2,0.52,0,0.0,0,0.0,0,0.0,127,32.82,06031
6,32,369,269,72.9,1,0.27,0,0.0,0,0.0,0,0.0,99,26.83,06032
6,33,411,258,62.77,10,2.43,2,0.49,0,0.0,0,0.0,141,34.31,06033
6,34,398,274,68.84,5,1.26,0,0.0,0,0.0,0,0.0,119,29.9,06034
6,35,363,252,69.42,2,0.55,0,0.0,0,0.0,1,0.28,108,29.75,06035
6,36,437,313,71.62,5,1.14,0,0.0,0,0.0,0,0.0,119,27.23,06036
6,37,400,251,62.75,9,2.25,0,0.0,0,0.0,0,0.0,140,35.0,06037
6,38,416,273,65.63,2,0.48,1,0.24,0,0.0,1,0.24,139,33.41,06038
6,39,382,238,62.3,6,1.57,1,0.26,1,0.26,0,0.0,136,35.6,06039
6,40,346,222,64.16,3,0.87,0,0.0,0,0.0,1,0.29,120,34.68,06040
6,41,428,285,66.59,4,0.93,0,0.0,1,0.23,0,0.0,138,32.24,06041
6,42,408,276,67.65,0,0.0,0,0.0,0,0.0,0,0.0,132,32.35,06042
6,43,340,220,64.71,7,2.06,0,0.0,0,0.0,0,0.0,113,33.24,06043
6,44,399,285,71.43,2,0.5,0,0.0,0,0.0,0,0.0,112,28.07,06044
6,45,428,265,61.92,4,0.93,0,0.0,0,0.0,1,0.23,158,36.92,06045
6,46,269,186,69.14,1,0.37,0,0.0,0,0.0,0,0.0,82,30.48,06046
6,47,333,236,70.87,3,0.9,0,0.0,0,0.0,2,0.6,92,27.63,06047
6,48,407,255,62.65,3,0.74,0,0.0,0,0.0,0,0.0,149,36.61,06048
7,1,351,215,61.25,6,1.71,0,0.0,0,0.0,0,0.0,130,37.04,07001
7,2,371,226,60.92,8,2.16,0,0.0,0,0.0,1,0.27,136,36.66,07002
7,3,361,238,65.93,5,1.39,1,0.28,1,0.28,0,0.0,116,32.13,07003
7,4,392,259,66.07,2,0.51,0,0.0,0,0.0,0,0.0,131,33.42,07004
7,5,301,182,60.47,3,1.0,1,0.33,0,0.0,0,0.0,115,38.21,07005
7,6,446,262,58.74,0,0.0,0,0.0,0,0.0,2,0.45,182,40.81,07006
7,7,372,226,60.75,4,1.08,1,0.27,0,0.0,1,0.27,140,37.63,07007
7,8,313,219,69.97,5,1.6,0,0.0,1,0.32,0,0.0,88,28.12,07008
7,9,557,378,67.86,3,0.54,0,0.0,0,0.0,0,0.0,176,31.6,07009
7,10,395,276,69.87,1,0.25,0,0.0,0,0.0,1,0.25,117,29.62,07010
7,11,439,275,62.64,2,0.46,0,0.0,0,0.0,0,0.0,162,36.9,07011
7,12,380,255,67.11,3,0.79,0,0.0,0,0.0,0,0.0,122,32.11,07012
7,13,228,164,71.93,4,1.75,3,1.32,3,1.32,2,0.88,52,22.81,07013
7,14,385,233,60.52,2,0.52,0,0.0,0,0.0,2,0.52,148,38.44,07014
7,15,380,252,66.32,0,0.0,1,0.26,0,0.0,1,0.26,126,33.16,07015
7,16,335,208,62.09,3,0.9,0,0.0,0,0.0,0,0.0,124,37.01,07016
7,17,327,230,70.34,1,0.31,1,0.31,0,0.0,0,0.0,95,29.05,07017
7,18,298,181,60.74,3,1.01,0,0.0,0,0.0,0,0.0,114,38.26,07018
7,19,376,235,62.5,5,1.33,0,0.0,1,0.27,0,0.0,135,35.9,07019
7,20,278,192,69.06,2,0.72,0,0.0,0,0.0,0,0.0,84,30.22,07020
7,21,291,201,69.07,3,1.03,1,0.34,0,0.0,0,0.0,86,29.55,07021
7,22,281,180,64.06,4,1.42,0,0.0,0,0.0,0,0.0,97,34.52,07022
7,23,385,263,68.31,2,0.52,0,0.0,0,0.0,0,0.0,120,31.17,07023
7,24,347,250,72.05,1,0.29,0,0.0,0,0.0,0,0.0,96,27.67,07024
7,25,355,217,61.13,4,1.13,0,0.0,0,0.0,0,0.0,134,37.75,07025
7,26,321,213,66.36,4,1.25,0,0.0,0,0.0,0,0.0,104,32.4,07026
7,27,307,213,69.38,3,0.98,0,0.0,0,0.0,1,0.33,90,29.32,07027
7,28,263,168,63.88,4,1.52,0,0.0,0,0.0,0,0.0,91,34.6,07028
7,29,306,192,62.75,4,1.31,0,0.0,0,0.0,0,0.0,110,35.95,07029
7,30,284,195,68.66,1,0.35,1,0.35,0,0.0,1,0.35,86,30.28,07030
7,31,245,151,61.63,1,0.41,0,0.0,0,0.0,0,0.0,93,37.96,07031
7,32,490,338,68.98,1,0.2,0,0.0,0,0.0,0,0.0,151,30.82,07032
7,33,467,327,70.02,0,0.0,0,0.0,0,0.0,0,0.0,140,29.98,07033
7,34,412,278,67.48,3,0.73,2,0.49,0,0.0,0,0.0,129,31.31,07034
7,35,353,226,64.02,4,1.13,0,0.0,2,0.57,0,0.0,121,34.28,07035
7,36,442,291,65.84,1,0.23,1,0.23,0,0.0,0,0.0,149,33.71,07036
7,37,420,274,65.24,9,2.14,1,0.24,0,0.0,0,0.0,136,32.38,07037
7,38,319,208,65.2,5,1.57,0,0.0,0,0.0,0,0.0,106,33.23,07038
7,39,343,247,72.01,4,1.17,0,0.0,0,0.0,0,0.0,92,26.82,07039
7,40,333,239,71.77,3,0.9,1,0.3,0,0.0,1,0.3,89,26.73,07040
7,41,364,252,69.23,1,0.27,0,0.0,0,0.0,1,0.27,110,30.22,07041
7,42,352,250,71.02,1,0.28,0,0.0,0,0.0,0,0.0,101,28.69,07042
7,43,351,247,70.37,2,0.57,0,0.0,0,0.0,0,0.0,102,29.06,07043
7,44,344,232,67.44,3,0.87,1,0.29,0,0.0,0,0.0,108,31.4,07044
7,45,389,256,65.81,6,1.54,1,0.26,0,0.0,1,0.26,125,32.13,07045
