ward,precinct,total,RICHARD M. DALEY,RICHARD M. DALEY Percent,PATRICIA McALLISTER,PATRICIA McALLISTER Percent,"PAUL L. JAKES, JR.","PAUL L. JAKES, JR. Percent",JOSEPH McAFEE,JOSEPH McAFEE Percent,precinct_id
5,22,196,114,58.16,23,11.73,54,27.55,5,2.55,05022
5,23,157,85,54.14,21,13.38,48,30.57,3,1.91,05023
5,24,210,177,84.29,10,4.76,23,10.95,0,0.0,05024
5,25,200,113,56.5,23,11.5,55,27.5,9,4.5,05025
5,26,205,129,62.93,12,5.85,59,28.78,5,2.44,05026
5,27,150,123,82.0,8,5.33,18,12.0,1,0.67,05027
5,28,196,122,62.24,14,7.14,56,28.57,4,2.04,05028
5,29,207,113,54.59,21,10.14,69,33.33,4,1.93,05029
5,30,135,104,77.04,10,7.41,19,14.07,2,1.48,05030
5,31,166,94,56.63,17,10.24,53,31.93,2,1.2,05031
5,32,258,163,63.18,14,5.43,79,30.62,2,0.78,05032
5,33,169,119,70.41,9,5.33,40,23.67,1,0.59,05033
5,34,185,107,57.84,21,11.35,53,28.65,4,2.16,05034
5,35,124,85,68.55,8,6.45,25,20.16,6,4.84,05035
5,36,110,59,53.64,16,14.55,31,28.18,4,3.64,05036
5,37,108,78,72.22,13,12.04,15,13.89,2,1.85,05037
5,38,247,196,79.35,18,7.29,30,12.15,3,1.21,05038
5,39,146,107,73.29,8,5.48,28,19.18,3,2.05,05039
5,40,177,90,50.85,18,10.17,62,35.03,7,3.95,05040
5,41,132,112,84.85,6,4.55,12,9.09,2,1.52,05041
5,42,216,139,64.35,20,9.26,48,22.22,9,4.17,05042
5,43,202,113,55.94,11,5.45,77,38.12,1,0.5,05043
5,44,196,118,60.2,15,7.65,58,29.59,5,2.55,05044
5,45,122,79,64.75,8,6.56,29,23.77,6,4.92,05045
5,46,150,110,73.33,15,10.0,25,16.67,0,0.0,05046
5,47,148,92,62.16,12,8.11,41,27.7,3,2.03,05047
5,48,140,86,61.43,17,12.14,36,25.71,1,0.71,05048
5,49,41,23,56.1,3,7.32,12,29.27,3,7.32,05049
5,50,164,101,61.59,13,7.93,42,25.61,8,4.88,05050
5,51,131,80,61.07,8,6.11,39,29.77,4,3.05,05051
5,52,46,30,65.22,7,15.22,9,19.57,0,0.0,05052
5,53,235,153,65.11,22,9.36,57,24.26,3,1.28,05053
5,54,264,161,60.98,22,8.33,78,29.55,3,1.14,05054
5,55,153,93,60.78,12,7.84,45,29.41,3,1.96,05055
6,1,261,159,60.92,17,6.51,78,29.89,7,2.68,06001
6,2,260,143,55.0,29,11.15,83,31.92,5,1.92,06002
6,3,245,147,60.0,18,7.35,75,30.61,5,2.04,06003
6,4,184,128,69.57,18,9.78,33,17.93,5,2.72,06004
6,5,96,61,63.54,12,12.5,22,22.92,1,1.04,06005
6,6,201,115,57.21,16,7.96,69,34.33,1,0.5,06006
6,7,210,122,58.1,23,10.95,58,27.62,7,3.33,06007
6,8,210,117,55.71,16,7.62,68,32.38,9,4.29,06008
6,9,154,82,53.25,13,8.44,53,34.42,6,3.9,06009
6,10,268,163,60.82,17,6.34,75,27.99,13,4.85,06010
6,11,209,130,62.2,12,5.74,65,31.1,2,0.96,06011
6,12,162,91,56.17,23,14.2,45,27.78,3,1.85,06012
6,13,195,123,63.08,19,9.74,52,26.67,1,0.51,06013
6,14,189,90,47.62,25,13.23,67,35.45,7,3.7,06014
6,15,168,90,53.57,22,13.1,53,31.55,3,1.79,06015
6,16,222,129,58.11,20,9.01,66,29.73,7,3.15,06016
6,17,263,140,53.23,28,10.65,89,33.84,6,2.28,06017
6,18,49,36,73.47,0,0.0,11,22.45,2,4.08,06018
6,19,222,102,45.95,24,10.81,91,40.99,5,2.25,06019
6,20,206,139,67.48,20,9.71,45,21.84,2,0.97,06020
6,21,217,153,70.51,12,5.53,50,23.04,2,0.92,06021
6,22,193,113,58.55,13,6.74,62,32.12,5,2.59,06022
6,23,152,97,63.82,9,5.92,41,26.97,5,3.29,06023
6,24,221,135,61.09,20,9.05,60,27.15,6,2.71,06024
6,25,159,98,61.64,8,5.03,47,29.56,6,3.77,06025
6,26,239,147,61.51,17,7.11,70,29.29,5,2.09,06026
6,27,292,177,60.62,25,8.56,88,30.14,2,0.68,06027
6,28,363,207,57.02,32,8.82,113,31.13,11,3.03,06028
6,29,272,167,61.4,20,7.35,79,29.04,6,2.21,06029
6,30,191,82,42.93,18,9.42,84,43.98,7,3.66,06030
6,31,266,162,60.9,21,7.89,76,28.57,7,2.63,06031
6,32,248,141,56.85,9,3.63,92,37.1,6,2.42,06032
6,33,255,141,55.29,22,8.63,88,34.51,4,1.57,06033
6,34,172,94,54.65,14,8.14,60,34.88,4,2.33,06034
6,35,277,157,56.68,23,8.3,90,32.49,7,2.53,06035
6,36,95,49,51.58,10,10.53,36,37.89,0,0.0,06036
6,37,232,135,58.19,17,7.33,75,32.33,5,2.16,06037
6,38,215,134,62.33,16,7.44,60,27.91,5,2.33,06038
6,39,200,107,53.5,20,10.0,68,34.0,5,2.5,06039
6,40,99,54,54.55,11,11.11,34,34.34,0,0.0,06040
6,41,197,112,56.85,20,10.15,59,29.95,6,3.05,06041
6,42,105,56,53.33,8,7.62,39,37.14,2,1.9,06042
6,43,233,139,59.66,22,9.44,66,28.33,6,2.58,06043
6,44,208,123,59.13,16,7.69,61,29.33,8,3.85,06044
6,45,132,66,50.0,13,9.85,47,35.61,6,4.55,06045
6,46,208,119,57.21,18,8.65,67,32.21,4,1.92,06046
6,47,229,136,59.39,18,7.86,67,29.26,8,3.49,06047
6,48,235,132,56.17,18,7.66,82,34.89,3,1.28,06048
6,49,204,129,63.24,9,4.41,62,30.39,4,1.96,06049
6,50,205,129,62.93,13,6.34,61,29.76,2,0.98,06050
6,51,166,91,54.82,16,9.64,56,33.73,3,1.81,06051
6,52,147,77,52.38,13,8.84,50,34.01,7,4.76,06052
6,53,169,107,63.31,12,7.1,47,27.81,3,1.78,06053
6,54,171,103,60.23,15,8.77,52,30.41,1,0.58,06054
6,55,166,89,53.61,16,9.64,58,34.94,3,1.81,06055
6,56,172,89,51.74,17,9.88,65,37.79,1,0.58,06056
6,57,111,59,53.15,10,9.01,40,36.04,2,1.8,06057
6,58,234,136,58.12,17,7.26,75,32.05,6,2.56,06058
6,59,168,94,55.95,11,6.55,53,31.55,10,5.95,06059
6,60,138,82,59.42,7,5.07,46,33.33,3,2.17,06060
6,61,128,75,58.59,8,6.25,44,34.38,1,0.78,06061
6,62,80,47,58.75,5,6.25,26,32.5,2,2.5,06062
6,63,178,94,52.81,16,8.99,66,37.08,2,1.12,06063
6,64,250,156,62.4,27,10.8,66,26.4,1,0.4,06064
6,65,67,39,58.21,11,16.42,16,23.88,1,1.49,06065
6,66,207,121,58.45,16,7.73,66,31.88,4,1.93,06066
7,1,210,131,62.38,10,4.76,65,30.95,4,1.9,07001
7,2,204,122,59.8,17,8.33,58,28.43,7,3.43,07002
7,3,124,72,58.06,9,7.26,39,31.45,4,3.23,07003
7,4,146,95,65.07,14,9.59,34,23.29,3,2.05,07004
7,5,128,87,67.97,13,10.16,22,17.19,6,4.69,07005
7,6,122,60,49.18,12,9.84,48,39.34,2,1.64,07006
7,7,112,62,55.36,5,4.46,41,36.61,4,3.57,07007
7,8,57,40,70.18,6,10.53,9,15.79,2,3.51,07008
7,9,151,85,56.29,13,8.61,49,32.45,4,2.65,07009
7,10,121,72,59.5,14,11.57,31,25.62,4,3.31,07010
7,11,153,97,63.4,12,7.84,43,28.1,1,0.65,07011
7,12,127,83,65.35,8,6.3,33,25.98,3,2.36,07012
7,13,112,59,52.68,13,11.61,39,34.82,1,0.89,07013
7,14,200,97,48.5,22,11.0,77,38.5,4,2.0,07014
7,15,89,61,68.54,6,6.74,21,23.6,1,1.12,07015
7,16,115,65,56.52,14,12.17,31,26.96,5,4.35,07016
7,17,118,60,50.85,11,9.32,44,37.29,3,2.54,07017
7,18,108,66,61.11,11,10.19,29,26.85,2,1.85,07018
7,19,221,130,58.82,26,11.76,60,27.15,5,2.26,07019
7,20,86,57,66.28,7,8.14,21,24.42,1,1.16,07020
7,21,175,110,62.86,6,3.43,46,26.29,13,7.43,07021
7,22,145,94,64.83,9,6.21,38,26.21,4,2.76,07022
7,23,112,61,54.46,15,13.39,29,25.89,7,6.25,07023
7,24,152,78,51.32,14,9.21,55,36.18,5,3.29,07024
7,25,151,100,66.23,12,7.95,38,25.17,1,0.66,07025
7,26,218,134,61.47,17,7.8,59,27.06,8,3.67,07026
7,27,212,115,54.25,22,10.38,69,32.55,6,2.83,07027
7,28,177,101,57.06,17,9.6,50,28.25,9,5.08,07028
7,29,108,67,62.04,6,5.56,29,26.85,6,5.56,07029
7,30,191,125,65.45,13,6.81,50,26.18,3,1.57,07030
7,31,158,98,62.03,10,6.33,47,29.75,3,1.9,07031
7,32,129,99,76.74,12,9.3,17,13.18,1,0.78,07032
7,33,147,95,64.63,9,6.12,38,25.85,5,3.4,07033
7,34,136,84,61.76,11,8.09,41,30.15,0,0.0,07034
7,35,96,54,56.25,10,10.42,24,25.0,8,8.33,07035
7,36,183,117,63.93,10,5.46,54,29.51,2,1.09,07036
7,37,80,49,61.25,4,5.0,25,31.25,2,2.5,07037
7,38,109,70,64.22,5,4.59,32,29.36,2,1.83,07038
7,39,138,78,56.52,16,11.59,43,31.16,1,0.72,07039
7,40,192,120,62.5,18,9.38,51,26.56,3,1.56,07040
7,41,125,76,60.8,10,8.0,38,30.4,1,0.8,07041
7,42,233,144,61.8,21,9.01,61,26.18,7,3.0,07042
7,43,181,114,62.98,15,8.29,47,25.97,5,2.76,07043
7,44,200,135,67.5,20,10.0,41,20.5,4,2.0,07044
7,45,256,160,62.5,22,8.59,67,26.17,7,2.73,07045
7,46,86,71,82.56,2,2.33,12,13.95,1,1.16,07046
7,47,132,90,68.18,6,4.55,33,25.0,3,2.27,07047
7,48,49,34,69.39,5,10.2,10,20.41,0,0.0,07048
7,49,97,57,58.76,4,4.12,30,30.93,6,6.19,07049
7,50,118,71,60.17,13,11.02,33,27.97,1,0.85,07050
7,51,121,70,57.85,11,9.09,39,32.23,1,0.83,07051
7,52,125,77,61.6,6,4.8,41,32.8,1,0.8,07052
7,53,112,73,65.18,10,8.93,23,20.54,6,5.36,07053
7,54,77,61,79.22,3,3.9,11,14.29,2,2.6,07054
7,55,137,75,54.74,14,10.22,42,30.66,6,4.38,07055
7,56,122,77,63.11,7,5.74,35,28.69,3,2.46,07056
7,57,133,76,57.14,6,4.51,47,35.34,4,3.01,07057
7,58,214,123,57.48,20,9.35,67,31.31,4,1.87,07058
7,59,85,59,69.41,4,4.71,18,21.18,4,4.71,07059
7,60,106,66,62.26,10,9.43,29,27.36,1,0.94,07060
7,61,138,82,59.42,8,5.8,47,34.06,1,0.72,07061
7,62,146,101,69.18,7,4.79,36,24.66,2,1.37,07062
7,63,161,96,59.63,17,10.56,44,27.33,4,2.48,07063
7,64,118,70,59.32,15,12.71,31,26.27,2,1.69,07064
7,65,154,102,66.23,13,8.44,36,23.38,3,1.95,07065
8,1,248,156,62.9,25,10.08,62,25.0,5,2.02,08001
8,2,121,65,53.72,12,9.92,43,35.54,1,0.83,08002
8,3,311,196,63.02,16,5.14,94,30.23,5,1.61,08003
8,4,199,138,69.35,11,5.53,44,22.11,6,3.02,08004
8,5,258,160,62.02,14,5.43,79,30.62,5,1.94,08005
8,6,200,136,68.0,14,7.0,49,24.5,1,0.5,08006
8,7,167,113,67.66,22,13.17,30,17.96,2,1.2,08007
8,8,277,200,72.2,16,5.78,60,21.66,1,0.36,08008
8,9,267,157,58.8,31,11.61,72,26.97,7,2.62,08009
8,10,286,187,65.38,23,8.04,68,23.78,8,2.8,08010
8,11,190,133,70.0,15,7.89,39,20.53,3,1.58,08011
