ward,precinct,total,"Adriano S. Olivar, Jr. (Bush)","Adriano S. Olivar, Jr. (Bush) Percent","Patrice J. """"Pat"""" Barr (Bush)","Patrice J. """"Pat"""" Barr (Bush) Percent",precinct_id
7,39,2,0,0.0,2,100.0,07039
7,40,0,0,0.0,0,0.0,07040
7,41,0,0,0.0,0,0.0,07041
7,42,9,4,44.44,5,55.56,07042
7,43,0,0,0.0,0,0.0,07043
7,44,5,2,40.0,3,60.0,07044
7,45,8,4,50.0,4,50.0,07045
7,46,0,0,0.0,0,0.0,07046
7,47,11,4,36.36,7,63.64,07047
7,48,0,0,0.0,0,0.0,07048
7,49,1,0,0.0,1,100.0,07049
7,50,2,1,50.0,1,50.0,07050
7,51,0,0,0.0,0,0.0,07051
7,52,4,2,50.0,2,50.0,07052
7,53,1,1,100.0,0,0.0,07053
7,54,2,1,50.0,1,50.0,07054
7,55,0,0,0.0,0,0.0,07055
7,56,3,1,33.33,2,66.67,07056
7,57,2,1,50.0,1,50.0,07057
7,58,5,2,40.0,3,60.0,07058
7,59,0,0,0.0,0,0.0,07059
7,60,2,1,50.0,1,50.0,07060
7,61,0,0,0.0,0,0.0,07061
7,62,2,1,50.0,1,50.0,07062
7,63,3,2,66.67,1,33.33,07063
7,64,8,3,37.5,5,62.5,07064
7,65,4,2,50.0,2,50.0,07065
8,3,0,0,0.0,0,0.0,08003
8,4,2,1,50.0,1,50.0,08004
8,5,2,1,50.0,1,50.0,08005
8,7,2,1,50.0,1,50.0,08007
8,8,3,1,33.33,2,66.67,08008
8,9,1,0,0.0,1,100.0,08009
8,15,1,0,0.0,1,100.0,08015
8,17,3,1,33.33,2,66.67,08017
8,19,0,0,0.0,0,0.0,08019
8,23,2,1,50.0,1,50.0,08023
8,24,0,0,0.0,0,0.0,08024
8,25,1,1,100.0,0,0.0,08025
8,26,1,1,100.0,0,0.0,08026
8,27,5,2,40.0,3,60.0,08027
8,28,0,0,0.0,0,0.0,08028
8,32,7,4,57.14,3,42.86,08032
8,34,2,1,50.0,1,50.0,08034
8,36,0,0,0.0,0,0.0,08036
8,39,0,0,0.0,0,0.0,08039
8,42,4,2,50.0,2,50.0,08042
8,44,0,0,0.0,0,0.0,08044
8,46,2,1,50.0,1,50.0,08046
8,47,0,0,0.0,0,0.0,08047
8,49,0,0,0.0,0,0.0,08049
8,50,0,0,0.0,0,0.0,08050
8,51,8,3,37.5,5,62.5,08051
8,57,1,1,100.0,0,0.0,08057
8,60,1,0,0.0,1,100.0,08060
8,62,0,0,0.0,0,0.0,08062
8,63,3,1,33.33,2,66.67,08063
8,65,2,1,50.0,1,50.0,08065
8,66,0,0,0.0,0,0.0,08066
8,70,0,0,0.0,0,0.0,08070
9,1,1,1,100.0,0,0.0,09001
9,2,12,5,41.67,7,58.33,09002
9,3,0,0,0.0,0,0.0,09003
9,4,0,0,0.0,0,0.0,09004
9,5,0,0,0.0,0,0.0,09005
9,6,0,0,0.0,0,0.0,09006
9,7,2,1,50.0,1,50.0,09007
9,8,0,0,0.0,0,0.0,09008
9,9,3,1,33.33,2,66.67,09009
9,10,6,2,33.33,4,66.67,09010
9,11,1,0,0.0,1,100.0,09011
9,12,2,1,50.0,1,50.0,09012
9,13,2,1,50.0,1,50.0,09013
9,14,1,1,100.0,0,0.0,09014
9,15,0,0,0.0,0,0.0,09015
9,16,0,0,0.0,0,0.0,09016
9,17,0,0,0.0,0,0.0,09017
9,18,0,0,0.0,0,0.0,09018
9,19,2,1,50.0,1,50.0,09019
9,20,0,0,0.0,0,0.0,09020
9,21,0,0,0.0,0,0.0,09021
9,22,2,1,50.0,1,50.0,09022
9,23,1,0,0.0,1,100.0,09023
9,24,3,1,33.33,2,66.67,09024
9,25,0,0,0.0,0,0.0,09025
9,26,0,0,0.0,0,0.0,09026
9,27,0,0,0.0,0,0.0,09027
9,28,2,1,50.0,1,50.0,09028
9,29,1,0,0.0,1,100.0,09029
9,30,2,1,50.0,1,50.0,09030
9,31,0,0,0.0,0,0.0,09031
9,32,3,1,33.33,2,66.67,09032
9,33,0,0,0.0,0,0.0,09033
9,34,1,0,0.0,1,100.0,09034
9,35,0,0,0.0,0,0.0,09035
9,36,1,0,0.0,1,100.0,09036
9,37,16,8,50.0,8,50.0,09037
9,38,1,1,100.0,0,0.0,09038
9,39,0,0,0.0,0,0.0,09039
9,40,2,1,50.0,1,50.0,09040
9,41,6,3,50.0,3,50.0,09041
9,42,2,0,0.0,2,100.0,09042
9,43,2,1,50.0,1,50.0,09043
9,44,0,0,0.0,0,0.0,09044
9,45,0,0,0.0,0,0.0,09045
9,46,2,1,50.0,1,50.0,09046
9,47,4,2,50.0,2,50.0,09047
9,48,6,3,50.0,3,50.0,09048
9,49,0,0,0.0,0,0.0,09049
9,50,0,0,0.0,0,0.0,09050
9,51,1,0,0.0,1,100.0,09051
9,52,1,1,100.0,0,0.0,09052
9,53,2,1,50.0,1,50.0,09053
9,55,10,5,50.0,5,50.0,09055
9,57,19,9,47.37,10,52.63,09057
10,1,2,1,50.0,1,50.0,10001
10,2,7,4,57.14,3,42.86,10002
10,3,19,11,57.89,8,42.11,10003
10,4,6,4,66.67,2,33.33,10004
10,5,16,7,43.75,9,56.25,10005
10,6,1,0,0.0,1,100.0,10006
10,7,0,0,0.0,0,0.0,10007
10,8,27,12,44.44,15,55.56,10008
10,9,27,13,48.15,14,51.85,10009
10,10,67,33,49.25,34,50.75,10010
10,11,37,20,54.05,17,45.95,10011
10,12,22,13,59.09,9,40.91,10012
10,13,3,2,66.67,1,33.33,10013
10,14,28,14,50.0,14,50.0,10014
10,15,18,9,50.0,9,50.0,10015
10,16,8,4,50.0,4,50.0,10016
10,17,14,7,50.0,7,50.0,10017
10,18,4,2,50.0,2,50.0,10018
10,19,28,12,42.86,16,57.14,10019
10,20,23,11,47.83,12,52.17,10020
10,21,33,16,48.48,17,51.52,10021
10,22,2,1,50.0,1,50.0,10022
10,23,9,4,44.44,5,55.56,10023
10,24,22,11,50.0,11,50.0,10024
10,25,5,3,60.0,2,40.0,10025
10,26,14,7,50.0,7,50.0,10026
10,27,14,7,50.0,7,50.0,10027
10,28,5,3,60.0,2,40.0,10028
10,29,2,1,50.0,1,50.0,10029
10,30,8,4,50.0,4,50.0,10030
10,31,22,10,45.45,12,54.55,10031
10,32,34,16,47.06,18,52.94,10032
10,33,18,9,50.0,9,50.0,10033
10,34,12,6,50.0,6,50.0,10034
10,35,2,1,50.0,1,50.0,10035
10,36,3,1,33.33,2,66.67,10036
10,37,2,1,50.0,1,50.0,10037
10,38,24,10,41.67,14,58.33,10038
10,39,15,7,46.67,8,53.33,10039
10,40,2,1,50.0,1,50.0,10040
10,41,35,17,48.57,18,51.43,10041
10,42,25,12,48.0,13,52.0,10042
10,43,0,0,0.0,0,0.0,10043
10,44,9,5,55.56,4,44.44,10044
10,45,8,4,50.0,4,50.0,10045
10,46,15,7,46.67,8,53.33,10046
10,47,18,8,44.44,10,55.56,10047
10,48,0,0,0.0,0,0.0,10048
10,49,0,0,0.0,0,0.0,10049
34,1,0,0,0.0,0,0.0,34001
34,2,0,0,0.0,0,0.0,34002
34,3,3,2,66.67,1,33.33,34003
34,4,6,2,33.33,4,66.67,34004
34,5,3,2,66.67,1,33.33,34005
34,6,2,1,50.0,1,50.0,34006
34,7,0,0,0.0,0,0.0,34007
34,8,2,0,0.0,2,100.0,34008
34,9,3,1,33.33,2,66.67,34009
34,10,3,1,33.33,2,66.67,34010
34,11,2,1,50.0,1,50.0,34011
34,12,1,0,0.0,1,100.0,34012
34,14,0,0,0.0,0,0.0,34014
34,15,0,0,0.0,0,0.0,34015
34,16,0,0,0.0,0,0.0,34016
34,17,0,0,0.0,0,0.0,34017
34,18,0,0,0.0,0,0.0,34018
34,19,2,0,0.0,2,100.0,34019
34,20,2,1,50.0,1,50.0,34020
34,21,2,1,50.0,1,50.0,34021
34,22,1,0,0.0,1,100.0,34022
34,23,3,2,66.67,1,33.33,34023
34,24,2,1,50.0,1,50.0,34024
34,25,0,0,0.0,0,0.0,34025
34,26,1,0,0.0,1,100.0,34026
34,27,1,0,0.0,1,100.0,34027
34,28,0,0,0.0,0,0.0,34028
34,29,3,2,66.67,1,33.33,34029
34,30,6,3,50.0,3,50.0,34030
34,31,1,1,100.0,0,0.0,34031
34,32,1,0,0.0,1,100.0,34032
34,34,0,0,0.0,0,0.0,34034
34,35,4,2,50.0,2,50.0,34035
34,36,1,0,0.0,1,100.0,34036
34,37,0,0,0.0,0,0.0,34037
34,38,1,1,100.0,0,0.0,34038
34,39,0,0,0.0,0,0.0,34039
34,40,0,0,0.0,0,0.0,34040
34,41,0,0,0.0,0,0.0,34041
34,42,2,1,50.0,1,50.0,34042
34,43,2,1,50.0,1,50.0,34043
34,44,2,1,50.0,1,50.0,34044
34,45,4,3,75.0,1,25.0,34045
34,46,0,0,0.0,0,0.0,34046
34,48,1,0,0.0,1,100.0,34048
34,49,1,1,100.0,0,0.0,34049
34,50,4,2,50.0,2,50.0,34050
34,52,2,1,50.0,1,50.0,34052
34,53,0,0,0.0,0,0.0,34053
34,54,1,0,0.0,1,100.0,34054
34,55,1,1,100.0,0,0.0,34055
34,56,4,2,50.0,2,50.0,34056
34,57,2,1,50.0,1,50.0,34057
34,58,3,2,66.67,1,33.33,34058
34,59,0,0,0.0,0,0.0,34059
34,60,5,3,60.0,2,40.0,34060
34,61,1,1,100.0,0,0.0,34061
34,63,0,0,0.0,0,0.0,34063
34,65,0,0,0.0,0,0.0,34065
34,68,2,1,50.0,1,50.0,34068
