ward,precinct,total,ROBERT SHAW,ROBERT SHAW Percent,precinct_id
8,59,164,164,100.0,08059
8,60,219,219,100.0,08060
8,61,217,217,100.0,08061
8,62,208,208,100.0,08062
8,63,264,264,100.0,08063
8,64,240,240,100.0,08064
8,65,162,162,100.0,08065
8,66,359,359,100.0,08066
8,67,133,133,100.0,08067
8,68,166,166,100.0,08068
8,69,161,161,100.0,08069
8,70,303,303,100.0,08070
9,1,278,278,100.0,09001
9,2,276,276,100.0,09002
9,3,227,227,100.0,09003
9,4,317,317,100.0,09004
9,5,268,268,100.0,09005
9,6,242,242,100.0,09006
9,7,250,250,100.0,09007
9,8,171,171,100.0,09008
9,9,264,264,100.0,09009
9,10,218,218,100.0,09010
9,11,195,195,100.0,09011
9,12,235,235,100.0,09012
9,13,318,318,100.0,09013
9,14,325,325,100.0,09014
9,15,134,134,100.0,09015
9,16,290,290,100.0,09016
9,17,240,240,100.0,09017
9,18,276,276,100.0,09018
9,19,264,264,100.0,09019
9,20,289,289,100.0,09020
9,21,182,182,100.0,09021
9,22,283,283,100.0,09022
9,23,194,194,100.0,09023
9,24,156,156,100.0,09024
9,25,115,115,100.0,09025
9,26,180,180,100.0,09026
9,27,151,151,100.0,09027
9,28,200,200,100.0,09028
9,29,216,216,100.0,09029
9,30,205,205,100.0,09030
9,31,208,208,100.0,09031
9,32,252,252,100.0,09032
9,33,149,149,100.0,09033
9,34,257,257,100.0,09034
9,35,220,220,100.0,09035
9,36,131,131,100.0,09036
9,37,187,187,100.0,09037
9,38,250,250,100.0,09038
9,39,281,281,100.0,09039
9,40,253,253,100.0,09040
9,41,327,327,100.0,09041
9,42,262,262,100.0,09042
9,43,196,196,100.0,09043
9,44,184,184,100.0,09044
9,45,281,281,100.0,09045
9,46,233,233,100.0,09046
9,47,163,163,100.0,09047
9,48,232,232,100.0,09048
9,49,110,110,100.0,09049
9,50,97,97,100.0,09050
9,51,192,192,100.0,09051
9,52,216,216,100.0,09052
9,53,193,193,100.0,09053
9,54,214,214,100.0,09054
9,55,135,135,100.0,09055
9,56,150,150,100.0,09056
9,57,124,124,100.0,09057
9,58,186,186,100.0,09058
10,1,162,162,100.0,10001
10,2,161,161,100.0,10002
10,3,218,218,100.0,10003
10,4,184,184,100.0,10004
10,5,173,173,100.0,10005
10,6,190,190,100.0,10006
10,7,48,48,100.0,10007
10,8,194,194,100.0,10008
10,9,198,198,100.0,10009
10,10,184,184,100.0,10010
10,11,204,204,100.0,10011
10,12,160,160,100.0,10012
10,13,160,160,100.0,10013
10,14,205,205,100.0,10014
10,15,89,89,100.0,10015
10,16,189,189,100.0,10016
10,17,175,175,100.0,10017
10,18,144,144,100.0,10018
10,19,221,221,100.0,10019
10,20,164,164,100.0,10020
10,21,155,155,100.0,10021
10,22,68,68,100.0,10022
10,23,163,163,100.0,10023
10,24,176,176,100.0,10024
10,25,244,244,100.0,10025
10,26,162,162,100.0,10026
10,27,244,244,100.0,10027
10,28,224,224,100.0,10028
10,29,185,185,100.0,10029
10,30,232,232,100.0,10030
10,31,208,208,100.0,10031
10,32,207,207,100.0,10032
10,33,194,194,100.0,10033
10,34,191,191,100.0,10034
10,35,177,177,100.0,10035
10,36,218,218,100.0,10036
10,37,170,170,100.0,10037
10,38,203,203,100.0,10038
10,39,190,190,100.0,10039
10,40,182,182,100.0,10040
10,41,214,214,100.0,10041
10,42,204,204,100.0,10042
10,43,81,81,100.0,10043
10,44,165,165,100.0,10044
10,45,128,128,100.0,10045
10,46,192,192,100.0,10046
10,47,164,164,100.0,10047
10,48,164,164,100.0,10048
10,49,139,139,100.0,10049
12,9,22,22,100.0,12009
13,2,181,181,100.0,13002
13,4,344,344,100.0,13004
13,5,197,197,100.0,13005
13,6,222,222,100.0,13006
13,9,232,232,100.0,13009
13,10,207,207,100.0,13010
13,11,203,203,100.0,13011
13,13,222,222,100.0,13013
13,19,174,174,100.0,13019
13,22,193,193,100.0,13022
13,26,155,155,100.0,13026
13,27,264,264,100.0,13027
13,28,175,175,100.0,13028
13,29,236,236,100.0,13029
13,30,195,195,100.0,13030
13,31,24,24,100.0,13031
13,32,229,229,100.0,13032
13,35,235,235,100.0,13035
13,36,144,144,100.0,13036
13,37,166,166,100.0,13037
13,38,243,243,100.0,13038
13,39,218,218,100.0,13039
13,40,156,156,100.0,13040
13,41,180,180,100.0,13041
13,42,228,228,100.0,13042
13,43,172,172,100.0,13043
13,44,173,173,100.0,13044
13,45,297,297,100.0,13045
13,46,206,206,100.0,13046
13,47,227,227,100.0,13047
13,48,224,224,100.0,13048
13,49,105,105,100.0,13049
13,50,203,203,100.0,13050
13,51,196,196,100.0,13051
13,53,269,269,100.0,13053
13,54,207,207,100.0,13054
14,2,150,150,100.0,14002
14,25,156,156,100.0,14025
15,2,171,171,100.0,15002
15,3,197,197,100.0,15003
15,4,183,183,100.0,15004
15,5,180,180,100.0,15005
15,6,164,164,100.0,15006
15,7,155,155,100.0,15007
15,8,231,231,100.0,15008
15,9,193,193,100.0,15009
15,11,179,179,100.0,15011
15,12,113,113,100.0,15012
15,17,212,212,100.0,15017
15,18,148,148,100.0,15018
15,19,179,179,100.0,15019
15,20,154,154,100.0,15020
15,21,189,189,100.0,15021
15,23,166,166,100.0,15023
15,26,142,142,100.0,15026
15,27,135,135,100.0,15027
15,31,149,149,100.0,15031
15,33,139,139,100.0,15033
15,34,145,145,100.0,15034
15,35,190,190,100.0,15035
15,36,160,160,100.0,15036
15,37,152,152,100.0,15037
15,39,192,192,100.0,15039
15,40,174,174,100.0,15040
15,41,240,240,100.0,15041
15,42,124,124,100.0,15042
15,43,168,168,100.0,15043
15,44,169,169,100.0,15044
15,46,172,172,100.0,15046
15,47,198,198,100.0,15047
15,51,137,137,100.0,15051
15,52,102,102,100.0,15052
16,1,108,108,100.0,16001
16,2,137,137,100.0,16002
16,3,208,208,100.0,16003
16,4,153,153,100.0,16004
16,5,197,197,100.0,16005
16,6,76,76,100.0,16006
16,7,176,176,100.0,16007
16,8,161,161,100.0,16008
16,9,245,245,100.0,16009
16,10,139,139,100.0,16010
16,11,228,228,100.0,16011
16,12,139,139,100.0,16012
16,13,147,147,100.0,16013
16,14,189,189,100.0,16014
16,15,218,218,100.0,16015
16,16,171,171,100.0,16016
16,18,167,167,100.0,16018
16,19,140,140,100.0,16019
16,20,178,178,100.0,16020
16,21,171,171,100.0,16021
16,22,148,148,100.0,16022
16,23,145,145,100.0,16023
16,24,118,118,100.0,16024
16,25,147,147,100.0,16025
16,26,202,202,100.0,16026
16,27,187,187,100.0,16027
16,28,235,235,100.0,16028
16,29,102,102,100.0,16029
16,30,143,143,100.0,16030
16,31,214,214,100.0,16031
16,33,172,172,100.0,16033
16,34,166,166,100.0,16034
16,36,189,189,100.0,16036
16,37,161,161,100.0,16037
16,38,172,172,100.0,16038
16,40,223,223,100.0,16040
16,41,83,83,100.0,16041
16,42,98,98,100.0,16042
16,43,197,197,100.0,16043
16,44,2,2,100.0,16044
16,45,111,111,100.0,16045
16,46,82,82,100.0,16046
16,47,78,78,100.0,16047
17,1,149,149,100.0,17001
17,2,202,202,100.0,17002
17,3,192,192,100.0,17003
17,4,321,321,100.0,17004
17,5,213,213,100.0,17005
17,6,164,164,100.0,17006
17,7,251,251,100.0,17007
17,8,141,141,100.0,17008
17,9,158,158,100.0,17009
17,10,250,250,100.0,17010
17,11,225,225,100.0,17011
17,12,235,235,100.0,17012
17,13,146,146,100.0,17013
17,14,217,217,100.0,17014
17,15,187,187,100.0,17015
17,16,211,211,100.0,17016
17,17,168,168,100.0,17017
17,18,228,228,100.0,17018
17,19,96,96,100.0,17019
17,20,189,189,100.0,17020
17,21,277,277,100.0,17021
17,22,227,227,100.0,17022
17,23,168,168,100.0,17023
17,24,228,228,100.0,17024
17,25,143,143,100.0,17025
17,26,257,257,100.0,17026
17,27,266,266,100.0,17027
17,28,204,204,100.0,17028
17,29,242,242,100.0,17029
17,30,272,272,100.0,17030
17,31,241,241,100.0,17031
17,32,260,260,100.0,17032
17,33,177,177,100.0,17033
17,34,188,188,100.0,17034
17,35,130,130,100.0,17035
17,36,145,145,100.0,17036
17,37,206,206,100.0,17037
17,38,212,212,100.0,17038
17,39,145,145,100.0,17039
17,40,156,156,100.0,17040
17,41,188,188,100.0,17041
17,42,184,184,100.0,17042
17,43,198,198,100.0,17043
17,44,191,191,100.0,17044
17,45,143,143,100.0,17045
17,46,222,222,100.0,17046
17,47,123,123,100.0,17047
17,48,203,203,100.0,17048
17,49,173,173,100.0,17049
17,50,174,174,100.0,17050
17,51,236,236,100.0,17051
17,52,312,312,100.0,17052
17,53,212,212,100.0,17053
17,54,235,235,100.0,17054
17,55,181,181,100.0,17055
17,56,224,224,100.0,17056
17,57,245,245,100.0,17057
17,58,209,209,100.0,17058
17,59,135,135,100.0,17059
17,60,289,289,100.0,17060
17,61,189,189,100.0,17061
17,62,192,192,100.0,17062
17,63,188,188,100.0,17063
17,64,156,156,100.0,17064
18,1,158,158,100.0,18001
18,2,263,263,100.0,18002
18,3,218,218,100.0,18003
18,4,255,255,100.0,18004
18,5,265,265,100.0,18005
18,6,207,207,100.0,18006
18,7,229,229,100.0,18007
18,8,98,98,100.0,18008
18,9,260,260,100.0,18009
18,10,349,349,100.0,18010
18,11,232,232,100.0,18011
18,12,314,314,100.0,18012
18,13,266,266,100.0,18013
18,14,302,302,100.0,18014
18,15,160,160,100.0,18015
18,16,244,244,100.0,18016
18,17,209,209,100.0,18017
18,18,272,272,100.0,18018
18,19,203,203,100.0,18019
18,20,248,248,100.0,18020
18,21,328,328,100.0,18021
18,22,270,270,100.0,18022
18,23,232,232,100.0,18023
18,24,272,272,100.0,18024
18,25,283,283,100.0,18025
18,26,199,199,100.0,18026
18,27,240,240,100.0,18027
18,28,282,282,100.0,18028
18,29,272,272,100.0,18029
18,30,231,231,100.0,18030
18,31,248,248,100.0,18031
18,32,301,301,100.0,18032
18,33,214,214,100.0,18033
18,34,318,318,100.0,18034
18,35,308,308,100.0,18035
18,36,188,188,100.0,18036
18,37,166,166,100.0,18037
18,38,303,303,100.0,18038
18,39,196,196,100.0,18039
18,40,288,288,100.0,18040
18,41,256,256,100.0,18041
18,42,194,194,100.0,18042
18,43,221,221,100.0,18043
18,44,171,171,100.0,18044
18,45,256,256,100.0,18045
18,46,215,215,100.0,18046
18,47,245,245,100.0,18047
18,48,185,185,100.0,18048
18,49,200,200,100.0,18049
18,50,257,257,100.0,18050
18,51,147,147,100.0,18051
18,52,222,222,100.0,18052
18,53,201,201,100.0,18053
18,54,259,259,100.0,18054
18,55,279,279,100.0,18055
18,56,240,240,100.0,18056
18,57,213,213,100.0,18057
18,58,250,250,100.0,18058
18,59,169,169,100.0,18059
18,60,288,288,100.0,18060
18,61,249,249,100.0,18061
18,62,181,181,100.0,18062
18,63,246,246,100.0,18063
18,64,211,211,100.0,18064
19,5,271,271,100.0,19005
19,7,256,256,100.0,19007
19,10,349,349,100.0,19010
19,13,234,234,100.0,19013
19,17,284,284,100.0,19017
19,18,334,334,100.0,19018
19,20,227,227,100.0,19020
19,23,297,297,100.0,19023
19,25,297,297,100.0,19025
19,26,282,282,100.0,19026
19,27,191,191,100.0,19027
19,28,331,331,100.0,19028
19,29,236,236,100.0,19029
19,31,241,241,100.0,19031
19,32,317,317,100.0,19032
19,34,291,291,100.0,19034
19,35,256,256,100.0,19035
19,36,313,313,100.0,19036
19,37,260,260,100.0,19037
19,38,341,341,100.0,19038
19,40,256,256,100.0,19040
19,42,227,227,100.0,19042
19,43,308,308,100.0,19043
19,46,355,355,100.0,19046
19,48,211,211,100.0,19048
19,49,319,319,100.0,19049
19,50,274,274,100.0,19050
19,52,243,243,100.0,19052
19,55,252,252,100.0,19055
19,56,325,325,100.0,19056
19,57,292,292,100.0,19057
19,60,266,266,100.0,19060
19,62,261,261,100.0,19062
19,64,325,325,100.0,19064
19,65,176,176,100.0,19065
19,66,253,253,100.0,19066
19,67,60,60,100.0,19067
20,1,230,230,100.0,20001
20,2,157,157,100.0,20002
20,3,245,245,100.0,20003
20,4,131,131,100.0,20004
20,5,151,151,100.0,20005
20,6,231,231,100.0,20006
20,7,155,155,100.0,20007
20,9,202,202,100.0,20009
20,10,204,204,100.0,20010
20,11,157,157,100.0,20011
20,12,84,84,100.0,20012
20,13,47,47,100.0,20013
20,14,294,294,100.0,20014
20,15,64,64,100.0,20015
20,16,87,87,100.0,20016
20,17,186,186,100.0,20017
20,18,253,253,100.0,20018
20,19,90,90,100.0,20019
20,20,124,124,100.0,20020
20,22,217,217,100.0,20022
20,23,247,247,100.0,20023
20,24,304,304,100.0,20024
20,25,101,101,100.0,20025
20,26,197,197,100.0,20026
20,27,147,147,100.0,20027
20,28,232,232,100.0,20028
20,29,187,187,100.0,20029
20,30,188,188,100.0,20030
20,31,209,209,100.0,20031
20,32,315,315,100.0,20032
20,33,281,281,100.0,20033
20,34,247,247,100.0,20034
20,35,110,110,100.0,20035
20,36,193,193,100.0,20036
20,37,137,137,100.0,20037
20,38,32,32,100.0,20038
20,39,175,175,100.0,20039
20,40,145,145,100.0,20040
20,41,10,10,100.0,20041
20,42,156,156,100.0,20042
20,43,78,78,100.0,20043
20,44,199,199,100.0,20044
20,45,45,45,100.0,20045
20,46,149,149,100.0,20046
20,47,122,122,100.0,20047
20,48,85,85,100.0,20048
20,49,165,165,100.0,20049
20,50,193,193,100.0,20050
20,51,45,45,100.0,20051
20,52,85,85,100.0,20052
20,53,45,45,100.0,20053
20,54,143,143,100.0,20054
20,55,93,93,100.0,20055
21,1,346,346,100.0,21001
21,2,104,104,100.0,21002
21,3,394,394,100.0,21003
21,4,326,326,100.0,21004
21,5,258,258,100.0,21005
21,6,251,251,100.0,21006
21,7,276,276,100.0,21007
21,8,274,274,100.0,21008
21,9,258,258,100.0,21009
21,10,180,180,100.0,21010
21,11,284,284,100.0,21011
21,12,289,289,100.0,21012
21,13,134,134,100.0,21013
21,14,245,245,100.0,21014
21,15,224,224,100.0,21015
21,16,225,225,100.0,21016
21,17,115,115,100.0,21017
21,18,249,249,100.0,21018
21,19,224,224,100.0,21019
21,20,122,122,100.0,21020
21,21,283,283,100.0,21021
21,22,295,295,100.0,21022
21,23,194,194,100.0,21023
21,24,254,254,100.0,21024
21,25,197,197,100.0,21025
21,26,194,194,100.0,21026
21,27,279,279,100.0,21027
21,28,186,186,100.0,21028
21,29,130,130,100.0,21029
21,30,178,178,100.0,21030
21,31,346,346,100.0,21031
21,32,162,162,100.0,21032
21,33,273,273,100.0,21033
21,34,300,300,100.0,21034
21,35,169,169,100.0,21035
21,36,242,242,100.0,21036
21,37,183,183,100.0,21037
21,38,247,247,100.0,21038
21,39,197,197,100.0,21039
21,40,248,248,100.0,21040
21,41,217,217,100.0,21041
21,42,246,246,100.0,21042
21,43,251,251,100.0,21043
21,44,238,238,100.0,21044
21,45,205,205,100.0,21045
21,46,201,201,100.0,21046
21,47,306,306,100.0,21047
21,48,309,309,100.0,21048
21,49,306,306,100.0,21049
21,50,253,253,100.0,21050
21,51,280,280,100.0,21051
21,52,285,285,100.0,21052
21,53,217,217,100.0,21053
21,54,208,208,100.0,21054
21,55,270,270,100.0,21055
21,56,188,188,100.0,21056
21,57,255,255,100.0,21057
21,58,194,194,100.0,21058
21,59,306,306,100.0,21059
21,60,247,247,100.0,21060
21,61,283,283,100.0,21061
21,62,236,236,100.0,21062
21,63,246,246,100.0,21063
21,64,140,140,100.0,21064
21,65,215,215,100.0,21065
21,66,211,211,100.0,21066
21,67,204,204,100.0,21067
21,68,274,274,100.0,21068
21,69,211,211,100.0,21069
21,70,181,181,100.0,21070
21,71,185,185,100.0,21071
21,72,211,211,100.0,21072
21,73,321,321,100.0,21073
21,74,92,92,100.0,21074
