ward,precinct,total,James T. Marter,James T. Marter Percent,Mark Steven Kirk,Mark Steven Kirk Percent,precinct_id
5,21,19,7,36.84,12,63.16,05021
5,22,30,4,13.33,26,86.67,05022
5,23,34,11,32.35,23,67.65,05023
5,24,22,9,40.91,13,59.09,05024
5,25,1,1,100.0,0,0.0,05025
5,26,3,0,0.0,3,100.0,05026
5,27,42,7,16.67,35,83.33,05027
5,28,5,2,40.0,3,60.0,05028
5,29,12,3,25.0,9,75.0,05029
5,30,7,5,71.43,2,28.57,05030
5,31,5,5,100.0,0,0.0,05031
5,32,8,4,50.0,4,50.0,05032
5,33,2,0,0.0,2,100.0,05033
5,34,39,8,20.51,31,79.49,05034
5,35,30,10,33.33,20,66.67,05035
5,36,4,3,75.0,1,25.0,05036
5,37,24,7,29.17,17,70.83,05037
5,38,8,5,62.5,3,37.5,05038
5,39,31,4,12.9,27,87.1,05039
5,40,6,0,0.0,6,100.0,05040
5,41,9,3,33.33,6,66.67,05041
6,1,4,1,25.0,3,75.0,06001
6,2,3,1,33.33,2,66.67,06002
6,3,2,2,100.0,0,0.0,06003
6,4,1,0,0.0,1,100.0,06004
6,5,0,0,0.0,0,0.0,06005
6,6,6,5,83.33,1,16.67,06006
6,7,4,0,0.0,4,100.0,06007
6,8,3,1,33.33,2,66.67,06008
6,9,3,3,100.0,0,0.0,06009
6,10,2,2,100.0,0,0.0,06010
6,11,7,2,28.57,5,71.43,06011
6,12,3,1,33.33,2,66.67,06012
6,13,3,1,33.33,2,66.67,06013
6,14,4,2,50.0,2,50.0,06014
6,15,1,0,0.0,1,100.0,06015
6,16,1,0,0.0,1,100.0,06016
6,17,1,0,0.0,1,100.0,06017
6,18,1,1,100.0,0,0.0,06018
6,19,2,1,50.0,1,50.0,06019
6,20,0,0,0.0,0,0.0,06020
6,21,1,0,0.0,1,100.0,06021
6,22,5,3,60.0,2,40.0,06022
6,23,4,1,25.0,3,75.0,06023
6,24,0,0,0.0,0,0.0,06024
6,25,3,2,66.67,1,33.33,06025
6,26,2,1,50.0,1,50.0,06026
6,27,4,1,25.0,3,75.0,06027
6,28,1,0,0.0,1,100.0,06028
6,29,1,0,0.0,1,100.0,06029
6,30,1,0,0.0,1,100.0,06030
6,31,2,0,0.0,2,100.0,06031
6,32,2,2,100.0,0,0.0,06032
6,33,9,2,22.22,7,77.78,06033
6,34,4,3,75.0,1,25.0,06034
6,35,5,1,20.0,4,80.0,06035
6,36,1,0,0.0,1,100.0,06036
6,37,3,2,66.67,1,33.33,06037
6,38,3,1,33.33,2,66.67,06038
6,39,2,2,100.0,0,0.0,06039
6,40,1,0,0.0,1,100.0,06040
6,41,2,1,50.0,1,50.0,06041
6,42,4,3,75.0,1,25.0,06042
6,43,2,1,50.0,1,50.0,06043
6,44,14,7,50.0,7,50.0,06044
6,45,2,2,100.0,0,0.0,06045
6,46,1,0,0.0,1,100.0,06046
6,47,2,2,100.0,0,0.0,06047
6,48,6,3,50.0,3,50.0,06048
7,1,5,2,40.0,3,60.0,07001
7,2,1,0,0.0,1,100.0,07002
7,3,6,0,0.0,6,100.0,07003
7,4,0,0,0.0,0,0.0,07004
7,5,4,1,25.0,3,75.0,07005
7,6,7,4,57.14,3,42.86,07006
7,7,4,1,25.0,3,75.0,07007
7,8,7,4,57.14,3,42.86,07008
7,9,8,5,62.5,3,37.5,07009
7,10,2,0,0.0,2,100.0,07010
7,11,6,3,50.0,3,50.0,07011
7,12,2,0,0.0,2,100.0,07012
7,13,2,0,0.0,2,100.0,07013
7,14,9,6,66.67,3,33.33,07014
7,15,1,0,0.0,1,100.0,07015
7,16,4,1,25.0,3,75.0,07016
7,17,4,2,50.0,2,50.0,07017
7,18,8,3,37.5,5,62.5,07018
7,19,3,0,0.0,3,100.0,07019
7,20,3,2,66.67,1,33.33,07020
7,21,3,1,33.33,2,66.67,07021
7,22,5,2,40.0,3,60.0,07022
7,23,1,1,100.0,0,0.0,07023
7,24,3,1,33.33,2,66.67,07024
7,25,9,5,55.56,4,44.44,07025
7,26,5,2,40.0,3,60.0,07026
7,27,4,2,50.0,2,50.0,07027
7,28,6,4,66.67,2,33.33,07028
7,29,6,1,16.67,5,83.33,07029
7,30,4,3,75.0,1,25.0,07030
7,31,3,2,66.67,1,33.33,07031
7,32,8,2,25.0,6,75.0,07032
7,33,5,3,60.0,2,40.0,07033
7,34,0,0,0.0,0,0.0,07034
7,35,4,2,50.0,2,50.0,07035
7,36,4,2,50.0,2,50.0,07036
7,37,0,0,0.0,0,0.0,07037
7,38,3,3,100.0,0,0.0,07038
7,39,0,0,0.0,0,0.0,07039
7,40,5,4,80.0,1,20.0,07040
7,41,0,0,0.0,0,0.0,07041
7,42,1,1,100.0,0,0.0,07042
7,43,2,2,100.0,0,0.0,07043
7,44,4,2,50.0,2,50.0,07044
7,45,1,0,0.0,1,100.0,07045
7,46,2,0,0.0,2,100.0,07046
8,1,3,0,0.0,3,100.0,08001
8,2,2,1,50.0,1,50.0,08002
8,3,1,0,0.0,1,100.0,08003
8,4,5,3,60.0,2,40.0,08004
8,5,4,1,25.0,3,75.0,08005
8,6,2,1,50.0,1,50.0,08006
8,7,4,2,50.0,2,50.0,08007
8,8,2,1,50.0,1,50.0,08008
8,9,0,0,0.0,0,0.0,08009
8,10,3,1,33.33,2,66.67,08010
8,11,3,1,33.33,2,66.67,08011
8,12,2,1,50.0,1,50.0,08012
8,13,3,1,33.33,2,66.67,08013
8,14,4,2,50.0,2,50.0,08014
8,15,4,2,50.0,2,50.0,08015
8,16,1,0,0.0,1,100.0,08016
8,17,1,0,0.0,1,100.0,08017
8,18,2,0,0.0,2,100.0,08018
8,19,5,4,80.0,1,20.0,08019
8,20,2,0,0.0,2,100.0,08020
8,21,2,2,100.0,0,0.0,08021
8,22,0,0,0.0,0,0.0,08022
8,23,2,0,0.0,2,100.0,08023
8,24,2,0,0.0,2,100.0,08024
8,25,1,0,0.0,1,100.0,08025
8,26,2,0,0.0,2,100.0,08026
8,27,4,2,50.0,2,50.0,08027
8,28,2,1,50.0,1,50.0,08028
8,29,6,3,50.0,3,50.0,08029
8,30,0,0,0.0,0,0.0,08030
8,31,5,5,100.0,0,0.0,08031
8,32,2,0,0.0,2,100.0,08032
8,33,1,0,0.0,1,100.0,08033
8,34,1,0,0.0,1,100.0,08034
8,35,4,1,25.0,3,75.0,08035
8,36,1,0,0.0,1,100.0,08036
8,37,3,1,33.33,2,66.67,08037
8,38,1,0,0.0,1,100.0,08038
8,39,3,3,100.0,0,0.0,08039
8,40,0,0,0.0,0,0.0,08040
8,41,4,2,50.0,2,50.0,08041
8,42,3,1,33.33,2,66.67,08042
8,43,0,0,0.0,0,0.0,08043
8,44,2,1,50.0,1,50.0,08044
8,45,1,0,0.0,1,100.0,08045
8,46,1,0,0.0,1,100.0,08046
8,47,2,0,0.0,2,100.0,08047
8,48,3,1,33.33,2,66.67,08048
8,49,0,0,0.0,0,0.0,08049
8,50,1,0,0.0,1,100.0,08050
8,51,1,0,0.0,1,100.0,08051
8,52,1,1,100.0,0,0.0,08052
8,53,0,0,0.0,0,0.0,08053
8,54,1,0,0.0,1,100.0,08054
8,55,0,0,0.0,0,0.0,08055
8,56,2,1,50.0,1,50.0,08056
9,1,2,2,100.0,0,0.0,09001
9,2,3,2,66.67,1,33.33,09002
9,3,1,1,100.0,0,0.0,09003
9,4,2,0,0.0,2,100.0,09004
9,5,2,1,50.0,1,50.0,09005
9,6,0,0,0.0,0,0.0,09006
9,7,3,2,66.67,1,33.33,09007
9,8,2,0,0.0,2,100.0,09008
9,9,2,0,0.0,2,100.0,09009
9,10,3,1,33.33,2,66.67,09010
9,11,2,1,50.0,1,50.0,09011
9,12,5,3,60.0,2,40.0,09012
9,13,1,0,0.0,1,100.0,09013
9,14,5,1,20.0,4,80.0,09014
9,15,1,0,0.0,1,100.0,09015
9,16,0,0,0.0,0,0.0,09016
9,17,2,1,50.0,1,50.0,09017
9,18,0,0,0.0,0,0.0,09018
9,19,1,1,100.0,0,0.0,09019
9,20,3,1,33.33,2,66.67,09020
9,21,2,1,50.0,1,50.0,09021
9,22,3,2,66.67,1,33.33,09022
9,23,5,4,80.0,1,20.0,09023
9,24,4,0,0.0,4,100.0,09024
9,25,3,1,33.33,2,66.67,09025
9,26,1,1,100.0,0,0.0,09026
9,27,4,2,50.0,2,50.0,09027
9,28,4,0,0.0,4,100.0,09028
9,29,1,1,100.0,0,0.0,09029
9,30,5,3,60.0,2,40.0,09030
9,31,3,1,33.33,2,66.67,09031
9,32,6,4,66.67,2,33.33,09032
9,33,1,1,100.0,0,0.0,09033
9,34,3,2,66.67,1,33.33,09034
9,35,4,0,0.0,4,100.0,09035
9,36,0,0,0.0,0,0.0,09036
9,37,43,14,32.56,29,67.44,09037
9,38,5,1,20.0,4,80.0,09038
9,39,0,0,0.0,0,0.0,09039
9,40,0,0,0.0,0,0.0,09040
9,41,1,0,0.0,1,100.0,09041
9,42,2,1,50.0,1,50.0,09042
9,43,6,3,50.0,3,50.0,09043
9,44,1,1,100.0,0,0.0,09044
9,45,3,0,0.0,3,100.0,09045
9,46,7,2,28.57,5,71.43,09046
9,47,3,0,0.0,3,100.0,09047
9,48,2,0,0.0,2,100.0,09048
9,49,2,1,50.0,1,50.0,09049
9,50,3,1,33.33,2,66.67,09050
9,51,2,1,50.0,1,50.0,09051
10,1,10,3,30.0,7,70.0,10001
10,2,82,20,24.39,62,75.61,10002
10,3,68,13,19.12,55,80.88,10003
10,4,13,8,61.54,5,38.46,10004
10,5,62,15,24.19,47,75.81,10005
10,6,26,6,23.08,20,76.92,10006
10,7,18,6,33.33,12,66.67,10007
10,8,4,0,0.0,4,100.0,10008
10,9,76,25,32.89,51,67.11,10009
10,10,50,17,34.0,33,66.0,10010
10,11,36,11,30.56,25,69.44,10011
10,12,30,7,23.33,23,76.67,10012
10,13,11,2,18.18,9,81.82,10013
10,14,70,29,41.43,41,58.57,10014
10,15,2,1,50.0,1,50.0,10015
10,16,42,17,40.48,25,59.52,10016
10,17,79,20,25.32,59,74.68,10017
10,18,11,8,72.73,3,27.27,10018
10,19,74,22,29.73,52,70.27,10019
10,20,49,19,38.78,30,61.22,10020
10,21,43,16,37.21,27,62.79,10021
10,22,13,4,30.77,9,69.23,10022
10,23,22,7,31.82,15,68.18,10023
10,24,96,23,23.96,73,76.04,10024
10,25,4,1,25.0,3,75.0,10025
10,26,14,3,21.43,11,78.57,10026
10,27,8,5,62.5,3,37.5,10027
10,28,40,15,37.5,25,62.5,10028
10,29,35,14,40.0,21,60.0,10029
10,30,23,8,34.78,15,65.22,10030
10,31,17,4,23.53,13,76.47,10031
10,32,50,20,40.0,30,60.0,10032
10,33,13,5,38.46,8,61.54,10033
10,34,10,2,20.0,8,80.0,10034
10,35,64,24,37.5,40,62.5,10035
10,36,4,4,100.0,0,0.0,10036
11,1,56,19,33.93,37,66.07,11001
11,2,12,4,33.33,8,66.67,11002
11,3,24,7,29.17,17,70.83,11003
11,4,38,15,39.47,23,60.53,11004
11,5,39,11,28.21,28,71.79,11005
11,6,78,28,35.9,50,64.1,11006
11,7,45,13,28.89,32,71.11,11007
11,8,35,14,40.0,21,60.0,11008
11,9,33,10,30.3,23,69.7,11009
11,10,34,11,32.35,23,67.65,11010
11,11,58,20,34.48,38,65.52,11011
11,12,79,27,34.18,52,65.82,11012
11,13,76,31,40.79,45,59.21,11013
11,14,45,11,24.44,34,75.56,11014
11,15,13,4,30.77,9,69.23,11015
11,16,42,15,35.71,27,64.29,11016
11,17,44,15,34.09,29,65.91,11017
11,18,28,6,21.43,22,78.57,11018
11,19,58,26,44.83,32,55.17,11019
11,20,33,6,18.18,27,81.82,11020
11,21,55,14,25.45,41,74.55,11021
11,22,61,24,39.34,37,60.66,11022
11,23,31,8,25.81,23,74.19,11023
11,24,46,16,34.78,30,65.22,11024
11,25,60,26,43.33,34,56.67,11025
11,26,65,28,43.08,37,56.92,11026
11,27,11,8,72.73,3,27.27,11027
11,28,26,7,26.92,19,73.08,11028
11,29,80,23,28.75,57,71.25,11029
11,30,29,11,37.93,18,62.07,11030
11,31,63,14,22.22,49,77.78,11031
11,32,53,12,22.64,41,77.36,11032
11,33,75,21,28.0,54,72.0,11033
11,34,28,10,35.71,18,64.29,11034
11,35,15,6,40.0,9,60.0,11035
11,36,24,6,25.0,18,75.0,11036
11,37,11,3,27.27,8,72.73,11037
11,38,9,3,33.33,6,66.67,11038
12,1,31,15,48.39,16,51.61,12001
12,2,20,6,30.0,14,70.0,12002
12,3,33,16,48.48,17,51.52,12003
12,4,22,12,54.55,10,45.45,12004
12,5,24,5,20.83,19,79.17,12005
12,6,20,3,15.0,17,85.0,12006
12,7,11,3,27.27,8,72.73,12007
12,8,25,6,24.0,19,76.0,12008
12,9,26,13,50.0,13,50.0,12009
12,10,9,2,22.22,7,77.78,12010
12,11,19,7,36.84,12,63.16,12011
12,12,25,10,40.0,15,60.0,12012
12,13,12,8,66.67,4,33.33,12013
12,14,7,2,28.57,5,71.43,12014
12,15,17,6,35.29,11,64.71,12015
12,16,11,4,36.36,7,63.64,12016
12,17,28,11,39.29,17,60.71,12017
12,18,16,9,56.25,7,43.75,12018
12,19,24,16,66.67,8,33.33,12019
12,20,27,9,33.33,18,66.67,12020
12,21,24,8,33.33,16,66.67,12021
12,22,7,3,42.86,4,57.14,12022
12,23,34,14,41.18,20,58.82,12023
13,1,35,9,25.71,26,74.29,13001
13,2,37,11,29.73,26,70.27,13002
13,3,15,9,60.0,6,40.0,13003
13,4,51,17,33.33,34,66.67,13004
13,5,24,11,45.83,13,54.17,13005
13,6,42,12,28.57,30,71.43,13006
13,7,11,3,27.27,8,72.73,13007
13,8,52,12,23.08,40,76.92,13008
13,9,31,12,38.71,19,61.29,13009
13,10,59,18,30.51,41,69.49,13010
13,11,40,11,27.5,29,72.5,13011
13,12,24,11,45.83,13,54.17,13012
13,13,7,3,42.86,4,57.14,13013
13,14,25,11,44.0,14,56.0,13014
13,15,21,5,23.81,16,76.19,13015
13,16,9,4,44.44,5,55.56,13016
13,17,39,12,30.77,27,69.23,13017
13,18,43,12,27.91,31,72.09,13018
13,19,7,5,71.43,2,28.57,13019
13,20,47,21,44.68,26,55.32,13020
13,21,57,16,28.07,41,71.93,13021
13,22,56,12,21.43,44,78.57,13022
13,23,19,6,31.58,13,68.42,13023
13,24,32,11,34.38,21,65.63,13024
13,25,22,4,18.18,18,81.82,13025
13,26,36,7,19.44,29,80.56,13026
13,27,29,6,20.69,23,79.31,13027
13,28,14,6,42.86,8,57.14,13028
13,29,29,14,48.28,15,51.72,13029
13,30,5,3,60.0,2,40.0,13030
13,31,68,17,25.0,51,75.0,13031
13,32,42,7,16.67,35,83.33,13032
13,33,59,16,27.12,43,72.88,13033
13,34,17,6,35.29,11,64.71,13034
13,35,9,3,33.33,6,66.67,13035
13,36,11,3,27.27,8,72.73,13036
13,37,9,7,77.78,2,22.22,13037
13,38,47,13,27.66,34,72.34,13038
13,39,9,4,44.44,5,55.56,13039
13,40,17,6,35.29,11,64.71,13040
13,41,27,8,29.63,19,70.37,13041
13,42,55,19,34.55,36,65.45,13042
13,43,21,10,47.62,11,52.38,13043
13,44,4,0,0.0,4,100.0,13044
13,45,26,10,38.46,16,61.54,13045
13,46,26,9,34.62,17,65.38,13046
13,47,19,5,26.32,14,73.68,13047
13,48,25,9,36.0,16,64.0,13048
14,1,82,24,29.27,58,70.73,14001
14,2,39,17,43.59,22,56.41,14002
14,3,15,5,33.33,10,66.67,14003
14,4,74,20,27.03,54,72.97,14004
14,5,17,7,41.18,10,58.82,14005
14,6,7,2,28.57,5,71.43,14006
14,7,33,16,48.48,17,51.52,14007
14,8,40,13,32.5,27,67.5,14008
14,9,70,23,32.86,47,67.14,14009
14,10,21,7,33.33,14,66.67,14010
14,11,8,4,50.0,4,50.0,14011
14,12,41,8,19.51,33,80.49,14012
14,13,24,4,16.67,20,83.33,14013
14,14,15,4,26.67,11,73.33,14014
14,15,7,2,28.57,5,71.43,14015
14,16,20,4,20.0,16,80.0,14016
14,17,17,6,35.29,11,64.71,14017
14,18,19,6,31.58,13,68.42,14018
14,19,14,4,28.57,10,71.43,14019
14,20,14,5,35.71,9,64.29,14020
14,21,17,8,47.06,9,52.94,14021
14,22,58,19,32.76,39,67.24,14022
14,23,43,8,18.6,35,81.4,14023
14,24,79,24,30.38,55,69.62,14024
14,25,12,1,8.33,11,91.67,14025
14,26,14,5,35.71,9,64.29,14026
14,27,34,15,44.12,19,55.88,14027
14,28,24,7,29.17,17,70.83,14028
14,29,13,6,46.15,7,53.85,14029
14,30,7,4,57.14,3,42.86,14030
14,31,9,3,33.33,6,66.67,14031
15,1,19,4,21.05,15,78.95,15001
15,2,1,0,0.0,1,100.0,15002
15,3,1,1,100.0,0,0.0,15003
15,4,20,7,35.0,13,65.0,15004
15,5,15,8,53.33,7,46.67,15005
15,6,23,10,43.48,13,56.52,15006
15,7,1,0,0.0,1,100.0,15007
15,8,20,8,40.0,12,60.0,15008
15,9,20,7,35.0,13,65.0,15009
15,10,18,4,22.22,14,77.78,15010
15,11,24,14,58.33,10,41.67,15011
15,12,18,6,33.33,12,66.67,15012
15,13,9,4,44.44,5,55.56,15013
15,14,18,9,50.0,9,50.0,15014
15,15,13,3,23.08,10,76.92,15015
15,16,18,4,22.22,14,77.78,15016
15,17,4,1,25.0,3,75.0,15017
15,18,4,1,25.0,3,75.0,15018
15,19,14,4,28.57,10,71.43,15019
15,20,5,1,20.0,4,80.0,15020
15,21,0,0,0.0,0,0.0,15021
15,22,0,0,0.0,0,0.0,15022
15,23,2,1,50.0,1,50.0,15023
15,24,1,1,100.0,0,0.0,15024
16,1,13,3,23.08,10,76.92,16001
16,2,2,2,100.0,0,0.0,16002
16,3,1,0,0.0,1,100.0,16003
16,4,6,3,50.0,3,50.0,16004
16,5,0,0,0.0,0,0.0,16005
16,6,1,1,100.0,0,0.0,16006
16,7,3,3,100.0,0,0.0,16007
16,8,4,3,75.0,1,25.0,16008
16,9,5,4,80.0,1,20.0,16009
16,10,1,1,100.0,0,0.0,16010
16,11,5,1,20.0,4,80.0,16011
16,12,2,1,50.0,1,50.0,16012
16,13,5,0,0.0,5,100.0,16013
16,14,5,1,20.0,4,80.0,16014
16,15,1,1,100.0,0,0.0,16015
16,16,0,0,0.0,0,0.0,16016
16,17,17,10,58.82,7,41.18,16017
16,18,7,0,0.0,7,100.0,16018
16,19,2,0,0.0,2,100.0,16019
16,20,1,0,0.0,1,100.0,16020
16,21,3,3,100.0,0,0.0,16021
16,22,5,3,60.0,2,40.0,16022
16,23,5,2,40.0,3,60.0,16023
16,24,0,0,0.0,0,0.0,16024
16,25,2,1,50.0,1,50.0,16025
16,26,0,0,0.0,0,0.0,16026
16,27,1,1,100.0,0,0.0,16027
16,28,0,0,0.0,0,0.0,16028
16,29,0,0,0.0,0,0.0,16029
16,30,2,1,50.0,1,50.0,16030
16,31,1,0,0.0,1,100.0,16031
16,32,12,4,33.33,8,66.67,16032
16,33,1,0,0.0,1,100.0,16033
16,34,2,1,50.0,1,50.0,16034
16,35,10,3,30.0,7,70.0,16035
16,36,2,1,50.0,1,50.0,16036
17,1,16,5,31.25,11,68.75,17001
17,2,1,1,100.0,0,0.0,17002
17,3,4,2,50.0,2,50.0,17003
17,4,4,3,75.0,1,25.0,17004
17,5,6,5,83.33,1,16.67,17005
17,6,5,1,20.0,4,80.0,17006
17,7,4,1,25.0,3,75.0,17007
17,8,5,2,40.0,3,60.0,17008
17,9,1,1,100.0,0,0.0,17009
17,10,1,1,100.0,0,0.0,17010
17,11,1,1,100.0,0,0.0,17011
17,12,7,2,28.57,5,71.43,17012
17,13,5,2,40.0,3,60.0,17013
17,14,11,5,45.45,6,54.55,17014
