ward,precinct,total,Thaddeus L. Wilson,Thaddeus L. Wilson Percent,precinct_id
7,55,185,185,100.0,07055
7,56,205,205,100.0,07056
7,57,155,155,100.0,07057
7,58,238,238,100.0,07058
7,59,108,108,100.0,07059
7,60,148,148,100.0,07060
7,61,196,196,100.0,07061
8,1,260,260,100.0,08001
8,2,127,127,100.0,08002
8,3,301,301,100.0,08003
8,4,225,225,100.0,08004
8,5,259,259,100.0,08005
8,6,234,234,100.0,08006
8,7,216,216,100.0,08007
8,8,273,273,100.0,08008
8,9,312,312,100.0,08009
8,10,330,330,100.0,08010
8,11,230,230,100.0,08011
8,12,222,222,100.0,08012
8,13,169,169,100.0,08013
8,14,150,150,100.0,08014
8,15,182,182,100.0,08015
8,16,260,260,100.0,08016
8,17,218,218,100.0,08017
8,18,135,135,100.0,08018
8,19,299,299,100.0,08019
8,20,175,175,100.0,08020
8,21,177,177,100.0,08021
8,22,183,183,100.0,08022
8,23,191,191,100.0,08023
8,24,224,224,100.0,08024
8,25,225,225,100.0,08025
8,26,160,160,100.0,08026
8,27,253,253,100.0,08027
8,28,185,185,100.0,08028
8,29,250,250,100.0,08029
8,30,205,205,100.0,08030
8,31,150,150,100.0,08031
8,32,324,324,100.0,08032
8,33,222,222,100.0,08033
8,34,290,290,100.0,08034
8,35,268,268,100.0,08035
8,36,212,212,100.0,08036
8,37,266,266,100.0,08037
8,38,241,241,100.0,08038
8,39,253,253,100.0,08039
8,40,197,197,100.0,08040
8,41,180,180,100.0,08041
8,42,245,245,100.0,08042
8,43,178,178,100.0,08043
8,44,190,190,100.0,08044
8,45,181,181,100.0,08045
8,46,190,190,100.0,08046
8,47,243,243,100.0,08047
8,48,200,200,100.0,08048
8,49,308,308,100.0,08049
8,50,226,226,100.0,08050
8,51,294,294,100.0,08051
8,52,240,240,100.0,08052
8,53,238,238,100.0,08053
8,54,242,242,100.0,08054
8,55,227,227,100.0,08055
8,56,253,253,100.0,08056
8,58,246,246,100.0,08058
8,59,132,132,100.0,08059
8,60,210,210,100.0,08060
8,61,173,173,100.0,08061
8,62,197,197,100.0,08062
8,63,266,266,100.0,08063
8,64,213,213,100.0,08064
8,65,161,161,100.0,08065
8,66,341,341,100.0,08066
8,67,161,161,100.0,08067
8,68,143,143,100.0,08068
8,69,86,86,100.0,08069
9,13,275,275,100.0,09013
9,35,269,269,100.0,09035
9,36,266,266,100.0,09036
9,47,283,283,100.0,09047
9,52,247,247,100.0,09052
10,1,178,178,100.0,10001
10,2,99,99,100.0,10002
10,3,134,134,100.0,10003
10,4,118,118,100.0,10004
10,5,117,117,100.0,10005
10,6,196,196,100.0,10006
10,7,43,43,100.0,10007
10,8,136,136,100.0,10008
10,9,128,128,100.0,10009
10,10,124,124,100.0,10010
10,11,138,138,100.0,10011
10,12,109,109,100.0,10012
10,13,117,117,100.0,10013
10,14,125,125,100.0,10014
10,15,59,59,100.0,10015
10,16,121,121,100.0,10016
10,17,121,121,100.0,10017
10,18,129,129,100.0,10018
10,19,147,147,100.0,10019
10,20,104,104,100.0,10020
10,21,118,118,100.0,10021
10,22,132,132,100.0,10022
10,23,119,119,100.0,10023
10,24,112,112,100.0,10024
10,25,161,161,100.0,10025
10,26,121,121,100.0,10026
10,27,145,145,100.0,10027
10,28,139,139,100.0,10028
10,29,185,185,100.0,10029
10,30,125,125,100.0,10030
10,31,126,126,100.0,10031
10,32,132,132,100.0,10032
10,33,131,131,100.0,10033
10,34,141,141,100.0,10034
10,35,131,131,100.0,10035
10,36,180,180,100.0,10036
10,37,129,129,100.0,10037
10,38,143,143,100.0,10038
10,39,124,124,100.0,10039
10,40,104,104,100.0,10040
10,41,166,166,100.0,10041
10,42,119,119,100.0,10042
10,43,88,88,100.0,10043
10,44,137,137,100.0,10044
10,45,90,90,100.0,10045
10,46,130,130,100.0,10046
10,47,113,113,100.0,10047
10,48,130,130,100.0,10048
17,2,172,172,100.0,17002
17,3,111,111,100.0,17003
17,4,266,266,100.0,17004
17,5,154,154,100.0,17005
17,7,211,211,100.0,17007
17,9,115,115,100.0,17009
17,10,170,170,100.0,17010
17,12,232,232,100.0,17012
17,15,199,199,100.0,17015
17,18,181,181,100.0,17018
17,20,147,147,100.0,17020
17,21,229,229,100.0,17021
17,22,185,185,100.0,17022
17,23,120,120,100.0,17023
17,24,196,196,100.0,17024
17,25,101,101,100.0,17025
17,26,219,219,100.0,17026
17,27,210,210,100.0,17027
17,28,157,157,100.0,17028
17,29,189,189,100.0,17029
17,30,200,200,100.0,17030
17,31,166,166,100.0,17031
17,33,145,145,100.0,17033
17,35,107,107,100.0,17035
17,37,153,153,100.0,17037
17,38,149,149,100.0,17038
17,44,120,120,100.0,17044
17,47,93,93,100.0,17047
17,48,173,173,100.0,17048
17,50,181,181,100.0,17050
17,51,190,190,100.0,17051
17,52,228,228,100.0,17052
17,53,173,173,100.0,17053
17,54,202,202,100.0,17054
17,55,168,168,100.0,17055
18,20,228,228,100.0,18020
18,30,191,191,100.0,18030
18,38,274,274,100.0,18038
18,51,286,286,100.0,18051
18,52,263,263,100.0,18052
18,53,164,164,100.0,18053
18,60,278,278,100.0,18060
18,61,224,224,100.0,18061
21,2,223,223,100.0,21002
21,15,163,163,100.0,21015
21,16,216,216,100.0,21016
21,29,126,126,100.0,21029
21,32,208,208,100.0,21032
21,34,276,276,100.0,21034
21,35,20,20,100.0,21035
21,36,172,172,100.0,21036
21,37,243,243,100.0,21037
21,39,125,125,100.0,21039
21,41,180,180,100.0,21041
21,52,230,230,100.0,21052
21,57,213,213,100.0,21057
21,62,242,242,100.0,21062
21,65,317,317,100.0,21065
21,67,235,235,100.0,21067
21,68,106,106,100.0,21068
21,69,179,179,100.0,21069
21,70,188,188,100.0,21070
21,71,46,46,100.0,21071
21,72,221,221,100.0,21072
21,73,283,283,100.0,21073
21,74,76,76,100.0,21074
