ward,precinct,total,Mark Steven Kirk,Mark Steven Kirk Percent,Alexander ''Alexi'' Giannoulias,Alexander ''Alexi'' Giannoulias Percent,LeAlan M. Jones,LeAlan M. Jones Percent,Mike Labno,Mike Labno Percent,precinct_id
3,14,165,6,3.64,157,95.15,2,1.21,0,0.0,03014
3,15,317,6,1.89,297,93.69,13,4.1,1,0.32,03015
3,16,228,4,1.75,208,91.23,15,6.58,1,0.44,03016
3,17,147,4,2.72,140,95.24,1,0.68,2,1.36,03017
3,18,138,4,2.9,128,92.75,5,3.62,1,0.72,03018
3,19,69,13,18.84,46,66.67,6,8.7,4,5.8,03019
3,20,210,6,2.86,193,91.9,10,4.76,1,0.48,03020
3,21,121,2,1.65,113,93.39,4,3.31,2,1.65,03021
3,22,140,3,2.14,133,95.0,3,2.14,1,0.71,03022
3,23,268,11,4.1,246,91.79,10,3.73,1,0.37,03023
3,24,378,12,3.17,356,94.18,6,1.59,4,1.06,03024
3,25,193,3,1.55,189,97.93,1,0.52,0,0.0,03025
3,26,86,1,1.16,82,95.35,0,0.0,3,3.49,03026
3,27,284,6,2.11,270,95.07,6,2.11,2,0.7,03027
3,28,594,177,29.8,392,65.99,16,2.69,9,1.52,03028
3,29,262,3,1.15,250,95.42,7,2.67,2,0.76,03029
3,30,187,1,0.53,177,94.65,8,4.28,1,0.53,03030
3,31,380,5,1.32,367,96.58,7,1.84,1,0.26,03031
3,32,235,4,1.7,228,97.02,3,1.28,0,0.0,03032
3,33,349,12,3.44,327,93.7,10,2.87,0,0.0,03033
3,34,219,7,3.2,202,92.24,6,2.74,4,1.83,03034
3,35,274,6,2.19,263,95.99,5,1.82,0,0.0,03035
3,36,94,2,2.13,91,96.81,1,1.06,0,0.0,03036
3,37,114,4,3.51,104,91.23,5,4.39,1,0.88,03037
3,38,362,5,1.38,348,96.13,8,2.21,1,0.28,03038
3,39,349,9,2.58,339,97.13,1,0.29,0,0.0,03039
3,40,254,5,1.97,240,94.49,9,3.54,0,0.0,03040
3,41,230,28,12.17,189,82.17,11,4.78,2,0.87,03041
3,42,210,8,3.81,193,91.9,8,3.81,1,0.48,03042
3,43,49,0,0.0,48,97.96,1,2.04,0,0.0,03043
3,44,98,3,3.06,92,93.88,1,1.02,2,2.04,03044
3,45,398,63,15.83,323,81.16,9,2.26,3,0.75,03045
3,46,63,1,1.59,61,96.83,0,0.0,1,1.59,03046
3,47,168,3,1.79,158,94.05,6,3.57,1,0.6,03047
3,48,213,3,1.41,208,97.65,1,0.47,1,0.47,03048
3,49,105,1,0.95,104,99.05,0,0.0,0,0.0,03049
3,50,164,5,3.05,156,95.12,3,1.83,0,0.0,03050
4,1,523,47,8.99,461,88.15,14,2.68,1,0.19,04001
4,2,423,4,0.95,409,96.69,9,2.13,1,0.24,04002
4,3,383,6,1.57,370,96.61,6,1.57,1,0.26,04003
4,4,384,6,1.56,363,94.53,14,3.65,1,0.26,04004
4,5,459,15,3.27,428,93.25,14,3.05,2,0.44,04005
4,6,112,1,0.89,109,97.32,2,1.79,0,0.0,04006
4,7,396,17,4.29,369,93.18,8,2.02,2,0.51,04007
4,8,405,8,1.98,387,95.56,5,1.23,5,1.23,04008
4,9,581,11,1.89,563,96.9,5,0.86,2,0.34,04009
4,10,381,10,2.62,361,94.75,7,1.84,3,0.79,04010
4,11,309,7,2.27,295,95.47,7,2.27,0,0.0,04011
4,12,212,5,2.36,198,93.4,8,3.77,1,0.47,04012
4,13,272,18,6.62,240,88.24,10,3.68,4,1.47,04013
4,14,267,7,2.62,255,95.51,5,1.87,0,0.0,04014
4,15,304,14,4.61,275,90.46,14,4.61,1,0.33,04015
4,16,396,8,2.02,378,95.45,10,2.53,0,0.0,04016
4,17,352,28,7.95,313,88.92,10,2.84,1,0.28,04017
4,18,316,10,3.16,298,94.3,6,1.9,2,0.63,04018
4,19,341,7,2.05,326,95.6,8,2.35,0,0.0,04019
4,20,281,6,2.14,266,94.66,7,2.49,2,0.71,04020
4,21,445,20,4.49,409,91.91,14,3.15,2,0.45,04021
4,22,407,18,4.42,375,92.14,11,2.7,3,0.74,04022
4,23,265,31,11.7,225,84.91,7,2.64,2,0.75,04023
4,24,360,27,7.5,326,90.56,5,1.39,2,0.56,04024
4,25,344,15,4.36,324,94.19,5,1.45,0,0.0,04025
4,26,366,9,2.46,346,94.54,10,2.73,1,0.27,04026
4,27,283,7,2.47,272,96.11,3,1.06,1,0.35,04027
4,28,217,21,9.68,186,85.71,5,2.3,5,2.3,04028
4,29,302,40,13.25,250,82.78,7,2.32,5,1.66,04029
4,30,260,15,5.77,240,92.31,5,1.92,0,0.0,04030
4,31,246,20,8.13,215,87.4,9,3.66,2,0.81,04031
4,32,410,54,13.17,346,84.39,9,2.2,1,0.24,04032
4,33,303,11,3.63,285,94.06,7,2.31,0,0.0,04033
4,34,265,33,12.45,228,86.04,3,1.13,1,0.38,04034
4,35,223,4,1.79,211,94.62,8,3.59,0,0.0,04035
4,36,247,6,2.43,232,93.93,8,3.24,1,0.4,04036
4,37,8,1,12.5,7,87.5,0,0.0,0,0.0,04037
4,38,489,23,4.7,452,92.43,10,2.04,4,0.82,04038
4,39,238,3,1.26,231,97.06,4,1.68,0,0.0,04039
4,40,356,19,5.34,324,91.01,13,3.65,0,0.0,04040
4,41,181,15,8.29,157,86.74,7,3.87,2,1.1,04041
4,42,362,18,4.97,335,92.54,7,1.93,2,0.55,04042
4,43,237,15,6.33,216,91.14,5,2.11,1,0.42,04043
4,44,197,12,6.09,175,88.83,8,4.06,2,1.02,04044
4,45,507,31,6.11,468,92.31,6,1.18,2,0.39,04045
4,46,267,7,2.62,255,95.51,5,1.87,0,0.0,04046
4,47,465,33,7.1,415,89.25,17,3.66,0,0.0,04047
4,48,429,46,10.72,373,86.95,9,2.1,1,0.23,04048
4,49,264,7,2.65,253,95.83,4,1.52,0,0.0,04049
4,50,302,8,2.65,284,94.04,9,2.98,1,0.33,04050
4,51,301,5,1.66,283,94.02,9,2.99,4,1.33,04051
4,52,362,11,3.04,342,94.48,9,2.49,0,0.0,04052
5,1,330,9,2.73,315,95.45,6,1.82,0,0.0,05001
5,2,269,6,2.23,254,94.42,5,1.86,4,1.49,05002
5,3,174,8,4.6,160,91.95,5,2.87,1,0.57,05003
5,4,220,3,1.36,215,97.73,2,0.91,0,0.0,05004
5,5,284,5,1.76,274,96.48,5,1.76,0,0.0,05005
5,6,371,3,0.81,359,96.77,8,2.16,1,0.27,05006
5,7,333,11,3.3,309,92.79,11,3.3,2,0.6,05007
5,8,424,40,9.43,371,87.5,11,2.59,2,0.47,05008
5,9,293,11,3.75,277,94.54,4,1.37,1,0.34,05009
5,10,257,2,0.78,249,96.89,5,1.95,1,0.39,05010
5,11,277,35,12.64,234,84.48,8,2.89,0,0.0,05011
5,12,200,4,2.0,191,95.5,5,2.5,0,0.0,05012
5,13,301,12,3.99,278,92.36,8,2.66,3,1.0,05013
5,14,440,22,5.0,407,92.5,9,2.05,2,0.45,05014
5,15,302,25,8.28,258,85.43,15,4.97,4,1.32,05015
5,16,233,7,3.0,223,95.71,2,0.86,1,0.43,05016
5,17,329,8,2.43,315,95.74,4,1.22,2,0.61,05017
5,18,326,11,3.37,303,92.94,8,2.45,4,1.23,05018
5,19,166,3,1.81,158,95.18,4,2.41,1,0.6,05019
5,20,159,3,1.89,153,96.23,3,1.89,0,0.0,05020
5,21,331,4,1.21,312,94.26,12,3.63,3,0.91,05021
5,22,291,8,2.75,275,94.5,8,2.75,0,0.0,05022
5,23,201,7,3.48,193,96.02,1,0.5,0,0.0,05023
5,24,257,15,5.84,236,91.83,5,1.95,1,0.39,05024
5,25,321,7,2.18,306,95.33,7,2.18,1,0.31,05025
5,26,318,7,2.2,304,95.6,7,2.2,0,0.0,05026
5,27,465,68,14.62,385,82.8,8,1.72,4,0.86,05027
5,28,331,10,3.02,317,95.77,4,1.21,0,0.0,05028
5,29,299,14,4.68,279,93.31,6,2.01,0,0.0,05029
5,30,313,48,15.34,260,83.07,3,0.96,2,0.64,05030
5,31,277,5,1.81,264,95.31,6,2.17,2,0.72,05031
5,32,475,20,4.21,447,94.11,6,1.26,2,0.42,05032
5,33,198,3,1.52,194,97.98,1,0.51,0,0.0,05033
5,34,363,3,0.83,349,96.14,8,2.2,3,0.83,05034
5,35,257,28,10.89,220,85.6,6,2.33,3,1.17,05035
5,36,156,2,1.28,148,94.87,6,3.85,0,0.0,05036
5,37,257,15,5.84,231,89.88,8,3.11,3,1.17,05037
5,38,326,24,7.36,289,88.65,11,3.37,2,0.61,05038
5,39,423,54,12.77,361,85.34,5,1.18,3,0.71,05039
5,40,314,7,2.23,298,94.9,8,2.55,1,0.32,05040
5,41,317,43,13.56,260,82.02,11,3.47,3,0.95,05041
5,42,336,12,3.57,314,93.45,9,2.68,1,0.3,05042
5,43,318,12,3.77,298,93.71,7,2.2,1,0.31,05043
5,44,341,10,2.93,317,92.96,13,3.81,1,0.29,05044
5,45,176,3,1.7,171,97.16,2,1.14,0,0.0,05045
5,46,294,26,8.84,260,88.44,5,1.7,3,1.02,05046
5,47,254,2,0.79,248,97.64,4,1.57,0,0.0,05047
5,48,227,18,7.93,198,87.22,10,4.41,1,0.44,05048
5,49,70,1,1.43,69,98.57,0,0.0,0,0.0,05049
5,50,252,5,1.98,241,95.63,4,1.59,2,0.79,05050
5,51,213,4,1.88,202,94.84,3,1.41,4,1.88,05051
5,52,20,1,5.0,19,95.0,0,0.0,0,0.0,05052
5,53,360,24,6.67,325,90.28,8,2.22,3,0.83,05053
5,54,426,7,1.64,407,95.54,7,1.64,5,1.17,05054
5,55,290,1,0.34,286,98.62,2,0.69,1,0.34,05055
6,1,359,7,1.95,348,96.94,4,1.11,0,0.0,06001
6,2,345,5,1.45,330,95.65,9,2.61,1,0.29,06002
6,3,352,5,1.42,338,96.02,8,2.27,1,0.28,06003
6,4,233,7,3.0,218,93.56,7,3.0,1,0.43,06004
6,5,151,2,1.32,149,98.68,0,0.0,0,0.0,06005
6,6,274,7,2.55,262,95.62,5,1.82,0,0.0,06006
6,7,302,5,1.66,289,95.7,8,2.65,0,0.0,06007
6,8,401,5,1.25,391,97.51,4,1.0,1,0.25,06008
6,9,296,3,1.01,281,94.93,12,4.05,0,0.0,06009
6,10,431,5,1.16,421,97.68,4,0.93,1,0.23,06010
6,11,283,7,2.47,270,95.41,6,2.12,0,0.0,06011
6,12,306,2,0.65,301,98.37,1,0.33,2,0.65,06012
6,13,284,9,3.17,270,95.07,3,1.06,2,0.7,06013
6,14,292,6,2.05,273,93.49,11,3.77,2,0.68,06014
6,15,228,4,1.75,218,95.61,6,2.63,0,0.0,06015
6,16,354,5,1.41,341,96.33,7,1.98,1,0.28,06016
6,17,361,4,1.11,351,97.23,5,1.39,1,0.28,06017
6,18,194,3,1.55,185,95.36,5,2.58,1,0.52,06018
6,19,369,11,2.98,349,94.58,8,2.17,1,0.27,06019
6,20,319,4,1.25,309,96.87,5,1.57,1,0.31,06020
6,21,316,4,1.27,306,96.84,5,1.58,1,0.32,06021
6,22,316,3,0.95,309,97.78,4,1.27,0,0.0,06022
6,23,237,4,1.69,227,95.78,4,1.69,2,0.84,06023
6,24,297,7,2.36,285,95.96,5,1.68,0,0.0,06024
6,25,229,3,1.31,222,96.94,2,0.87,2,0.87,06025
6,26,337,10,2.97,322,95.55,4,1.19,1,0.3,06026
6,27,395,1,0.25,389,98.48,5,1.27,0,0.0,06027
6,28,522,6,1.15,504,96.55,9,1.72,3,0.57,06028
6,29,380,6,1.58,364,95.79,10,2.63,0,0.0,06029
6,30,278,9,3.24,264,94.96,5,1.8,0,0.0,06030
6,31,370,3,0.81,361,97.57,6,1.62,0,0.0,06031
6,32,316,4,1.27,306,96.84,5,1.58,1,0.32,06032
6,33,381,7,1.84,369,96.85,5,1.31,0,0.0,06033
6,34,264,3,1.14,255,96.59,5,1.89,1,0.38,06034
6,35,291,8,2.75,279,95.88,2,0.69,2,0.69,06035
6,36,210,4,1.9,204,97.14,1,0.48,1,0.48,06036
6,37,364,8,2.2,352,96.7,3,0.82,1,0.27,06037
6,38,314,2,0.64,304,96.82,8,2.55,0,0.0,06038
6,39,284,7,2.46,270,95.07,6,2.11,1,0.35,06039
6,40,185,2,1.08,178,96.22,2,1.08,3,1.62,06040
6,41,344,10,2.91,328,95.35,6,1.74,0,0.0,06041
6,42,171,3,1.75,166,97.08,2,1.17,0,0.0,06042
6,43,326,4,1.23,318,97.55,3,0.92,1,0.31,06043
6,44,310,8,2.58,290,93.55,11,3.55,1,0.32,06044
6,45,232,5,2.16,224,96.55,3,1.29,0,0.0,06045
6,46,286,8,2.8,276,96.5,2,0.7,0,0.0,06046
6,47,318,9,2.83,305,95.91,4,1.26,0,0.0,06047
6,48,292,7,2.4,274,93.84,9,3.08,2,0.68,06048
6,49,340,11,3.24,322,94.71,6,1.76,1,0.29,06049
6,50,324,5,1.54,308,95.06,10,3.09,1,0.31,06050
6,51,215,4,1.86,210,97.67,1,0.47,0,0.0,06051
6,52,197,3,1.52,193,97.97,1,0.51,0,0.0,06052
6,53,286,7,2.45,274,95.8,5,1.75,0,0.0,06053
6,54,325,5,1.54,317,97.54,3,0.92,0,0.0,06054
6,55,276,10,3.62,263,95.29,3,1.09,0,0.0,06055
6,56,221,1,0.45,215,97.29,3,1.36,2,0.9,06056
6,57,180,3,1.67,176,97.78,1,0.56,0,0.0,06057
6,58,318,7,2.2,305,95.91,6,1.89,0,0.0,06058
6,59,311,5,1.61,297,95.5,8,2.57,1,0.32,06059
6,60,193,3,1.55,185,95.85,5,2.59,0,0.0,06060
6,61,173,1,0.58,168,97.11,3,1.73,1,0.58,06061
6,62,281,2,0.71,270,96.09,8,2.85,1,0.36,06062
6,63,269,4,1.49,263,97.77,2,0.74,0,0.0,06063
6,64,355,4,1.13,342,96.34,9,2.54,0,0.0,06064
7,1,488,7,1.43,468,95.9,10,2.05,3,0.61,07001
7,2,322,7,2.17,307,95.34,6,1.86,2,0.62,07002
7,3,199,6,3.02,190,95.48,3,1.51,0,0.0,07003
7,4,226,5,2.21,210,92.92,8,3.54,3,1.33,07004
7,5,244,8,3.28,231,94.67,3,1.23,2,0.82,07005
7,6,229,6,2.62,223,97.38,0,0.0,0,0.0,07006
7,7,203,1,0.49,197,97.04,5,2.46,0,0.0,07007
7,8,84,1,1.19,81,96.43,1,1.19,1,1.19,07008
7,9,255,6,2.35,241,94.51,7,2.75,1,0.39,07009
7,10,197,4,2.03,187,94.92,3,1.52,3,1.52,07010
7,11,305,7,2.3,286,93.77,12,3.93,0,0.0,07011
7,12,213,5,2.35,201,94.37,6,2.82,1,0.47,07012
7,13,197,4,2.03,188,95.43,5,2.54,0,0.0,07013
7,14,316,10,3.16,293,92.72,13,4.11,0,0.0,07014
7,15,181,11,6.08,168,92.82,2,1.1,0,0.0,07015
7,16,192,6,3.13,182,94.79,4,2.08,0,0.0,07016
7,17,139,2,1.44,133,95.68,2,1.44,2,1.44,07017
7,18,177,10,5.65,159,89.83,6,3.39,2,1.13,07018
7,19,398,11,2.76,377,94.72,8,2.01,2,0.5,07019
7,20,135,6,4.44,128,94.81,0,0.0,1,0.74,07020
7,21,287,9,3.14,273,95.12,5,1.74,0,0.0,07021
7,22,206,11,5.34,192,93.2,2,0.97,1,0.49,07022
7,23,302,5,1.66,290,96.03,4,1.32,3,0.99,07023
7,24,246,1,0.41,234,95.12,10,4.07,1,0.41,07024
7,25,338,10,2.96,321,94.97,6,1.78,1,0.3,07025
7,26,330,8,2.42,315,95.45,5,1.52,2,0.61,07026
7,27,381,7,1.84,370,97.11,4,1.05,0,0.0,07027
7,28,310,2,0.65,303,97.74,5,1.61,0,0.0,07028
7,29,255,6,2.35,242,94.9,7,2.75,0,0.0,07029
7,30,301,4,1.33,294,97.67,3,1.0,0,0.0,07030
7,31,266,7,2.63,254,95.49,5,1.88,0,0.0,07031
7,32,204,11,5.39,183,89.71,4,1.96,6,2.94,07032
7,33,203,1,0.49,198,97.54,4,1.97,0,0.0,07033
7,34,256,3,1.17,249,97.27,4,1.56,0,0.0,07034
7,35,333,16,4.8,310,93.09,7,2.1,0,0.0,07035
7,36,289,5,1.73,271,93.77,11,3.81,2,0.69,07036
7,37,149,5,3.36,143,95.97,1,0.67,0,0.0,07037
7,38,206,2,0.97,199,96.6,5,2.43,0,0.0,07038
7,39,257,5,1.95,250,97.28,2,0.78,0,0.0,07039
7,40,341,21,6.16,315,92.38,3,0.88,2,0.59,07040
7,41,225,5,2.22,217,96.44,2,0.89,1,0.44,07041
7,42,408,6,1.47,392,96.08,5,1.23,5,1.23,07042
7,43,296,9,3.04,280,94.59,6,2.03,1,0.34,07043
7,44,427,19,4.45,389,91.1,10,2.34,9,2.11,07044
7,45,380,10,2.63,359,94.47,11,2.89,0,0.0,07045
7,46,146,6,4.11,135,92.47,5,3.42,0,0.0,07046
7,47,250,4,1.6,238,95.2,7,2.8,1,0.4,07047
7,48,232,1,0.43,230,99.14,1,0.43,0,0.0,07048
7,49,141,4,2.84,135,95.74,2,1.42,0,0.0,07049
7,50,193,5,2.59,184,95.34,4,2.07,0,0.0,07050
7,51,449,4,0.89,434,96.66,8,1.78,3,0.67,07051
7,52,204,4,1.96,195,95.59,4,1.96,1,0.49,07052
7,53,223,5,2.24,211,94.62,5,2.24,2,0.9,07053
7,54,124,4,3.23,118,95.16,0,0.0,2,1.61,07054
7,55,229,7,3.06,216,94.32,6,2.62,0,0.0,07055
7,56,255,7,2.75,238,93.33,10,3.92,0,0.0,07056
7,57,202,4,1.98,189,93.56,8,3.96,1,0.5,07057
7,58,309,3,0.97,297,96.12,8,2.59,1,0.32,07058
7,59,147,3,2.04,135,91.84,6,4.08,3,2.04,07059
7,60,192,2,1.04,187,97.4,3,1.56,0,0.0,07060
7,61,237,5,2.11,225,94.94,6,2.53,1,0.42,07061
8,1,316,4,1.27,305,96.52,5,1.58,2,0.63,08001
8,2,158,2,1.27,151,95.57,5,3.16,0,0.0,08002
8,3,378,4,1.06,364,96.3,8,2.12,2,0.53,08003
8,4,292,7,2.4,281,96.23,1,0.34,3,1.03,08004
8,5,335,9,2.69,320,95.52,5,1.49,1,0.3,08005
8,6,310,2,0.65,304,98.06,3,0.97,1,0.32,08006
8,7,271,7,2.58,260,95.94,2,0.74,2,0.74,08007
8,8,354,4,1.13,340,96.05,9,2.54,1,0.28,08008
8,9,372,4,1.08,365,98.12,2,0.54,1,0.27,08009
8,10,404,10,2.48,387,95.79,7,1.73,0,0.0,08010
8,11,315,7,2.22,300,95.24,7,2.22,1,0.32,08011
8,12,296,1,0.34,285,96.28,10,3.38,0,0.0,08012
8,13,249,6,2.41,237,95.18,6,2.41,0,0.0,08013
8,14,206,4,1.94,194,94.17,5,2.43,3,1.46,08014
8,15,234,3,1.28,228,97.44,2,0.85,1,0.43,08015
8,16,323,4,1.24,313,96.9,5,1.55,1,0.31,08016
8,17,266,3,1.13,258,96.99,5,1.88,0,0.0,08017
8,18,178,6,3.37,172,96.63,0,0.0,0,0.0,08018
8,19,366,9,2.46,352,96.17,2,0.55,3,0.82,08019
8,20,226,2,0.88,221,97.79,3,1.33,0,0.0,08020
8,21,230,4,1.74,224,97.39,2,0.87,0,0.0,08021
8,22,258,5,1.94,247,95.74,6,2.33,0,0.0,08022
8,23,263,3,1.14,258,98.1,2,0.76,0,0.0,08023
8,24,303,2,0.66,293,96.7,8,2.64,0,0.0,08024
8,25,295,7,2.37,284,96.27,4,1.36,0,0.0,08025
8,26,202,4,1.98,193,95.54,5,2.48,0,0.0,08026
8,27,336,6,1.79,320,95.24,5,1.49,5,1.49,08027
8,28,249,2,0.8,243,97.59,3,1.2,1,0.4,08028
