ward,precinct,total,Bill Brady & Jason Plummer,Bill Brady & Jason Plummer Percent,Pat Quinn & Sheila Simon,Pat Quinn & Sheila Simon Percent,Rich Whitney & Don W. Crawford,Rich Whitney & Don W. Crawford Percent,Lex Green & Ed Rutledge,Lex Green & Ed Rutledge Percent,Scott Lee Cohen & Baxter B. Swilley,Scott Lee Cohen & Baxter B. Swilley Percent,precinct_id
3,5,256,15,5.86,224,87.5,4,1.56,2,0.78,11,4.3,03005
3,6,71,2,2.82,67,94.37,1,1.41,1,1.41,0,0.0,03006
3,7,316,17,5.38,286,90.51,1,0.32,1,0.32,11,3.48,03007
3,8,272,4,1.47,253,93.01,4,1.47,0,0.0,11,4.04,03008
3,9,291,8,2.75,269,92.44,4,1.37,0,0.0,10,3.44,03009
3,10,108,1,0.93,99,91.67,1,0.93,0,0.0,7,6.48,03010
3,11,288,4,1.39,268,93.06,2,0.69,2,0.69,12,4.17,03011
3,12,253,2,0.79,238,94.07,4,1.58,1,0.4,8,3.16,03012
3,13,163,28,17.18,122,74.85,4,2.45,0,0.0,9,5.52,03013
3,14,162,2,1.23,152,93.83,3,1.85,1,0.62,4,2.47,03014
3,15,318,11,3.46,294,92.45,4,1.26,1,0.31,8,2.52,03015
3,16,228,7,3.07,206,90.35,4,1.75,0,0.0,11,4.82,03016
3,17,146,3,2.05,135,92.47,1,0.68,1,0.68,6,4.11,03017
3,18,138,4,2.9,122,88.41,6,4.35,0,0.0,6,4.35,03018
3,19,72,11,15.28,49,68.06,4,5.56,0,0.0,8,11.11,03019
3,20,212,6,2.83,192,90.57,4,1.89,1,0.47,9,4.25,03020
3,21,119,1,0.84,108,90.76,4,3.36,0,0.0,6,5.04,03021
3,22,142,3,2.11,127,89.44,3,2.11,1,0.7,8,5.63,03022
3,23,270,7,2.59,247,91.48,2,0.74,3,1.11,11,4.07,03023
3,24,380,13,3.42,339,89.21,7,1.84,5,1.32,16,4.21,03024
3,25,194,3,1.55,190,97.94,0,0.0,0,0.0,1,0.52,03025
3,26,89,1,1.12,84,94.38,3,3.37,0,0.0,1,1.12,03026
3,27,284,9,3.17,251,88.38,6,2.11,2,0.7,16,5.63,03027
3,28,592,161,27.2,386,65.2,23,3.89,10,1.69,12,2.03,03028
3,29,263,8,3.04,247,93.92,2,0.76,1,0.38,5,1.9,03029
3,30,187,2,1.07,175,93.58,6,3.21,0,0.0,4,2.14,03030
3,31,379,7,1.85,352,92.88,7,1.85,1,0.26,12,3.17,03031
3,32,233,6,2.58,217,93.13,2,0.86,1,0.43,7,3.0,03032
3,33,347,12,3.46,314,90.49,8,2.31,1,0.29,12,3.46,03033
3,34,219,11,5.02,197,89.95,5,2.28,0,0.0,6,2.74,03034
3,35,275,6,2.18,256,93.09,1,0.36,1,0.36,11,4.0,03035
3,36,93,2,2.15,89,95.7,0,0.0,0,0.0,2,2.15,03036
3,37,116,4,3.45,104,89.66,2,1.72,0,0.0,6,5.17,03037
3,38,361,4,1.11,341,94.46,5,1.39,2,0.55,9,2.49,03038
3,39,352,6,1.7,333,94.6,4,1.14,2,0.57,7,1.99,03039
3,40,253,4,1.58,235,92.89,7,2.77,0,0.0,7,2.77,03040
3,41,226,22,9.73,187,82.74,7,3.1,3,1.33,7,3.1,03041
3,42,215,4,1.86,201,93.49,3,1.4,1,0.47,6,2.79,03042
3,43,50,0,0.0,47,94.0,0,0.0,0,0.0,3,6.0,03043
3,44,98,3,3.06,91,92.86,2,2.04,1,1.02,1,1.02,03044
3,45,390,51,13.08,307,78.72,7,1.79,6,1.54,19,4.87,03045
3,46,60,0,0.0,55,91.67,0,0.0,1,1.67,4,6.67,03046
3,47,169,4,2.37,154,91.12,4,2.37,0,0.0,7,4.14,03047
3,48,208,5,2.4,195,93.75,1,0.48,0,0.0,7,3.37,03048
3,49,104,1,0.96,99,95.19,0,0.0,1,0.96,3,2.88,03049
3,50,164,4,2.44,154,93.9,2,1.22,0,0.0,4,2.44,03050
4,1,513,39,7.6,448,87.33,18,3.51,1,0.19,7,1.36,04001
4,2,419,10,2.39,389,92.84,5,1.19,1,0.24,14,3.34,04002
4,3,382,3,0.79,348,91.1,9,2.36,0,0.0,22,5.76,04003
4,4,383,6,1.57,347,90.6,9,2.35,2,0.52,19,4.96,04004
4,5,455,16,3.52,407,89.45,8,1.76,0,0.0,24,5.27,04005
4,6,113,2,1.77,103,91.15,2,1.77,0,0.0,6,5.31,04006
4,7,398,21,5.28,351,88.19,6,1.51,2,0.5,18,4.52,04007
4,8,400,9,2.25,367,91.75,8,2.0,3,0.75,13,3.25,04008
4,9,580,12,2.07,538,92.76,6,1.03,0,0.0,24,4.14,04009
4,10,380,7,1.84,341,89.74,11,2.89,1,0.26,20,5.26,04010
4,11,315,7,2.22,290,92.06,7,2.22,1,0.32,10,3.17,04011
4,12,213,6,2.82,193,90.61,3,1.41,1,0.47,10,4.69,04012
4,13,269,20,7.43,233,86.62,9,3.35,2,0.74,5,1.86,04013
4,14,267,11,4.12,241,90.26,4,1.5,1,0.37,10,3.75,04014
4,15,306,20,6.54,262,85.62,9,2.94,1,0.33,14,4.58,04015
4,16,403,7,1.74,381,94.54,4,0.99,1,0.25,10,2.48,04016
4,17,348,30,8.62,300,86.21,5,1.44,0,0.0,13,3.74,04017
4,18,319,9,2.82,294,92.16,6,1.88,2,0.63,8,2.51,04018
4,19,342,7,2.05,318,92.98,3,0.88,0,0.0,14,4.09,04019
4,20,281,6,2.14,262,93.24,1,0.36,3,1.07,9,3.2,04020
4,21,442,18,4.07,395,89.37,18,4.07,3,0.68,8,1.81,04021
4,22,397,19,4.79,356,89.67,11,2.77,1,0.25,10,2.52,04022
4,23,259,27,10.42,219,84.56,8,3.09,1,0.39,4,1.54,04023
4,24,355,25,7.04,316,89.01,5,1.41,2,0.56,7,1.97,04024
4,25,345,15,4.35,314,91.01,2,0.58,0,0.0,14,4.06,04025
4,26,367,10,2.72,333,90.74,7,1.91,0,0.0,17,4.63,04026
4,27,283,11,3.89,255,90.11,2,0.71,1,0.35,14,4.95,04027
4,28,213,23,10.8,180,84.51,6,2.82,1,0.47,3,1.41,04028
4,29,297,35,11.78,243,81.82,6,2.02,0,0.0,13,4.38,04029
4,30,264,16,6.06,240,90.91,3,1.14,0,0.0,5,1.89,04030
4,31,239,20,8.37,197,82.43,16,6.69,2,0.84,4,1.67,04031
4,32,409,43,10.51,341,83.37,8,1.96,5,1.22,12,2.93,04032
4,33,302,11,3.64,281,93.05,4,1.32,1,0.33,5,1.66,04033
4,34,262,29,11.07,224,85.5,6,2.29,0,0.0,3,1.15,04034
4,35,221,3,1.36,202,91.4,5,2.26,3,1.36,8,3.62,04035
4,36,246,10,4.07,220,89.43,6,2.44,1,0.41,9,3.66,04036
4,37,8,0,0.0,8,100.0,0,0.0,0,0.0,0,0.0,04037
4,38,491,23,4.68,442,90.02,9,1.83,1,0.2,16,3.26,04038
4,39,241,1,0.41,230,95.44,1,0.41,2,0.83,7,2.9,04039
4,40,359,19,5.29,315,87.74,7,1.95,3,0.84,15,4.18,04040
4,41,177,16,9.04,146,82.49,10,5.65,2,1.13,3,1.69,04041
4,42,363,22,6.06,325,89.53,5,1.38,3,0.83,8,2.2,04042
4,43,229,8,3.49,205,89.52,15,6.55,0,0.0,1,0.44,04043
4,44,195,8,4.1,170,87.18,6,3.08,1,0.51,10,5.13,04044
4,45,508,27,5.31,460,90.55,7,1.38,1,0.2,13,2.56,04045
4,46,268,8,2.99,247,92.16,3,1.12,0,0.0,10,3.73,04046
4,47,468,27,5.77,415,88.68,10,2.14,0,0.0,16,3.42,04047
4,48,427,42,9.84,361,84.54,7,1.64,0,0.0,17,3.98,04048
4,49,265,7,2.64,243,91.7,6,2.26,1,0.38,8,3.02,04049
4,50,304,6,1.97,280,92.11,5,1.64,0,0.0,13,4.28,04050
4,51,302,7,2.32,283,93.71,1,0.33,1,0.33,10,3.31,04051
4,52,361,11,3.05,329,91.14,5,1.39,2,0.55,14,3.88,04052
5,1,332,12,3.61,300,90.36,4,1.2,1,0.3,15,4.52,05001
5,2,269,6,2.23,249,92.57,1,0.37,0,0.0,13,4.83,05002
5,3,167,6,3.59,145,86.83,11,6.59,1,0.6,4,2.4,05003
5,4,218,5,2.29,202,92.66,4,1.83,0,0.0,7,3.21,05004
5,5,280,4,1.43,262,93.57,4,1.43,1,0.36,9,3.21,05005
5,6,366,6,1.64,336,91.8,6,1.64,2,0.55,16,4.37,05006
5,7,328,11,3.35,299,91.16,5,1.52,1,0.3,12,3.66,05007
5,8,405,35,8.64,351,86.67,11,2.72,2,0.49,6,1.48,05008
5,9,289,7,2.42,271,93.77,2,0.69,0,0.0,9,3.11,05009
5,10,259,6,2.32,236,91.12,2,0.77,0,0.0,15,5.79,05010
5,11,273,28,10.26,229,83.88,9,3.3,3,1.1,4,1.47,05011
5,12,198,4,2.02,188,94.95,2,1.01,2,1.01,2,1.01,05012
5,13,306,12,3.92,280,91.5,4,1.31,3,0.98,7,2.29,05013
5,14,439,18,4.1,401,91.34,7,1.59,1,0.23,12,2.73,05014
5,15,297,26,8.75,255,85.86,7,2.36,3,1.01,6,2.02,05015
5,16,231,8,3.46,213,92.21,1,0.43,1,0.43,8,3.46,05016
5,17,334,9,2.69,311,93.11,2,0.6,2,0.6,10,2.99,05017
5,18,318,15,4.72,277,87.11,8,2.52,2,0.63,16,5.03,05018
5,19,165,3,1.82,150,90.91,3,1.82,0,0.0,9,5.45,05019
5,20,159,3,1.89,148,93.08,1,0.63,0,0.0,7,4.4,05020
5,21,336,7,2.08,311,92.56,5,1.49,0,0.0,13,3.87,05021
5,22,289,12,4.15,255,88.24,9,3.11,1,0.35,12,4.15,05022
5,23,200,7,3.5,183,91.5,2,1.0,0,0.0,8,4.0,05023
5,24,258,14,5.43,237,91.86,4,1.55,0,0.0,3,1.16,05024
5,25,316,9,2.85,292,92.41,6,1.9,0,0.0,9,2.85,05025
5,26,326,7,2.15,302,92.64,3,0.92,0,0.0,14,4.29,05026
5,27,460,60,13.04,365,79.35,25,5.43,4,0.87,6,1.3,05027
5,28,332,6,1.81,313,94.28,0,0.0,4,1.2,9,2.71,05028
5,29,296,12,4.05,268,90.54,3,1.01,1,0.34,12,4.05,05029
5,30,308,49,15.91,251,81.49,4,1.3,2,0.65,2,0.65,05030
5,31,274,8,2.92,251,91.61,2,0.73,1,0.36,12,4.38,05031
5,32,468,18,3.85,429,91.67,5,1.07,0,0.0,16,3.42,05032
5,33,199,7,3.52,188,94.47,1,0.5,0,0.0,3,1.51,05033
5,34,356,6,1.69,333,93.54,4,1.12,1,0.28,12,3.37,05034
5,35,250,25,10.0,214,85.6,6,2.4,2,0.8,3,1.2,05035
5,36,153,3,1.96,140,91.5,3,1.96,0,0.0,7,4.58,05036
5,37,257,14,5.45,219,85.21,16,6.23,2,0.78,6,2.33,05037
5,38,318,25,7.86,271,85.22,12,3.77,2,0.63,8,2.52,05038
5,39,418,46,11.0,347,83.01,17,4.07,2,0.48,6,1.44,05039
5,40,313,7,2.24,290,92.65,10,3.19,2,0.64,4,1.28,05040
5,41,313,36,11.5,254,81.15,18,5.75,3,0.96,2,0.64,05041
5,42,335,14,4.18,299,89.25,6,1.79,2,0.6,14,4.18,05042
5,43,316,5,1.58,292,92.41,3,0.95,1,0.32,15,4.75,05043
5,44,334,10,2.99,298,89.22,10,2.99,1,0.3,15,4.49,05044
5,45,177,2,1.13,170,96.05,2,1.13,1,0.56,2,1.13,05045
5,46,291,25,8.59,250,85.91,9,3.09,2,0.69,5,1.72,05046
5,47,250,5,2.0,229,91.6,5,2.0,0,0.0,11,4.4,05047
5,48,225,17,7.56,188,83.56,12,5.33,0,0.0,8,3.56,05048
5,49,69,2,2.9,64,92.75,0,0.0,0,0.0,3,4.35,05049
5,50,253,2,0.79,235,92.89,4,1.58,1,0.4,11,4.35,05050
5,51,211,4,1.9,197,93.36,1,0.47,1,0.47,8,3.79,05051
5,52,15,1,6.67,13,86.67,0,0.0,0,0.0,1,6.67,05052
5,53,358,25,6.98,321,89.66,4,1.12,0,0.0,8,2.23,05053
5,54,425,10,2.35,397,93.41,3,0.71,0,0.0,15,3.53,05054
5,55,296,3,1.01,286,96.62,1,0.34,1,0.34,5,1.69,05055
6,1,363,5,1.38,351,96.69,1,0.28,0,0.0,6,1.65,06001
6,2,343,7,2.04,310,90.38,4,1.17,0,0.0,22,6.41,06002
6,3,352,6,1.7,326,92.61,1,0.28,2,0.57,17,4.83,06003
6,4,238,13,5.46,210,88.24,5,2.1,3,1.26,7,2.94,06004
6,5,152,1,0.66,142,93.42,1,0.66,1,0.66,7,4.61,06005
6,6,273,6,2.2,255,93.41,6,2.2,0,0.0,6,2.2,06006
6,7,304,10,3.29,273,89.8,6,1.97,1,0.33,14,4.61,06007
6,8,399,6,1.5,373,93.48,2,0.5,1,0.25,17,4.26,06008
6,9,290,7,2.41,273,94.14,3,1.03,0,0.0,7,2.41,06009
6,10,428,4,0.93,400,93.46,3,0.7,2,0.47,19,4.44,06010
6,11,281,6,2.14,262,93.24,6,2.14,0,0.0,7,2.49,06011
6,12,305,3,0.98,280,91.8,5,1.64,1,0.33,16,5.25,06012
6,13,287,4,1.39,265,92.33,3,1.05,2,0.7,13,4.53,06013
6,14,295,6,2.03,269,91.19,4,1.36,2,0.68,14,4.75,06014
6,15,226,4,1.77,209,92.48,3,1.33,1,0.44,9,3.98,06015
6,16,361,7,1.94,334,92.52,3,0.83,1,0.28,16,4.43,06016
6,17,363,5,1.38,342,94.21,4,1.1,0,0.0,12,3.31,06017
6,18,195,3,1.54,184,94.36,2,1.03,1,0.51,5,2.56,06018
6,19,365,8,2.19,331,90.68,2,0.55,1,0.27,23,6.3,06019
6,20,317,3,0.95,293,92.43,5,1.58,2,0.63,14,4.42,06020
6,21,319,8,2.51,295,92.48,2,0.63,1,0.31,13,4.08,06021
6,22,316,6,1.9,295,93.35,3,0.95,0,0.0,12,3.8,06022
6,23,243,9,3.7,227,93.42,0,0.0,1,0.41,6,2.47,06023
6,24,304,9,2.96,283,93.09,2,0.66,0,0.0,10,3.29,06024
6,25,230,7,3.04,211,91.74,0,0.0,2,0.87,10,4.35,06025
6,26,342,5,1.46,325,95.03,3,0.88,1,0.29,8,2.34,06026
6,27,394,2,0.51,378,95.94,1,0.25,1,0.25,12,3.05,06027
6,28,523,8,1.53,486,92.93,3,0.57,1,0.19,25,4.78,06028
6,29,378,6,1.59,347,91.8,4,1.06,1,0.26,20,5.29,06029
6,30,275,9,3.27,256,93.09,3,1.09,0,0.0,7,2.55,06030
6,31,366,2,0.55,352,96.17,1,0.27,0,0.0,11,3.01,06031
6,32,313,3,0.96,286,91.37,2,0.64,1,0.32,21,6.71,06032
6,33,384,7,1.82,355,92.45,3,0.78,1,0.26,18,4.69,06033
6,34,266,5,1.88,245,92.11,2,0.75,0,0.0,14,5.26,06034
6,35,290,7,2.41,269,92.76,2,0.69,0,0.0,12,4.14,06035
6,36,212,4,1.89,200,94.34,0,0.0,0,0.0,8,3.77,06036
6,37,364,6,1.65,326,89.56,2,0.55,1,0.27,29,7.97,06037
6,38,320,7,2.19,299,93.44,3,0.94,0,0.0,11,3.44,06038
6,39,283,8,2.83,253,89.4,5,1.77,4,1.41,13,4.59,06039
6,40,180,4,2.22,175,97.22,0,0.0,0,0.0,1,0.56,06040
6,41,346,9,2.6,323,93.35,5,1.45,1,0.29,8,2.31,06041
6,42,176,3,1.7,168,95.45,2,1.14,1,0.57,2,1.14,06042
6,43,328,3,0.91,310,94.51,3,0.91,2,0.61,10,3.05,06043
6,44,315,12,3.81,282,89.52,6,1.9,2,0.63,13,4.13,06044
6,45,235,3,1.28,216,91.91,2,0.85,0,0.0,14,5.96,06045
6,46,290,4,1.38,269,92.76,2,0.69,1,0.34,14,4.83,06046
6,47,319,12,3.76,295,92.48,3,0.94,0,0.0,9,2.82,06047
6,48,293,7,2.39,275,93.86,1,0.34,0,0.0,10,3.41,06048
6,49,337,9,2.67,312,92.58,2,0.59,1,0.3,13,3.86,06049
6,50,325,7,2.15,301,92.62,2,0.62,2,0.62,13,4.0,06050
6,51,218,0,0.0,209,95.87,0,0.0,0,0.0,9,4.13,06051
6,52,198,1,0.51,183,92.42,0,0.0,0,0.0,14,7.07,06052
6,53,282,10,3.55,256,90.78,3,1.06,1,0.35,12,4.26,06053
6,54,322,7,2.17,296,91.93,4,1.24,1,0.31,14,4.35,06054
6,55,274,8,2.92,249,90.88,2,0.73,1,0.36,14,5.11,06055
6,56,223,1,0.45,207,92.83,2,0.9,0,0.0,13,5.83,06056
6,57,184,2,1.09,174,94.57,1,0.54,0,0.0,7,3.8,06057
6,58,316,6,1.9,290,91.77,2,0.63,1,0.32,17,5.38,06058
6,59,312,5,1.6,290,92.95,4,1.28,1,0.32,12,3.85,06059
6,60,201,5,2.49,176,87.56,5,2.49,4,1.99,11,5.47,06060
6,61,173,5,2.89,160,92.49,5,2.89,0,0.0,3,1.73,06061
6,62,283,4,1.41,264,93.29,4,1.41,0,0.0,11,3.89,06062
6,63,270,7,2.59,253,93.7,2,0.74,1,0.37,7,2.59,06063
6,64,358,6,1.68,328,91.62,6,1.68,2,0.56,16,4.47,06064
7,1,476,3,0.63,450,94.54,6,1.26,2,0.42,15,3.15,07001
7,2,324,7,2.16,293,90.43,4,1.23,1,0.31,19,5.86,07002
7,3,199,4,2.01,180,90.45,1,0.5,0,0.0,14,7.04,07003
7,4,232,9,3.88,206,88.79,6,2.59,1,0.43,10,4.31,07004
7,5,240,7,2.92,217,90.42,0,0.0,0,0.0,16,6.67,07005
7,6,225,5,2.22,211,93.78,4,1.78,0,0.0,5,2.22,07006
7,7,198,3,1.52,183,92.42,1,0.51,0,0.0,11,5.56,07007
7,8,85,1,1.18,77,90.59,2,2.35,0,0.0,5,5.88,07008
7,9,256,6,2.34,234,91.41,4,1.56,0,0.0,12,4.69,07009
7,10,197,5,2.54,180,91.37,6,3.05,0,0.0,6,3.05,07010
7,11,308,7,2.27,278,90.26,4,1.3,1,0.32,18,5.84,07011
7,12,215,6,2.79,194,90.23,2,0.93,1,0.47,12,5.58,07012
7,13,191,5,2.62,173,90.58,4,2.09,0,0.0,9,4.71,07013
7,14,314,10,3.18,282,89.81,4,1.27,0,0.0,18,5.73,07014
7,15,185,9,4.86,162,87.57,1,0.54,1,0.54,12,6.49,07015
7,16,194,10,5.15,170,87.63,3,1.55,0,0.0,11,5.67,07016
7,17,138,1,0.72,129,93.48,0,0.0,1,0.72,7,5.07,07017
7,18,177,8,4.52,152,85.88,3,1.69,1,0.56,13,7.34,07018
7,19,402,14,3.48,365,90.8,3,0.75,1,0.25,19,4.73,07019
7,20,132,0,0.0,124,93.94,2,1.52,0,0.0,6,4.55,07020
7,21,288,13,4.51,264,91.67,3,1.04,0,0.0,8,2.78,07021
