ward,precinct,total,(JB Pritzker,(JB Pritzker Percent,(Bruce Rauner,(Bruce Rauner Percent,(Grayson Kash Jackson,(Grayson Kash Jackson Percent,(William ''Sam'' McCann,(William ''Sam'' McCann Percent,precinct_id
6,31,406,381,93.84,11,2.71,8,1.97,6,1.48,06031
6,32,366,349,95.36,10,2.73,3,0.82,4,1.09,06032
6,33,392,360,91.84,25,6.38,1,0.26,6,1.53,06033
6,34,403,388,96.28,4,0.99,8,1.99,3,0.74,06034
6,35,363,342,94.21,10,2.75,7,1.93,4,1.1,06035
6,36,464,447,96.34,9,1.94,3,0.65,5,1.08,06036
6,37,406,381,93.84,13,3.2,8,1.97,4,0.99,06037
6,38,419,395,94.27,16,3.82,7,1.67,1,0.24,06038
6,39,329,307,93.31,8,2.43,11,3.34,3,0.91,06039
6,40,352,335,95.17,6,1.7,5,1.42,6,1.7,06040
6,41,391,376,96.16,7,1.79,4,1.02,4,1.02,06041
6,42,415,389,93.73,15,3.61,6,1.45,5,1.2,06042
6,43,360,335,93.06,13,3.61,9,2.5,3,0.83,06043
6,44,402,377,93.78,11,2.74,10,2.49,4,1.0,06044
6,45,418,402,96.17,6,1.44,6,1.44,4,0.96,06045
6,46,267,263,98.5,2,0.75,1,0.37,1,0.37,06046
6,47,284,265,93.31,10,3.52,6,2.11,3,1.06,06047
6,48,418,394,94.26,14,3.35,4,0.96,6,1.44,06048
7,1,346,325,93.93,11,3.18,6,1.73,4,1.16,07001
7,2,360,338,93.89,12,3.33,8,2.22,2,0.56,07002
7,3,391,368,94.12,17,4.35,4,1.02,2,0.51,07003
7,4,390,363,93.08,18,4.62,5,1.28,4,1.03,07004
7,5,326,290,88.96,20,6.13,12,3.68,4,1.23,07005
7,6,489,452,92.43,18,3.68,13,2.66,6,1.23,07006
7,7,376,355,94.41,13,3.46,3,0.8,5,1.33,07007
7,8,313,289,92.33,15,4.79,7,2.24,2,0.64,07008
7,9,665,615,92.48,24,3.61,15,2.26,11,1.65,07009
7,10,420,400,95.24,11,2.62,5,1.19,4,0.95,07010
7,11,413,393,95.16,11,2.66,8,1.94,1,0.24,07011
7,12,356,337,94.66,9,2.53,7,1.97,3,0.84,07012
7,13,244,228,93.44,7,2.87,4,1.64,5,2.05,07013
7,14,404,381,94.31,11,2.72,9,2.23,3,0.74,07014
7,15,367,352,95.91,2,0.54,11,3.0,2,0.54,07015
7,16,287,270,94.08,10,3.48,4,1.39,3,1.05,07016
7,17,313,295,94.25,8,2.56,4,1.28,6,1.92,07017
7,18,342,313,91.52,15,4.39,6,1.75,8,2.34,07018
7,19,354,328,92.66,10,2.82,6,1.69,10,2.82,07019
7,20,294,283,96.26,4,1.36,5,1.7,2,0.68,07020
7,21,286,271,94.76,8,2.8,5,1.75,2,0.7,07021
7,22,320,285,89.06,22,6.88,12,3.75,1,0.31,07022
7,23,361,350,96.95,8,2.22,1,0.28,2,0.55,07023
7,24,307,294,95.77,5,1.63,7,2.28,1,0.33,07024
7,25,296,277,93.58,12,4.05,5,1.69,2,0.68,07025
7,26,306,294,96.08,4,1.31,6,1.96,2,0.65,07026
7,27,307,293,95.44,5,1.63,5,1.63,4,1.3,07027
7,28,283,263,92.93,9,3.18,7,2.47,4,1.41,07028
7,29,311,283,91.0,9,2.89,11,3.54,8,2.57,07029
7,30,272,248,91.18,12,4.41,7,2.57,5,1.84,07030
7,31,248,231,93.15,9,3.63,4,1.61,4,1.61,07031
7,32,497,459,92.35,22,4.43,13,2.62,3,0.6,07032
7,33,495,472,95.35,12,2.42,6,1.21,5,1.01,07033
7,34,447,420,93.96,13,2.91,10,2.24,4,0.89,07034
7,35,407,378,92.87,19,4.67,4,0.98,6,1.47,07035
7,36,444,412,92.79,7,1.58,14,3.15,11,2.48,07036
7,37,401,376,93.77,16,3.99,5,1.25,4,1.0,07037
7,38,321,305,95.02,11,3.43,4,1.25,1,0.31,07038
7,39,344,331,96.22,6,1.74,5,1.45,2,0.58,07039
7,40,330,314,95.15,10,3.03,6,1.82,0,0.0,07040
7,41,370,353,95.41,8,2.16,7,1.89,2,0.54,07041
7,42,314,291,92.68,6,1.91,7,2.23,10,3.18,07042
7,43,381,359,94.23,15,3.94,4,1.05,3,0.79,07043
7,44,317,305,96.21,6,1.89,1,0.32,5,1.58,07044
7,45,355,339,95.49,9,2.54,3,0.85,4,1.13,07045
7,46,161,157,97.52,2,1.24,1,0.62,1,0.62,07046
8,1,339,310,91.45,10,2.95,13,3.83,6,1.77,08001
8,2,361,337,93.35,12,3.32,8,2.22,4,1.11,08002
8,3,451,426,94.46,8,1.77,12,2.66,5,1.11,08003
8,4,442,428,96.83,6,1.36,6,1.36,2,0.45,08004
8,5,436,409,93.81,16,3.67,6,1.38,5,1.15,08005
8,6,410,390,95.12,11,2.68,5,1.22,4,0.98,08006
8,7,458,437,95.41,13,2.84,5,1.09,3,0.66,08007
8,8,385,372,96.62,7,1.82,5,1.3,1,0.26,08008
8,9,267,260,97.38,3,1.12,3,1.12,1,0.37,08009
8,10,496,465,93.75,16,3.23,11,2.22,4,0.81,08010
8,11,330,309,93.64,12,3.64,6,1.82,3,0.91,08011
8,12,351,337,96.01,7,1.99,4,1.14,3,0.85,08012
8,13,449,426,94.88,13,2.9,6,1.34,4,0.89,08013
8,14,285,274,96.14,3,1.05,4,1.4,4,1.4,08014
8,15,351,335,95.44,9,2.56,2,0.57,5,1.42,08015
8,16,123,114,92.68,3,2.44,3,2.44,3,2.44,08016
8,17,352,337,95.74,9,2.56,3,0.85,3,0.85,08017
8,18,378,351,92.86,12,3.17,7,1.85,8,2.12,08018
8,19,428,399,93.22,15,3.5,7,1.64,7,1.64,08019
8,20,448,428,95.54,7,1.56,9,2.01,4,0.89,08020
8,21,486,454,93.42,14,2.88,11,2.26,7,1.44,08021
8,22,360,338,93.89,10,2.78,8,2.22,4,1.11,08022
8,23,338,322,95.27,8,2.37,7,2.07,1,0.3,08023
8,24,243,230,94.65,7,2.88,4,1.65,2,0.82,08024
8,25,389,368,94.6,15,3.86,5,1.29,1,0.26,08025
8,26,366,339,92.62,9,2.46,9,2.46,9,2.46,08026
8,27,429,408,95.1,11,2.56,7,1.63,3,0.7,08027
8,28,412,398,96.6,10,2.43,2,0.49,2,0.49,08028
8,29,453,419,92.49,16,3.53,11,2.43,7,1.55,08029
8,30,412,385,93.45,12,2.91,9,2.18,6,1.46,08030
8,31,295,274,92.88,10,3.39,6,2.03,5,1.69,08031
8,32,322,301,93.48,9,2.8,5,1.55,7,2.17,08032
8,33,378,349,92.33,11,2.91,13,3.44,5,1.32,08033
8,34,383,356,92.95,12,3.13,9,2.35,6,1.57,08034
8,35,428,402,93.93,8,1.87,10,2.34,8,1.87,08035
8,36,418,401,95.93,10,2.39,3,0.72,4,0.96,08036
8,37,330,313,94.85,10,3.03,5,1.52,2,0.61,08037
8,38,270,261,96.67,7,2.59,0,0.0,2,0.74,08038
8,39,402,388,96.52,9,2.24,5,1.24,0,0.0,08039
8,40,303,286,94.39,8,2.64,8,2.64,1,0.33,08040
8,41,446,433,97.09,7,1.57,4,0.9,2,0.45,08041
8,42,476,465,97.69,4,0.84,5,1.05,2,0.42,08042
8,43,223,208,93.27,5,2.24,5,2.24,5,2.24,08043
8,44,275,266,96.73,6,2.18,2,0.73,1,0.36,08044
8,45,383,360,93.99,12,3.13,6,1.57,5,1.31,08045
8,46,312,295,94.55,9,2.88,6,1.92,2,0.64,08046
8,47,328,302,92.07,11,3.35,8,2.44,7,2.13,08047
8,48,370,351,94.86,9,2.43,7,1.89,3,0.81,08048
8,49,364,355,97.53,4,1.1,3,0.82,2,0.55,08049
8,50,403,381,94.54,9,2.23,9,2.23,4,0.99,08050
8,51,443,423,95.49,9,2.03,9,2.03,2,0.45,08051
8,52,489,470,96.11,9,1.84,6,1.23,4,0.82,08052
8,53,225,205,91.11,11,4.89,8,3.56,1,0.44,08053
8,54,322,303,94.1,11,3.42,2,0.62,6,1.86,08054
8,55,313,299,95.53,5,1.6,5,1.6,4,1.28,08055
8,56,391,378,96.68,3,0.77,8,2.05,2,0.51,08056
9,1,376,358,95.21,10,2.66,4,1.06,4,1.06,09001
9,2,325,314,96.62,8,2.46,2,0.62,1,0.31,09002
9,3,295,283,95.93,6,2.03,2,0.68,4,1.36,09003
9,4,283,278,98.23,2,0.71,1,0.35,2,0.71,09004
9,5,368,357,97.01,2,0.54,5,1.36,4,1.09,09005
9,6,342,315,92.11,10,2.92,4,1.17,13,3.8,09006
9,7,297,275,92.59,8,2.69,10,3.37,4,1.35,09007
9,8,368,353,95.92,6,1.63,7,1.9,2,0.54,09008
9,9,400,379,94.75,8,2.0,6,1.5,7,1.75,09009
9,10,305,295,96.72,4,1.31,3,0.98,3,0.98,09010
9,11,246,223,90.65,15,6.1,6,2.44,2,0.81,09011
9,12,420,398,94.76,13,3.1,4,0.95,5,1.19,09012
9,13,422,403,95.5,13,3.08,5,1.18,1,0.24,09013
9,14,445,426,95.73,13,2.92,3,0.67,3,0.67,09014
9,15,408,384,94.12,12,2.94,7,1.72,5,1.23,09015
9,16,318,305,95.91,4,1.26,8,2.52,1,0.31,09016
9,17,248,237,95.56,4,1.61,6,2.42,1,0.4,09017
9,18,280,269,96.07,8,2.86,2,0.71,1,0.36,09018
9,19,351,342,97.44,3,0.85,5,1.42,1,0.28,09019
9,20,366,342,93.44,9,2.46,9,2.46,6,1.64,09020
9,21,319,301,94.36,12,3.76,3,0.94,3,0.94,09021
9,22,385,368,95.58,12,3.12,4,1.04,1,0.26,09022
9,23,433,412,95.15,11,2.54,7,1.62,3,0.69,09023
9,24,381,358,93.96,15,3.94,3,0.79,5,1.31,09024
9,25,378,362,95.77,5,1.32,6,1.59,5,1.32,09025
9,26,412,388,94.17,11,2.67,6,1.46,7,1.7,09026
9,27,323,317,98.14,4,1.24,1,0.31,1,0.31,09027
9,28,220,205,93.18,5,2.27,6,2.73,4,1.82,09028
9,29,344,322,93.6,12,3.49,8,2.33,2,0.58,09029
9,30,293,275,93.86,7,2.39,3,1.02,8,2.73,09030
9,31,290,275,94.83,6,2.07,2,0.69,7,2.41,09031
9,32,373,351,94.1,10,2.68,5,1.34,7,1.88,09032
9,33,278,268,96.4,3,1.08,4,1.44,3,1.08,09033
9,34,275,259,94.18,13,4.73,1,0.36,2,0.73,09034
9,35,371,354,95.42,6,1.62,6,1.62,5,1.35,09035
9,36,307,292,95.11,5,1.63,6,1.95,4,1.3,09036
9,37,523,423,80.88,70,13.38,20,3.82,10,1.91,09037
9,38,391,374,95.65,10,2.56,5,1.28,2,0.51,09038
9,39,399,373,93.48,9,2.26,11,2.76,6,1.5,09039
9,40,413,395,95.64,11,2.66,6,1.45,1,0.24,09040
9,41,308,295,95.78,5,1.62,4,1.3,4,1.3,09041
9,42,374,356,95.19,13,3.48,5,1.34,0,0.0,09042
9,43,329,313,95.14,8,2.43,3,0.91,5,1.52,09043
9,44,326,300,92.02,17,5.21,3,0.92,6,1.84,09044
9,45,297,284,95.62,6,2.02,5,1.68,2,0.67,09045
9,46,373,346,92.76,18,4.83,7,1.88,2,0.54,09046
9,47,389,379,97.43,5,1.29,4,1.03,1,0.26,09047
9,48,426,406,95.31,9,2.11,7,1.64,4,0.94,09048
9,49,406,388,95.57,8,1.97,5,1.23,5,1.23,09049
9,50,489,465,95.09,13,2.66,6,1.23,5,1.02,09050
9,51,364,346,95.05,14,3.85,4,1.1,0,0.0,09051
10,1,338,306,90.53,22,6.51,4,1.18,6,1.78,10001
10,2,384,247,64.32,118,30.73,6,1.56,13,3.39,10002
10,3,380,239,62.89,117,30.79,7,1.84,17,4.47,10003
10,4,287,260,90.59,20,6.97,4,1.39,3,1.05,10004
10,5,302,196,64.9,82,27.15,2,0.66,22,7.28,10005
10,6,311,254,81.67,48,15.43,4,1.29,5,1.61,10006
