ward,precinct,total,Rosa Maria Silva,Rosa Maria Silva Percent,precinct_id
8,12,313,313,100.0,08012
8,13,378,378,100.0,08013
8,14,249,249,100.0,08014
8,15,309,309,100.0,08015
8,16,93,93,100.0,08016
8,17,312,312,100.0,08017
8,18,323,323,100.0,08018
8,19,376,376,100.0,08019
8,20,386,386,100.0,08020
8,21,426,426,100.0,08021
8,22,317,317,100.0,08022
8,23,292,292,100.0,08023
8,24,211,211,100.0,08024
8,25,334,334,100.0,08025
8,26,313,313,100.0,08026
8,27,389,389,100.0,08027
8,28,349,349,100.0,08028
8,29,398,398,100.0,08029
8,30,348,348,100.0,08030
8,31,261,261,100.0,08031
8,32,285,285,100.0,08032
8,33,320,320,100.0,08033
8,34,325,325,100.0,08034
8,35,388,388,100.0,08035
8,36,363,363,100.0,08036
8,37,288,288,100.0,08037
8,38,220,220,100.0,08038
8,39,342,342,100.0,08039
8,40,272,272,100.0,08040
8,41,375,375,100.0,08041
8,42,419,419,100.0,08042
8,43,180,180,100.0,08043
8,44,225,225,100.0,08044
8,45,330,330,100.0,08045
8,46,264,264,100.0,08046
8,47,281,281,100.0,08047
8,48,314,314,100.0,08048
8,49,321,321,100.0,08049
8,50,344,344,100.0,08050
8,51,382,382,100.0,08051
8,52,438,438,100.0,08052
8,53,195,195,100.0,08053
8,54,280,280,100.0,08054
8,55,277,277,100.0,08055
8,56,350,350,100.0,08056
9,1,322,322,100.0,09001
9,2,307,307,100.0,09002
9,3,245,245,100.0,09003
9,4,245,245,100.0,09004
9,5,306,306,100.0,09005
9,6,305,305,100.0,09006
9,7,266,266,100.0,09007
9,8,312,312,100.0,09008
9,9,339,339,100.0,09009
9,10,260,260,100.0,09010
9,11,209,209,100.0,09011
9,12,363,363,100.0,09012
9,13,377,377,100.0,09013
9,14,386,386,100.0,09014
9,15,362,362,100.0,09015
9,16,299,299,100.0,09016
9,17,213,213,100.0,09017
9,18,238,238,100.0,09018
9,19,306,306,100.0,09019
9,20,317,317,100.0,09020
9,21,274,274,100.0,09021
9,22,315,315,100.0,09022
9,23,373,373,100.0,09023
9,24,332,332,100.0,09024
9,25,336,336,100.0,09025
9,26,349,349,100.0,09026
9,27,289,289,100.0,09027
9,28,194,194,100.0,09028
9,29,267,267,100.0,09029
9,30,256,256,100.0,09030
9,31,244,244,100.0,09031
9,32,320,320,100.0,09032
9,33,239,239,100.0,09033
9,34,238,238,100.0,09034
9,35,327,327,100.0,09035
9,36,258,258,100.0,09036
9,37,423,423,100.0,09037
9,38,334,334,100.0,09038
9,39,356,356,100.0,09039
9,40,347,347,100.0,09040
9,41,270,270,100.0,09041
9,42,336,336,100.0,09042
9,43,275,275,100.0,09043
9,44,292,292,100.0,09044
9,45,255,255,100.0,09045
9,46,321,321,100.0,09046
9,47,334,334,100.0,09047
9,48,370,370,100.0,09048
9,49,354,354,100.0,09049
9,50,429,429,100.0,09050
9,51,332,332,100.0,09051
10,1,286,286,100.0,10001
10,2,267,267,100.0,10002
10,3,277,277,100.0,10003
10,4,230,230,100.0,10004
10,5,218,218,100.0,10005
10,6,232,232,100.0,10006
10,7,226,226,100.0,10007
10,8,190,190,100.0,10008
10,9,225,225,100.0,10009
10,10,293,293,100.0,10010
10,11,354,354,100.0,10011
10,12,191,191,100.0,10012
10,13,299,299,100.0,10013
10,14,379,379,100.0,10014
10,15,580,580,100.0,10015
10,16,215,215,100.0,10016
10,17,360,360,100.0,10017
10,18,194,194,100.0,10018
10,19,284,284,100.0,10019
10,20,312,312,100.0,10020
10,21,299,299,100.0,10021
10,22,188,188,100.0,10022
10,23,265,265,100.0,10023
10,24,257,257,100.0,10024
10,25,91,91,100.0,10025
10,26,226,226,100.0,10026
10,27,300,300,100.0,10027
10,28,329,329,100.0,10028
10,29,276,276,100.0,10029
10,30,265,265,100.0,10030
10,31,229,229,100.0,10031
10,32,293,293,100.0,10032
10,33,218,218,100.0,10033
10,34,216,216,100.0,10034
10,35,311,311,100.0,10035
10,36,85,85,100.0,10036
11,1,321,321,100.0,11001
11,2,26,26,100.0,11002
11,3,348,348,100.0,11003
11,4,284,284,100.0,11004
11,5,462,462,100.0,11005
11,6,560,560,100.0,11006
11,7,590,590,100.0,11007
11,8,341,341,100.0,11008
11,9,279,279,100.0,11009
11,10,291,291,100.0,11010
11,11,351,351,100.0,11011
11,12,377,377,100.0,11012
11,13,314,314,100.0,11013
11,14,152,152,100.0,11014
11,15,128,128,100.0,11015
11,16,199,199,100.0,11016
11,17,428,428,100.0,11017
11,18,238,238,100.0,11018
11,19,432,432,100.0,11019
11,20,224,224,100.0,11020
11,21,420,420,100.0,11021
11,22,363,363,100.0,11022
11,23,204,204,100.0,11023
11,24,383,383,100.0,11024
11,25,443,443,100.0,11025
11,26,371,371,100.0,11026
11,27,110,110,100.0,11027
11,28,147,147,100.0,11028
11,29,344,344,100.0,11029
11,30,154,154,100.0,11030
11,31,310,310,100.0,11031
11,32,145,145,100.0,11032
11,33,450,450,100.0,11033
11,34,101,101,100.0,11034
11,35,69,69,100.0,11035
11,36,134,134,100.0,11036
11,37,89,89,100.0,11037
11,38,197,197,100.0,11038
12,1,315,315,100.0,12001
12,2,277,277,100.0,12002
12,3,409,409,100.0,12003
12,4,351,351,100.0,12004
12,5,255,255,100.0,12005
12,6,326,326,100.0,12006
12,7,299,299,100.0,12007
12,8,336,336,100.0,12008
12,9,264,264,100.0,12009
12,10,392,392,100.0,12010
12,11,332,332,100.0,12011
12,12,328,328,100.0,12012
12,13,309,309,100.0,12013
12,14,306,306,100.0,12014
12,15,247,247,100.0,12015
12,16,299,299,100.0,12016
12,17,315,315,100.0,12017
12,18,272,272,100.0,12018
12,19,309,309,100.0,12019
12,20,380,380,100.0,12020
12,21,303,303,100.0,12021
12,22,267,267,100.0,12022
12,23,321,321,100.0,12023
13,1,222,222,100.0,13001
13,2,218,218,100.0,13002
13,3,240,240,100.0,13003
13,4,256,256,100.0,13004
13,5,338,338,100.0,13005
13,6,234,234,100.0,13006
13,7,222,222,100.0,13007
13,8,211,211,100.0,13008
13,9,298,298,100.0,13009
13,10,219,219,100.0,13010
13,11,285,285,100.0,13011
13,12,246,246,100.0,13012
13,13,290,290,100.0,13013
13,14,291,291,100.0,13014
13,15,420,420,100.0,13015
13,16,193,193,100.0,13016
13,17,224,224,100.0,13017
13,18,199,199,100.0,13018
13,19,328,328,100.0,13019
13,20,141,141,100.0,13020
13,21,257,257,100.0,13021
13,22,264,264,100.0,13022
13,23,210,210,100.0,13023
13,24,278,278,100.0,13024
13,25,286,286,100.0,13025
13,26,268,268,100.0,13026
13,27,257,257,100.0,13027
13,28,222,222,100.0,13028
13,29,217,217,100.0,13029
13,30,243,243,100.0,13030
13,31,268,268,100.0,13031
13,32,192,192,100.0,13032
13,33,254,254,100.0,13033
13,34,347,347,100.0,13034
13,35,264,264,100.0,13035
13,36,179,179,100.0,13036
13,37,325,325,100.0,13037
13,38,209,209,100.0,13038
13,39,293,293,100.0,13039
13,40,287,287,100.0,13040
13,41,324,324,100.0,13041
13,42,227,227,100.0,13042
13,43,281,281,100.0,13043
13,44,283,283,100.0,13044
13,45,302,302,100.0,13045
13,46,345,345,100.0,13046
13,47,309,309,100.0,13047
13,48,225,225,100.0,13048
14,1,274,274,100.0,14001
14,2,381,381,100.0,14002
14,3,316,316,100.0,14003
14,4,260,260,100.0,14004
14,5,412,412,100.0,14005
14,6,144,144,100.0,14006
14,7,361,361,100.0,14007
14,8,322,322,100.0,14008
14,9,338,338,100.0,14009
14,10,207,207,100.0,14010
14,11,181,181,100.0,14011
14,12,330,330,100.0,14012
14,13,261,261,100.0,14013
14,14,285,285,100.0,14014
14,15,341,341,100.0,14015
14,16,206,206,100.0,14016
14,17,243,243,100.0,14017
14,18,125,125,100.0,14018
14,19,282,282,100.0,14019
14,20,218,218,100.0,14020
14,21,281,281,100.0,14021
14,22,383,383,100.0,14022
14,23,229,229,100.0,14023
14,24,322,322,100.0,14024
14,25,170,170,100.0,14025
14,26,236,236,100.0,14026
14,27,292,292,100.0,14027
14,28,235,235,100.0,14028
14,29,243,243,100.0,14029
14,30,176,176,100.0,14030
14,31,188,188,100.0,14031
15,1,287,287,100.0,15001
15,2,179,179,100.0,15002
15,3,198,198,100.0,15003
15,4,300,300,100.0,15004
15,5,258,258,100.0,15005
15,6,279,279,100.0,15006
15,7,197,197,100.0,15007
15,8,250,250,100.0,15008
15,9,357,357,100.0,15009
15,10,381,381,100.0,15010
15,11,325,325,100.0,15011
15,12,351,351,100.0,15012
15,13,277,277,100.0,15013
15,14,256,256,100.0,15014
15,15,215,215,100.0,15015
15,16,314,314,100.0,15016
15,17,224,224,100.0,15017
15,18,174,174,100.0,15018
15,19,247,247,100.0,15019
15,20,212,212,100.0,15020
15,21,182,182,100.0,15021
15,22,217,217,100.0,15022
15,23,226,226,100.0,15023
15,24,173,173,100.0,15024
16,1,339,339,100.0,16001
16,2,237,237,100.0,16002
16,3,204,204,100.0,16003
16,4,237,237,100.0,16004
16,5,167,167,100.0,16005
16,6,240,240,100.0,16006
16,7,217,217,100.0,16007
16,8,162,162,100.0,16008
16,9,247,247,100.0,16009
16,10,207,207,100.0,16010
16,11,241,241,100.0,16011
16,12,196,196,100.0,16012
16,13,236,236,100.0,16013
16,14,185,185,100.0,16014
16,15,252,252,100.0,16015
16,16,225,225,100.0,16016
16,17,290,290,100.0,16017
16,18,266,266,100.0,16018
16,19,212,212,100.0,16019
16,20,190,190,100.0,16020
16,21,201,201,100.0,16021
16,22,196,196,100.0,16022
16,23,282,282,100.0,16023
16,24,123,123,100.0,16024
16,25,269,269,100.0,16025
16,26,189,189,100.0,16026
16,27,183,183,100.0,16027
16,28,206,206,100.0,16028
16,29,221,221,100.0,16029
16,30,196,196,100.0,16030
16,31,245,245,100.0,16031
16,32,274,274,100.0,16032
16,33,215,215,100.0,16033
16,34,224,224,100.0,16034
16,35,301,301,100.0,16035
16,36,183,183,100.0,16036
17,1,307,307,100.0,17001
17,2,287,287,100.0,17002
17,3,294,294,100.0,17003
17,4,362,362,100.0,17004
17,5,203,203,100.0,17005
17,6,254,254,100.0,17006
17,7,254,254,100.0,17007
17,8,239,239,100.0,17008
17,9,233,233,100.0,17009
17,10,374,374,100.0,17010
17,11,226,226,100.0,17011
17,12,391,391,100.0,17012
17,13,254,254,100.0,17013
17,14,353,353,100.0,17014
17,15,314,314,100.0,17015
17,16,290,290,100.0,17016
17,17,262,262,100.0,17017
17,18,332,332,100.0,17018
17,19,165,165,100.0,17019
17,20,387,387,100.0,17020
17,21,390,390,100.0,17021
17,22,251,251,100.0,17022
17,23,194,194,100.0,17023
17,24,302,302,100.0,17024
17,25,219,219,100.0,17025
17,26,308,308,100.0,17026
17,27,275,275,100.0,17027
17,28,225,225,100.0,17028
17,29,300,300,100.0,17029
17,30,224,224,100.0,17030
17,31,186,186,100.0,17031
17,32,230,230,100.0,17032
17,33,190,190,100.0,17033
17,34,222,222,100.0,17034
17,35,199,199,100.0,17035
17,36,278,278,100.0,17036
17,37,249,249,100.0,17037
17,38,281,281,100.0,17038
17,39,283,283,100.0,17039
17,40,306,306,100.0,17040
17,41,368,368,100.0,17041
18,1,303,303,100.0,18001
18,2,286,286,100.0,18002
18,3,279,279,100.0,18003
18,4,342,342,100.0,18004
18,5,207,207,100.0,18005
18,6,248,248,100.0,18006
18,7,316,316,100.0,18007
18,8,321,321,100.0,18008
18,9,319,319,100.0,18009
18,10,436,436,100.0,18010
18,11,258,258,100.0,18011
18,12,318,318,100.0,18012
18,13,341,341,100.0,18013
18,14,352,352,100.0,18014
18,15,351,351,100.0,18015
18,16,312,312,100.0,18016
18,17,330,330,100.0,18017
18,18,283,283,100.0,18018
18,19,307,307,100.0,18019
18,20,261,261,100.0,18020
18,21,390,390,100.0,18021
18,22,390,390,100.0,18022
18,23,317,317,100.0,18023
18,24,310,310,100.0,18024
18,25,306,306,100.0,18025
18,26,409,409,100.0,18026
18,27,266,266,100.0,18027
18,28,283,283,100.0,18028
18,29,356,356,100.0,18029
18,30,351,351,100.0,18030
18,31,351,351,100.0,18031
18,32,330,330,100.0,18032
18,33,247,247,100.0,18033
18,34,382,382,100.0,18034
18,35,387,387,100.0,18035
18,36,348,348,100.0,18036
18,37,390,390,100.0,18037
18,38,316,316,100.0,18038
18,39,259,259,100.0,18039
18,40,346,346,100.0,18040
18,41,383,383,100.0,18041
18,42,293,293,100.0,18042
18,43,230,230,100.0,18043
18,44,255,255,100.0,18044
18,45,298,298,100.0,18045
18,46,336,336,100.0,18046
18,47,246,246,100.0,18047
18,48,272,272,100.0,18048
18,49,196,196,100.0,18049
18,50,243,243,100.0,18050
19,1,245,245,100.0,19001
19,2,497,497,100.0,19002
19,3,184,184,100.0,19003
19,4,305,305,100.0,19004
19,5,373,373,100.0,19005
19,6,288,288,100.0,19006
19,7,267,267,100.0,19007
19,8,271,271,100.0,19008
19,9,210,210,100.0,19009
19,10,422,422,100.0,19010
19,11,212,212,100.0,19011
19,12,182,182,100.0,19012
19,13,450,450,100.0,19013
19,14,408,408,100.0,19014
19,15,308,308,100.0,19015
19,16,269,269,100.0,19016
19,17,252,252,100.0,19017
19,18,321,321,100.0,19018
19,19,446,446,100.0,19019
19,20,320,320,100.0,19020
19,21,234,234,100.0,19021
19,22,359,359,100.0,19022
19,23,309,309,100.0,19023
19,24,180,180,100.0,19024
19,25,317,317,100.0,19025
19,26,322,322,100.0,19026
19,27,382,382,100.0,19027
19,28,425,425,100.0,19028
19,29,267,267,100.0,19029
19,30,254,254,100.0,19030
19,31,286,286,100.0,19031
19,32,260,260,100.0,19032
19,33,282,282,100.0,19033
19,34,313,313,100.0,19034
19,35,317,317,100.0,19035
19,36,498,498,100.0,19036
19,37,348,348,100.0,19037
19,38,323,323,100.0,19038
19,39,152,152,100.0,19039
19,40,355,355,100.0,19040
19,41,226,226,100.0,19041
19,42,306,306,100.0,19042
19,43,499,499,100.0,19043
19,44,286,286,100.0,19044
19,45,295,295,100.0,19045
19,46,306,306,100.0,19046
19,47,515,515,100.0,19047
19,48,422,422,100.0,19048
19,49,429,429,100.0,19049
19,50,255,255,100.0,19050
19,51,330,330,100.0,19051
19,52,282,282,100.0,19052
19,53,283,283,100.0,19053
19,54,199,199,100.0,19054
19,55,213,213,100.0,19055
19,56,385,385,100.0,19056
19,57,283,283,100.0,19057
20,1,311,311,100.0,20001
20,2,123,123,100.0,20002
20,3,267,267,100.0,20003
20,4,142,142,100.0,20004
20,5,368,368,100.0,20005
20,6,141,141,100.0,20006
20,7,331,331,100.0,20007
20,8,289,289,100.0,20008
20,9,467,467,100.0,20009
20,10,220,220,100.0,20010
20,11,429,429,100.0,20011
20,12,257,257,100.0,20012
20,13,336,336,100.0,20013
20,14,151,151,100.0,20014
20,15,265,265,100.0,20015
20,16,364,364,100.0,20016
20,17,180,180,100.0,20017
20,18,216,216,100.0,20018
20,19,323,323,100.0,20019
20,20,209,209,100.0,20020
20,21,218,218,100.0,20021
20,22,414,414,100.0,20022
20,23,340,340,100.0,20023
20,24,363,363,100.0,20024
20,25,208,208,100.0,20025
20,26,331,331,100.0,20026
20,27,159,159,100.0,20027
20,28,207,207,100.0,20028
20,29,347,347,100.0,20029
20,30,143,143,100.0,20030
20,31,376,376,100.0,20031
20,32,298,298,100.0,20032
20,33,185,185,100.0,20033
20,34,539,539,100.0,20034
20,35,227,227,100.0,20035
20,36,106,106,100.0,20036
20,37,93,93,100.0,20037
20,38,100,100,100.0,20038
20,39,22,22,100.0,20039
21,1,367,367,100.0,21001
21,2,253,253,100.0,21002
21,3,365,365,100.0,21003
21,4,314,314,100.0,21004
21,5,357,357,100.0,21005
21,6,276,276,100.0,21006
21,7,339,339,100.0,21007
21,8,346,346,100.0,21008
21,9,360,360,100.0,21009
21,10,293,293,100.0,21010
21,11,312,312,100.0,21011
21,12,306,306,100.0,21012
21,13,318,318,100.0,21013
21,14,352,352,100.0,21014
21,15,301,301,100.0,21015
21,16,312,312,100.0,21016
21,17,303,303,100.0,21017
21,18,367,367,100.0,21018
21,19,347,347,100.0,21019
21,20,268,268,100.0,21020
21,21,276,276,100.0,21021
21,22,289,289,100.0,21022
21,23,284,284,100.0,21023
21,24,344,344,100.0,21024
21,25,284,284,100.0,21025
21,26,315,315,100.0,21026
21,27,328,328,100.0,21027
21,28,406,406,100.0,21028
21,29,378,378,100.0,21029
21,30,254,254,100.0,21030
21,31,238,238,100.0,21031
21,32,297,297,100.0,21032
21,33,296,296,100.0,21033
21,34,299,299,100.0,21034
21,35,388,388,100.0,21035
21,36,311,311,100.0,21036
21,37,247,247,100.0,21037
21,38,312,312,100.0,21038
21,39,272,272,100.0,21039
21,40,295,295,100.0,21040
21,41,331,331,100.0,21041
21,42,339,339,100.0,21042
21,43,332,332,100.0,21043
21,44,333,333,100.0,21044
21,45,305,305,100.0,21045
21,46,348,348,100.0,21046
21,47,307,307,100.0,21047
21,48,329,329,100.0,21048
21,49,363,363,100.0,21049
21,50,259,259,100.0,21050
21,51,321,321,100.0,21051
21,52,306,306,100.0,21052
21,53,271,271,100.0,21053
21,54,274,274,100.0,21054
22,1,184,184,100.0,22001
22,2,327,327,100.0,22002
22,3,405,405,100.0,22003
22,4,236,236,100.0,22004
22,5,269,269,100.0,22005
22,6,280,280,100.0,22006
22,7,219,219,100.0,22007
22,8,383,383,100.0,22008
22,9,228,228,100.0,22009
22,10,380,380,100.0,22010
22,11,237,237,100.0,22011
22,12,268,268,100.0,22012
22,13,279,279,100.0,22013
22,14,213,213,100.0,22014
22,15,240,240,100.0,22015
22,16,258,258,100.0,22016
22,17,281,281,100.0,22017
22,18,253,253,100.0,22018
22,19,147,147,100.0,22019
22,20,265,265,100.0,22020
22,21,288,288,100.0,22021
22,22,264,264,100.0,22022
22,23,381,381,100.0,22023
22,24,309,309,100.0,22024
22,25,286,286,100.0,22025
23,1,225,225,100.0,23001
23,2,254,254,100.0,23002
23,3,236,236,100.0,23003
23,4,287,287,100.0,23004
23,5,309,309,100.0,23005
23,6,309,309,100.0,23006
23,7,245,245,100.0,23007
23,8,331,331,100.0,23008
23,9,251,251,100.0,23009
23,10,339,339,100.0,23010
23,11,321,321,100.0,23011
23,12,247,247,100.0,23012
23,13,266,266,100.0,23013
23,14,222,222,100.0,23014
23,15,256,256,100.0,23015
