ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Jorge Gerardo Zavala,Jorge Gerardo Zavala Percent,precinct_id
22,19,34,28,82.35,2,5.88,22019
22,20,50,38,76.0,6,12.0,22020
22,22,34,30,88.24,3,8.82,22022
22,24,54,47,87.04,3,5.56,22024
22,25,48,45,93.75,3,6.25,22025
23,9,26,16,61.54,4,15.38,23009
23,13,36,29,80.56,3,8.33,23013
23,15,27,20,74.07,2,7.41,23015
23,24,44,32,72.73,7,15.91,23024
23,26,12,6,50.0,2,16.67,23026
23,34,27,21,77.78,3,11.11,23034
23,39,18,13,72.22,4,22.22,23039
24,16,45,36,80.0,6,13.33,24016
25,1,59,44,74.58,8,13.56,25001
25,2,44,34,77.27,5,11.36,25002
25,5,58,40,68.97,6,10.34,25005
25,7,46,36,78.26,4,8.7,25007
25,8,38,29,76.32,3,7.89,25008
25,9,53,43,81.13,3,5.66,25009
25,11,59,46,77.97,7,11.86,25011
25,12,55,43,78.18,5,9.09,25012
25,13,50,44,88.0,4,8.0,25013
25,14,3,1,33.33,1,33.33,25014
25,15,46,39,84.78,2,4.35,25015
25,17,71,55,77.46,8,11.27,25017
25,19,47,41,87.23,4,8.51,25019
25,22,45,39,86.67,3,6.67,25022
25,23,63,49,77.78,13,20.63,25023
25,24,32,24,75.0,5,15.63,25024
25,26,38,29,76.32,4,10.53,25026
25,27,3,2,66.67,0,0.0,25027
25,28,52,45,86.54,5,9.62,25028
25,30,41,36,87.8,3,7.32,25030
25,32,9,5,55.56,4,44.44,25032
26,1,17,15,88.24,2,11.76,26001
26,2,63,47,74.6,13,20.63,26002
26,5,44,34,77.27,6,13.64,26005
26,6,43,31,72.09,6,13.95,26006
26,7,56,36,64.29,4,7.14,26007
26,8,33,22,66.67,4,12.12,26008
26,9,58,50,86.21,6,10.34,26009
26,10,12,9,75.0,3,25.0,26010
26,11,51,41,80.39,2,3.92,26011
26,12,52,42,80.77,4,7.69,26012
26,13,61,46,75.41,6,9.84,26013
26,14,32,32,100.0,0,0.0,26014
26,15,29,21,72.41,5,17.24,26015
26,16,27,22,81.48,3,11.11,26016
26,18,62,51,82.26,6,9.68,26018
26,20,36,21,58.33,9,25.0,26020
26,22,43,31,72.09,9,20.93,26022
26,23,50,42,84.0,2,4.0,26023
26,24,75,62,82.67,8,10.67,26024
26,25,46,32,69.57,13,28.26,26025
26,26,28,19,67.86,5,17.86,26026
26,27,47,40,85.11,4,8.51,26027
26,29,40,28,70.0,5,12.5,26029
26,30,29,23,79.31,1,3.45,26030
26,31,34,31,91.18,1,2.94,26031
26,33,1,1,100.0,0,0.0,26033
26,34,101,72,71.29,8,7.92,26034
26,35,53,44,83.02,7,13.21,26035
26,36,1,1,100.0,0,0.0,26036
26,37,48,37,77.08,4,8.33,26037
26,38,40,28,70.0,10,25.0,26038
26,39,42,34,80.95,4,9.52,26039
26,40,20,15,75.0,3,15.0,26040
26,41,54,37,68.52,7,12.96,26041
26,42,37,28,75.68,5,13.51,26042
26,43,45,37,82.22,3,6.67,26043
26,44,28,20,71.43,5,17.86,26044
26,45,23,15,65.22,5,21.74,26045
26,47,30,22,73.33,5,16.67,26047
26,48,28,22,78.57,2,7.14,26048
26,49,29,24,82.76,5,17.24,26049
28,19,0,0,0.0,0,0.0,28019
29,1,5,3,60.0,1,20.0,29001
29,9,134,86,64.18,17,12.69,29009
29,23,44,31,70.45,4,9.09,29023
29,30,167,123,73.65,15,8.98,29030
29,38,70,57,81.43,2,2.86,29038
29,39,58,40,68.97,8,13.79,29039
29,43,42,33,78.57,5,11.9,29043
30,1,143,91,63.64,15,10.49,30001
30,2,85,58,68.24,7,8.24,30002
30,3,72,47,65.28,11,15.28,30003
30,4,106,65,61.32,11,10.38,30004
30,5,38,29,76.32,3,7.89,30005
30,6,57,44,77.19,3,5.26,30006
30,7,108,77,71.3,6,5.56,30007
30,8,88,66,75.0,5,5.68,30008
30,9,88,53,60.23,15,17.05,30009
30,10,79,60,75.95,5,6.33,30010
30,11,56,47,83.93,3,5.36,30011
30,12,54,40,74.07,3,5.56,30012
30,13,58,42,72.41,4,6.9,30013
30,14,31,26,83.87,4,12.9,30014
30,15,17,8,47.06,3,17.65,30015
30,16,23,14,60.87,3,13.04,30016
30,17,65,44,67.69,9,13.85,30017
30,18,92,64,69.57,14,15.22,30018
30,19,53,42,79.25,4,7.55,30019
30,20,123,85,69.11,10,8.13,30020
30,22,93,70,75.27,5,5.38,30022
30,23,73,43,58.9,9,12.33,30023
30,24,89,64,71.91,8,8.99,30024
30,25,83,61,73.49,6,7.23,30025
30,26,66,48,72.73,7,10.61,30026
30,27,65,53,81.54,2,3.08,30027
30,28,94,76,80.85,5,5.32,30028
30,29,36,26,72.22,2,5.56,30029
30,30,20,16,80.0,0,0.0,30030
30,31,60,41,68.33,4,6.67,30031
30,32,54,36,66.67,3,5.56,30032
31,1,77,64,83.12,8,10.39,31001
31,2,78,58,74.36,6,7.69,31002
31,3,47,32,68.09,6,12.77,31003
31,4,55,46,83.64,4,7.27,31004
31,5,99,74,74.75,14,14.14,31005
31,6,89,65,73.03,11,12.36,31006
31,7,88,65,73.86,7,7.95,31007
31,8,60,45,75.0,4,6.67,31008
31,9,97,76,78.35,5,5.15,31009
31,10,62,42,67.74,3,4.84,31010
31,11,70,54,77.14,6,8.57,31011
31,12,66,43,65.15,4,6.06,31012
31,13,79,67,84.81,6,7.59,31013
31,14,64,44,68.75,6,9.38,31014
31,15,42,32,76.19,7,16.67,31015
31,16,47,41,87.23,1,2.13,31016
31,17,86,60,69.77,12,13.95,31017
31,18,79,64,81.01,5,6.33,31018
31,19,46,36,78.26,5,10.87,31019
31,20,98,82,83.67,8,8.16,31020
31,21,79,63,79.75,9,11.39,31021
31,22,38,32,84.21,3,7.89,31022
31,23,73,55,75.34,4,5.48,31023
31,24,117,88,75.21,16,13.68,31024
31,25,46,30,65.22,4,8.7,31025
31,26,97,67,69.07,12,12.37,31026
31,27,98,78,79.59,8,8.16,31027
31,28,57,42,73.68,9,15.79,31028
31,29,104,68,65.38,18,17.31,31029
31,30,68,45,66.18,10,14.71,31030
31,31,54,39,72.22,3,5.56,31031
31,32,59,44,74.58,7,11.86,31032
31,33,71,42,59.15,8,11.27,31033
31,34,77,47,61.04,5,6.49,31034
31,35,93,74,79.57,9,9.68,31035
31,36,89,66,74.16,13,14.61,31036
31,37,101,74,73.27,10,9.9,31037
31,38,63,52,82.54,4,6.35,31038
31,39,29,22,75.86,2,6.9,31039
31,40,60,41,68.33,8,13.33,31040
31,41,68,52,76.47,9,13.24,31041
32,3,154,91,59.09,31,20.13,32003
32,11,139,93,66.91,22,15.83,32011
32,12,125,90,72.0,14,11.2,32012
32,14,127,93,73.23,13,10.24,32014
32,16,18,13,72.22,0,0.0,32016
32,17,132,77,58.33,23,17.42,32017
32,20,139,112,80.58,5,3.6,32020
32,22,154,111,72.08,11,7.14,32022
32,26,168,108,64.29,21,12.5,32026
32,28,126,85,67.46,23,18.25,32028
32,43,97,72,74.23,9,9.28,32043
33,1,109,93,85.32,5,4.59,33001
33,3,84,64,76.19,8,9.52,33003
33,4,101,80,79.21,4,3.96,33004
33,6,141,116,82.27,7,4.96,33006
33,7,33,23,69.7,1,3.03,33007
33,8,21,19,90.48,1,4.76,33008
33,9,118,94,79.66,4,3.39,33009
33,10,74,51,68.92,5,6.76,33010
33,11,110,85,77.27,7,6.36,33011
33,12,150,127,84.67,9,6.0,33012
33,13,89,64,71.91,11,12.36,33013
33,14,50,39,78.0,8,16.0,33014
33,15,116,95,81.9,5,4.31,33015
33,16,176,128,72.73,16,9.09,33016
33,17,115,87,75.65,9,7.83,33017
33,19,88,63,71.59,7,7.95,33019
33,20,117,84,71.79,10,8.55,33020
33,21,108,79,73.15,3,2.78,33021
33,22,180,139,77.22,11,6.11,33022
33,23,81,57,70.37,6,7.41,33023
33,25,128,95,74.22,10,7.81,33025
33,26,76,56,73.68,7,9.21,33026
33,27,56,40,71.43,4,7.14,33027
33,28,88,63,71.59,10,11.36,33028
35,1,82,65,79.27,5,6.1,35001
35,2,121,86,71.07,18,14.88,35002
35,3,60,47,78.33,9,15.0,35003
35,4,102,65,63.73,9,8.82,35004
35,5,64,51,79.69,7,10.94,35005
35,6,59,41,69.49,10,16.95,35006
35,7,63,53,84.13,2,3.17,35007
35,8,63,45,71.43,5,7.94,35008
35,9,76,56,73.68,5,6.58,35009
35,10,145,98,67.59,18,12.41,35010
35,11,75,50,66.67,7,9.33,35011
35,12,45,36,80.0,5,11.11,35012
35,13,56,48,85.71,6,10.71,35013
35,14,50,37,74.0,5,10.0,35014
35,15,112,79,70.54,10,8.93,35015
35,16,64,45,70.31,5,7.81,35016
35,17,110,78,70.91,11,10.0,35017
35,18,58,50,86.21,3,5.17,35018
35,19,44,28,63.64,5,11.36,35019
35,20,67,51,76.12,5,7.46,35020
35,21,64,48,75.0,9,14.06,35021
35,22,69,52,75.36,2,2.9,35022
35,23,103,74,71.84,8,7.77,35023
35,24,82,58,70.73,11,13.41,35024
35,25,114,85,74.56,8,7.02,35025
35,26,58,43,74.14,1,1.72,35026
35,27,72,57,79.17,4,5.56,35027
35,28,121,83,68.6,13,10.74,35028
35,29,42,37,88.1,2,4.76,35029
35,30,73,53,72.6,2,2.74,35030
35,31,83,58,69.88,3,3.61,35031
36,1,62,47,75.81,1,1.61,36001
36,2,44,32,72.73,4,9.09,36002
36,3,73,51,69.86,6,8.22,36003
36,4,56,45,80.36,3,5.36,36004
36,6,54,48,88.89,3,5.56,36006
36,8,53,45,84.91,5,9.43,36008
36,9,63,48,76.19,9,14.29,36009
36,10,75,56,74.67,6,8.0,36010
36,11,43,34,79.07,5,11.63,36011
36,12,33,24,72.73,4,12.12,36012
36,13,31,25,80.65,2,6.45,36013
36,16,26,13,50.0,2,7.69,36016
36,19,66,46,69.7,5,7.58,36019
36,20,57,41,71.93,6,10.53,36020
36,21,33,25,75.76,4,12.12,36021
36,22,33,30,90.91,2,6.06,36022
36,23,47,37,78.72,5,10.64,36023
36,24,5,3,60.0,1,20.0,36024
36,25,39,32,82.05,6,15.38,36025
36,27,64,42,65.63,7,10.94,36027
36,29,35,21,60.0,3,8.57,36029
37,26,59,44,74.58,4,6.78,37026
38,1,46,31,67.39,6,13.04,38001
38,35,67,43,64.18,11,16.42,38035
38,41,77,42,54.55,8,10.39,38041
39,6,0,0,0.0,0,0.0,39006
39,12,12,7,58.33,0,0.0,39012
39,25,2,1,50.0,1,50.0,39025
39,28,75,56,74.67,2,2.67,39028
39,31,68,41,60.29,7,10.29,39031
45,1,71,46,64.79,7,9.86,45001
45,2,90,66,73.33,9,10.0,45002
45,8,113,80,70.8,3,2.65,45008
45,9,143,90,62.94,7,4.9,45009
45,10,132,95,71.97,7,5.3,45010
