ward,precinct,total,Sharon Oden Johnson,Sharon Oden Johnson Percent,John B. Simon,John B. Simon Percent,precinct_id
2,7,25,16,64.0,9,36.0,02007
2,8,26,10,38.46,16,61.54,02008
2,9,21,8,38.1,13,61.9,02009
2,10,76,13,17.11,63,82.89,02010
2,11,60,16,26.67,44,73.33,02011
2,12,63,28,44.44,35,55.56,02012
2,13,90,12,13.33,78,86.67,02013
2,14,61,22,36.07,39,63.93,02014
2,15,67,18,26.87,49,73.13,02015
2,16,25,11,44.0,14,56.0,02016
2,17,55,15,27.27,40,72.73,02017
2,18,74,17,22.97,57,77.03,02018
2,19,71,19,26.76,52,73.24,02019
2,20,17,4,23.53,13,76.47,02020
2,21,39,15,38.46,24,61.54,02021
2,22,48,4,8.33,44,91.67,02022
2,23,51,6,11.76,45,88.24,02023
2,24,49,27,55.1,22,44.9,02024
2,25,40,11,27.5,29,72.5,02025
2,26,32,14,43.75,18,56.25,02026
2,27,50,13,26.0,37,74.0,02027
2,28,39,10,25.64,29,74.36,02028
2,29,52,16,30.77,36,69.23,02029
2,30,46,10,21.74,36,78.26,02030
2,31,78,20,25.64,58,74.36,02031
2,32,31,6,19.35,25,80.65,02032
2,33,105,17,16.19,88,83.81,02033
2,34,61,5,8.2,56,91.8,02034
2,35,32,8,25.0,24,75.0,02035
2,36,33,10,30.3,23,69.7,02036
2,37,52,6,11.54,46,88.46,02037
2,38,39,4,10.26,35,89.74,02038
2,39,41,18,43.9,23,56.1,02039
2,40,32,8,25.0,24,75.0,02040
2,41,19,7,36.84,12,63.16,02041
2,42,53,23,43.4,30,56.6,02042
2,43,43,6,13.95,37,86.05,02043
2,44,35,9,25.71,26,74.29,02044
2,45,89,34,38.2,55,61.8,02045
2,46,24,10,41.67,14,58.33,02046
3,1,98,58,59.18,40,40.82,03001
3,2,205,115,56.1,90,43.9,03002
3,3,96,52,54.17,44,45.83,03003
3,4,140,77,55.0,63,45.0,03004
3,5,60,27,45.0,33,55.0,03005
3,6,51,17,33.33,34,66.67,03006
3,7,107,66,61.68,41,38.32,03007
3,8,66,32,48.48,34,51.52,03008
3,9,97,66,68.04,31,31.96,03009
3,10,46,22,47.83,24,52.17,03010
3,11,90,60,66.67,30,33.33,03011
3,12,174,104,59.77,70,40.23,03012
3,13,67,28,41.79,39,58.21,03013
3,14,63,38,60.32,25,39.68,03014
3,15,70,41,58.57,29,41.43,03015
3,16,87,53,60.92,34,39.08,03016
3,17,39,28,71.79,11,28.21,03017
3,18,128,72,56.25,56,43.75,03018
3,19,72,24,33.33,48,66.67,03019
3,20,96,59,61.46,37,38.54,03020
3,21,107,44,41.12,63,58.88,03021
3,22,45,19,42.22,26,57.78,03022
3,23,104,58,55.77,46,44.23,03023
3,24,114,68,59.65,46,40.35,03024
3,25,69,23,33.33,46,66.67,03025
3,26,103,34,33.01,69,66.99,03026
3,27,33,19,57.58,14,42.42,03027
3,28,98,58,59.18,40,40.82,03028
3,29,82,46,56.1,36,43.9,03029
3,30,122,74,60.66,48,39.34,03030
3,31,134,75,55.97,59,44.03,03031
3,32,79,37,46.84,42,53.16,03032
3,33,53,22,41.51,31,58.49,03033
3,34,87,38,43.68,49,56.32,03034
3,35,50,33,66.0,17,34.0,03035
3,36,46,22,47.83,24,52.17,03036
3,37,81,55,67.9,26,32.1,03037
3,38,179,93,51.96,86,48.04,03038
3,39,35,9,25.71,26,74.29,03039
3,40,124,68,54.84,56,45.16,03040
3,41,100,49,49.0,51,51.0,03041
4,1,122,37,30.33,85,69.67,04001
4,2,81,31,38.27,50,61.73,04002
4,3,114,60,52.63,54,47.37,04003
4,4,143,83,58.04,60,41.96,04004
4,5,90,64,71.11,26,28.89,04005
4,6,186,91,48.92,95,51.08,04006
4,7,185,103,55.68,82,44.32,04007
4,8,191,101,52.88,90,47.12,04008
4,9,235,128,54.47,107,45.53,04009
4,10,113,66,58.41,47,41.59,04010
4,11,124,81,65.32,43,34.68,04011
4,12,151,86,56.95,65,43.05,04012
4,13,26,6,23.08,20,76.92,04013
4,14,129,64,49.61,65,50.39,04014
4,15,148,90,60.81,58,39.19,04015
4,16,53,20,37.74,33,62.26,04016
4,17,58,18,31.03,40,68.97,04017
4,18,139,81,58.27,58,41.73,04018
4,19,134,90,67.16,44,32.84,04019
4,20,106,31,29.25,75,70.75,04020
4,21,61,26,42.62,35,57.38,04021
4,22,105,42,40.0,63,60.0,04022
4,23,119,48,40.34,71,59.66,04023
4,24,133,73,54.89,60,45.11,04024
4,25,85,26,30.59,59,69.41,04025
4,26,129,79,61.24,50,38.76,04026
4,27,99,46,46.46,53,53.54,04027
4,28,169,111,65.68,58,34.32,04028
4,29,99,57,57.58,42,42.42,04029
4,30,116,60,51.72,56,48.28,04030
4,31,240,137,57.08,103,42.92,04031
4,32,128,67,52.34,61,47.66,04032
4,33,149,85,57.05,64,42.95,04033
4,34,110,60,54.55,50,45.45,04034
4,35,220,120,54.55,100,45.45,04035
4,36,159,93,58.49,66,41.51,04036
4,37,87,18,20.69,69,79.31,04037
4,38,192,99,51.56,93,48.44,04038
5,1,60,43,71.67,17,28.33,05001
5,2,84,52,61.9,32,38.1,05002
5,3,79,32,40.51,47,59.49,05003
5,4,110,58,52.73,52,47.27,05004
5,5,134,73,54.48,61,45.52,05005
5,6,94,53,56.38,41,43.62,05006
5,7,110,60,54.55,50,45.45,05007
5,8,86,13,15.12,73,84.88,05008
5,9,109,60,55.05,49,44.95,05009
5,10,75,47,62.67,28,37.33,05010
5,11,118,41,34.75,77,65.25,05011
5,12,63,38,60.32,25,39.68,05012
5,13,106,74,69.81,32,30.19,05013
5,14,139,89,64.03,50,35.97,05014
5,15,131,73,55.73,58,44.27,05015
5,16,108,69,63.89,39,36.11,05016
5,17,104,64,61.54,40,38.46,05017
5,18,87,39,44.83,48,55.17,05018
5,19,99,29,29.29,70,70.71,05019
5,20,118,54,45.76,64,54.24,05020
5,21,96,39,40.63,57,59.38,05021
5,22,104,39,37.5,65,62.5,05022
5,23,132,41,31.06,91,68.94,05023
5,24,95,45,47.37,50,52.63,05024
5,25,130,84,64.62,46,35.38,05025
5,26,72,45,62.5,27,37.5,05026
5,27,52,8,15.38,44,84.62,05027
5,28,138,70,50.72,68,49.28,05028
5,29,111,61,54.95,50,45.05,05029
5,30,75,46,61.33,29,38.67,05030
5,31,68,45,66.18,23,33.82,05031
5,32,129,78,60.47,51,39.53,05032
5,33,128,68,53.13,60,46.88,05033
5,34,80,10,12.5,70,87.5,05034
5,35,97,31,31.96,66,68.04,05035
5,36,106,64,60.38,42,39.62,05036
5,37,148,47,31.76,101,68.24,05037
5,38,82,49,59.76,33,40.24,05038
5,39,80,23,28.75,57,71.25,05039
5,40,91,58,63.74,33,36.26,05040
5,41,107,41,38.32,66,61.68,05041
6,1,154,92,59.74,62,40.26,06001
6,2,121,69,57.02,52,42.98,06002
6,3,135,83,61.48,52,38.52,06003
6,4,74,45,60.81,29,39.19,06004
6,5,78,53,67.95,25,32.05,06005
6,6,127,69,54.33,58,45.67,06006
6,7,97,55,56.7,42,43.3,06007
6,8,148,90,60.81,58,39.19,06008
6,9,82,45,54.88,37,45.12,06009
6,10,65,32,49.23,33,50.77,06010
6,11,92,58,63.04,34,36.96,06011
6,12,68,41,60.29,27,39.71,06012
6,13,97,58,59.79,39,40.21,06013
6,14,92,53,57.61,39,42.39,06014
6,15,73,44,60.27,29,39.73,06015
6,16,141,86,60.99,55,39.01,06016
6,17,78,46,58.97,32,41.03,06017
6,18,91,53,58.24,38,41.76,06018
6,19,110,63,57.27,47,42.73,06019
6,20,65,41,63.08,24,36.92,06020
6,21,48,31,64.58,17,35.42,06021
6,22,57,39,68.42,18,31.58,06022
6,23,61,37,60.66,24,39.34,06023
6,24,44,24,54.55,20,45.45,06024
6,25,61,32,52.46,29,47.54,06025
6,26,57,39,68.42,18,31.58,06026
6,27,58,38,65.52,20,34.48,06027
6,28,53,30,56.6,23,43.4,06028
6,29,150,90,60.0,60,40.0,06029
6,30,78,45,57.69,33,42.31,06030
6,31,129,92,71.32,37,28.68,06031
6,32,95,62,65.26,33,34.74,06032
6,33,114,75,65.79,39,34.21,06033
6,34,110,72,65.45,38,34.55,06034
6,35,103,64,62.14,39,37.86,06035
6,36,135,78,57.78,57,42.22,06036
6,37,159,101,63.52,58,36.48,06037
6,38,145,104,71.72,41,28.28,06038
6,39,86,52,60.47,34,39.53,06039
6,40,104,58,55.77,46,44.23,06040
6,41,123,83,67.48,40,32.52,06041
6,42,108,72,66.67,36,33.33,06042
6,43,102,69,67.65,33,32.35,06043
6,44,98,61,62.24,37,37.76,06044
6,45,127,85,66.93,42,33.07,06045
6,46,91,60,65.93,31,34.07,06046
6,47,80,54,67.5,26,32.5,06047
6,48,104,69,66.35,35,33.65,06048
7,1,95,71,74.74,24,25.26,07001
7,2,83,46,55.42,37,44.58,07002
7,3,127,85,66.93,42,33.07,07003
7,4,130,90,69.23,40,30.77,07004
7,5,83,55,66.27,28,33.73,07005
7,6,120,67,55.83,53,44.17,07006
7,7,73,55,75.34,18,24.66,07007
7,8,117,78,66.67,39,33.33,07008
7,9,193,118,61.14,75,38.86,07009
7,10,131,82,62.6,49,37.4,07010
7,11,80,52,65.0,28,35.0,07011
7,12,81,51,62.96,30,37.04,07012
7,13,106,62,58.49,44,41.51,07013
7,14,82,52,63.41,30,36.59,07014
7,15,148,102,68.92,46,31.08,07015
7,16,58,40,68.97,18,31.03,07016
7,17,93,65,69.89,28,30.11,07017
7,18,73,51,69.86,22,30.14,07018
7,19,110,69,62.73,41,37.27,07019
7,20,72,48,66.67,24,33.33,07020
7,21,64,39,60.94,25,39.06,07021
7,22,59,38,64.41,21,35.59,07022
7,23,154,97,62.99,57,37.01,07023
7,24,128,81,63.28,47,36.72,07024
7,25,75,42,56.0,33,44.0,07025
7,26,98,67,68.37,31,31.63,07026
7,27,87,67,77.01,20,22.99,07027
7,28,62,51,82.26,11,17.74,07028
7,29,79,49,62.03,30,37.97,07029
7,30,68,39,57.35,29,42.65,07030
7,31,44,25,56.82,19,43.18,07031
7,32,194,113,58.25,81,41.75,07032
7,33,188,120,63.83,68,36.17,07033
7,34,150,92,61.33,58,38.67,07034
7,35,73,45,61.64,28,38.36,07035
7,36,144,98,68.06,46,31.94,07036
7,37,115,68,59.13,47,40.87,07037
7,38,83,60,72.29,23,27.71,07038
7,39,89,51,57.3,38,42.7,07039
7,40,117,73,62.39,44,37.61,07040
7,41,87,55,63.22,32,36.78,07041
7,42,90,45,50.0,45,50.0,07042
7,43,111,71,63.96,40,36.04,07043
7,44,72,48,66.67,24,33.33,07044
7,45,72,46,63.89,26,36.11,07045
7,46,75,49,65.33,26,34.67,07046
8,1,57,37,64.91,20,35.09,08001
8,2,78,43,55.13,35,44.87,08002
8,3,207,118,57.0,89,43.0,08003
8,4,147,65,44.22,82,55.78,08004
8,5,190,119,62.63,71,37.37,08005
8,6,123,61,49.59,62,50.41,08006
8,7,171,112,65.5,59,34.5,08007
8,8,166,109,65.66,57,34.34,08008
8,9,87,55,63.22,32,36.78,08009
8,10,205,122,59.51,83,40.49,08010
8,11,136,65,47.79,71,52.21,08011
8,12,115,73,63.48,42,36.52,08012
8,13,98,49,50.0,49,50.0,08013
8,14,56,30,53.57,26,46.43,08014
8,15,77,43,55.84,34,44.16,08015
8,16,21,15,71.43,6,28.57,08016
8,17,119,68,57.14,51,42.86,08017
8,18,83,50,60.24,33,39.76,08018
8,19,166,101,60.84,65,39.16,08019
8,20,125,76,60.8,49,39.2,08020
8,21,122,68,55.74,54,44.26,08021
8,22,109,55,50.46,54,49.54,08022
8,23,90,48,53.33,42,46.67,08023
8,24,77,46,59.74,31,40.26,08024
8,25,116,65,56.03,51,43.97,08025
8,26,95,59,62.11,36,37.89,08026
8,27,158,97,61.39,61,38.61,08027
8,28,119,66,55.46,53,44.54,08028
8,29,148,80,54.05,68,45.95,08029
8,30,118,66,55.93,52,44.07,08030
8,31,107,60,56.07,47,43.93,08031
8,32,94,58,61.7,36,38.3,08032
8,33,114,70,61.4,44,38.6,08033
8,34,113,51,45.13,62,54.87,08034
8,35,136,84,61.76,52,38.24,08035
8,36,121,77,63.64,44,36.36,08036
8,37,111,54,48.65,57,51.35,08037
8,38,65,31,47.69,34,52.31,08038
8,39,101,47,46.53,54,53.47,08039
8,40,76,48,63.16,28,36.84,08040
8,41,99,52,52.53,47,47.47,08041
8,42,155,95,61.29,60,38.71,08042
8,43,52,30,57.69,22,42.31,08043
8,44,71,37,52.11,34,47.89,08044
8,45,75,40,53.33,35,46.67,08045
8,46,81,57,70.37,24,29.63,08046
8,47,97,49,50.52,48,49.48,08047
8,48,95,44,46.32,51,53.68,08048
8,49,129,79,61.24,50,38.76,08049
8,50,115,59,51.3,56,48.7,08050
8,51,139,80,57.55,59,42.45,08051
8,52,168,98,58.33,70,41.67,08052
8,53,67,44,65.67,23,34.33,08053
8,54,75,45,60.0,30,40.0,08054
8,55,82,44,53.66,38,46.34,08055
8,56,138,93,67.39,45,32.61,08056
9,1,102,63,61.76,39,38.24,09001
9,2,106,69,65.09,37,34.91,09002
9,3,48,32,66.67,16,33.33,09003
9,4,74,48,64.86,26,35.14,09004
9,5,100,66,66.0,34,34.0,09005
9,6,110,74,67.27,36,32.73,09006
9,7,78,56,71.79,22,28.21,09007
9,8,65,43,66.15,22,33.85,09008
9,9,129,83,64.34,46,35.66,09009
9,10,71,45,63.38,26,36.62,09010
9,11,76,49,64.47,27,35.53,09011
9,12,124,75,60.48,49,39.52,09012
9,13,131,81,61.83,50,38.17,09013
9,14,152,89,58.55,63,41.45,09014
9,15,58,38,65.52,20,34.48,09015
9,16,121,81,66.94,40,33.06,09016
9,17,79,48,60.76,31,39.24,09017
9,18,74,50,67.57,24,32.43,09018
9,19,92,60,65.22,32,34.78,09019
9,20,124,67,54.03,57,45.97,09020
9,21,85,55,64.71,30,35.29,09021
9,22,120,86,71.67,34,28.33,09022
9,23,116,63,54.31,53,45.69,09023
9,24,122,69,56.56,53,43.44,09024
9,25,95,70,73.68,25,26.32,09025
9,26,54,35,64.81,19,35.19,09026
9,27,101,66,65.35,35,34.65,09027
9,28,27,18,66.67,9,33.33,09028
9,29,87,52,59.77,35,40.23,09029
9,30,78,49,62.82,29,37.18,09030
9,31,74,43,58.11,31,41.89,09031
9,32,93,59,63.44,34,36.56,09032
9,33,79,42,53.16,37,46.84,09033
9,34,79,43,54.43,36,45.57,09034
9,35,125,88,70.4,37,29.6,09035
9,36,83,53,63.86,30,36.14,09036
9,37,99,52,52.53,47,47.47,09037
9,38,76,44,57.89,32,42.11,09038
9,39,101,68,67.33,33,32.67,09039
9,40,125,83,66.4,42,33.6,09040
9,41,90,65,72.22,25,27.78,09041
9,42,139,93,66.91,46,33.09,09042
9,43,70,40,57.14,30,42.86,09043
9,44,96,66,68.75,30,31.25,09044
9,45,84,58,69.05,26,30.95,09045
9,46,90,55,61.11,35,38.89,09046
9,47,153,91,59.48,62,40.52,09047
9,48,118,75,63.56,43,36.44,09048
9,49,116,63,54.31,53,45.69,09049
9,50,170,105,61.76,65,38.24,09050
9,51,126,72,57.14,54,42.86,09051
10,1,66,43,65.15,23,34.85,10001
10,2,61,21,34.43,40,65.57,10002
10,3,58,20,34.48,38,65.52,10003
10,4,45,26,57.78,19,42.22,10004
10,5,33,17,51.52,16,48.48,10005
10,6,35,15,42.86,20,57.14,10006
10,7,27,10,37.04,17,62.96,10007
10,8,28,11,39.29,17,60.71,10008
10,9,53,23,43.4,30,56.6,10009
10,10,34,14,41.18,20,58.82,10010
10,11,44,16,36.36,28,63.64,10011
10,12,19,6,31.58,13,68.42,10012
10,13,64,25,39.06,39,60.94,10013
10,14,65,29,44.62,36,55.38,10014
10,15,179,116,64.8,63,35.2,10015
10,16,31,11,35.48,20,64.52,10016
10,17,60,24,40.0,36,60.0,10017
10,18,40,24,60.0,16,40.0,10018
10,19,39,11,28.21,28,71.79,10019
10,20,59,24,40.68,35,59.32,10020
10,21,48,13,27.08,35,72.92,10021
10,22,25,12,48.0,13,52.0,10022
10,23,44,17,38.64,27,61.36,10023
10,24,31,8,25.81,23,74.19,10024
10,25,18,6,33.33,12,66.67,10025
10,26,37,12,32.43,25,67.57,10026
10,27,66,32,48.48,34,51.52,10027
10,28,47,20,42.55,27,57.45,10028
10,29,35,16,45.71,19,54.29,10029
10,30,45,21,46.67,24,53.33,10030
10,31,25,7,28.0,18,72.0,10031
10,32,31,12,38.71,19,61.29,10032
10,33,26,9,34.62,17,65.38,10033
10,34,37,15,40.54,22,59.46,10034
10,35,51,17,33.33,34,66.67,10035
10,36,29,15,51.72,14,48.28,10036
11,1,85,25,29.41,60,70.59,11001
11,2,11,6,54.55,5,45.45,11002
11,3,32,10,31.25,22,68.75,11003
11,4,60,22,36.67,38,63.33,11004
11,5,55,21,38.18,34,61.82,11005
11,6,28,17,60.71,11,39.29,11006
11,7,38,17,44.74,21,55.26,11007
11,8,49,17,34.69,32,65.31,11008
11,9,67,20,29.85,47,70.15,11009
11,10,74,15,20.27,59,79.73,11010
11,11,51,23,45.1,28,54.9,11011
11,12,136,18,13.24,118,86.76,11012
11,13,119,25,21.01,94,78.99,11013
11,14,45,18,40.0,27,60.0,11014
11,15,41,12,29.27,29,70.73,11015
11,16,46,20,43.48,26,56.52,11016
11,17,67,24,35.82,43,64.18,11017
11,18,77,29,37.66,48,62.34,11018
11,19,66,24,36.36,42,63.64,11019
11,20,74,26,35.14,48,64.86,11020
11,21,175,37,21.14,138,78.86,11021
11,22,94,21,22.34,73,77.66,11022
11,23,73,14,19.18,59,80.82,11023
11,24,208,32,15.38,176,84.62,11024
11,25,59,12,20.34,47,79.66,11025
11,26,123,26,21.14,97,78.86,11026
11,27,31,11,35.48,20,64.52,11027
11,28,42,12,28.57,30,71.43,11028
11,29,121,25,20.66,96,79.34,11029
11,30,36,16,44.44,20,55.56,11030
11,31,86,15,17.44,71,82.56,11031
11,32,45,9,20.0,36,80.0,11032
11,33,35,17,48.57,18,51.43,11033
11,34,52,19,36.54,33,63.46,11034
11,35,69,18,26.09,51,73.91,11035
11,36,38,15,39.47,23,60.53,11036
11,37,17,7,41.18,10,58.82,11037
11,38,22,13,59.09,9,40.91,11038
12,1,67,24,35.82,43,64.18,12001
12,2,33,13,39.39,20,60.61,12002
12,3,64,23,35.94,41,64.06,12003
12,4,48,21,43.75,27,56.25,12004
12,5,45,14,31.11,31,68.89,12005
12,6,51,23,45.1,28,54.9,12006
12,7,38,16,42.11,22,57.89,12007
12,8,70,25,35.71,45,64.29,12008
12,9,47,20,42.55,27,57.45,12009
12,10,40,19,47.5,21,52.5,12010
12,11,48,27,56.25,21,43.75,12011
12,12,36,16,44.44,20,55.56,12012
12,13,80,36,45.0,44,55.0,12013
12,14,31,12,38.71,19,61.29,12014
12,15,68,32,47.06,36,52.94,12015
12,16,34,17,50.0,17,50.0,12016
12,17,56,30,53.57,26,46.43,12017
12,18,32,14,43.75,18,56.25,12018
12,19,54,20,37.04,34,62.96,12019
12,20,64,24,37.5,40,62.5,12020
12,21,58,25,43.1,33,56.9,12021
12,22,33,14,42.42,19,57.58,12022
12,23,59,24,40.68,35,59.32,12023
13,1,123,38,30.89,85,69.11,13001
13,2,119,35,29.41,84,70.59,13002
13,3,54,21,38.89,33,61.11,13003
13,4,105,32,30.48,73,69.52,13004
13,5,86,31,36.05,55,63.95,13005
13,6,106,36,33.96,70,66.04,13006
13,7,101,27,26.73,74,73.27,13007
13,8,71,16,22.54,55,77.46,13008
13,9,76,24,31.58,52,68.42,13009
13,10,95,40,42.11,55,57.89,13010
13,11,147,47,31.97,100,68.03,13011
13,12,57,22,38.6,35,61.4,13012
13,13,170,25,14.71,145,85.29,13013
13,14,79,26,32.91,53,67.09,13014
13,15,131,40,30.53,91,69.47,13015
13,16,81,24,29.63,57,70.37,13016
13,17,93,26,27.96,67,72.04,13017
13,18,67,26,38.81,41,61.19,13018
13,19,105,28,26.67,77,73.33,13019
13,20,72,16,22.22,56,77.78,13020
13,21,137,40,29.2,97,70.8,13021
13,22,80,26,32.5,54,67.5,13022
13,23,86,26,30.23,60,69.77,13023
13,24,92,28,30.43,64,69.57,13024
13,25,101,29,28.71,72,71.29,13025
13,26,107,24,22.43,83,77.57,13026
13,27,116,36,31.03,80,68.97,13027
13,28,53,13,24.53,40,75.47,13028
13,29,76,21,27.63,55,72.37,13029
13,30,71,28,39.44,43,60.56,13030
13,31,95,30,31.58,65,68.42,13031
13,32,87,30,34.48,57,65.52,13032
13,33,69,19,27.54,50,72.46,13033
13,34,163,21,12.88,142,87.12,13034
13,35,125,35,28.0,90,72.0,13035
13,36,47,19,40.43,28,59.57,13036
13,37,144,53,36.81,91,63.19,13037
13,38,97,42,43.3,55,56.7,13038
13,39,102,28,27.45,74,72.55,13039
13,40,98,34,34.69,64,65.31,13040
13,41,128,28,21.88,100,78.13,13041
13,42,81,20,24.69,61,75.31,13042
13,43,146,45,30.82,101,69.18,13043
13,44,222,38,17.12,184,82.88,13044
13,45,157,19,12.1,138,87.9,13045
13,46,83,31,37.35,52,62.65,13046
13,47,77,24,31.17,53,68.83,13047
13,48,111,19,17.12,92,82.88,13048
14,1,87,30,34.48,57,65.52,14001
14,2,124,46,37.1,78,62.9,14002
14,3,54,21,38.89,33,61.11,14003
14,4,71,19,26.76,52,73.24,14004
14,5,97,13,13.4,84,86.6,14005
14,6,42,9,21.43,33,78.57,14006
14,7,56,20,35.71,36,64.29,14007
14,8,46,16,34.78,30,65.22,14008
14,9,72,19,26.39,53,73.61,14009
14,10,49,18,36.73,31,63.27,14010
14,11,66,17,25.76,49,74.24,14011
14,12,66,20,30.3,46,69.7,14012
14,13,65,28,43.08,37,56.92,14013
14,14,63,17,26.98,46,73.02,14014
14,15,88,21,23.86,67,76.14,14015
14,16,56,16,28.57,40,71.43,14016
14,17,59,14,23.73,45,76.27,14017
14,18,26,9,34.62,17,65.38,14018
14,19,40,13,32.5,27,67.5,14019
14,20,47,14,29.79,33,70.21,14020
14,21,84,16,19.05,68,80.95,14021
14,22,74,30,40.54,44,59.46,14022
14,23,98,28,28.57,70,71.43,14023
14,24,123,32,26.02,91,73.98,14024
14,25,58,16,27.59,42,72.41,14025
14,26,41,16,39.02,25,60.98,14026
14,27,67,25,37.31,42,62.69,14027
14,28,46,19,41.3,27,58.7,14028
14,29,86,32,37.21,54,62.79,14029
14,30,27,11,40.74,16,59.26,14030
14,31,34,13,38.24,21,61.76,14031
15,1,39,19,48.72,20,51.28,15001
15,2,38,25,65.79,13,34.21,15002
15,3,64,38,59.38,26,40.63,15003
15,4,32,13,40.63,19,59.38,15004
15,5,48,27,56.25,21,43.75,15005
15,6,51,23,45.1,28,54.9,15006
15,7,39,23,58.97,16,41.03,15007
15,8,30,11,36.67,19,63.33,15008
15,9,53,18,33.96,35,66.04,15009
15,10,78,29,37.18,49,62.82,15010
15,11,52,19,36.54,33,63.46,15011
15,12,75,36,48.0,39,52.0,15012
15,13,31,9,29.03,22,70.97,15013
15,14,12,7,58.33,5,41.67,15014
15,15,24,12,50.0,12,50.0,15015
15,16,44,28,63.64,16,36.36,15016
15,17,40,19,47.5,21,52.5,15017
15,18,47,24,51.06,23,48.94,15018
15,19,79,46,58.23,33,41.77,15019
15,20,55,32,58.18,23,41.82,15020
15,21,48,30,62.5,18,37.5,15021
15,22,50,26,52.0,24,48.0,15022
15,23,49,28,57.14,21,42.86,15023
15,24,54,26,48.15,28,51.85,15024
16,1,40,18,45.0,22,55.0,16001
16,2,44,27,61.36,17,38.64,16002
16,3,55,38,69.09,17,30.91,16003
16,4,51,33,64.71,18,35.29,16004
16,5,36,26,72.22,10,27.78,16005
16,6,52,28,53.85,24,46.15,16006
16,7,52,33,63.46,19,36.54,16007
16,8,21,14,66.67,7,33.33,16008
16,9,78,54,69.23,24,30.77,16009
16,10,73,40,54.79,33,45.21,16010
16,11,41,17,41.46,24,58.54,16011
16,12,31,16,51.61,15,48.39,16012
16,13,34,20,58.82,14,41.18,16013
16,14,42,31,73.81,11,26.19,16014
16,15,62,37,59.68,25,40.32,16015
16,16,65,37,56.92,28,43.08,16016
16,17,48,24,50.0,24,50.0,16017
16,18,66,36,54.55,30,45.45,16018
16,19,44,31,70.45,13,29.55,16019
16,20,45,28,62.22,17,37.78,16020
16,21,34,24,70.59,10,29.41,16021
16,22,29,19,65.52,10,34.48,16022
16,23,24,11,45.83,13,54.17,16023
16,24,36,26,72.22,10,27.78,16024
16,25,64,40,62.5,24,37.5,16025
16,26,56,38,67.86,18,32.14,16026
16,27,51,31,60.78,20,39.22,16027
16,28,71,48,67.61,23,32.39,16028
16,29,43,28,65.12,15,34.88,16029
16,30,58,28,48.28,30,51.72,16030
16,31,73,50,68.49,23,31.51,16031
16,32,26,8,30.77,18,69.23,16032
16,33,54,37,68.52,17,31.48,16033
16,34,55,33,60.0,22,40.0,16034
16,35,38,20,52.63,18,47.37,16035
16,36,49,30,61.22,19,38.78,16036
17,1,50,26,52.0,24,48.0,17001
17,2,65,34,52.31,31,47.69,17002
17,3,54,38,70.37,16,29.63,17003
17,4,92,55,59.78,37,40.22,17004
17,5,71,48,67.61,23,32.39,17005
17,6,42,29,69.05,13,30.95,17006
17,7,31,21,67.74,10,32.26,17007
17,8,73,40,54.79,33,45.21,17008
17,9,77,52,67.53,25,32.47,17009
17,10,87,51,58.62,36,41.38,17010
17,11,75,38,50.67,37,49.33,17011
17,12,47,25,53.19,22,46.81,17012
17,13,63,37,58.73,26,41.27,17013
17,14,59,34,57.63,25,42.37,17014
