ward,precinct,total,Michael Weaver,Michael Weaver Percent,precinct_id
16,5,329,329,100.0,16005
16,6,327,327,100.0,16006
16,7,184,184,100.0,16007
16,8,138,138,100.0,16008
16,9,301,301,100.0,16009
16,10,250,250,100.0,16010
16,11,200,200,100.0,16011
16,12,87,87,100.0,16012
16,13,128,128,100.0,16013
16,14,322,322,100.0,16014
16,15,260,260,100.0,16015
16,16,201,201,100.0,16016
16,17,369,369,100.0,16017
16,18,345,345,100.0,16018
16,19,255,255,100.0,16019
16,20,272,272,100.0,16020
16,21,187,187,100.0,16021
16,22,265,265,100.0,16022
16,23,179,179,100.0,16023
16,24,202,202,100.0,16024
16,25,104,104,100.0,16025
17,1,325,325,100.0,17001
17,2,212,212,100.0,17002
17,3,270,270,100.0,17003
17,4,261,261,100.0,17004
17,5,173,173,100.0,17005
17,6,259,259,100.0,17006
17,7,137,137,100.0,17007
17,8,202,202,100.0,17008
17,9,197,197,100.0,17009
17,10,392,392,100.0,17010
17,11,245,245,100.0,17011
17,12,153,153,100.0,17012
17,13,160,160,100.0,17013
17,14,163,163,100.0,17014
17,15,477,477,100.0,17015
17,16,216,216,100.0,17016
17,17,190,190,100.0,17017
17,18,569,569,100.0,17018
17,19,392,392,100.0,17019
17,20,362,362,100.0,17020
17,21,451,451,100.0,17021
17,22,419,419,100.0,17022
17,23,274,274,100.0,17023
17,24,460,460,100.0,17024
17,25,205,205,100.0,17025
17,26,394,394,100.0,17026
17,27,456,456,100.0,17027
17,28,537,537,100.0,17028
17,29,480,480,100.0,17029
18,1,556,556,100.0,18001
18,2,615,615,100.0,18002
18,3,253,253,100.0,18003
18,4,449,449,100.0,18004
18,5,371,371,100.0,18005
18,6,666,666,100.0,18006
18,7,506,506,100.0,18007
18,8,757,757,100.0,18008
18,9,598,598,100.0,18009
18,10,683,683,100.0,18010
18,11,406,406,100.0,18011
18,12,601,601,100.0,18012
18,13,485,485,100.0,18013
18,14,379,379,100.0,18014
18,15,267,267,100.0,18015
18,16,427,427,100.0,18016
18,17,316,316,100.0,18017
18,18,383,383,100.0,18018
18,19,350,350,100.0,18019
18,20,307,307,100.0,18020
18,21,443,443,100.0,18021
18,22,375,375,100.0,18022
18,23,423,423,100.0,18023
18,24,503,503,100.0,18024
18,25,249,249,100.0,18025
18,26,465,465,100.0,18026
19,1,497,497,100.0,19001
19,2,610,610,100.0,19002
19,3,259,259,100.0,19003
19,4,300,300,100.0,19004
19,5,479,479,100.0,19005
19,6,311,311,100.0,19006
19,7,485,485,100.0,19007
19,8,505,505,100.0,19008
19,9,438,438,100.0,19009
19,10,443,443,100.0,19010
19,11,281,281,100.0,19011
19,12,398,398,100.0,19012
19,13,428,428,100.0,19013
19,14,553,553,100.0,19014
19,15,225,225,100.0,19015
19,16,304,304,100.0,19016
19,17,305,305,100.0,19017
19,18,254,254,100.0,19018
19,19,496,496,100.0,19019
19,20,425,425,100.0,19020
19,21,410,410,100.0,19021
19,22,453,453,100.0,19022
19,23,316,316,100.0,19023
19,24,279,279,100.0,19024
19,25,441,441,100.0,19025
19,26,362,362,100.0,19026
19,27,635,635,100.0,19027
19,28,804,804,100.0,19028
19,29,393,393,100.0,19029
19,30,270,270,100.0,19030
19,31,618,618,100.0,19031
19,32,446,446,100.0,19032
19,33,187,187,100.0,19033
19,34,584,584,100.0,19034
19,35,465,465,100.0,19035
19,36,369,369,100.0,19036
20,1,193,193,100.0,20001
20,2,111,111,100.0,20002
20,3,140,140,100.0,20003
20,4,114,114,100.0,20004
20,5,209,209,100.0,20005
20,6,136,136,100.0,20006
20,7,186,186,100.0,20007
20,8,206,206,100.0,20008
20,9,398,398,100.0,20009
20,10,444,444,100.0,20010
20,11,360,360,100.0,20011
20,12,74,74,100.0,20012
20,13,624,624,100.0,20013
20,14,390,390,100.0,20014
20,15,353,353,100.0,20015
20,16,386,386,100.0,20016
20,17,471,471,100.0,20017
20,18,570,570,100.0,20018
20,19,314,314,100.0,20019
20,20,407,407,100.0,20020
20,21,537,537,100.0,20021
20,22,456,456,100.0,20022
20,23,171,171,100.0,20023
21,1,546,546,100.0,21001
21,2,169,169,100.0,21002
21,3,604,604,100.0,21003
21,4,500,500,100.0,21004
21,5,532,532,100.0,21005
21,6,424,424,100.0,21006
21,7,613,613,100.0,21007
21,8,505,505,100.0,21008
21,9,176,176,100.0,21009
21,10,564,564,100.0,21010
21,11,591,591,100.0,21011
21,12,265,265,100.0,21012
21,13,436,436,100.0,21013
21,14,641,641,100.0,21014
21,15,630,630,100.0,21015
21,16,546,546,100.0,21016
21,17,423,423,100.0,21017
21,18,596,596,100.0,21018
21,19,524,524,100.0,21019
21,20,419,419,100.0,21020
21,21,583,583,100.0,21021
21,22,623,623,100.0,21022
21,23,441,441,100.0,21023
21,24,448,448,100.0,21024
21,25,350,350,100.0,21025
21,26,402,402,100.0,21026
21,27,576,576,100.0,21027
21,28,506,506,100.0,21028
21,29,528,528,100.0,21029
22,1,164,164,100.0,22001
22,2,108,108,100.0,22002
22,3,207,207,100.0,22003
22,4,122,122,100.0,22004
22,5,342,342,100.0,22005
22,6,161,161,100.0,22006
22,7,189,189,100.0,22007
22,8,208,208,100.0,22008
22,9,208,208,100.0,22009
22,10,254,254,100.0,22010
22,11,302,302,100.0,22011
22,12,187,187,100.0,22012
22,13,249,249,100.0,22013
22,14,202,202,100.0,22014
22,15,112,112,100.0,22015
22,16,252,252,100.0,22016
22,17,121,121,100.0,22017
22,18,246,246,100.0,22018
22,19,363,363,100.0,22019
23,1,173,173,100.0,23001
23,2,288,288,100.0,23002
23,3,179,179,100.0,23003
23,4,132,132,100.0,23004
23,5,252,252,100.0,23005
23,6,129,129,100.0,23006
23,7,196,196,100.0,23007
23,8,188,188,100.0,23008
23,9,311,311,100.0,23009
23,10,359,359,100.0,23010
23,11,154,154,100.0,23011
23,12,212,212,100.0,23012
23,13,385,385,100.0,23013
23,14,283,283,100.0,23014
23,15,304,304,100.0,23015
23,16,166,166,100.0,23016
23,17,227,227,100.0,23017
23,18,192,192,100.0,23018
23,19,155,155,100.0,23019
23,20,154,154,100.0,23020
23,21,143,143,100.0,23021
23,22,154,154,100.0,23022
23,23,148,148,100.0,23023
23,24,156,156,100.0,23024
23,25,129,129,100.0,23025
23,26,101,101,100.0,23026
23,27,142,142,100.0,23027
23,28,194,194,100.0,23028
23,29,263,263,100.0,23029
23,30,165,165,100.0,23030
23,31,196,196,100.0,23031
23,32,152,152,100.0,23032
23,33,332,332,100.0,23033
24,1,184,184,100.0,24001
24,2,175,175,100.0,24002
24,3,358,358,100.0,24003
24,4,284,284,100.0,24004
24,5,482,482,100.0,24005
24,6,301,301,100.0,24006
24,7,156,156,100.0,24007
24,8,213,213,100.0,24008
24,9,372,372,100.0,24009
24,10,263,263,100.0,24010
24,11,362,362,100.0,24011
24,12,392,392,100.0,24012
24,13,373,373,100.0,24013
24,14,276,276,100.0,24014
24,15,328,328,100.0,24015
24,16,403,403,100.0,24016
24,17,246,246,100.0,24017
24,18,374,374,100.0,24018
24,19,842,842,100.0,24019
25,1,283,283,100.0,25001
25,2,190,190,100.0,25002
25,3,260,260,100.0,25003
25,4,323,323,100.0,25004
25,5,457,457,100.0,25005
25,6,435,435,100.0,25006
25,7,417,417,100.0,25007
25,8,429,429,100.0,25008
25,9,442,442,100.0,25009
25,10,475,475,100.0,25010
25,11,432,432,100.0,25011
25,12,400,400,100.0,25012
25,13,575,575,100.0,25013
25,14,569,569,100.0,25014
25,15,442,442,100.0,25015
25,16,555,555,100.0,25016
25,17,249,249,100.0,25017
26,1,184,184,100.0,26001
26,2,231,231,100.0,26002
26,3,412,412,100.0,26003
26,4,241,241,100.0,26004
26,5,319,319,100.0,26005
26,6,195,195,100.0,26006
26,7,304,304,100.0,26007
26,8,220,220,100.0,26008
26,9,200,200,100.0,26009
26,10,245,245,100.0,26010
26,11,240,240,100.0,26011
26,12,93,93,100.0,26012
26,13,200,200,100.0,26013
26,14,145,145,100.0,26014
26,15,158,158,100.0,26015
26,16,376,376,100.0,26016
26,17,351,351,100.0,26017
26,18,167,167,100.0,26018
26,19,400,400,100.0,26019
26,20,419,419,100.0,26020
26,21,171,171,100.0,26021
26,22,152,152,100.0,26022
26,23,324,324,100.0,26023
26,24,149,149,100.0,26024
26,25,355,355,100.0,26025
26,26,380,380,100.0,26026
26,27,411,411,100.0,26027
26,28,393,393,100.0,26028
26,29,360,360,100.0,26029
26,30,210,210,100.0,26030
26,31,226,226,100.0,26031
26,32,331,331,100.0,26032
27,1,403,403,100.0,27001
27,2,572,572,100.0,27002
27,3,291,291,100.0,27003
27,4,415,415,100.0,27004
27,5,246,246,100.0,27005
27,6,545,545,100.0,27006
27,7,674,674,100.0,27007
27,8,162,162,100.0,27008
27,9,486,486,100.0,27009
27,10,278,278,100.0,27010
27,11,499,499,100.0,27011
27,12,350,350,100.0,27012
27,13,404,404,100.0,27013
27,14,323,323,100.0,27014
27,15,398,398,100.0,27015
27,16,570,570,100.0,27016
27,17,200,200,100.0,27017
27,18,482,482,100.0,27018
27,19,132,132,100.0,27019
27,20,288,288,100.0,27020
27,21,199,199,100.0,27021
27,22,294,294,100.0,27022
27,23,259,259,100.0,27023
27,24,155,155,100.0,27024
27,25,363,363,100.0,27025
27,26,413,413,100.0,27026
27,27,291,291,100.0,27027
27,28,344,344,100.0,27028
27,29,651,651,100.0,27029
28,1,234,234,100.0,28001
28,2,249,249,100.0,28002
28,3,66,66,100.0,28003
28,4,196,196,100.0,28004
28,5,175,175,100.0,28005
28,6,334,334,100.0,28006
28,7,137,137,100.0,28007
28,8,312,312,100.0,28008
28,9,166,166,100.0,28009
28,10,112,112,100.0,28010
28,11,461,461,100.0,28011
28,12,566,566,100.0,28012
28,13,449,449,100.0,28013
28,14,382,382,100.0,28014
28,15,225,225,100.0,28015
28,16,466,466,100.0,28016
28,17,262,262,100.0,28017
28,18,292,292,100.0,28018
28,19,294,294,100.0,28019
28,20,247,247,100.0,28020
28,21,266,266,100.0,28021
28,22,203,203,100.0,28022
28,23,291,291,100.0,28023
28,24,233,233,100.0,28024
28,25,441,441,100.0,28025
28,26,148,148,100.0,28026
29,1,375,375,100.0,29001
29,2,320,320,100.0,29002
29,3,300,300,100.0,29003
29,4,313,313,100.0,29004
29,5,350,350,100.0,29005
29,6,309,309,100.0,29006
29,7,532,532,100.0,29007
29,8,757,757,100.0,29008
29,9,313,313,100.0,29009
29,10,455,455,100.0,29010
29,11,385,385,100.0,29011
29,12,496,496,100.0,29012
29,13,497,497,100.0,29013
29,14,409,409,100.0,29014
29,15,375,375,100.0,29015
29,16,448,448,100.0,29016
29,17,307,307,100.0,29017
29,18,424,424,100.0,29018
29,19,492,492,100.0,29019
29,20,273,273,100.0,29020
29,21,317,317,100.0,29021
29,22,470,470,100.0,29022
29,23,455,455,100.0,29023
29,24,347,347,100.0,29024
30,1,406,406,100.0,30001
30,2,278,278,100.0,30002
30,3,394,394,100.0,30003
30,4,286,286,100.0,30004
30,5,313,313,100.0,30005
30,6,360,360,100.0,30006
30,7,264,264,100.0,30007
30,8,477,477,100.0,30008
30,9,377,377,100.0,30009
30,10,326,326,100.0,30010
30,11,271,271,100.0,30011
30,12,355,355,100.0,30012
30,13,281,281,100.0,30013
30,14,322,322,100.0,30014
30,15,531,531,100.0,30015
30,16,246,246,100.0,30016
30,17,375,375,100.0,30017
30,18,339,339,100.0,30018
30,19,211,211,100.0,30019
30,20,263,263,100.0,30020
30,21,419,419,100.0,30021
30,22,416,416,100.0,30022
30,23,453,453,100.0,30023
30,24,371,371,100.0,30024
30,25,238,238,100.0,30025
30,26,473,473,100.0,30026
31,1,259,259,100.0,31001
31,2,419,419,100.0,31002
31,3,217,217,100.0,31003
31,4,292,292,100.0,31004
31,5,247,247,100.0,31005
31,6,210,210,100.0,31006
31,7,251,251,100.0,31007
31,8,341,341,100.0,31008
31,9,221,221,100.0,31009
31,10,364,364,100.0,31010
31,11,333,333,100.0,31011
31,12,404,404,100.0,31012
31,13,304,304,100.0,31013
31,14,290,290,100.0,31014
31,15,131,131,100.0,31015
31,16,183,183,100.0,31016
31,17,241,241,100.0,31017
31,18,205,205,100.0,31018
31,19,255,255,100.0,31019
31,20,243,243,100.0,31020
31,21,246,246,100.0,31021
31,22,123,123,100.0,31022
31,23,132,132,100.0,31023
32,1,939,939,100.0,32001
32,2,742,742,100.0,32002
32,3,519,519,100.0,32003
32,4,518,518,100.0,32004
32,5,410,410,100.0,32005
32,6,249,249,100.0,32006
32,7,534,534,100.0,32007
32,8,376,376,100.0,32008
32,9,364,364,100.0,32009
32,10,707,707,100.0,32010
32,11,429,429,100.0,32011
32,12,255,255,100.0,32012
32,13,165,165,100.0,32013
32,14,799,799,100.0,32014
32,15,752,752,100.0,32015
32,16,384,384,100.0,32016
32,17,721,721,100.0,32017
32,18,284,284,100.0,32018
32,19,336,336,100.0,32019
32,20,711,711,100.0,32020
32,21,741,741,100.0,32021
32,22,714,714,100.0,32022
32,23,484,484,100.0,32023
32,24,242,242,100.0,32024
32,25,515,515,100.0,32025
32,26,687,687,100.0,32026
32,27,739,739,100.0,32027
32,28,194,194,100.0,32028
32,29,551,551,100.0,32029
32,30,715,715,100.0,32030
33,1,729,729,100.0,33001
33,2,817,817,100.0,33002
33,3,547,547,100.0,33003
33,4,743,743,100.0,33004
33,5,606,606,100.0,33005
33,6,650,650,100.0,33006
33,7,639,639,100.0,33007
33,8,447,447,100.0,33008
33,9,449,449,100.0,33009
33,10,458,458,100.0,33010
33,11,374,374,100.0,33011
33,12,579,579,100.0,33012
33,13,496,496,100.0,33013
33,14,688,688,100.0,33014
33,15,503,503,100.0,33015
33,16,642,642,100.0,33016
33,17,599,599,100.0,33017
34,1,496,496,100.0,34001
34,2,286,286,100.0,34002
34,3,694,694,100.0,34003
34,4,366,366,100.0,34004
34,5,676,676,100.0,34005
34,6,468,468,100.0,34006
34,7,216,216,100.0,34007
34,8,370,370,100.0,34008
34,9,687,687,100.0,34009
34,10,274,274,100.0,34010
34,11,479,479,100.0,34011
34,12,492,492,100.0,34012
34,13,561,561,100.0,34013
34,14,530,530,100.0,34014
34,15,463,463,100.0,34015
34,16,749,749,100.0,34016
34,17,681,681,100.0,34017
34,18,623,623,100.0,34018
34,19,465,465,100.0,34019
34,20,600,600,100.0,34020
35,1,155,155,100.0,35001
35,2,387,387,100.0,35002
35,3,305,305,100.0,35003
35,4,475,475,100.0,35004
35,5,639,639,100.0,35005
35,6,922,922,100.0,35006
35,7,630,630,100.0,35007
35,8,414,414,100.0,35008
35,9,765,765,100.0,35009
35,10,467,467,100.0,35010
35,11,614,614,100.0,35011
35,12,791,791,100.0,35012
35,13,515,515,100.0,35013
35,14,442,442,100.0,35014
35,15,581,581,100.0,35015
35,16,790,790,100.0,35016
35,17,512,512,100.0,35017
35,18,341,341,100.0,35018
35,19,491,491,100.0,35019
35,20,291,291,100.0,35020
35,21,457,457,100.0,35021
35,22,603,603,100.0,35022
36,1,221,221,100.0,36001
36,2,272,272,100.0,36002
36,3,221,221,100.0,36003
36,4,286,286,100.0,36004
36,5,230,230,100.0,36005
36,6,187,187,100.0,36006
36,7,160,160,100.0,36007
36,8,117,117,100.0,36008
36,9,365,365,100.0,36009
36,10,257,257,100.0,36010
36,11,180,180,100.0,36011
36,12,142,142,100.0,36012
36,13,81,81,100.0,36013
36,14,248,248,100.0,36014
36,15,120,120,100.0,36015
36,16,94,94,100.0,36016
36,17,369,369,100.0,36017
36,18,418,418,100.0,36018
36,19,553,553,100.0,36019
36,20,616,616,100.0,36020
36,21,385,385,100.0,36021
36,22,527,527,100.0,36022
36,23,462,462,100.0,36023
36,24,493,493,100.0,36024
36,25,555,555,100.0,36025
36,26,508,508,100.0,36026
36,27,588,588,100.0,36027
37,1,347,347,100.0,37001
37,2,296,296,100.0,37002
