ward,precinct,total,Thomas E. Nowinski,Thomas E. Nowinski Percent,precinct_id
11,2,70,70,100.0,11002
11,3,384,384,100.0,11003
11,4,271,271,100.0,11004
11,5,276,276,100.0,11005
11,6,373,373,100.0,11006
11,7,190,190,100.0,11007
11,8,302,302,100.0,11008
11,9,356,356,100.0,11009
11,10,56,56,100.0,11010
11,11,48,48,100.0,11011
11,12,109,109,100.0,11012
11,13,313,313,100.0,11013
11,14,601,601,100.0,11014
11,15,463,463,100.0,11015
11,16,546,546,100.0,11016
11,17,234,234,100.0,11017
11,18,348,348,100.0,11018
11,19,112,112,100.0,11019
11,20,326,326,100.0,11020
11,21,519,519,100.0,11021
11,22,332,332,100.0,11022
11,23,367,367,100.0,11023
12,1,211,211,100.0,12001
12,2,163,163,100.0,12002
12,3,301,301,100.0,12003
12,4,250,250,100.0,12004
12,5,234,234,100.0,12005
12,6,217,217,100.0,12006
12,7,234,234,100.0,12007
12,8,205,205,100.0,12008
12,9,108,108,100.0,12009
12,10,237,237,100.0,12010
12,11,184,184,100.0,12011
12,12,152,152,100.0,12012
12,13,174,174,100.0,12013
12,14,208,208,100.0,12014
12,15,228,228,100.0,12015
12,16,243,243,100.0,12016
12,17,208,208,100.0,12017
12,18,257,257,100.0,12018
12,19,130,130,100.0,12019
12,20,185,185,100.0,12020
12,21,183,183,100.0,12021
12,22,178,178,100.0,12022
13,1,203,203,100.0,13001
13,2,234,234,100.0,13002
13,3,276,276,100.0,13003
13,4,283,283,100.0,13004
13,5,203,203,100.0,13005
13,6,233,233,100.0,13006
13,7,202,202,100.0,13007
13,8,300,300,100.0,13008
13,9,302,302,100.0,13009
13,10,298,298,100.0,13010
13,11,162,162,100.0,13011
13,12,174,174,100.0,13012
13,13,211,211,100.0,13013
13,14,210,210,100.0,13014
13,15,209,209,100.0,13015
13,16,267,267,100.0,13016
13,17,306,306,100.0,13017
13,18,201,201,100.0,13018
13,19,168,168,100.0,13019
13,20,238,238,100.0,13020
13,21,212,212,100.0,13021
13,22,309,309,100.0,13022
13,23,244,244,100.0,13023
13,24,225,225,100.0,13024
13,25,230,230,100.0,13025
13,26,194,194,100.0,13026
13,27,161,161,100.0,13027
13,28,195,195,100.0,13028
13,29,189,189,100.0,13029
13,30,232,232,100.0,13030
13,31,171,171,100.0,13031
13,32,174,174,100.0,13032
13,33,226,226,100.0,13033
13,34,278,278,100.0,13034
13,35,345,345,100.0,13035
13,36,147,147,100.0,13036
13,37,246,246,100.0,13037
13,38,161,161,100.0,13038
13,39,262,262,100.0,13039
13,40,218,218,100.0,13040
14,1,352,352,100.0,14001
14,2,231,231,100.0,14002
14,3,152,152,100.0,14003
14,4,79,79,100.0,14004
14,5,279,279,100.0,14005
14,6,351,351,100.0,14006
14,7,343,343,100.0,14007
14,8,320,320,100.0,14008
14,9,332,332,100.0,14009
14,10,318,318,100.0,14010
14,11,362,362,100.0,14011
14,12,226,226,100.0,14012
14,13,396,396,100.0,14013
14,14,193,193,100.0,14014
14,15,202,202,100.0,14015
15,1,168,168,100.0,15001
15,2,247,247,100.0,15002
15,3,102,102,100.0,15003
15,4,154,154,100.0,15004
15,5,183,183,100.0,15005
15,6,221,221,100.0,15006
15,7,149,149,100.0,15007
15,8,187,187,100.0,15008
15,9,214,214,100.0,15009
15,10,185,185,100.0,15010
15,11,175,175,100.0,15011
15,12,224,224,100.0,15012
15,13,164,164,100.0,15013
15,14,176,176,100.0,15014
15,15,181,181,100.0,15015
15,16,280,280,100.0,15016
15,17,322,322,100.0,15017
15,18,239,239,100.0,15018
15,19,156,156,100.0,15019
15,20,198,198,100.0,15020
16,1,282,282,100.0,16001
16,2,180,180,100.0,16002
16,3,247,247,100.0,16003
16,4,148,148,100.0,16004
16,5,336,336,100.0,16005
16,6,318,318,100.0,16006
16,7,182,182,100.0,16007
16,8,137,137,100.0,16008
16,9,293,293,100.0,16009
16,10,245,245,100.0,16010
16,11,201,201,100.0,16011
16,12,84,84,100.0,16012
16,13,121,121,100.0,16013
16,14,310,310,100.0,16014
16,15,258,258,100.0,16015
16,16,198,198,100.0,16016
16,17,368,368,100.0,16017
16,18,342,342,100.0,16018
16,19,251,251,100.0,16019
16,20,263,263,100.0,16020
16,21,182,182,100.0,16021
16,22,264,264,100.0,16022
16,23,176,176,100.0,16023
16,24,202,202,100.0,16024
16,25,108,108,100.0,16025
17,1,322,322,100.0,17001
17,2,206,206,100.0,17002
17,3,271,271,100.0,17003
17,4,255,255,100.0,17004
17,5,166,166,100.0,17005
17,6,253,253,100.0,17006
17,7,138,138,100.0,17007
17,8,196,196,100.0,17008
17,9,198,198,100.0,17009
17,10,386,386,100.0,17010
17,11,244,244,100.0,17011
17,12,155,155,100.0,17012
17,13,160,160,100.0,17013
17,14,167,167,100.0,17014
17,15,459,459,100.0,17015
17,16,212,212,100.0,17016
17,17,189,189,100.0,17017
17,18,564,564,100.0,17018
17,19,385,385,100.0,17019
17,20,365,365,100.0,17020
17,21,433,433,100.0,17021
17,22,425,425,100.0,17022
17,23,266,266,100.0,17023
17,24,442,442,100.0,17024
17,25,199,199,100.0,17025
17,26,391,391,100.0,17026
17,27,440,440,100.0,17027
17,28,534,534,100.0,17028
17,29,476,476,100.0,17029
18,1,544,544,100.0,18001
18,2,598,598,100.0,18002
18,3,248,248,100.0,18003
18,4,453,453,100.0,18004
18,5,360,360,100.0,18005
18,6,664,664,100.0,18006
18,7,503,503,100.0,18007
18,8,747,747,100.0,18008
18,9,585,585,100.0,18009
18,10,679,679,100.0,18010
18,11,397,397,100.0,18011
18,12,595,595,100.0,18012
18,13,481,481,100.0,18013
18,14,382,382,100.0,18014
18,15,266,266,100.0,18015
18,16,431,431,100.0,18016
18,17,309,309,100.0,18017
18,18,387,387,100.0,18018
18,19,355,355,100.0,18019
18,20,312,312,100.0,18020
18,21,432,432,100.0,18021
18,22,390,390,100.0,18022
18,23,431,431,100.0,18023
18,24,500,500,100.0,18024
18,25,252,252,100.0,18025
18,26,469,469,100.0,18026
19,1,518,518,100.0,19001
19,2,618,618,100.0,19002
19,3,271,271,100.0,19003
19,4,305,305,100.0,19004
19,5,483,483,100.0,19005
19,6,318,318,100.0,19006
19,7,493,493,100.0,19007
19,8,494,494,100.0,19008
19,9,428,428,100.0,19009
19,10,440,440,100.0,19010
19,11,280,280,100.0,19011
19,12,409,409,100.0,19012
19,13,423,423,100.0,19013
19,14,547,547,100.0,19014
19,15,237,237,100.0,19015
19,16,308,308,100.0,19016
19,17,319,319,100.0,19017
19,18,262,262,100.0,19018
19,19,501,501,100.0,19019
19,20,424,424,100.0,19020
19,21,432,432,100.0,19021
19,22,454,454,100.0,19022
19,23,327,327,100.0,19023
19,24,278,278,100.0,19024
19,25,436,436,100.0,19025
19,26,373,373,100.0,19026
19,27,635,635,100.0,19027
19,28,813,813,100.0,19028
19,29,401,401,100.0,19029
19,30,275,275,100.0,19030
19,31,627,627,100.0,19031
19,32,439,439,100.0,19032
19,33,191,191,100.0,19033
19,34,591,591,100.0,19034
19,35,461,461,100.0,19035
19,36,377,377,100.0,19036
20,1,196,196,100.0,20001
20,2,108,108,100.0,20002
20,3,138,138,100.0,20003
20,4,112,112,100.0,20004
20,5,210,210,100.0,20005
20,6,132,132,100.0,20006
20,7,181,181,100.0,20007
20,8,202,202,100.0,20008
20,9,391,391,100.0,20009
20,10,439,439,100.0,20010
20,11,353,353,100.0,20011
20,12,72,72,100.0,20012
20,13,618,618,100.0,20013
20,14,370,370,100.0,20014
20,15,354,354,100.0,20015
20,16,380,380,100.0,20016
20,17,465,465,100.0,20017
20,18,563,563,100.0,20018
20,19,309,309,100.0,20019
20,20,409,409,100.0,20020
20,21,526,526,100.0,20021
20,22,447,447,100.0,20022
20,23,166,166,100.0,20023
21,1,533,533,100.0,21001
21,2,168,168,100.0,21002
21,3,597,597,100.0,21003
21,4,486,486,100.0,21004
21,5,527,527,100.0,21005
21,6,423,423,100.0,21006
21,7,604,604,100.0,21007
21,8,491,491,100.0,21008
21,9,171,171,100.0,21009
21,10,560,560,100.0,21010
21,11,577,577,100.0,21011
21,12,266,266,100.0,21012
21,13,436,436,100.0,21013
21,14,637,637,100.0,21014
21,15,615,615,100.0,21015
21,16,534,534,100.0,21016
21,17,412,412,100.0,21017
21,18,593,593,100.0,21018
21,19,506,506,100.0,21019
21,20,408,408,100.0,21020
21,21,579,579,100.0,21021
21,22,597,597,100.0,21022
21,23,426,426,100.0,21023
21,24,428,428,100.0,21024
21,25,345,345,100.0,21025
21,26,406,406,100.0,21026
21,27,570,570,100.0,21027
21,28,498,498,100.0,21028
21,29,526,526,100.0,21029
22,1,161,161,100.0,22001
22,2,106,106,100.0,22002
22,3,212,212,100.0,22003
22,4,123,123,100.0,22004
22,5,334,334,100.0,22005
22,6,164,164,100.0,22006
22,7,191,191,100.0,22007
22,8,206,206,100.0,22008
22,9,211,211,100.0,22009
22,10,255,255,100.0,22010
22,11,310,310,100.0,22011
22,12,189,189,100.0,22012
22,13,250,250,100.0,22013
22,14,204,204,100.0,22014
22,15,111,111,100.0,22015
22,16,257,257,100.0,22016
22,17,123,123,100.0,22017
22,18,242,242,100.0,22018
22,19,359,359,100.0,22019
23,1,178,178,100.0,23001
23,2,303,303,100.0,23002
23,3,188,188,100.0,23003
23,4,136,136,100.0,23004
23,5,267,267,100.0,23005
23,6,132,132,100.0,23006
23,7,199,199,100.0,23007
23,8,198,198,100.0,23008
23,9,317,317,100.0,23009
23,10,369,369,100.0,23010
23,11,157,157,100.0,23011
23,12,224,224,100.0,23012
23,13,401,401,100.0,23013
23,14,291,291,100.0,23014
23,15,312,312,100.0,23015
23,16,170,170,100.0,23016
23,17,230,230,100.0,23017
23,18,196,196,100.0,23018
23,19,156,156,100.0,23019
23,20,155,155,100.0,23020
23,21,145,145,100.0,23021
23,22,160,160,100.0,23022
23,23,148,148,100.0,23023
23,24,158,158,100.0,23024
23,25,130,130,100.0,23025
23,26,100,100,100.0,23026
23,27,140,140,100.0,23027
23,28,202,202,100.0,23028
23,29,259,259,100.0,23029
23,30,158,158,100.0,23030
23,31,196,196,100.0,23031
23,32,153,153,100.0,23032
23,33,341,341,100.0,23033
24,1,182,182,100.0,24001
24,2,176,176,100.0,24002
24,3,350,350,100.0,24003
24,4,280,280,100.0,24004
24,5,471,471,100.0,24005
24,6,296,296,100.0,24006
24,7,152,152,100.0,24007
24,8,197,197,100.0,24008
24,9,369,369,100.0,24009
24,10,268,268,100.0,24010
24,11,354,354,100.0,24011
24,12,378,378,100.0,24012
24,13,370,370,100.0,24013
24,14,272,272,100.0,24014
24,15,314,314,100.0,24015
24,16,407,407,100.0,24016
24,17,236,236,100.0,24017
24,18,382,382,100.0,24018
24,19,868,868,100.0,24019
25,1,281,281,100.0,25001
25,2,191,191,100.0,25002
25,3,260,260,100.0,25003
25,4,324,324,100.0,25004
25,5,455,455,100.0,25005
25,6,432,432,100.0,25006
25,7,413,413,100.0,25007
25,8,424,424,100.0,25008
25,9,440,440,100.0,25009
25,10,478,478,100.0,25010
25,11,443,443,100.0,25011
25,12,395,395,100.0,25012
25,13,570,570,100.0,25013
25,14,572,572,100.0,25014
25,15,448,448,100.0,25015
25,16,559,559,100.0,25016
25,17,250,250,100.0,25017
26,1,182,182,100.0,26001
26,2,231,231,100.0,26002
26,3,408,408,100.0,26003
26,4,239,239,100.0,26004
26,5,314,314,100.0,26005
26,6,195,195,100.0,26006
26,7,304,304,100.0,26007
26,8,220,220,100.0,26008
26,9,206,206,100.0,26009
26,10,244,244,100.0,26010
26,11,237,237,100.0,26011
26,12,90,90,100.0,26012
26,13,196,196,100.0,26013
26,14,145,145,100.0,26014
26,15,161,161,100.0,26015
26,16,379,379,100.0,26016
26,17,349,349,100.0,26017
26,18,167,167,100.0,26018
26,19,403,403,100.0,26019
26,20,412,412,100.0,26020
26,21,170,170,100.0,26021
26,22,151,151,100.0,26022
26,23,328,328,100.0,26023
26,24,151,151,100.0,26024
26,25,357,357,100.0,26025
26,26,375,375,100.0,26026
26,27,409,409,100.0,26027
26,28,395,395,100.0,26028
26,29,359,359,100.0,26029
26,30,208,208,100.0,26030
26,31,230,230,100.0,26031
26,32,331,331,100.0,26032
27,1,405,405,100.0,27001
27,2,562,562,100.0,27002
27,3,287,287,100.0,27003
27,4,417,417,100.0,27004
27,5,244,244,100.0,27005
27,6,548,548,100.0,27006
27,7,681,681,100.0,27007
27,8,164,164,100.0,27008
27,9,484,484,100.0,27009
27,10,272,272,100.0,27010
27,11,504,504,100.0,27011
27,12,348,348,100.0,27012
27,13,403,403,100.0,27013
27,14,327,327,100.0,27014
27,15,404,404,100.0,27015
27,16,571,571,100.0,27016
27,17,196,196,100.0,27017
27,18,481,481,100.0,27018
27,19,136,136,100.0,27019
27,20,283,283,100.0,27020
27,21,203,203,100.0,27021
27,22,294,294,100.0,27022
27,23,255,255,100.0,27023
27,24,159,159,100.0,27024
27,25,363,363,100.0,27025
27,26,408,408,100.0,27026
27,27,291,291,100.0,27027
27,28,347,347,100.0,27028
27,29,656,656,100.0,27029
28,1,231,231,100.0,28001
28,2,245,245,100.0,28002
28,3,66,66,100.0,28003
28,4,191,191,100.0,28004
28,5,179,179,100.0,28005
28,6,332,332,100.0,28006
28,7,141,141,100.0,28007
28,8,312,312,100.0,28008
28,9,165,165,100.0,28009
28,10,112,112,100.0,28010
28,11,461,461,100.0,28011
28,12,574,574,100.0,28012
28,13,451,451,100.0,28013
28,14,377,377,100.0,28014
28,15,222,222,100.0,28015
28,16,462,462,100.0,28016
28,17,257,257,100.0,28017
28,18,291,291,100.0,28018
28,19,283,283,100.0,28019
28,20,247,247,100.0,28020
28,21,258,258,100.0,28021
28,22,203,203,100.0,28022
28,23,291,291,100.0,28023
28,24,231,231,100.0,28024
28,25,435,435,100.0,28025
28,26,143,143,100.0,28026
29,1,386,386,100.0,29001
29,2,325,325,100.0,29002
29,3,301,301,100.0,29003
29,4,314,314,100.0,29004
29,5,348,348,100.0,29005
29,6,311,311,100.0,29006
29,7,536,536,100.0,29007
29,8,755,755,100.0,29008
29,9,309,309,100.0,29009
29,10,454,454,100.0,29010
29,11,395,395,100.0,29011
29,12,490,490,100.0,29012
29,13,490,490,100.0,29013
29,14,406,406,100.0,29014
29,15,367,367,100.0,29015
29,16,437,437,100.0,29016
29,17,304,304,100.0,29017
29,18,417,417,100.0,29018
29,19,482,482,100.0,29019
29,20,264,264,100.0,29020
29,21,318,318,100.0,29021
29,22,464,464,100.0,29022
29,23,453,453,100.0,29023
29,24,344,344,100.0,29024
30,1,427,427,100.0,30001
30,2,285,285,100.0,30002
30,3,394,394,100.0,30003
30,4,290,290,100.0,30004
30,5,320,320,100.0,30005
30,6,360,360,100.0,30006
30,7,266,266,100.0,30007
30,8,483,483,100.0,30008
30,9,391,391,100.0,30009
30,10,328,328,100.0,30010
30,11,271,271,100.0,30011
30,12,360,360,100.0,30012
30,13,285,285,100.0,30013
30,14,331,331,100.0,30014
30,15,528,528,100.0,30015
30,16,249,249,100.0,30016
30,17,374,374,100.0,30017
30,18,340,340,100.0,30018
30,19,210,210,100.0,30019
30,20,263,263,100.0,30020
30,21,436,436,100.0,30021
30,22,418,418,100.0,30022
30,23,456,456,100.0,30023
30,24,369,369,100.0,30024
30,25,244,244,100.0,30025
30,26,474,474,100.0,30026
31,1,261,261,100.0,31001
31,2,430,430,100.0,31002
31,3,221,221,100.0,31003
31,4,298,298,100.0,31004
31,5,248,248,100.0,31005
31,6,214,214,100.0,31006
31,7,253,253,100.0,31007
31,8,346,346,100.0,31008
31,9,216,216,100.0,31009
31,10,364,364,100.0,31010
31,11,343,343,100.0,31011
31,12,411,411,100.0,31012
31,13,305,305,100.0,31013
31,14,299,299,100.0,31014
31,15,136,136,100.0,31015
31,16,185,185,100.0,31016
31,17,240,240,100.0,31017
31,18,206,206,100.0,31018
31,19,260,260,100.0,31019
31,20,237,237,100.0,31020
31,21,247,247,100.0,31021
31,22,121,121,100.0,31022
31,23,134,134,100.0,31023
32,1,942,942,100.0,32001
32,2,743,743,100.0,32002
32,3,525,525,100.0,32003
32,4,518,518,100.0,32004
32,5,416,416,100.0,32005
32,6,252,252,100.0,32006
32,7,534,534,100.0,32007
32,8,378,378,100.0,32008
32,9,365,365,100.0,32009
32,10,712,712,100.0,32010
32,11,432,432,100.0,32011
32,12,255,255,100.0,32012
32,13,167,167,100.0,32013
32,14,801,801,100.0,32014
32,15,752,752,100.0,32015
32,16,390,390,100.0,32016
32,17,723,723,100.0,32017
32,18,285,285,100.0,32018
32,19,336,336,100.0,32019
32,20,716,716,100.0,32020
32,21,739,739,100.0,32021
32,22,720,720,100.0,32022
32,23,486,486,100.0,32023
32,24,243,243,100.0,32024
32,25,518,518,100.0,32025
32,26,691,691,100.0,32026
32,27,742,742,100.0,32027
32,28,197,197,100.0,32028
32,29,555,555,100.0,32029
32,30,713,713,100.0,32030
33,1,733,733,100.0,33001
33,2,824,824,100.0,33002
33,3,546,546,100.0,33003
33,4,748,748,100.0,33004
33,5,614,614,100.0,33005
33,6,648,648,100.0,33006
33,7,641,641,100.0,33007
33,8,451,451,100.0,33008
33,9,444,444,100.0,33009
33,10,454,454,100.0,33010
33,11,374,374,100.0,33011
33,12,585,585,100.0,33012
33,13,497,497,100.0,33013
33,14,689,689,100.0,33014
33,15,503,503,100.0,33015
33,16,648,648,100.0,33016
33,17,597,597,100.0,33017
34,1,501,501,100.0,34001
34,2,291,291,100.0,34002
34,3,698,698,100.0,34003
34,4,369,369,100.0,34004
34,5,681,681,100.0,34005
34,6,464,464,100.0,34006
34,7,216,216,100.0,34007
34,8,376,376,100.0,34008
34,9,688,688,100.0,34009
34,10,276,276,100.0,34010
34,11,486,486,100.0,34011
34,12,496,496,100.0,34012
34,13,565,565,100.0,34013
34,14,535,535,100.0,34014
34,15,460,460,100.0,34015
34,16,738,738,100.0,34016
34,17,679,679,100.0,34017
34,18,626,626,100.0,34018
34,19,461,461,100.0,34019
34,20,600,600,100.0,34020
35,1,158,158,100.0,35001
35,2,385,385,100.0,35002
35,3,306,306,100.0,35003
35,4,477,477,100.0,35004
35,5,638,638,100.0,35005
35,6,922,922,100.0,35006
35,7,623,623,100.0,35007
35,8,407,407,100.0,35008
35,9,770,770,100.0,35009
35,10,465,465,100.0,35010
35,11,618,618,100.0,35011
35,12,784,784,100.0,35012
35,13,517,517,100.0,35013
35,14,436,436,100.0,35014
35,15,593,593,100.0,35015
35,16,799,799,100.0,35016
35,17,512,512,100.0,35017
35,18,345,345,100.0,35018
35,19,495,495,100.0,35019
35,20,293,293,100.0,35020
35,21,460,460,100.0,35021
35,22,602,602,100.0,35022
36,1,230,230,100.0,36001
36,2,287,287,100.0,36002
36,3,220,220,100.0,36003
36,4,296,296,100.0,36004
36,5,231,231,100.0,36005
36,6,191,191,100.0,36006
36,7,163,163,100.0,36007
36,8,120,120,100.0,36008
36,9,364,364,100.0,36009
36,10,263,263,100.0,36010
36,11,183,183,100.0,36011
36,12,143,143,100.0,36012
36,13,82,82,100.0,36013
36,14,248,248,100.0,36014
36,15,118,118,100.0,36015
36,16,95,95,100.0,36016
36,17,374,374,100.0,36017
36,18,418,418,100.0,36018
36,19,555,555,100.0,36019
36,20,613,613,100.0,36020
36,21,393,393,100.0,36021
36,22,531,531,100.0,36022
36,23,462,462,100.0,36023
36,24,498,498,100.0,36024
36,25,560,560,100.0,36025
36,26,507,507,100.0,36026
36,27,592,592,100.0,36027
37,1,344,344,100.0,37001
