ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",precinct_id
9,3,131,131,100.0,09003
9,4,259,259,100.0,09004
9,5,301,301,100.0,09005
9,6,315,315,100.0,09006
9,7,254,254,100.0,09007
9,8,318,318,100.0,09008
9,9,325,325,100.0,09009
9,10,274,274,100.0,09010
9,11,215,215,100.0,09011
9,12,283,283,100.0,09012
9,13,280,280,100.0,09013
9,14,409,409,100.0,09014
9,15,258,258,100.0,09015
9,16,220,220,100.0,09016
9,17,271,271,100.0,09017
9,18,296,296,100.0,09018
9,19,320,320,100.0,09019
9,20,316,316,100.0,09020
9,21,294,294,100.0,09021
9,22,337,337,100.0,09022
9,23,234,234,100.0,09023
9,24,154,154,100.0,09024
9,25,171,171,100.0,09025
9,26,185,185,100.0,09026
9,27,282,282,100.0,09027
9,28,115,115,100.0,09028
9,29,215,215,100.0,09029
9,30,262,262,100.0,09030
9,31,251,251,100.0,09031
9,32,296,296,100.0,09032
9,33,172,172,100.0,09033
9,34,233,233,100.0,09034
9,35,343,343,100.0,09035
9,37,198,198,100.0,09037
9,38,299,299,100.0,09038
9,39,338,338,100.0,09039
9,40,303,303,100.0,09040
9,41,324,324,100.0,09041
9,42,99,99,100.0,09042
9,43,158,158,100.0,09043
9,44,221,221,100.0,09044
9,45,236,236,100.0,09045
9,46,241,241,100.0,09046
9,48,312,312,100.0,09048
9,49,198,198,100.0,09049
9,50,286,286,100.0,09050
9,51,151,151,100.0,09051
9,52,316,316,100.0,09052
9,53,140,140,100.0,09053
10,1,167,167,100.0,10001
10,2,99,99,100.0,10002
10,3,128,128,100.0,10003
10,4,135,135,100.0,10004
10,5,121,121,100.0,10005
10,6,211,211,100.0,10006
10,7,52,52,100.0,10007
10,8,106,106,100.0,10008
10,9,102,102,100.0,10009
10,10,106,106,100.0,10010
10,11,142,142,100.0,10011
10,12,115,115,100.0,10012
10,13,110,110,100.0,10013
10,14,133,133,100.0,10014
10,15,70,70,100.0,10015
10,16,120,120,100.0,10016
10,17,101,101,100.0,10017
10,18,157,157,100.0,10018
10,19,145,145,100.0,10019
10,20,115,115,100.0,10020
10,21,104,104,100.0,10021
10,22,148,148,100.0,10022
10,23,114,114,100.0,10023
10,24,101,101,100.0,10024
10,25,216,216,100.0,10025
10,26,126,126,100.0,10026
10,27,154,154,100.0,10027
10,28,142,142,100.0,10028
10,29,213,213,100.0,10029
10,30,168,168,100.0,10030
10,31,134,134,100.0,10031
10,32,143,143,100.0,10032
10,33,133,133,100.0,10033
10,34,171,171,100.0,10034
10,35,145,145,100.0,10035
10,36,192,192,100.0,10036
10,37,157,157,100.0,10037
10,38,152,152,100.0,10038
10,39,140,140,100.0,10039
10,40,126,126,100.0,10040
10,41,156,156,100.0,10041
10,42,123,123,100.0,10042
10,43,86,86,100.0,10043
10,44,158,158,100.0,10044
10,45,92,92,100.0,10045
10,46,134,134,100.0,10046
10,47,116,116,100.0,10047
10,48,166,166,100.0,10048
34,1,445,445,100.0,34001
34,2,293,293,100.0,34002
34,3,350,350,100.0,34003
34,4,357,357,100.0,34004
34,5,311,311,100.0,34005
34,6,200,200,100.0,34006
34,7,391,391,100.0,34007
34,9,246,246,100.0,34009
34,10,316,316,100.0,34010
34,11,229,229,100.0,34011
34,12,390,390,100.0,34012
34,14,259,259,100.0,34014
34,15,259,259,100.0,34015
34,16,235,235,100.0,34016
34,17,261,261,100.0,34017
34,18,206,206,100.0,34018
34,20,432,432,100.0,34020
34,21,292,292,100.0,34021
34,22,349,349,100.0,34022
34,23,267,267,100.0,34023
34,24,312,312,100.0,34024
34,25,332,332,100.0,34025
34,26,190,190,100.0,34026
34,27,261,261,100.0,34027
34,28,181,181,100.0,34028
34,30,344,344,100.0,34030
34,31,161,161,100.0,34031
34,32,203,203,100.0,34032
34,34,363,363,100.0,34034
34,35,371,371,100.0,34035
34,36,330,330,100.0,34036
34,37,309,309,100.0,34037
34,38,250,250,100.0,34038
34,39,242,242,100.0,34039
34,40,342,342,100.0,34040
34,41,189,189,100.0,34041
34,42,386,386,100.0,34042
34,43,412,412,100.0,34043
34,44,240,240,100.0,34044
34,46,304,304,100.0,34046
34,48,392,392,100.0,34048
34,49,434,434,100.0,34049
34,50,288,288,100.0,34050
34,52,238,238,100.0,34052
34,53,231,231,100.0,34053
34,54,241,241,100.0,34054
34,56,166,166,100.0,34056
34,59,340,340,100.0,34059
34,60,301,301,100.0,34060
34,61,267,267,100.0,34061
