ward,precinct,total,Jesse G. Reyes,Jesse G. Reyes Percent,Terry MacCarthy,Terry MacCarthy Percent,precinct_id
2,21,215,101,46.98,114,53.02,02021
2,22,312,172,55.13,140,44.87,02022
2,23,163,93,57.06,70,42.94,02023
2,24,132,82,62.12,50,37.88,02024
2,25,283,172,60.78,111,39.22,02025
2,26,182,91,50.0,91,50.0,02026
2,27,171,89,52.05,82,47.95,02027
2,28,110,50,45.45,60,54.55,02028
2,29,122,73,59.84,49,40.16,02029
2,30,223,122,54.71,101,45.29,02030
2,31,239,144,60.25,95,39.75,02031
2,32,108,63,58.33,45,41.67,02032
2,33,137,80,58.39,57,41.61,02033
2,34,146,78,53.42,68,46.58,02034
2,35,60,36,60.0,24,40.0,02035
2,36,266,132,49.62,134,50.38,02036
2,37,180,110,61.11,70,38.89,02037
2,38,274,150,54.74,124,45.26,02038
2,39,216,138,63.89,78,36.11,02039
2,40,320,166,51.88,154,48.13,02040
2,41,113,72,63.72,41,36.28,02041
2,42,93,53,56.99,40,43.01,02042
2,43,253,149,58.89,104,41.11,02043
2,44,175,113,64.57,62,35.43,02044
2,45,209,131,62.68,78,37.32,02045
2,46,318,183,57.55,135,42.45,02046
2,47,138,88,63.77,50,36.23,02047
2,48,166,91,54.82,75,45.18,02048
2,49,129,74,57.36,55,42.64,02049
2,50,146,104,71.23,42,28.77,02050
2,51,195,111,56.92,84,43.08,02051
2,52,247,158,63.97,89,36.03,02052
2,53,186,106,56.99,80,43.01,02053
2,54,235,129,54.89,106,45.11,02054
2,55,61,28,45.9,33,54.1,02055
2,56,213,131,61.5,82,38.5,02056
3,1,205,119,58.05,86,41.95,03001
3,2,291,204,70.1,87,29.9,03002
3,3,201,123,61.19,78,38.81,03003
3,4,158,110,69.62,48,30.38,03004
3,5,183,124,67.76,59,32.24,03005
3,6,161,105,65.22,56,34.78,03006
3,7,194,113,58.25,81,41.75,03007
3,8,210,134,63.81,76,36.19,03008
3,9,213,147,69.01,66,30.99,03009
3,10,96,62,64.58,34,35.42,03010
3,11,229,167,72.93,62,27.07,03011
3,12,214,147,68.69,67,31.31,03012
3,13,146,128,87.67,18,12.33,03013
3,14,120,76,63.33,44,36.67,03014
3,15,197,127,64.47,70,35.53,03015
3,16,201,140,69.65,61,30.35,03016
3,17,113,68,60.18,45,39.82,03017
3,18,95,48,50.53,47,49.47,03018
3,19,64,49,76.56,15,23.44,03019
3,20,145,110,75.86,35,24.14,03020
3,21,118,72,61.02,46,38.98,03021
3,22,120,90,75.0,30,25.0,03022
3,23,212,136,64.15,76,35.85,03023
3,24,222,130,58.56,92,41.44,03024
3,25,148,107,72.3,41,27.7,03025
3,26,89,70,78.65,19,21.35,03026
3,27,186,118,63.44,68,36.56,03027
3,28,345,213,61.74,132,38.26,03028
3,29,160,112,70.0,48,30.0,03029
3,30,174,118,67.82,56,32.18,03030
3,31,296,193,65.2,103,34.8,03031
3,32,176,127,72.16,49,27.84,03032
3,33,275,182,66.18,93,33.82,03033
3,34,190,134,70.53,56,29.47,03034
3,35,206,148,71.84,58,28.16,03035
3,36,92,62,67.39,30,32.61,03036
3,37,81,59,72.84,22,27.16,03037
3,38,261,172,65.9,89,34.1,03038
3,39,202,139,68.81,63,31.19,03039
3,40,158,98,62.03,60,37.97,03040
3,41,130,83,63.85,47,36.15,03041
3,42,137,95,69.34,42,30.66,03042
3,43,59,40,67.8,19,32.2,03043
3,44,80,47,58.75,33,41.25,03044
3,45,246,160,65.04,86,34.96,03045
3,46,45,24,53.33,21,46.67,03046
3,47,135,87,64.44,48,35.56,03047
3,48,135,84,62.22,51,37.78,03048
3,49,72,46,63.89,26,36.11,03049
3,50,194,136,70.1,58,29.9,03050
4,1,342,224,65.5,118,34.5,04001
4,2,392,249,63.52,143,36.48,04002
4,3,323,217,67.18,106,32.82,04003
4,4,258,166,64.34,92,35.66,04004
4,5,290,199,68.62,91,31.38,04005
4,6,94,75,79.79,19,20.21,04006
4,7,291,186,63.92,105,36.08,04007
4,8,290,199,68.62,91,31.38,04008
4,9,440,265,60.23,175,39.77,04009
4,10,284,180,63.38,104,36.62,04010
4,11,332,195,58.73,137,41.27,04011
4,12,160,111,69.38,49,30.63,04012
4,13,197,135,68.53,62,31.47,04013
4,14,193,115,59.59,78,40.41,04014
4,15,178,111,62.36,67,37.64,04015
4,16,325,209,64.31,116,35.69,04016
4,17,241,168,69.71,73,30.29,04017
4,18,276,179,64.86,97,35.14,04018
4,19,289,193,66.78,96,33.22,04019
4,20,130,71,54.62,59,45.38,04020
4,21,316,222,70.25,94,29.75,04021
4,22,313,214,68.37,99,31.63,04022
4,23,174,113,64.94,61,35.06,04023
4,24,277,180,64.98,97,35.02,04024
4,25,186,141,75.81,45,24.19,04025
4,26,279,186,66.67,93,33.33,04026
4,27,258,177,68.6,81,31.4,04027
4,28,164,102,62.2,62,37.8,04028
4,29,217,137,63.13,80,36.87,04029
4,30,220,154,70.0,66,30.0,04030
4,31,134,85,63.43,49,36.57,04031
4,32,239,168,70.29,71,29.71,04032
4,33,190,119,62.63,71,37.37,04033
4,34,165,105,63.64,60,36.36,04034
4,35,183,119,65.03,64,34.97,04035
4,36,170,101,59.41,69,40.59,04036
4,37,73,50,68.49,23,31.51,04037
4,38,379,269,70.98,110,29.02,04038
4,39,167,111,66.47,56,33.53,04039
4,40,204,145,71.08,59,28.92,04040
4,41,121,77,63.64,44,36.36,04041
4,42,291,173,59.45,118,40.55,04042
4,43,151,104,68.87,47,31.13,04043
4,44,163,113,69.33,50,30.67,04044
4,45,393,276,70.23,117,29.77,04045
4,46,198,144,72.73,54,27.27,04046
4,47,351,239,68.09,112,31.91,04047
4,48,289,199,68.86,90,31.14,04048
4,49,152,103,67.76,49,32.24,04049
4,50,235,148,62.98,87,37.02,04050
4,51,272,156,57.35,116,42.65,04051
4,52,306,209,68.3,97,31.7,04052
5,1,255,163,63.92,92,36.08,05001
5,2,214,150,70.09,64,29.91,05002
5,3,123,90,73.17,33,26.83,05003
5,4,154,100,64.94,54,35.06,05004
5,5,238,148,62.18,90,37.82,05005
5,6,309,196,63.43,113,36.57,05006
5,7,264,177,67.05,87,32.95,05007
5,8,284,210,73.94,74,26.06,05008
5,9,243,165,67.9,78,32.1,05009
5,10,236,137,58.05,99,41.95,05010
5,11,205,142,69.27,63,30.73,05011
5,12,167,118,70.66,49,29.34,05012
5,13,206,140,67.96,66,32.04,05013
5,14,272,183,67.28,89,32.72,05014
5,15,162,99,61.11,63,38.89,05015
5,16,192,118,61.46,74,38.54,05016
5,17,268,174,64.93,94,35.07,05017
5,18,252,179,71.03,73,28.97,05018
5,19,135,83,61.48,52,38.52,05019
5,20,124,82,66.13,42,33.87,05020
5,21,271,182,67.16,89,32.84,05021
5,22,204,124,60.78,80,39.22,05022
5,23,166,99,59.64,67,40.36,05023
5,24,184,123,66.85,61,33.15,05024
5,25,256,175,68.36,81,31.64,05025
5,26,266,173,65.04,93,34.96,05026
5,27,230,140,60.87,90,39.13,05027
5,28,253,160,63.24,93,36.76,05028
5,29,244,160,65.57,84,34.43,05029
5,30,181,134,74.03,47,25.97,05030
5,31,225,145,64.44,80,35.56,05031
5,32,326,213,65.34,113,34.66,05032
5,33,166,94,56.63,72,43.37,05033
5,34,272,178,65.44,94,34.56,05034
5,35,175,112,64.0,63,36.0,05035
5,36,146,90,61.64,56,38.36,05036
5,37,173,109,63.01,64,36.99,05037
5,38,210,157,74.76,53,25.24,05038
5,39,250,176,70.4,74,29.6,05039
5,40,242,165,68.18,77,31.82,05040
5,41,164,114,69.51,50,30.49,05041
5,42,242,149,61.57,93,38.43,05042
5,43,255,183,71.76,72,28.24,05043
5,44,275,193,70.18,82,29.82,05044
5,45,151,92,60.93,59,39.07,05045
5,46,210,129,61.43,81,38.57,05046
5,47,216,140,64.81,76,35.19,05047
5,48,143,86,60.14,57,39.86,05048
5,49,54,30,55.56,24,44.44,05049
5,50,204,132,64.71,72,35.29,05050
5,51,173,106,61.27,67,38.73,05051
5,52,29,19,65.52,10,34.48,05052
5,53,239,148,61.92,91,38.08,05053
5,54,329,214,65.05,115,34.95,05054
5,55,227,135,59.47,92,40.53,05055
6,1,297,216,72.73,81,27.27,06001
6,2,315,218,69.21,97,30.79,06002
6,3,262,179,68.32,83,31.68,06003
6,4,195,127,65.13,68,34.87,06004
6,5,135,87,64.44,48,35.56,06005
6,6,215,139,64.65,76,35.35,06006
6,7,280,195,69.64,85,30.36,06007
6,8,306,210,68.63,96,31.37,06008
6,9,246,190,77.24,56,22.76,06009
6,10,327,232,70.95,95,29.05,06010
6,11,242,157,64.88,85,35.12,06011
6,12,201,117,58.21,84,41.79,06012
6,13,231,169,73.16,62,26.84,06013
6,14,277,173,62.45,104,37.55,06014
6,15,171,121,70.76,50,29.24,06015
6,16,304,225,74.01,79,25.99,06016
6,17,317,223,70.35,94,29.65,06017
6,18,163,98,60.12,65,39.88,06018
6,19,307,181,58.96,126,41.04,06019
6,20,246,169,68.7,77,31.3,06020
6,21,243,179,73.66,64,26.34,06021
6,22,243,179,73.66,64,26.34,06022
6,23,205,148,72.2,57,27.8,06023
6,24,263,200,76.05,63,23.95,06024
6,25,194,144,74.23,50,25.77,06025
6,26,299,216,72.24,83,27.76,06026
6,27,354,263,74.29,91,25.71,06027
6,28,453,348,76.82,105,23.18,06028
6,29,301,230,76.41,71,23.59,06029
6,30,237,158,66.67,79,33.33,06030
6,31,301,228,75.75,73,24.25,06031
6,32,292,196,67.12,96,32.88,06032
6,33,304,194,63.82,110,36.18,06033
6,34,250,170,68.0,80,32.0,06034
6,35,252,188,74.6,64,25.4,06035
6,36,142,79,55.63,63,44.37,06036
6,37,307,238,77.52,69,22.48,06037
6,38,271,160,59.04,111,40.96,06038
6,39,239,165,69.04,74,30.96,06039
6,40,156,108,69.23,48,30.77,06040
6,41,293,215,73.38,78,26.62,06041
6,42,138,89,64.49,49,35.51,06042
6,43,271,183,67.53,88,32.47,06043
6,44,261,183,70.11,78,29.89,06044
6,45,206,138,66.99,68,33.01,06045
6,46,251,181,72.11,70,27.89,06046
6,47,300,211,70.33,89,29.67,06047
6,48,254,168,66.14,86,33.86,06048
6,49,245,154,62.86,91,37.14,06049
6,50,284,213,75.0,71,25.0,06050
6,51,190,124,65.26,66,34.74,06051
6,52,174,122,70.11,52,29.89,06052
6,53,238,150,63.03,88,36.97,06053
6,54,274,190,69.34,84,30.66,06054
6,55,232,178,76.72,54,23.28,06055
6,56,187,144,77.01,43,22.99,06056
6,57,155,108,69.68,47,30.32,06057
6,58,279,212,75.99,67,24.01,06058
6,59,227,150,66.08,77,33.92,06059
6,60,170,109,64.12,61,35.88,06060
6,61,171,123,71.93,48,28.07,06061
6,62,224,168,75.0,56,25.0,06062
6,63,268,182,67.91,86,32.09,06063
6,64,297,226,76.09,71,23.91,06064
7,1,281,200,71.17,81,28.83,07001
7,2,284,218,76.76,66,23.24,07002
7,3,169,112,66.27,57,33.73,07003
7,4,207,152,73.43,55,26.57,07004
7,5,196,145,73.98,51,26.02,07005
7,6,207,140,67.63,67,32.37,07006
7,7,162,100,61.73,62,38.27,07007
7,8,87,65,74.71,22,25.29,07008
7,9,222,160,72.07,62,27.93,07009
7,10,153,108,70.59,45,29.41,07010
7,11,230,162,70.43,68,29.57,07011
7,12,181,133,73.48,48,26.52,07012
7,13,148,98,66.22,50,33.78,07013
7,14,264,159,60.23,105,39.77,07014
7,15,132,95,71.97,37,28.03,07015
7,16,160,109,68.13,51,31.88,07016
7,17,140,91,65.0,49,35.0,07017
7,18,153,98,64.05,55,35.95,07018
7,19,355,235,66.2,120,33.8,07019
7,20,113,72,63.72,41,36.28,07020
7,21,211,153,72.51,58,27.49,07021
7,22,190,154,81.05,36,18.95,07022
7,23,169,118,69.82,51,30.18,07023
7,24,234,165,70.51,69,29.49,07024
7,25,274,203,74.09,71,25.91,07025
7,26,277,185,66.79,92,33.21,07026
7,27,299,189,63.21,110,36.79,07027
7,28,230,160,69.57,70,30.43,07028
7,29,145,98,67.59,47,32.41,07029
7,30,257,174,67.7,83,32.3,07030
7,31,238,166,69.75,72,30.25,07031
7,32,178,127,71.35,51,28.65,07032
7,33,184,121,65.76,63,34.24,07033
7,34,223,153,68.61,70,31.39,07034
7,35,128,85,66.41,43,33.59,07035
7,36,265,177,66.79,88,33.21,07036
7,37,122,72,59.02,50,40.98,07037
7,38,171,113,66.08,58,33.92,07038
7,39,205,131,63.9,74,36.1,07039
7,40,262,169,64.5,93,35.5,07040
7,41,183,122,66.67,61,33.33,07041
7,42,324,211,65.12,113,34.88,07042
7,43,233,158,67.81,75,32.19,07043
7,44,312,211,67.63,101,32.37,07044
7,45,314,220,70.06,94,29.94,07045
7,46,87,60,68.97,27,31.03,07046
7,47,185,129,69.73,56,30.27,07047
7,48,89,53,59.55,36,40.45,07048
7,49,133,102,76.69,31,23.31,07049
7,50,148,109,73.65,39,26.35,07050
7,51,196,142,72.45,54,27.55,07051
7,52,181,125,69.06,56,30.94,07052
7,53,201,138,68.66,63,31.34,07053
7,54,97,60,61.86,37,38.14,07054
7,55,181,124,68.51,57,31.49,07055
7,56,206,147,71.36,59,28.64,07056
7,57,173,138,79.77,35,20.23,07057
7,58,272,191,70.22,81,29.78,07058
7,59,131,87,66.41,44,33.59,07059
7,60,127,84,66.14,43,33.86,07060
7,61,200,144,72.0,56,28.0,07061
7,62,202,144,71.29,58,28.71,07062
7,63,192,129,67.19,63,32.81,07063
7,64,216,161,74.54,55,25.46,07064
7,65,221,133,60.18,88,39.82,07065
8,1,259,172,66.41,87,33.59,08001
8,2,144,99,68.75,45,31.25,08002
8,3,321,224,69.78,97,30.22,08003
8,4,234,174,74.36,60,25.64,08004
8,5,290,206,71.03,84,28.97,08005
8,6,290,222,76.55,68,23.45,08006
8,7,216,145,67.13,71,32.87,08007
8,8,268,183,68.28,85,31.72,08008
8,9,313,230,73.48,83,26.52,08009
8,10,334,230,68.86,104,31.14,08010
8,11,223,160,71.75,63,28.25,08011
8,12,238,165,69.33,73,30.67,08012
8,13,184,126,68.48,58,31.52,08013
8,14,186,121,65.05,65,34.95,08014
8,15,195,133,68.21,62,31.79,08015
8,16,261,187,71.65,74,28.35,08016
8,17,226,153,67.7,73,32.3,08017
8,18,170,103,60.59,67,39.41,08018
8,19,323,217,67.18,106,32.82,08019
8,20,201,134,66.67,67,33.33,08020
8,21,182,132,72.53,50,27.47,08021
8,22,222,147,66.22,75,33.78,08022
8,23,230,139,60.43,91,39.57,08023
8,24,270,196,72.59,74,27.41,08024
8,25,255,172,67.45,83,32.55,08025
8,26,181,112,61.88,69,38.12,08026
8,27,278,203,73.02,75,26.98,08027
8,28,210,137,65.24,73,34.76,08028
8,29,297,241,81.14,56,18.86,08029
8,30,207,138,66.67,69,33.33,08030
8,31,174,124,71.26,50,28.74,08031
8,32,378,269,71.16,109,28.84,08032
8,33,258,209,81.01,49,18.99,08033
8,34,319,197,61.76,122,38.24,08034
8,35,300,198,66.0,102,34.0,08035
8,36,246,170,69.11,76,30.89,08036
8,37,259,159,61.39,100,38.61,08037
8,38,265,175,66.04,90,33.96,08038
8,39,262,171,65.27,91,34.73,08039
8,40,237,157,66.24,80,33.76,08040
8,41,190,125,65.79,65,34.21,08041
8,42,257,180,70.04,77,29.96,08042
8,43,176,109,61.93,67,38.07,08043
8,44,202,143,70.79,59,29.21,08044
8,45,176,122,69.32,54,30.68,08045
8,46,200,142,71.0,58,29.0,08046
8,47,249,158,63.45,91,36.55,08047
8,48,218,135,61.93,83,38.07,08048
8,49,286,204,71.33,82,28.67,08049
8,50,239,160,66.95,79,33.05,08050
8,51,316,208,65.82,108,34.18,08051
8,52,273,201,73.63,72,26.37,08052
8,53,260,177,68.08,83,31.92,08053
8,54,233,154,66.09,79,33.91,08054
8,55,217,150,69.12,67,30.88,08055
8,56,262,178,67.94,84,32.06,08056
8,57,222,142,63.96,80,36.04,08057
8,58,233,163,69.96,70,30.04,08058
8,59,166,101,60.84,65,39.16,08059
8,60,200,139,69.5,61,30.5,08060
8,61,215,160,74.42,55,25.58,08061
8,62,221,145,65.61,76,34.39,08062
8,63,251,179,71.31,72,28.69,08063
8,64,226,166,73.45,60,26.55,08064
8,65,166,116,69.88,50,30.12,08065
8,66,394,269,68.27,125,31.73,08066
8,67,127,80,62.99,47,37.01,08067
8,68,143,90,62.94,53,37.06,08068
8,69,156,102,65.38,54,34.62,08069
8,70,303,188,62.05,115,37.95,08070
9,1,280,185,66.07,95,33.93,09001
9,2,260,165,63.46,95,36.54,09002
9,3,120,78,65.0,42,35.0,09003
9,4,235,148,62.98,87,37.02,09004
9,5,262,165,62.98,97,37.02,09005
9,6,283,174,61.48,109,38.52,09006
9,7,229,139,60.7,90,39.3,09007
9,8,263,188,71.48,75,28.52,09008
9,9,275,182,66.18,93,33.82,09009
9,10,246,155,63.01,91,36.99,09010
9,11,192,117,60.94,75,39.06,09011
9,12,243,169,69.55,74,30.45,09012
9,13,269,183,68.03,86,31.97,09013
9,14,347,231,66.57,116,33.43,09014
9,15,251,162,64.54,89,35.46,09015
9,16,200,121,60.5,79,39.5,09016
9,17,251,173,68.92,78,31.08,09017
9,18,271,160,59.04,111,40.96,09018
9,19,303,187,61.72,116,38.28,09019
9,20,282,175,62.06,107,37.94,09020
9,21,254,162,63.78,92,36.22,09021
9,22,294,201,68.37,93,31.63,09022
9,23,195,125,64.1,70,35.9,09023
9,24,126,72,57.14,54,42.86,09024
9,25,165,89,53.94,76,46.06,09025
9,26,153,98,64.05,55,35.95,09026
9,27,225,127,56.44,98,43.56,09027
9,28,115,93,80.87,22,19.13,09028
9,29,205,131,63.9,74,36.1,09029
9,30,240,160,66.67,80,33.33,09030
9,31,233,167,71.67,66,28.33,09031
9,32,256,171,66.8,85,33.2,09032
9,33,154,101,65.58,53,34.42,09033
9,34,196,117,59.69,79,40.31,09034
9,35,307,204,66.45,103,33.55,09035
9,36,281,178,63.35,103,36.65,09036
9,37,182,99,54.4,83,45.6,09037
9,38,249,164,65.86,85,34.14,09038
9,39,305,223,73.11,82,26.89,09039
9,40,275,181,65.82,94,34.18,09040
9,41,289,171,59.17,118,40.83,09041
9,42,87,60,68.97,27,31.03,09042
9,43,145,91,62.76,54,37.24,09043
9,44,189,109,57.67,80,42.33,09044
9,45,230,145,63.04,85,36.96,09045
9,46,214,144,67.29,70,32.71,09046
9,47,286,198,69.23,88,30.77,09047
9,48,276,176,63.77,100,36.23,09048
9,49,172,107,62.21,65,37.79,09049
9,50,249,167,67.07,82,32.93,09050
9,51,141,90,63.83,51,36.17,09051
9,52,285,185,64.91,100,35.09,09052
9,53,128,79,61.72,49,38.28,09053
10,1,163,111,68.1,52,31.9,10001
10,2,119,79,66.39,40,33.61,10002
10,3,159,84,52.83,75,47.17,10003
10,4,148,113,76.35,35,23.65,10004
10,5,128,80,62.5,48,37.5,10005
10,6,195,136,69.74,59,30.26,10006
10,7,61,45,73.77,16,26.23,10007
10,8,133,66,49.62,67,50.38,10008
10,9,133,75,56.39,58,43.61,10009
10,10,150,102,68.0,48,32.0,10010
10,11,176,131,74.43,45,25.57,10011
10,12,142,109,76.76,33,23.24,10012
10,13,137,105,76.64,32,23.36,10013
10,14,182,115,63.19,67,36.81,10014
10,15,85,51,60.0,34,40.0,10015
10,16,146,83,56.85,63,43.15,10016
10,17,118,74,62.71,44,37.29,10017
10,18,169,139,82.25,30,17.75,10018
10,19,180,118,65.56,62,34.44,10019
10,20,144,96,66.67,48,33.33,10020
10,21,126,60,47.62,66,52.38,10021
10,22,127,94,74.02,33,25.98,10022
10,23,147,126,85.71,21,14.29,10023
10,24,128,61,47.66,67,52.34,10024
10,25,236,184,77.97,52,22.03,10025
10,26,143,116,81.12,27,18.88,10026
10,27,201,141,70.15,60,29.85,10027
10,28,125,88,70.4,37,29.6,10028
10,29,169,125,73.96,44,26.04,10029
10,30,204,171,83.82,33,16.18,10030
10,31,165,119,72.12,46,27.88,10031
10,32,191,142,74.35,49,25.65,10032
10,33,157,117,74.52,40,25.48,10033
10,34,195,164,84.1,31,15.9,10034
10,35,157,134,85.35,23,14.65,10035
10,36,198,152,76.77,46,23.23,10036
10,37,155,121,78.06,34,21.94,10037
10,38,200,146,73.0,54,27.0,10038
10,39,173,128,73.99,45,26.01,10039
10,40,139,120,86.33,19,13.67,10040
10,41,192,130,67.71,62,32.29,10041
10,42,148,92,62.16,56,37.84,10042
10,43,88,65,73.86,23,26.14,10043
10,44,193,154,79.79,39,20.21,10044
10,45,110,93,84.55,17,15.45,10045
10,46,160,125,78.13,35,21.88,10046
10,47,149,112,75.17,37,24.83,10047
10,48,166,113,68.07,53,31.93,10048
11,1,213,123,57.75,90,42.25,11001
11,2,183,128,69.95,55,30.05,11002
11,3,163,125,76.69,38,23.31,11003
11,4,213,133,62.44,80,37.56,11004
11,5,129,85,65.89,44,34.11,11005
11,6,272,175,64.34,97,35.66,11006
11,7,174,119,68.39,55,31.61,11007
11,8,189,120,63.49,69,36.51,11008
11,9,142,86,60.56,56,39.44,11009
11,10,133,89,66.92,44,33.08,11010
11,11,265,156,58.87,109,41.13,11011
11,12,212,118,55.66,94,44.34,11012
11,13,180,130,72.22,50,27.78,11013
11,14,155,92,59.35,63,40.65,11014
11,15,176,110,62.5,66,37.5,11015
11,16,217,152,70.05,65,29.95,11016
11,17,261,184,70.5,77,29.5,11017
11,18,120,70,58.33,50,41.67,11018
11,19,154,98,63.64,56,36.36,11019
11,20,158,109,68.99,49,31.01,11020
11,21,199,127,63.82,72,36.18,11021
11,22,165,119,72.12,46,27.88,11022
11,23,168,103,61.31,65,38.69,11023
11,24,364,261,71.7,103,28.3,11024
11,25,178,121,67.98,57,32.02,11025
11,26,300,228,76.0,72,24.0,11026
11,27,141,90,63.83,51,36.17,11027
11,28,158,89,56.33,69,43.67,11028
11,29,202,129,63.86,73,36.14,11029
11,30,171,118,69.01,53,30.99,11030
11,31,126,74,58.73,52,41.27,11031
11,32,155,89,57.42,66,42.58,11032
11,33,128,91,71.09,37,28.91,11033
11,34,110,81,73.64,29,26.36,11034
11,35,282,187,66.31,95,33.69,11035
11,36,52,38,73.08,14,26.92,11036
11,37,235,176,74.89,59,25.11,11037
11,38,303,197,65.02,106,34.98,11038
11,39,256,174,67.97,82,32.03,11039
11,40,123,82,66.67,41,33.33,11040
11,41,119,86,72.27,33,27.73,11041
11,42,158,101,63.92,57,36.08,11042
11,43,197,89,45.18,108,54.82,11043
11,44,194,115,59.28,79,40.72,11044
11,45,79,45,56.96,34,43.04,11045
11,46,117,96,82.05,21,17.95,11046
11,47,166,92,55.42,74,44.58,11047
11,48,76,32,42.11,44,57.89,11048
11,49,181,110,60.77,71,39.23,11049
11,50,113,68,60.18,45,39.82,11050
12,1,90,73,81.11,17,18.89,12001
12,2,130,102,78.46,28,21.54,12002
12,3,128,98,76.56,30,23.44,12003
12,4,108,82,75.93,26,24.07,12004
12,5,130,103,79.23,27,20.77,12005
12,6,120,89,74.17,31,25.83,12006
12,7,163,143,87.73,20,12.27,12007
12,8,199,148,74.37,51,25.63,12008
12,9,120,97,80.83,23,19.17,12009
12,10,155,115,74.19,40,25.81,12010
12,11,208,176,84.62,32,15.38,12011
12,12,127,98,77.17,29,22.83,12012
12,13,175,118,67.43,57,32.57,12013
12,14,144,109,75.69,35,24.31,12014
12,15,121,109,90.08,12,9.92,12015
12,16,133,107,80.45,26,19.55,12016
12,17,153,123,80.39,30,19.61,12017
12,18,184,138,75.0,46,25.0,12018
12,19,185,154,83.24,31,16.76,12019
12,20,145,112,77.24,33,22.76,12020
12,21,152,108,71.05,44,28.95,12021
12,22,117,93,79.49,24,20.51,12022
12,23,155,113,72.9,42,27.1,12023
12,24,179,135,75.42,44,24.58,12024
13,1,229,135,58.95,94,41.05,13001
13,2,194,156,80.41,38,19.59,13002
13,3,253,185,73.12,68,26.88,13003
13,4,298,144,48.32,154,51.68,13004
13,5,283,194,68.55,89,31.45,13005
13,6,228,138,60.53,90,39.47,13006
13,7,213,143,67.14,70,32.86,13007
13,8,241,137,56.85,104,43.15,13008
13,9,279,186,66.67,93,33.33,13009
13,10,201,122,60.7,79,39.3,13010
13,11,238,156,65.55,82,34.45,13011
13,12,198,125,63.13,73,36.87,13012
13,13,258,221,85.66,37,14.34,13013
13,14,223,162,72.65,61,27.35,13014
13,15,351,257,73.22,94,26.78,13015
13,16,286,208,72.73,78,27.27,13016
13,17,212,129,60.85,83,39.15,13017
13,18,181,137,75.69,44,24.31,13018
13,19,323,268,82.97,55,17.03,13019
13,20,232,180,77.59,52,22.41,13020
13,21,266,179,67.29,87,32.71,13021
13,22,157,107,68.15,50,31.85,13022
13,23,218,154,70.64,64,29.36,13023
