ward,precinct,total,John G. Mulroe,John G. Mulroe Percent,precinct_id
45,14,291,291,100.0,45014
45,15,296,296,100.0,45015
45,16,176,176,100.0,45016
45,17,206,206,100.0,45017
45,18,188,188,100.0,45018
45,19,90,90,100.0,45019
45,20,119,119,100.0,45020
45,21,151,151,100.0,45021
45,22,129,129,100.0,45022
45,23,139,139,100.0,45023
45,24,127,127,100.0,45024
45,25,118,118,100.0,45025
45,26,77,77,100.0,45026
45,27,175,175,100.0,45027
45,28,114,114,100.0,45028
45,29,95,95,100.0,45029
45,30,166,166,100.0,45030
45,31,169,169,100.0,45031
45,32,161,161,100.0,45032
45,33,148,148,100.0,45033
45,34,211,211,100.0,45034
45,35,214,214,100.0,45035
45,36,199,199,100.0,45036
45,37,166,166,100.0,45037
45,38,179,179,100.0,45038
45,39,161,161,100.0,45039
45,40,149,149,100.0,45040
45,41,165,165,100.0,45041
45,42,203,203,100.0,45042
45,43,164,164,100.0,45043
45,44,209,209,100.0,45044
45,45,106,106,100.0,45045
45,46,109,109,100.0,45046
45,47,106,106,100.0,45047
45,48,119,119,100.0,45048
47,1,171,171,100.0,47001
47,2,245,245,100.0,47002
47,3,212,212,100.0,47003
47,4,280,280,100.0,47004
47,5,259,259,100.0,47005
47,6,266,266,100.0,47006
47,7,240,240,100.0,47007
47,8,265,265,100.0,47008
47,9,24,24,100.0,47009
47,10,360,360,100.0,47010
47,12,267,267,100.0,47012
47,13,215,215,100.0,47013
47,14,231,231,100.0,47014
47,16,268,268,100.0,47016
47,17,272,272,100.0,47017
47,20,266,266,100.0,47020
47,21,270,270,100.0,47021
47,22,306,306,100.0,47022
47,25,276,276,100.0,47025
47,26,354,354,100.0,47026
47,27,226,226,100.0,47027
47,28,252,252,100.0,47028
47,29,271,271,100.0,47029
47,30,328,328,100.0,47030
47,31,291,291,100.0,47031
47,32,356,356,100.0,47032
47,33,131,131,100.0,47033
47,34,323,323,100.0,47034
47,35,271,271,100.0,47035
47,36,318,318,100.0,47036
47,37,260,260,100.0,47037
47,38,250,250,100.0,47038
47,39,272,272,100.0,47039
47,40,154,154,100.0,47040
47,42,170,170,100.0,47042
47,43,218,218,100.0,47043
47,45,267,267,100.0,47045
47,46,244,244,100.0,47046
47,47,274,274,100.0,47047
47,48,28,28,100.0,47048
50,23,86,86,100.0,50023
50,24,15,15,100.0,50024
50,26,13,13,100.0,50026
50,30,32,32,100.0,50030
50,31,40,40,100.0,50031
