ward,precinct,total,Roberto Maldonado,Roberto Maldonado Percent,precinct_id
30,29,35,35,100.0,30029
30,31,66,66,100.0,30031
30,32,34,34,100.0,30032
30,33,87,87,100.0,30033
30,36,52,52,100.0,30036
30,41,89,89,100.0,30041
31,1,47,47,100.0,31001
31,2,61,61,100.0,31002
31,4,66,66,100.0,31004
31,5,74,74,100.0,31005
31,6,79,79,100.0,31006
31,7,70,70,100.0,31007
31,10,38,38,100.0,31010
31,11,46,46,100.0,31011
31,12,83,83,100.0,31012
31,13,49,49,100.0,31013
31,14,40,40,100.0,31014
31,16,39,39,100.0,31016
31,17,64,64,100.0,31017
31,18,35,35,100.0,31018
31,20,57,57,100.0,31020
31,21,82,82,100.0,31021
31,22,40,40,100.0,31022
31,23,46,46,100.0,31023
31,24,67,67,100.0,31024
31,25,75,75,100.0,31025
31,26,3,3,100.0,31026
31,27,65,65,100.0,31027
31,30,82,82,100.0,31030
31,31,93,93,100.0,31031
31,33,60,60,100.0,31033
31,34,49,49,100.0,31034
31,36,98,98,100.0,31036
31,37,73,73,100.0,31037
31,39,55,55,100.0,31039
31,40,60,60,100.0,31040
31,42,85,85,100.0,31042
31,44,55,55,100.0,31044
32,19,82,82,100.0,32019
33,1,131,131,100.0,33001
33,2,152,152,100.0,33002
33,3,133,133,100.0,33003
33,4,125,125,100.0,33004
33,5,24,24,100.0,33005
33,6,164,164,100.0,33006
33,7,211,211,100.0,33007
33,8,126,126,100.0,33008
33,9,149,149,100.0,33009
33,10,216,216,100.0,33010
33,11,131,131,100.0,33011
33,12,174,174,100.0,33012
33,13,209,209,100.0,33013
33,15,133,133,100.0,33015
33,16,124,124,100.0,33016
33,17,165,165,100.0,33017
33,19,163,163,100.0,33019
33,20,129,129,100.0,33020
33,21,167,167,100.0,33021
33,22,199,199,100.0,33022
33,23,150,150,100.0,33023
33,24,182,182,100.0,33024
33,25,158,158,100.0,33025
33,26,110,110,100.0,33026
33,27,80,80,100.0,33027
35,1,114,114,100.0,35001
35,2,83,83,100.0,35002
35,3,69,69,100.0,35003
35,4,124,124,100.0,35004
35,5,114,114,100.0,35005
35,6,119,119,100.0,35006
35,7,119,119,100.0,35007
35,8,85,85,100.0,35008
35,9,102,102,100.0,35009
35,10,103,103,100.0,35010
35,11,88,88,100.0,35011
35,12,126,126,100.0,35012
35,13,25,25,100.0,35013
35,14,145,145,100.0,35014
35,15,104,104,100.0,35015
35,16,114,114,100.0,35016
35,17,133,133,100.0,35017
35,18,116,116,100.0,35018
35,19,107,107,100.0,35019
35,20,104,104,100.0,35020
35,21,100,100,100.0,35021
35,22,32,32,100.0,35022
35,23,74,74,100.0,35023
35,24,65,65,100.0,35024
35,25,81,81,100.0,35025
35,26,122,122,100.0,35026
35,27,131,131,100.0,35027
35,28,106,106,100.0,35028
35,29,113,113,100.0,35029
35,30,134,134,100.0,35030
35,31,53,53,100.0,35031
35,32,91,91,100.0,35032
35,33,107,107,100.0,35033
35,34,95,95,100.0,35034
35,35,118,118,100.0,35035
35,36,69,69,100.0,35036
37,1,88,88,100.0,37001
37,2,41,41,100.0,37002
37,11,36,36,100.0,37011
37,19,109,109,100.0,37019
37,39,127,127,100.0,37039
37,42,76,76,100.0,37042
39,13,51,51,100.0,39013
39,23,62,62,100.0,39023
39,24,78,78,100.0,39024
