ward,precinct,total,"Emil Jones, Jr.","Emil Jones, Jr. Percent",precinct_id
10,45,54,54,100.0,10045
10,46,95,95,100.0,10046
10,47,94,94,100.0,10047
10,48,102,102,100.0,10048
10,49,97,97,100.0,10049
34,1,339,339,100.0,34001
34,2,242,242,100.0,34002
34,3,239,239,100.0,34003
34,4,196,196,100.0,34004
34,5,197,197,100.0,34005
34,6,121,121,100.0,34006
34,7,307,307,100.0,34007
34,9,156,156,100.0,34009
34,10,219,219,100.0,34010
34,11,170,170,100.0,34011
34,12,219,219,100.0,34012
34,14,178,178,100.0,34014
34,15,171,171,100.0,34015
34,16,131,131,100.0,34016
34,17,170,170,100.0,34017
34,18,189,189,100.0,34018
34,20,255,255,100.0,34020
34,21,273,273,100.0,34021
34,22,271,271,100.0,34022
34,23,191,191,100.0,34023
34,24,192,192,100.0,34024
34,25,239,239,100.0,34025
34,26,140,140,100.0,34026
34,27,151,151,100.0,34027
34,28,142,142,100.0,34028
34,29,210,210,100.0,34029
34,30,284,284,100.0,34030
34,31,82,82,100.0,34031
34,32,290,290,100.0,34032
34,34,295,295,100.0,34034
34,35,244,244,100.0,34035
34,36,235,235,100.0,34036
34,37,174,174,100.0,34037
34,38,155,155,100.0,34038
34,39,138,138,100.0,34039
34,40,211,211,100.0,34040
34,41,145,145,100.0,34041
34,42,256,256,100.0,34042
34,43,292,292,100.0,34043
34,44,278,278,100.0,34044
34,46,185,185,100.0,34046
34,48,288,288,100.0,34048
34,49,316,316,100.0,34049
34,50,189,189,100.0,34050
34,52,141,141,100.0,34052
34,53,154,154,100.0,34053
34,54,171,171,100.0,34054
34,56,92,92,100.0,34056
34,59,185,185,100.0,34059
