ward,precinct,total,Roberto Maldonado,Roberto Maldonado Percent,precinct_id
31,13,125,125,100.0,31013
31,14,122,122,100.0,31014
31,16,83,83,100.0,31016
31,17,140,140,100.0,31017
31,18,91,91,100.0,31018
31,20,128,128,100.0,31020
31,21,165,165,100.0,31021
31,22,95,95,100.0,31022
31,23,100,100,100.0,31023
31,24,118,118,100.0,31024
31,25,160,160,100.0,31025
31,26,3,3,100.0,31026
31,27,128,128,100.0,31027
31,30,169,169,100.0,31030
31,31,192,192,100.0,31031
31,33,146,146,100.0,31033
31,34,120,120,100.0,31034
31,36,167,167,100.0,31036
31,37,153,153,100.0,31037
31,39,105,105,100.0,31039
31,40,116,116,100.0,31040
31,42,175,175,100.0,31042
31,44,132,132,100.0,31044
32,19,244,244,100.0,32019
33,1,302,302,100.0,33001
33,2,285,285,100.0,33002
33,3,291,291,100.0,33003
33,4,332,332,100.0,33004
33,5,181,181,100.0,33005
33,6,334,334,100.0,33006
33,7,353,353,100.0,33007
33,8,277,277,100.0,33008
33,9,284,284,100.0,33009
33,10,326,326,100.0,33010
33,11,271,271,100.0,33011
33,12,321,321,100.0,33012
33,13,287,287,100.0,33013
33,15,289,289,100.0,33015
33,16,262,262,100.0,33016
33,17,336,336,100.0,33017
33,19,347,347,100.0,33019
33,20,300,300,100.0,33020
33,21,301,301,100.0,33021
33,22,334,334,100.0,33022
33,23,311,311,100.0,33023
33,24,352,352,100.0,33024
33,25,362,362,100.0,33025
33,26,275,275,100.0,33026
33,27,260,260,100.0,33027
35,1,257,257,100.0,35001
35,2,219,219,100.0,35002
35,3,163,163,100.0,35003
35,4,259,259,100.0,35004
35,5,206,206,100.0,35005
35,6,214,214,100.0,35006
35,7,280,280,100.0,35007
35,8,232,232,100.0,35008
35,9,219,219,100.0,35009
35,10,252,252,100.0,35010
35,11,208,208,100.0,35011
35,12,258,258,100.0,35012
35,13,73,73,100.0,35013
35,14,258,258,100.0,35014
35,15,204,204,100.0,35015
35,16,230,230,100.0,35016
35,17,243,243,100.0,35017
35,18,256,256,100.0,35018
35,19,212,212,100.0,35019
35,20,193,193,100.0,35020
35,21,199,199,100.0,35021
35,22,86,86,100.0,35022
35,23,131,131,100.0,35023
35,24,148,148,100.0,35024
35,25,203,203,100.0,35025
35,26,257,257,100.0,35026
35,27,257,257,100.0,35027
35,28,255,255,100.0,35028
35,29,279,279,100.0,35029
35,30,301,301,100.0,35030
35,31,117,117,100.0,35031
35,32,144,144,100.0,35032
35,33,215,215,100.0,35033
35,34,207,207,100.0,35034
35,35,238,238,100.0,35035
35,36,157,157,100.0,35036
37,1,183,183,100.0,37001
37,2,42,42,100.0,37002
37,11,91,91,100.0,37011
37,19,192,192,100.0,37019
37,39,208,208,100.0,37039
37,42,166,166,100.0,37042
39,13,127,127,100.0,39013
39,23,108,108,100.0,39023
39,24,235,235,100.0,39024
