ward,precinct,total,Orville E. Hambright,Orville E. Hambright Percent,precinct_id
7,39,192,192,100.0,07039
7,41,167,167,100.0,07041
7,42,340,340,100.0,07042
7,43,230,230,100.0,07043
7,46,91,91,100.0,07046
7,47,196,196,100.0,07047
7,48,100,100,100.0,07048
7,49,126,126,100.0,07049
7,51,190,190,100.0,07051
7,52,186,186,100.0,07052
7,53,201,201,100.0,07053
7,54,100,100,100.0,07054
7,55,186,186,100.0,07055
7,56,190,190,100.0,07056
7,57,165,165,100.0,07057
7,58,303,303,100.0,07058
7,59,135,135,100.0,07059
7,60,152,152,100.0,07060
7,61,208,208,100.0,07061
7,62,204,204,100.0,07062
7,63,194,194,100.0,07063
7,65,230,230,100.0,07065
8,1,279,279,100.0,08001
8,2,143,143,100.0,08002
8,3,313,313,100.0,08003
8,4,241,241,100.0,08004
8,5,300,300,100.0,08005
8,6,276,276,100.0,08006
8,7,195,195,100.0,08007
8,8,283,283,100.0,08008
8,9,291,291,100.0,08009
8,10,323,323,100.0,08010
8,11,229,229,100.0,08011
8,12,224,224,100.0,08012
8,13,198,198,100.0,08013
8,14,193,193,100.0,08014
8,15,212,212,100.0,08015
8,16,272,272,100.0,08016
8,17,241,241,100.0,08017
8,18,161,161,100.0,08018
8,19,319,319,100.0,08019
8,20,190,190,100.0,08020
8,21,188,188,100.0,08021
8,22,212,212,100.0,08022
8,23,224,224,100.0,08023
8,24,279,279,100.0,08024
8,25,251,251,100.0,08025
8,26,160,160,100.0,08026
8,27,285,285,100.0,08027
8,28,209,209,100.0,08028
8,29,268,268,100.0,08029
8,30,209,209,100.0,08030
8,31,185,185,100.0,08031
8,32,348,348,100.0,08032
8,33,234,234,100.0,08033
8,34,329,329,100.0,08034
8,35,294,294,100.0,08035
8,36,244,244,100.0,08036
8,37,254,254,100.0,08037
8,38,241,241,100.0,08038
8,39,275,275,100.0,08039
8,40,235,235,100.0,08040
8,41,207,207,100.0,08041
8,42,255,255,100.0,08042
8,43,202,202,100.0,08043
8,44,190,190,100.0,08044
8,45,196,196,100.0,08045
8,46,213,213,100.0,08046
8,47,245,245,100.0,08047
8,48,197,197,100.0,08048
8,49,294,294,100.0,08049
8,50,261,261,100.0,08050
8,51,287,287,100.0,08051
8,52,259,259,100.0,08052
8,53,278,278,100.0,08053
8,54,264,264,100.0,08054
8,55,221,221,100.0,08055
8,56,269,269,100.0,08056
8,58,257,257,100.0,08058
8,59,162,162,100.0,08059
8,60,199,199,100.0,08060
8,61,215,215,100.0,08061
8,62,205,205,100.0,08062
8,63,297,297,100.0,08063
8,64,224,224,100.0,08064
8,65,177,177,100.0,08065
8,66,383,383,100.0,08066
8,67,124,124,100.0,08067
8,68,152,152,100.0,08068
8,69,16,16,100.0,08069
9,13,240,240,100.0,09013
9,35,287,287,100.0,09035
9,36,291,291,100.0,09036
9,47,298,298,100.0,09047
9,52,281,281,100.0,09052
10,1,157,157,100.0,10001
10,2,126,126,100.0,10002
10,3,195,195,100.0,10003
10,4,156,156,100.0,10004
10,5,153,153,100.0,10005
10,6,204,204,100.0,10006
10,7,53,53,100.0,10007
10,8,148,148,100.0,10008
10,9,166,166,100.0,10009
10,10,169,169,100.0,10010
10,11,179,179,100.0,10011
10,12,155,155,100.0,10012
10,13,144,144,100.0,10013
10,14,170,170,100.0,10014
10,15,77,77,100.0,10015
10,16,170,170,100.0,10016
10,17,122,122,100.0,10017
10,18,178,178,100.0,10018
10,19,191,191,100.0,10019
10,20,142,142,100.0,10020
10,21,129,129,100.0,10021
10,22,34,34,100.0,10022
10,23,161,161,100.0,10023
10,24,149,149,100.0,10024
10,25,230,230,100.0,10025
10,26,156,156,100.0,10026
10,27,205,205,100.0,10027
10,28,133,133,100.0,10028
10,29,179,179,100.0,10029
10,30,203,203,100.0,10030
10,31,183,183,100.0,10031
10,32,179,179,100.0,10032
10,33,159,159,100.0,10033
10,34,164,164,100.0,10034
10,35,172,172,100.0,10035
10,36,205,205,100.0,10036
10,37,167,167,100.0,10037
10,38,186,186,100.0,10038
10,39,157,157,100.0,10039
10,40,129,129,100.0,10040
10,41,218,218,100.0,10041
10,42,166,166,100.0,10042
10,43,92,92,100.0,10043
10,44,164,164,100.0,10044
10,45,107,107,100.0,10045
10,46,190,190,100.0,10046
10,47,141,141,100.0,10047
10,48,164,164,100.0,10048
10,49,154,154,100.0,10049
17,2,154,154,100.0,17002
17,3,141,141,100.0,17003
17,4,275,275,100.0,17004
17,5,172,172,100.0,17005
17,7,215,215,100.0,17007
17,9,135,135,100.0,17009
17,10,185,185,100.0,17010
17,12,229,229,100.0,17012
17,15,177,177,100.0,17015
17,18,219,219,100.0,17018
17,20,188,188,100.0,17020
17,21,271,271,100.0,17021
17,22,207,207,100.0,17022
17,23,157,157,100.0,17023
17,24,193,193,100.0,17024
17,25,120,120,100.0,17025
17,26,242,242,100.0,17026
17,27,263,263,100.0,17027
17,28,167,167,100.0,17028
17,29,209,209,100.0,17029
17,30,212,212,100.0,17030
17,31,192,192,100.0,17031
17,33,162,162,100.0,17033
17,35,116,116,100.0,17035
17,37,195,195,100.0,17037
17,38,185,185,100.0,17038
17,44,151,151,100.0,17044
17,47,109,109,100.0,17047
17,48,206,206,100.0,17048
17,50,176,176,100.0,17050
17,51,214,214,100.0,17051
17,52,229,229,100.0,17052
17,53,177,177,100.0,17053
17,54,224,224,100.0,17054
17,55,171,171,100.0,17055
18,20,250,250,100.0,18020
18,30,212,212,100.0,18030
18,38,288,288,100.0,18038
18,51,325,325,100.0,18051
18,52,276,276,100.0,18052
18,53,184,184,100.0,18053
18,60,298,298,100.0,18060
18,61,216,216,100.0,18061
21,2,240,240,100.0,21002
21,15,221,221,100.0,21015
21,16,239,239,100.0,21016
21,29,112,112,100.0,21029
21,32,219,219,100.0,21032
21,34,277,277,100.0,21034
21,35,32,32,100.0,21035
21,36,209,209,100.0,21036
21,37,160,160,100.0,21037
21,39,189,189,100.0,21039
21,41,195,195,100.0,21041
21,52,247,247,100.0,21052
21,57,225,225,100.0,21057
21,62,263,263,100.0,21062
21,65,314,314,100.0,21065
21,67,248,248,100.0,21067
21,68,99,99,100.0,21068
21,69,198,198,100.0,21069
21,70,227,227,100.0,21070
21,71,54,54,100.0,21071
21,72,216,216,100.0,21072
21,73,306,306,100.0,21073
21,74,95,95,100.0,21074
