ward,precinct,total,Carl Anthony Walker,Carl Anthony Walker Percent,precinct_id
21,34,287,287,100.0,21034
21,35,34,34,100.0,21035
21,36,213,213,100.0,21036
21,37,164,164,100.0,21037
21,39,197,197,100.0,21039
21,41,202,202,100.0,21041
21,52,251,251,100.0,21052
21,57,228,228,100.0,21057
21,62,272,272,100.0,21062
21,65,321,321,100.0,21065
21,67,255,255,100.0,21067
21,68,100,100,100.0,21068
21,69,205,205,100.0,21069
21,70,234,234,100.0,21070
21,71,54,54,100.0,21071
21,72,224,224,100.0,21072
21,73,315,315,100.0,21073
21,74,102,102,100.0,21074
