ward,precinct,total,Robert D. Kuzas,Robert D. Kuzas Percent,precinct_id
37,25,217,217,100.0,37025
37,27,224,224,100.0,37027
37,28,153,153,100.0,37028
37,29,212,212,100.0,37029
37,30,222,222,100.0,37030
37,31,229,229,100.0,37031
37,32,199,199,100.0,37032
37,33,230,230,100.0,37033
37,34,197,197,100.0,37034
37,35,234,234,100.0,37035
37,36,229,229,100.0,37036
37,37,257,257,100.0,37037
37,38,216,216,100.0,37038
37,39,197,197,100.0,37039
37,40,217,217,100.0,37040
37,41,163,163,100.0,37041
42,3,191,191,100.0,42003
42,12,142,142,100.0,42012
42,16,215,215,100.0,42016
42,18,207,207,100.0,42018
42,21,176,176,100.0,42021
42,36,262,262,100.0,42036
42,41,226,226,100.0,42041
