ward,precinct,total,Mary Jane Theis,Mary Jane Theis Percent,James Gerard Riley,James Gerard Riley Percent,precinct_id
3,12,543,528,97.24,15,2.76,03012
3,13,604,471,77.98,133,22.02,03013
3,14,504,416,82.54,88,17.46,03014
3,15,536,531,99.07,5,0.93,03015
3,16,534,520,97.38,14,2.62,03016
3,17,474,417,87.97,57,12.03,03017
3,18,735,709,96.46,26,3.54,03018
3,19,528,375,71.02,153,28.98,03019
3,20,475,467,98.32,8,1.68,03020
3,21,587,465,79.22,122,20.78,03021
3,22,589,443,75.21,146,24.79,03022
3,23,529,505,95.46,24,4.54,03023
3,24,566,546,96.47,20,3.53,03024
3,25,652,448,68.71,204,31.29,03025
3,26,607,466,76.77,141,23.23,03026
3,27,506,359,70.95,147,29.05,03027
3,28,389,370,95.12,19,4.88,03028
3,29,545,528,96.88,17,3.12,03029
3,30,525,515,98.1,10,1.9,03030
3,31,603,589,97.68,14,2.32,03031
3,32,566,469,82.86,97,17.14,03032
3,33,603,479,79.44,124,20.56,03033
3,34,590,483,81.86,107,18.14,03034
3,35,298,290,97.32,8,2.68,03035
3,36,383,373,97.39,10,2.61,03036
3,37,546,532,97.44,14,2.56,03037
3,38,446,434,97.31,12,2.69,03038
3,39,540,415,76.85,125,23.15,03039
3,40,591,529,89.51,62,10.49,03040
3,41,403,358,88.83,45,11.17,03041
4,1,681,628,92.22,53,7.78,04001
4,2,612,461,75.33,151,24.67,04002
4,3,506,491,97.04,15,2.96,04003
4,4,602,584,97.01,18,2.99,04004
4,5,526,502,95.44,24,4.56,04005
4,6,645,602,93.33,43,6.67,04006
4,7,578,551,95.33,27,4.67,04007
4,8,625,612,97.92,13,2.08,04008
4,9,627,613,97.77,14,2.23,04009
4,10,625,602,96.32,23,3.68,04010
4,11,633,614,97.0,19,3.0,04011
4,12,622,602,96.78,20,3.22,04012
4,13,449,371,82.63,78,17.37,04013
4,14,572,545,95.28,27,4.72,04014
4,15,598,577,96.49,21,3.51,04015
4,16,584,460,78.77,124,21.23,04016
4,17,633,535,84.52,98,15.48,04017
4,18,511,494,96.67,17,3.33,04018
4,19,643,624,97.05,19,2.95,04019
4,20,508,438,86.22,70,13.78,04020
4,21,669,562,84.01,107,15.99,04021
4,22,555,527,94.95,28,5.05,04022
4,23,705,655,92.91,50,7.09,04023
4,24,551,517,93.83,34,6.17,04024
4,25,555,423,76.22,132,23.78,04025
4,26,534,516,96.63,18,3.37,04026
4,27,578,547,94.64,31,5.36,04027
4,28,666,631,94.74,35,5.26,04028
4,29,515,498,96.7,17,3.3,04029
4,30,692,668,96.53,24,3.47,04030
4,31,543,517,95.21,26,4.79,04031
4,32,588,571,97.11,17,2.89,04032
4,33,615,583,94.8,32,5.2,04033
4,34,579,542,93.61,37,6.39,04034
4,35,745,714,95.84,31,4.16,04035
4,36,636,617,97.01,19,2.99,04036
4,37,543,423,77.9,120,22.1,04037
4,38,636,620,97.48,16,2.52,04038
5,1,492,478,97.15,14,2.85,05001
5,2,495,481,97.17,14,2.83,05002
5,3,475,453,95.37,22,4.63,05003
5,4,587,565,96.25,22,3.75,05004
5,5,572,560,97.9,12,2.1,05005
5,6,427,413,96.72,14,3.28,05006
5,7,528,481,91.1,47,8.9,05007
5,8,485,436,89.9,49,10.1,05008
5,9,576,554,96.18,22,3.82,05009
5,10,540,530,98.15,10,1.85,05010
5,11,518,473,91.31,45,8.69,05011
5,12,446,431,96.64,15,3.36,05012
5,13,527,509,96.58,18,3.42,05013
5,14,431,421,97.68,10,2.32,05014
5,15,488,465,95.29,23,4.71,05015
5,16,513,501,97.66,12,2.34,05016
5,17,512,503,98.24,9,1.76,05017
5,18,418,400,95.69,18,4.31,05018
5,19,469,424,90.41,45,9.59,05019
5,20,581,551,94.84,30,5.16,05020
5,21,466,434,93.13,32,6.87,05021
5,22,549,506,92.17,43,7.83,05022
5,23,661,605,91.53,56,8.47,05023
5,24,498,469,94.18,29,5.82,05024
5,25,493,473,95.94,20,4.06,05025
5,26,537,516,96.09,21,3.91,05026
5,27,466,406,87.12,60,12.88,05027
5,28,553,534,96.56,19,3.44,05028
5,29,644,628,97.52,16,2.48,05029
5,30,528,510,96.59,18,3.41,05030
5,31,498,488,97.99,10,2.01,05031
5,32,563,542,96.27,21,3.73,05032
5,33,556,533,95.86,23,4.14,05033
5,34,565,515,91.15,50,8.85,05034
5,35,522,486,93.1,36,6.9,05035
5,36,517,493,95.36,24,4.64,05036
5,37,770,719,93.38,51,6.62,05037
5,38,596,580,97.32,16,2.68,05038
5,39,429,391,91.14,38,8.86,05039
5,40,526,510,96.96,16,3.04,05040
6,1,528,514,97.35,14,2.65,06001
6,2,491,477,97.15,14,2.85,06002
6,3,504,491,97.42,13,2.58,06003
6,4,457,448,98.03,9,1.97,06004
6,5,447,435,97.32,12,2.68,06005
6,6,473,461,97.46,12,2.54,06006
6,7,501,487,97.21,14,2.79,06007
6,8,494,478,96.76,16,3.24,06008
6,9,535,523,97.76,12,2.24,06009
6,10,400,390,97.5,10,2.5,06010
6,11,539,530,98.33,9,1.67,06011
6,12,525,511,97.33,14,2.67,06012
6,13,375,363,96.8,12,3.2,06013
6,14,486,471,96.91,15,3.09,06014
6,15,544,526,96.69,18,3.31,06015
6,16,458,446,97.38,12,2.62,06016
6,17,428,413,96.5,15,3.5,06017
6,18,347,333,95.97,14,4.03,06018
6,19,491,477,97.15,14,2.85,06019
6,20,391,379,96.93,12,3.07,06020
6,21,408,393,96.32,15,3.68,06021
6,22,412,396,96.12,16,3.88,06022
6,23,401,396,98.75,5,1.25,06023
6,24,383,361,94.26,22,5.74,06024
6,25,347,334,96.25,13,3.75,06025
6,26,407,400,98.28,7,1.72,06026
6,27,355,348,98.03,7,1.97,06027
6,28,347,340,97.98,7,2.02,06028
6,29,513,502,97.86,11,2.14,06029
6,30,523,502,95.98,21,4.02,06030
6,31,472,458,97.03,14,2.97,06031
6,32,490,474,96.73,16,3.27,06032
6,33,478,457,95.61,21,4.39,06033
6,34,479,468,97.7,11,2.3,06034
6,35,455,441,96.92,14,3.08,06035
6,36,495,490,98.99,5,1.01,06036
6,37,476,458,96.22,18,3.78,06037
6,38,475,456,96.0,19,4.0,06038
6,39,490,483,98.57,7,1.43,06039
6,40,481,470,97.71,11,2.29,06040
6,41,518,508,98.07,10,1.93,06041
6,42,515,498,96.7,17,3.3,06042
6,43,458,451,98.47,7,1.53,06043
6,44,480,460,95.83,20,4.17,06044
6,45,507,495,97.63,12,2.37,06045
6,46,451,443,98.23,8,1.77,06046
6,47,417,407,97.6,10,2.4,06047
6,48,469,457,97.44,12,2.56,06048
7,1,441,424,96.15,17,3.85,07001
7,2,479,464,96.87,15,3.13,07002
7,3,460,443,96.3,17,3.7,07003
7,4,522,506,96.93,16,3.07,07004
7,5,439,414,94.31,25,5.69,07005
7,6,655,629,96.03,26,3.97,07006
7,7,487,477,97.95,10,2.05,07007
7,8,402,384,95.52,18,4.48,07008
7,9,749,726,96.93,23,3.07,07009
7,10,458,441,96.29,17,3.71,07010
7,11,540,526,97.41,14,2.59,07011
7,12,556,540,97.12,16,2.88,07012
7,13,337,324,96.14,13,3.86,07013
7,14,493,473,95.94,20,4.06,07014
7,15,485,476,98.14,9,1.86,07015
7,16,541,532,98.34,9,1.66,07016
7,17,487,471,96.71,16,3.29,07017
7,18,479,458,95.62,21,4.38,07018
7,19,467,457,97.86,10,2.14,07019
7,20,423,405,95.74,18,4.26,07020
7,21,496,478,96.37,18,3.63,07021
7,22,386,368,95.34,18,4.66,07022
7,23,457,449,98.25,8,1.75,07023
7,24,482,469,97.3,13,2.7,07024
7,25,406,385,94.83,21,5.17,07025
7,26,386,374,96.89,12,3.11,07026
7,27,411,403,98.05,8,1.95,07027
7,28,367,354,96.46,13,3.54,07028
7,29,407,390,95.82,17,4.18,07029
7,30,375,361,96.27,14,3.73,07030
7,31,478,462,96.65,16,3.35,07031
7,32,565,548,96.99,17,3.01,07032
7,33,551,535,97.1,16,2.9,07033
7,34,506,492,97.23,14,2.77,07034
7,35,473,455,96.19,18,3.81,07035
7,36,521,511,98.08,10,1.92,07036
7,37,514,497,96.69,17,3.31,07037
7,38,404,394,97.52,10,2.48,07038
7,39,458,444,96.94,14,3.06,07039
7,40,438,422,96.35,16,3.65,07040
7,41,462,453,98.05,9,1.95,07041
7,42,452,443,98.01,9,1.99,07042
7,43,452,445,98.45,7,1.55,07043
7,44,450,442,98.22,8,1.78,07044
7,45,487,472,96.92,15,3.08,07045
8,1,437,425,97.25,12,2.75,08001
8,2,560,545,97.32,15,2.68,08002
8,3,495,475,95.96,20,4.04,08003
8,4,466,457,98.07,9,1.93,08004
8,5,506,497,98.22,9,1.78,08005
8,6,514,503,97.86,11,2.14,08006
8,7,559,539,96.42,20,3.58,08007
8,8,445,434,97.53,11,2.47,08008
8,9,334,328,98.2,6,1.8,08009
8,10,543,528,97.24,15,2.76,08010
8,11,444,432,97.3,12,2.7,08011
8,12,437,429,98.17,8,1.83,08012
8,13,600,581,96.83,19,3.17,08013
8,14,404,397,98.27,7,1.73,08014
8,15,486,478,98.35,8,1.65,08015
8,16,207,203,98.07,4,1.93,08016
8,17,371,363,97.84,8,2.16,08017
8,18,482,463,96.06,19,3.94,08018
8,19,510,494,96.86,16,3.14,08019
8,20,512,500,97.66,12,2.34,08020
8,21,643,634,98.6,9,1.4,08021
8,22,463,451,97.41,12,2.59,08022
8,23,460,453,98.48,7,1.52,08023
8,24,272,267,98.16,5,1.84,08024
8,25,491,478,97.35,13,2.65,08025
8,26,453,443,97.79,10,2.21,08026
8,27,500,480,96.0,20,4.0,08027
8,28,542,524,96.68,18,3.32,08028
8,29,584,570,97.6,14,2.4,08029
8,30,510,497,97.45,13,2.55,08030
8,31,387,376,97.16,11,2.84,08031
8,32,408,400,98.04,8,1.96,08032
8,33,470,456,97.02,14,2.98,08033
8,34,442,435,98.42,7,1.58,08034
8,35,536,525,97.95,11,2.05,08035
8,36,504,499,99.01,5,0.99,08036
8,37,378,360,95.24,18,4.76,08037
8,38,354,340,96.05,14,3.95,08038
8,39,461,452,98.05,9,1.95,08039
8,40,370,363,98.11,7,1.89,08040
8,41,511,502,98.24,9,1.76,08041
8,42,629,615,97.77,14,2.23,08042
8,43,290,286,98.62,4,1.38,08043
8,44,369,363,98.37,6,1.63,08044
8,45,551,530,96.19,21,3.81,08045
8,46,400,396,99.0,4,1.0,08046
8,47,404,393,97.28,11,2.72,08047
8,48,549,531,96.72,18,3.28,08048
8,49,487,479,98.36,8,1.64,08049
8,50,514,499,97.08,15,2.92,08050
8,51,481,467,97.09,14,2.91,08051
8,52,577,560,97.05,17,2.95,08052
8,53,320,316,98.75,4,1.25,08053
8,54,439,430,97.95,9,2.05,08054
8,55,293,284,96.93,9,3.07,08055
8,56,485,474,97.73,11,2.27,08056
9,1,501,485,96.81,16,3.19,09001
9,2,436,427,97.94,9,2.06,09002
9,3,521,506,97.12,15,2.88,09003
9,4,395,386,97.72,9,2.28,09004
9,5,453,445,98.23,8,1.77,09005
9,6,435,423,97.24,12,2.76,09006
9,7,437,419,95.88,18,4.12,09007
9,8,562,551,98.04,11,1.96,09008
9,9,540,527,97.59,13,2.41,09009
9,10,440,428,97.27,12,2.73,09010
9,11,404,383,94.8,21,5.2,09011
9,12,528,514,97.35,14,2.65,09012
9,13,495,480,96.97,15,3.03,09013
9,14,545,531,97.43,14,2.57,09014
9,15,577,559,96.88,18,3.12,09015
9,16,432,420,97.22,12,2.78,09016
9,17,466,454,97.42,12,2.58,09017
9,18,394,383,97.21,11,2.79,09018
9,19,461,447,96.96,14,3.04,09019
9,20,488,475,97.34,13,2.66,09020
9,21,464,448,96.55,16,3.45,09021
9,22,468,455,97.22,13,2.78,09022
9,23,493,477,96.75,16,3.25,09023
9,24,502,492,98.01,10,1.99,09024
9,25,471,452,95.97,19,4.03,09025
9,26,581,565,97.25,16,2.75,09026
9,27,456,445,97.59,11,2.41,09027
9,28,288,278,96.53,10,3.47,09028
9,29,450,432,96.0,18,4.0,09029
9,30,409,392,95.84,17,4.16,09030
9,31,402,387,96.27,15,3.73,09031
9,32,454,445,98.02,9,1.98,09032
9,33,461,448,97.18,13,2.82,09033
9,34,382,361,94.5,21,5.5,09034
9,35,460,453,98.48,7,1.52,09035
9,36,436,428,98.17,8,1.83,09036
9,37,496,429,86.49,67,13.51,09037
9,38,479,467,97.49,12,2.51,09038
9,39,460,449,97.61,11,2.39,09039
9,40,498,487,97.79,11,2.21,09040
9,41,412,403,97.82,9,2.18,09041
9,42,497,486,97.79,11,2.21,09042
9,43,406,401,98.77,5,1.23,09043
9,44,362,351,96.96,11,3.04,09044
9,45,398,391,98.24,7,1.76,09045
9,46,535,508,94.95,27,5.05,09046
9,47,474,457,96.41,17,3.59,09047
9,48,481,472,98.13,9,1.87,09048
9,49,463,457,98.7,6,1.3,09049
9,50,593,578,97.47,15,2.53,09050
9,51,461,449,97.4,12,2.6,09051
10,1,356,336,94.38,20,5.62,10001
10,2,408,262,64.22,146,35.78,10002
10,3,316,218,68.99,98,31.01,10003
10,4,367,343,93.46,24,6.54,10004
10,5,321,213,66.36,108,33.64,10005
10,6,311,253,81.35,58,18.65,10006
10,7,297,258,86.87,39,13.13,10007
10,8,413,395,95.64,18,4.36,10008
10,9,392,257,65.56,135,34.44,10009
10,10,362,268,74.03,94,25.97,10010
10,11,454,369,81.28,85,18.72,10011
10,12,198,141,71.21,57,28.79,10012
10,13,379,351,92.61,28,7.39,10013
10,14,466,359,77.04,107,22.96,10014
10,15,813,793,97.54,20,2.46,10015
10,16,299,229,76.59,70,23.41,10016
10,17,487,330,67.76,157,32.24,10017
10,18,298,272,91.28,26,8.72,10018
10,19,359,258,71.87,101,28.13,10019
10,20,388,308,79.38,80,20.62,10020
10,21,359,281,78.27,78,21.73,10021
10,22,241,213,88.38,28,11.62,10022
10,23,377,335,88.86,42,11.14,10023
10,24,399,245,61.4,154,38.6,10024
10,25,130,120,92.31,10,7.69,10025
10,26,293,262,89.42,31,10.58,10026
10,27,512,489,95.51,23,4.49,10027
10,28,358,286,79.89,72,20.11,10028
10,29,331,259,78.25,72,21.75,10029
10,30,351,296,84.33,55,15.67,10030
10,31,321,292,90.97,29,9.03,10031
10,32,321,242,75.39,79,24.61,10032
10,33,246,203,82.52,43,17.48,10033
10,34,328,298,90.85,30,9.15,10034
10,35,401,246,61.35,155,38.65,10035
10,36,107,98,91.59,9,8.41,10036
11,1,386,288,74.61,98,25.39,11001
11,2,111,87,78.38,24,21.62,11002
11,3,411,380,92.46,31,7.54,11003
11,4,376,317,84.31,59,15.69,11004
11,5,360,320,88.89,40,11.11,11005
11,6,590,459,77.8,131,22.2,11006
11,7,574,483,84.15,91,15.85,11007
11,8,366,305,83.33,61,16.67,11008
11,9,397,324,81.61,73,18.39,11009
11,10,228,185,81.14,43,18.86,11010
11,11,457,340,74.4,117,25.6,11011
11,12,488,371,76.02,117,23.98,11012
11,13,416,320,76.92,96,23.08,11013
11,14,341,256,75.07,85,24.93,11014
11,15,294,230,78.23,64,21.77,11015
11,16,302,207,68.54,95,31.46,11016
11,17,445,333,74.83,112,25.17,11017
11,18,335,270,80.6,65,19.4,11018
11,19,513,411,80.12,102,19.88,11019
11,20,401,312,77.81,89,22.19,11020
11,21,547,438,80.07,109,19.93,11021
11,22,391,320,81.84,71,18.16,11022
11,23,405,319,78.77,86,21.23,11023
11,24,491,403,82.08,88,17.92,11024
11,25,407,318,78.13,89,21.87,11025
11,26,365,281,76.99,84,23.01,11026
11,27,278,233,83.81,45,16.19,11027
11,28,374,288,77.01,86,22.99,11028
11,29,490,361,73.67,129,26.33,11029
11,30,257,192,74.71,65,25.29,11030
11,31,457,345,75.49,112,24.51,11031
11,32,236,190,80.51,46,19.49,11032
11,33,494,389,78.74,105,21.26,11033
11,34,166,132,79.52,34,20.48,11034
12,1,342,282,82.46,60,17.54,12001
12,2,303,251,82.84,52,17.16,12002
12,3,430,360,83.72,70,16.28,12003
12,4,404,330,81.68,74,18.32,12004
12,5,313,247,78.91,66,21.09,12005
12,6,360,290,80.56,70,19.44,12006
12,7,317,286,90.22,31,9.78,12007
12,8,385,315,81.82,70,18.18,12008
12,9,307,257,83.71,50,16.29,12009
12,10,347,318,91.64,29,8.36,12010
12,11,330,290,87.88,40,12.12,12011
12,12,352,296,84.09,56,15.91,12012
12,13,380,324,85.26,56,14.74,12013
12,14,285,258,90.53,27,9.47,12014
12,15,286,249,87.06,37,12.94,12015
12,16,313,277,88.5,36,11.5,12016
12,17,345,296,85.8,49,14.2,12017
12,18,305,272,89.18,33,10.82,12018
12,19,320,270,84.38,50,15.63,12019
12,20,396,343,86.62,53,13.38,12020
12,21,376,323,85.9,53,14.1,12021
12,22,264,239,90.53,25,9.47,12022
12,23,361,306,84.76,55,15.24,12023
13,1,298,211,70.81,87,29.19,13001
13,2,269,182,67.66,87,32.34,13002
13,3,243,209,86.01,34,13.99,13003
13,4,383,255,66.58,128,33.42,13004
13,5,368,310,84.24,58,15.76,13005
13,6,320,189,59.06,131,40.94,13006
13,7,276,232,84.06,44,15.94,13007
13,8,279,192,68.82,87,31.18,13008
13,9,367,300,81.74,67,18.26,13009
13,10,329,180,54.71,149,45.29,13010
13,11,350,245,70.0,105,30.0,13011
13,12,286,230,80.42,56,19.58,13012
13,13,366,323,88.25,43,11.75,13013
13,14,311,237,76.21,74,23.79,13014
13,15,460,391,85.0,69,15.0,13015
13,16,253,221,87.35,32,12.65,13016
13,17,312,224,71.79,88,28.21,13017
13,18,272,182,66.91,90,33.09,13018
13,19,368,331,89.95,37,10.05,13019
13,20,222,134,60.36,88,39.64,13020
13,21,391,218,55.75,173,44.25,13021
13,22,355,235,66.2,120,33.8,13022
13,23,275,230,83.64,45,16.36,13023
13,24,293,231,78.84,62,21.16,13024
13,25,319,226,70.85,93,29.15,13025
13,26,306,241,78.76,65,21.24,13026
13,27,324,249,76.85,75,23.15,13027
13,28,247,205,83.0,42,17.0,13028
13,29,285,229,80.35,56,19.65,13029
13,30,195,178,91.28,17,8.72,13030
13,31,351,228,64.96,123,35.04,13031
13,32,272,160,58.82,112,41.18,13032
13,33,302,199,65.89,103,34.11,13033
13,34,364,324,89.01,40,10.99,13034
13,35,283,248,87.63,35,12.37,13035
13,36,206,174,84.47,32,15.53,13036
13,37,343,294,85.71,49,14.29,13037
13,38,278,168,60.43,110,39.57,13038
13,39,331,291,87.92,40,12.08,13039
13,40,291,235,80.76,56,19.24,13040
13,41,334,285,85.33,49,14.67,13041
13,42,317,192,60.57,125,39.43,13042
13,43,333,262,78.68,71,21.32,13043
13,44,407,373,91.65,34,8.35,13044
13,45,366,272,74.32,94,25.68,13045
13,46,374,312,83.42,62,16.58,13046
13,47,352,307,87.22,45,12.78,13047
13,48,252,169,67.06,83,32.94,13048
14,1,437,269,61.56,168,38.44,14001
14,2,470,372,79.15,98,20.85,14002
14,3,327,295,90.21,32,9.79,14003
14,4,357,210,58.82,147,41.18,14004
14,5,462,420,90.91,42,9.09,14005
14,6,137,126,91.97,11,8.03,14006
14,7,400,335,83.75,65,16.25,14007
14,8,354,296,83.62,58,16.38,14008
14,9,428,302,70.56,126,29.44,14009
14,10,257,209,81.32,48,18.68,14010
14,11,210,189,90.0,21,10.0,14011
14,12,342,270,78.95,72,21.05,14012
14,13,249,212,85.14,37,14.86,14013
14,14,313,276,88.18,37,11.82,14014
14,15,347,311,89.63,36,10.37,14015
14,16,268,225,83.96,43,16.04,14016
14,17,287,258,89.9,29,10.1,14017
14,18,139,107,76.98,32,23.02,14018
14,19,313,275,87.86,38,12.14,14019
14,20,226,188,83.19,38,16.81,14020
14,21,297,274,92.26,23,7.74,14021
14,22,395,307,77.72,88,22.28,14022
14,23,283,201,71.02,82,28.98,14023
14,24,422,279,66.11,143,33.89,14024
14,25,214,184,85.98,30,14.02,14025
14,26,225,198,88.0,27,12.0,14026
14,27,353,280,79.32,73,20.68,14027
14,28,277,223,80.51,54,19.49,14028
14,29,306,279,91.18,27,8.82,14029
14,30,183,162,88.52,21,11.48,14030
14,31,196,169,86.22,27,13.78,14031
15,1,307,270,87.95,37,12.05,15001
15,2,378,370,97.88,8,2.12,15002
15,3,385,373,96.88,12,3.12,15003
15,4,311,268,86.17,43,13.83,15004
15,5,309,284,91.91,25,8.09,15005
15,6,343,284,82.8,59,17.2,15006
15,7,391,382,97.7,9,2.3,15007
15,8,300,257,85.67,43,14.33,15008
15,9,381,324,85.04,57,14.96,15009
15,10,435,367,84.37,68,15.63,15010
15,11,390,338,86.67,52,13.33,15011
15,12,351,313,89.17,38,10.83,15012
15,13,325,274,84.31,51,15.69,15013
15,14,244,214,87.7,30,12.3,15014
15,15,295,265,89.83,30,10.17,15015
15,16,313,278,88.82,35,11.18,15016
15,17,344,332,96.51,12,3.49,15017
15,18,385,370,96.1,15,3.9,15018
15,19,320,285,89.06,35,10.94,15019
15,20,382,372,97.38,10,2.62,15020
15,21,358,349,97.49,9,2.51,15021
15,22,431,424,98.38,7,1.62,15022
15,23,444,434,97.75,10,2.25,15023
15,24,403,393,97.52,10,2.48,15024
16,1,400,346,86.5,54,13.5,16001
16,2,388,370,95.36,18,4.64,16002
16,3,424,408,96.23,16,3.77,16003
16,4,422,407,96.45,15,3.55,16004
16,5,452,444,98.23,8,1.77,16005
16,6,412,402,97.57,10,2.43,16006
16,7,432,414,95.83,18,4.17,16007
16,8,359,349,97.21,10,2.79,16008
16,9,497,480,96.58,17,3.42,16009
16,10,412,397,96.36,15,3.64,16010
16,11,440,424,96.36,16,3.64,16011
16,12,371,355,95.69,16,4.31,16012
16,13,381,359,94.23,22,5.77,16013
16,14,451,429,95.12,22,4.88,16014
16,15,431,426,98.84,5,1.16,16015
16,16,410,394,96.1,16,3.9,16016
16,17,413,380,92.01,33,7.99,16017
16,18,408,389,95.34,19,4.66,16018
16,19,410,395,96.34,15,3.66,16019
16,20,352,346,98.3,6,1.7,16020
16,21,413,399,96.61,14,3.39,16021
16,22,433,412,95.15,21,4.85,16022
16,23,299,277,92.64,22,7.36,16023
16,24,318,306,96.23,12,3.77,16024
16,25,404,393,97.28,11,2.72,16025
16,26,393,387,98.47,6,1.53,16026
16,27,401,390,97.26,11,2.74,16027
16,28,387,379,97.93,8,2.07,16028
16,29,400,394,98.5,6,1.5,16029
16,30,460,450,97.83,10,2.17,16030
16,31,417,403,96.64,14,3.36,16031
16,32,367,344,93.73,23,6.27,16032
16,33,414,404,97.58,10,2.42,16033
16,34,440,425,96.59,15,3.41,16034
16,35,386,356,92.23,30,7.77,16035
16,36,359,347,96.66,12,3.34,16036
17,1,372,336,90.32,36,9.68,17001
17,2,532,522,98.12,10,1.88,17002
17,3,524,512,97.71,12,2.29,17003
17,4,564,550,97.52,14,2.48,17004
17,5,376,362,96.28,14,3.72,17005
17,6,388,376,96.91,12,3.09,17006
17,7,335,311,92.84,24,7.16,17007
17,8,466,458,98.28,8,1.72,17008
17,9,509,487,95.68,22,4.32,17009
17,10,510,488,95.69,22,4.31,17010
17,11,413,394,95.4,19,4.6,17011
17,12,495,460,92.93,35,7.07,17012
17,13,458,443,96.72,15,3.28,17013
17,14,456,423,92.76,33,7.24,17014
17,15,502,486,96.81,16,3.19,17015
17,16,453,426,94.04,27,5.96,17016
17,17,444,418,94.14,26,5.86,17017
17,18,473,461,97.46,12,2.54,17018
17,19,385,376,97.66,9,2.34,17019
17,20,514,503,97.86,11,2.14,17020
17,21,557,539,96.77,18,3.23,17021
17,22,436,427,97.94,9,2.06,17022
17,23,413,399,96.61,14,3.39,17023
17,24,489,478,97.75,11,2.25,17024
