ward,precinct,total,NANCY F. MYNARD,NANCY F. MYNARD Percent,DOROTHY A. BROWN,DOROTHY A. BROWN Percent,precinct_id
6,21,368,4,1.09,364,98.91,06021
6,22,404,3,0.74,401,99.26,06022
6,23,347,0,0.0,347,100.0,06023
6,24,393,6,1.53,387,98.47,06024
6,25,414,4,0.97,410,99.03,06025
6,26,428,2,0.47,426,99.53,06026
6,27,501,4,0.8,497,99.2,06027
6,28,520,6,1.15,514,98.85,06028
6,29,421,3,0.71,418,99.29,06029
6,30,440,5,1.14,435,98.86,06030
6,31,444,2,0.45,442,99.55,06031
6,32,452,6,1.33,446,98.67,06032
6,33,404,4,0.99,400,99.01,06033
6,34,380,1,0.26,379,99.74,06034
6,35,464,9,1.94,455,98.06,06035
6,36,255,3,1.18,252,98.82,06036
6,37,439,3,0.68,436,99.32,06037
6,38,472,9,1.91,463,98.09,06038
6,39,247,4,1.62,243,98.38,06039
6,40,293,1,0.34,292,99.66,06040
6,41,425,4,0.94,421,99.06,06041
6,42,295,4,1.36,291,98.64,06042
6,43,439,5,1.14,434,98.86,06043
6,44,384,3,0.78,381,99.22,06044
6,45,237,4,1.69,233,98.31,06045
6,46,318,3,0.94,315,99.06,06046
6,47,404,7,1.73,397,98.27,06047
6,48,410,9,2.2,401,97.8,06048
6,49,409,7,1.71,402,98.29,06049
6,50,393,2,0.51,391,99.49,06050
6,51,333,3,0.9,330,99.1,06051
6,52,350,6,1.71,344,98.29,06052
6,53,365,10,2.74,355,97.26,06053
6,54,351,2,0.57,349,99.43,06054
6,55,286,2,0.7,284,99.3,06055
6,56,299,2,0.67,297,99.33,06056
6,57,253,1,0.4,252,99.6,06057
6,58,362,5,1.38,357,98.62,06058
6,59,329,1,0.3,328,99.7,06059
6,60,257,0,0.0,257,100.0,06060
6,61,312,5,1.6,307,98.4,06061
6,62,419,4,0.95,415,99.05,06062
6,63,327,4,1.22,323,98.78,06063
6,64,417,6,1.44,411,98.56,06064
7,1,451,1,0.22,450,99.78,07001
7,2,482,6,1.24,476,98.76,07002
7,3,376,9,2.39,367,97.61,07003
7,4,395,13,3.29,382,96.71,07004
7,5,372,14,3.76,358,96.24,07005
7,6,417,14,3.36,403,96.64,07006
7,7,424,16,3.77,408,96.23,07007
7,8,441,32,7.26,409,92.74,07008
7,9,396,8,2.02,388,97.98,07009
7,10,611,9,1.47,602,98.53,07010
7,11,380,5,1.32,375,98.68,07011
7,12,445,8,1.8,437,98.2,07012
7,13,180,5,2.78,175,97.22,07013
7,14,429,16,3.73,413,96.27,07014
7,15,595,9,1.51,586,98.49,07015
7,16,425,1,0.24,424,99.76,07016
7,17,403,6,1.49,397,98.51,07017
7,18,466,7,1.5,459,98.5,07018
7,19,389,10,2.57,379,97.43,07019
7,20,234,1,0.43,233,99.57,07020
7,21,409,10,2.44,399,97.56,07021
7,22,375,4,1.07,371,98.93,07022
7,23,473,11,2.33,462,97.67,07023
7,24,470,4,0.85,466,99.15,07024
7,25,375,4,1.07,371,98.93,07025
7,26,424,10,2.36,414,97.64,07026
7,27,415,4,0.96,411,99.04,07027
7,28,407,5,1.23,402,98.77,07028
7,29,171,1,0.58,170,99.42,07029
7,30,460,4,0.87,456,99.13,07030
7,31,423,3,0.71,420,99.29,07031
7,32,460,24,5.22,436,94.78,07032
7,33,417,6,1.44,411,98.56,07033
7,34,280,7,2.5,273,97.5,07034
7,35,494,14,2.83,480,97.17,07035
7,36,629,4,0.64,625,99.36,07036
7,37,487,4,0.82,483,99.18,07037
7,38,464,9,1.94,455,98.06,07038
7,39,448,6,1.34,442,98.66,07039
7,40,317,7,2.21,310,97.79,07040
7,41,504,5,0.99,499,99.01,07041
7,42,519,7,1.35,512,98.65,07042
7,43,465,5,1.08,460,98.92,07043
7,44,520,6,1.15,514,98.85,07044
7,45,468,8,1.71,460,98.29,07045
7,46,142,5,3.52,137,96.48,07046
8,1,413,3,0.73,410,99.27,08001
8,2,292,5,1.71,287,98.29,08002
8,3,465,2,0.43,463,99.57,08003
8,4,380,4,1.05,376,98.95,08004
8,5,420,3,0.71,417,99.29,08005
8,6,411,5,1.22,406,98.78,08006
8,7,325,1,0.31,324,99.69,08007
8,8,413,2,0.48,411,99.52,08008
8,9,451,1,0.22,450,99.78,08009
8,10,436,5,1.15,431,98.85,08010
8,11,290,3,1.03,287,98.97,08011
8,12,375,10,2.67,365,97.33,08012
8,13,356,1,0.28,355,99.72,08013
8,14,455,3,0.66,452,99.34,08014
8,15,332,5,1.51,327,98.49,08015
8,16,391,4,1.02,387,98.98,08016
8,17,314,4,1.27,310,98.73,08017
8,18,311,3,0.96,308,99.04,08018
8,19,459,4,0.87,455,99.13,08019
8,20,318,3,0.94,315,99.06,08020
8,21,301,5,1.66,296,98.34,08021
8,22,330,3,0.91,327,99.09,08022
8,23,377,4,1.06,373,98.94,08023
8,24,374,3,0.8,371,99.2,08024
8,25,378,5,1.32,373,98.68,08025
8,26,305,4,1.31,301,98.69,08026
8,27,407,6,1.47,401,98.53,08027
8,28,318,2,0.63,316,99.37,08028
8,29,389,3,0.77,386,99.23,08029
8,30,376,0,0.0,376,100.0,08030
8,31,366,0,0.0,366,100.0,08031
8,32,596,6,1.01,590,98.99,08032
8,33,329,7,2.13,322,97.87,08033
8,34,453,7,1.55,446,98.45,08034
8,35,470,3,0.64,467,99.36,08035
8,36,388,2,0.52,386,99.48,08036
8,37,371,2,0.54,369,99.46,08037
8,38,387,3,0.78,384,99.22,08038
8,39,400,2,0.5,398,99.5,08039
8,40,441,5,1.13,436,98.87,08040
8,41,343,3,0.87,340,99.13,08041
8,42,352,3,0.85,349,99.15,08042
8,43,394,4,1.02,390,98.98,08043
8,44,411,5,1.22,406,98.78,08044
8,45,424,2,0.47,422,99.53,08045
8,46,333,2,0.6,331,99.4,08046
8,47,383,5,1.31,378,98.69,08047
8,48,409,4,0.98,405,99.02,08048
8,49,441,5,1.13,436,98.87,08049
8,50,392,1,0.26,391,99.74,08050
8,51,361,3,0.83,358,99.17,08051
8,52,387,1,0.26,386,99.74,08052
8,53,408,10,2.45,398,97.55,08053
8,54,429,7,1.63,422,98.37,08054
8,55,413,3,0.73,410,99.27,08055
8,56,389,8,2.06,381,97.94,08056
8,57,396,2,0.51,394,99.49,08057
8,58,400,3,0.75,397,99.25,08058
8,59,374,0,0.0,374,100.0,08059
8,60,493,12,2.43,481,97.57,08060
8,61,358,2,0.56,356,99.44,08061
8,62,474,6,1.27,468,98.73,08062
8,63,415,3,0.72,412,99.28,08063
8,64,261,4,1.53,257,98.47,08064
8,65,412,1,0.24,411,99.76,08065
8,66,542,4,0.74,538,99.26,08066
9,1,386,1,0.26,385,99.74,09001
9,2,461,6,1.3,455,98.7,09002
9,3,347,5,1.44,342,98.56,09003
9,4,458,6,1.31,452,98.69,09004
9,5,410,1,0.24,409,99.76,09005
9,6,313,2,0.64,311,99.36,09006
9,7,388,5,1.29,383,98.71,09007
9,8,292,1,0.34,291,99.66,09008
9,9,387,1,0.26,386,99.74,09009
9,10,407,3,0.74,404,99.26,09010
9,11,312,4,1.28,308,98.72,09011
9,12,391,7,1.79,384,98.21,09012
9,13,474,5,1.05,469,98.95,09013
9,14,510,2,0.39,508,99.61,09014
9,15,196,2,1.02,194,98.98,09015
9,16,410,2,0.49,408,99.51,09016
9,17,374,8,2.14,366,97.86,09017
9,18,356,5,1.4,351,98.6,09018
9,19,415,6,1.45,409,98.55,09019
9,20,410,1,0.24,409,99.76,09020
9,21,286,0,0.0,286,100.0,09021
9,22,437,3,0.69,434,99.31,09022
9,23,290,6,2.07,284,97.93,09023
9,24,288,2,0.69,286,99.31,09024
9,25,249,10,4.02,239,95.98,09025
9,26,272,3,1.1,269,98.9,09026
9,27,261,4,1.53,257,98.47,09027
9,28,356,17,4.78,339,95.22,09028
9,29,399,1,0.25,398,99.75,09029
9,30,420,3,0.71,417,99.29,09030
9,31,394,11,2.79,383,97.21,09031
9,32,444,1,0.23,443,99.77,09032
9,33,293,1,0.34,292,99.66,09033
9,34,425,7,1.65,418,98.35,09034
9,35,380,5,1.32,375,98.68,09035
9,36,246,5,2.03,241,97.97,09036
9,37,429,94,21.91,335,78.09,09037
9,38,443,4,0.9,439,99.1,09038
9,39,358,2,0.56,356,99.44,09039
9,40,453,4,0.88,449,99.12,09040
9,41,483,4,0.83,479,99.17,09041
9,42,456,4,0.88,452,99.12,09042
9,43,345,6,1.74,339,98.26,09043
9,44,407,5,1.23,402,98.77,09044
9,45,493,6,1.22,487,98.78,09045
9,46,353,2,0.57,351,99.43,09046
9,47,291,6,2.06,285,97.94,09047
9,48,393,3,0.76,390,99.24,09048
9,49,214,1,0.47,213,99.53,09049
9,50,442,3,0.68,439,99.32,09050
9,51,291,1,0.34,290,99.66,09051
9,52,391,7,1.79,384,98.21,09052
10,1,293,9,3.07,284,96.93,10001
10,2,225,47,20.89,178,79.11,10002
10,3,327,97,29.66,230,70.34,10003
10,4,377,27,7.16,350,92.84,10004
10,5,257,53,20.62,204,79.38,10005
10,6,447,4,0.89,443,99.11,10006
10,7,103,4,3.88,99,96.12,10007
10,8,297,74,24.92,223,75.08,10008
10,9,311,102,32.8,209,67.2,10009
10,10,355,4,1.13,351,98.87,10010
10,11,332,86,25.9,246,74.1,10011
10,12,304,76,25.0,228,75.0,10012
10,13,369,69,18.7,300,81.3,10013
10,14,77,13,16.88,64,83.12,10014
10,15,175,34,19.43,141,80.57,10015
10,16,303,88,29.04,215,70.96,10016
10,17,261,56,21.46,205,78.54,10017
10,18,332,18,5.42,314,94.58,10018
10,19,492,132,26.83,360,73.17,10019
10,20,536,162,30.22,374,69.78,10020
10,21,235,69,29.36,166,70.64,10021
10,22,114,25,21.93,89,78.07,10022
10,23,325,34,10.46,291,89.54,10023
10,24,296,114,38.51,182,61.49,10024
10,25,444,22,4.95,422,95.05,10025
10,26,282,49,17.38,233,82.62,10026
10,27,363,94,25.9,269,74.1,10027
10,28,356,13,3.65,343,96.35,10028
10,29,405,3,0.74,402,99.26,10029
10,30,350,57,16.29,293,83.71,10030
10,31,356,81,22.75,275,77.25,10031
10,32,357,75,21.01,282,78.99,10032
10,33,311,56,18.01,255,81.99,10033
10,34,327,47,14.37,280,85.63,10034
10,35,327,68,20.8,259,79.2,10035
10,36,351,23,6.55,328,93.45,10036
10,37,340,6,1.76,334,98.24,10037
10,38,431,113,26.22,318,73.78,10038
10,39,323,57,17.65,266,82.35,10039
10,40,334,14,4.19,320,95.81,10040
10,41,530,161,30.38,369,69.62,10041
10,42,307,108,35.18,199,64.82,10042
10,43,367,22,5.99,345,94.01,10043
10,44,323,52,16.1,271,83.9,10044
10,45,343,64,18.66,279,81.34,10045
10,46,326,50,15.34,276,84.66,10046
11,1,277,54,19.49,223,80.51,11001
11,2,291,58,19.93,233,80.07,11002
11,3,352,68,19.32,284,80.68,11003
11,4,374,71,18.98,303,81.02,11004
11,5,263,43,16.35,220,83.65,11005
11,6,404,64,15.84,340,84.16,11006
11,7,279,43,15.41,236,84.59,11007
11,8,313,50,15.97,263,84.03,11008
11,9,276,37,13.41,239,86.59,11009
11,10,243,35,14.4,208,85.6,11010
11,11,342,65,19.01,277,80.99,11011
11,12,317,41,12.93,276,87.07,11012
11,13,334,56,16.77,278,83.23,11013
11,14,166,38,22.89,128,77.11,11014
11,15,242,37,15.29,205,84.71,11015
11,16,329,45,13.68,284,86.32,11016
11,17,425,83,19.53,342,80.47,11017
11,18,222,31,13.96,191,86.04,11018
11,19,287,52,18.12,235,81.88,11019
11,20,392,43,10.97,349,89.03,11020
11,21,428,55,12.85,373,87.15,11021
11,22,223,38,17.04,185,82.96,11022
11,23,282,45,15.96,237,84.04,11023
11,24,391,33,8.44,358,91.56,11024
11,25,227,26,11.45,201,88.55,11025
11,26,403,53,13.15,350,86.85,11026
11,27,94,18,19.15,76,80.85,11027
11,28,68,3,4.41,65,95.59,11028
11,29,356,49,13.76,307,86.24,11029
11,30,290,48,16.55,242,83.45,11030
11,31,77,12,15.58,65,84.42,11031
11,32,240,30,12.5,210,87.5,11032
11,33,399,2,0.5,397,99.5,11033
11,34,205,22,10.73,183,89.27,11034
11,35,338,44,13.02,294,86.98,11035
11,36,206,45,21.84,161,78.16,11036
11,37,520,75,14.42,445,85.58,11037
11,38,412,58,14.08,354,85.92,11038
11,39,374,48,12.83,326,87.17,11039
11,40,324,41,12.65,283,87.35,11040
11,41,248,33,13.31,215,86.69,11041
11,42,191,22,11.52,169,88.48,11042
11,43,345,59,17.1,286,82.9,11043
11,44,311,72,23.15,239,76.85,11044
11,45,246,44,17.89,202,82.11,11045
11,46,224,7,3.13,217,96.88,11046
11,47,267,33,12.36,234,87.64,11047
11,48,162,19,11.73,143,88.27,11048
11,49,219,31,14.16,188,85.84,11049
11,50,166,15,9.04,151,90.96,11050
11,51,298,43,14.43,255,85.57,11051
11,52,295,58,19.66,237,80.34,11052
11,53,250,28,11.2,222,88.8,11053
11,54,95,3,3.16,92,96.84,11054
12,1,184,31,16.85,153,83.15,12001
12,2,169,33,19.53,136,80.47,12002
12,3,160,25,15.63,135,84.38,12003
12,4,176,31,17.61,145,82.39,12004
12,5,83,16,19.28,67,80.72,12005
12,6,195,29,14.87,166,85.13,12006
12,7,190,24,12.63,166,87.37,12007
12,8,188,36,19.15,152,80.85,12008
12,9,151,26,17.22,125,82.78,12009
12,10,141,36,25.53,105,74.47,12010
12,11,177,23,12.99,154,87.01,12011
12,12,161,38,23.6,123,76.4,12012
12,13,130,26,20.0,104,80.0,12013
12,14,239,27,11.3,212,88.7,12014
12,15,233,26,11.16,207,88.84,12015
12,16,187,36,19.25,151,80.75,12016
12,17,93,15,16.13,78,83.87,12017
12,18,161,16,9.94,145,90.06,12018
12,19,182,19,10.44,163,89.56,12019
12,20,216,21,9.72,195,90.28,12020
12,21,220,41,18.64,179,81.36,12021
12,22,209,32,15.31,177,84.69,12022
12,23,150,31,20.67,119,79.33,12023
12,24,90,20,22.22,70,77.78,12024
12,25,220,36,16.36,184,83.64,12025
12,26,154,26,16.88,128,83.12,12026
12,27,115,40,34.78,75,65.22,12027
12,28,151,25,16.56,126,83.44,12028
12,29,304,67,22.04,237,77.96,12029
12,30,223,43,19.28,180,80.72,12030
13,1,289,95,32.87,194,67.13,13001
13,2,223,67,30.04,156,69.96,13002
13,3,343,110,32.07,233,67.93,13003
13,4,365,104,28.49,261,71.51,13004
13,5,289,63,21.8,226,78.2,13005
13,6,286,82,28.67,204,71.33,13006
13,7,337,73,21.66,264,78.34,13007
13,8,311,115,36.98,196,63.02,13008
13,9,321,60,18.69,261,81.31,13009
13,10,288,77,26.74,211,73.26,13010
13,11,324,58,17.9,266,82.1,13011
13,12,356,84,23.6,272,76.4,13012
13,13,385,42,10.91,343,89.09,13013
13,14,247,64,25.91,183,74.09,13014
13,15,339,67,19.76,272,80.24,13015
13,16,284,63,22.18,221,77.82,13016
13,17,226,41,18.14,185,81.86,13017
13,18,292,59,20.21,233,79.79,13018
13,19,266,52,19.55,214,80.45,13019
13,20,321,73,22.74,248,77.26,13020
13,21,262,73,27.86,189,72.14,13021
13,22,353,76,21.53,277,78.47,13022
13,23,307,64,20.85,243,79.15,13023
13,24,380,123,32.37,257,67.63,13024
13,25,271,79,29.15,192,70.85,13025
13,26,261,48,18.39,213,81.61,13026
13,27,330,76,23.03,254,76.97,13027
13,28,263,53,20.15,210,79.85,13028
13,29,333,89,26.73,244,73.27,13029
13,30,352,71,20.17,281,79.83,13030
13,31,316,54,17.09,262,82.91,13031
13,32,282,38,13.48,244,86.52,13032
13,33,323,66,20.43,257,79.57,13033
13,34,309,81,26.21,228,73.79,13034
13,35,366,83,22.68,283,77.32,13035
13,36,256,65,25.39,191,74.61,13036
13,37,244,53,21.72,191,78.28,13037
13,38,181,57,31.49,124,68.51,13038
13,39,320,80,25.0,240,75.0,13039
13,40,287,56,19.51,231,80.49,13040
13,41,294,56,19.05,238,80.95,13041
13,42,367,80,21.8,287,78.2,13042
13,43,265,46,17.36,219,82.64,13043
13,44,272,67,24.63,205,75.37,13044
13,45,302,40,13.25,262,86.75,13045
