ward,precinct,total,VARTAN SEFERIAN,VARTAN SEFERIAN Percent,MARTIN A. SANDOVAL,MARTIN A. SANDOVAL Percent,precinct_id
4,3,375,11,2.93,364,97.07,04003
4,4,305,11,3.61,294,96.39,04004
4,5,237,3,1.27,234,98.73,04005
4,6,25,0,0.0,25,100.0,04006
4,7,199,4,2.01,195,97.99,04007
4,8,385,9,2.34,376,97.66,04008
4,9,444,11,2.48,433,97.52,04009
4,10,546,13,2.38,533,97.62,04010
4,11,319,4,1.25,315,98.75,04011
4,12,284,7,2.46,277,97.54,04012
4,13,481,28,5.82,453,94.18,04013
4,14,277,3,1.08,274,98.92,04014
4,15,127,4,3.15,123,96.85,04015
4,16,352,7,1.99,345,98.01,04016
4,17,479,76,15.87,403,84.13,04017
4,18,292,4,1.37,288,98.63,04018
4,19,120,1,0.83,119,99.17,04019
4,20,164,3,1.83,161,98.17,04020
4,21,314,17,5.41,297,94.59,04021
4,22,386,15,3.89,371,96.11,04022
4,23,263,26,9.89,237,90.11,04023
4,24,346,16,4.62,330,95.38,04024
4,25,310,18,5.81,292,94.19,04025
4,26,266,7,2.63,259,97.37,04026
4,27,308,3,0.97,305,99.03,04027
4,28,329,38,11.55,291,88.45,04028
4,29,278,25,8.99,253,91.01,04029
4,30,135,4,2.96,131,97.04,04030
4,31,119,3,2.52,116,97.48,04031
4,32,390,37,9.49,353,90.51,04032
4,33,132,4,3.03,128,96.97,04033
4,34,273,24,8.79,249,91.21,04034
4,35,247,5,2.02,242,97.98,04035
4,36,300,6,2.0,294,98.0,04036
4,37,218,7,3.21,211,96.79,04037
4,38,447,32,7.16,415,92.84,04038
4,39,134,0,0.0,134,100.0,04039
4,40,296,10,3.38,286,96.62,04040
4,41,305,34,11.15,271,88.85,04041
4,42,290,5,1.72,285,98.28,04042
4,43,230,16,6.96,214,93.04,04043
4,44,212,19,8.96,193,91.04,04044
4,45,424,25,5.9,399,94.1,04045
4,46,309,6,1.94,303,98.06,04046
4,47,546,43,7.88,503,92.12,04047
4,48,473,34,7.19,439,92.81,04048
4,49,97,0,0.0,97,100.0,04049
4,50,257,7,2.72,250,97.28,04050
4,51,362,37,10.22,325,89.78,04051
4,52,118,3,2.54,115,97.46,04052
4,53,144,3,2.08,141,97.92,04053
4,54,237,14,5.91,223,94.09,04054
4,55,260,23,8.85,237,91.15,04055
5,1,300,7,2.33,293,97.67,05001
5,2,350,6,1.71,344,98.29,05002
5,3,336,1,0.3,335,99.7,05003
5,4,377,13,3.45,364,96.55,05004
5,5,277,4,1.44,273,98.56,05005
5,6,281,7,2.49,274,97.51,05006
5,7,305,4,1.31,301,98.69,05007
5,8,427,42,9.84,385,90.16,05008
5,9,314,5,1.59,309,98.41,05009
5,10,203,3,1.48,200,98.52,05010
5,11,118,8,6.78,110,93.22,05011
5,12,323,4,1.24,319,98.76,05012
5,13,321,6,1.87,315,98.13,05013
5,14,297,15,5.05,282,94.95,05014
5,15,243,2,0.82,241,99.18,05015
5,16,290,8,2.76,282,97.24,05016
5,17,171,2,1.17,169,98.83,05017
5,18,226,3,1.33,223,98.67,05018
5,19,272,3,1.1,269,98.9,05019
5,20,230,3,1.3,227,98.7,05020
5,21,305,3,0.98,302,99.02,05021
5,22,304,12,3.95,292,96.05,05022
5,23,225,7,3.11,218,96.89,05023
5,24,214,13,6.07,201,93.93,05024
5,25,297,6,2.02,291,97.98,05025
5,26,176,2,1.14,174,98.86,05026
5,27,207,30,14.49,177,85.51,05027
5,28,318,6,1.89,312,98.11,05028
5,29,194,6,3.09,188,96.91,05029
5,30,328,45,13.72,283,86.28,05030
5,31,324,3,0.93,321,99.07,05031
5,32,406,12,2.96,394,97.04,05032
5,33,290,6,2.07,284,97.93,05033
5,34,232,7,3.02,225,96.98,05034
5,35,314,41,13.06,273,86.94,05035
5,36,290,6,2.07,284,97.93,05036
5,37,262,23,8.78,239,91.22,05037
5,38,315,33,10.48,282,89.52,05038
5,39,362,41,11.33,321,88.67,05039
5,40,292,5,1.71,287,98.29,05040
5,41,346,41,11.85,305,88.15,05041
5,42,238,5,2.1,233,97.9,05042
5,43,297,10,3.37,287,96.63,05043
5,44,246,9,3.66,237,96.34,05044
5,45,165,1,0.61,164,99.39,05045
5,46,383,42,10.97,341,89.03,05046
5,47,253,3,1.19,250,98.81,05047
5,48,251,16,6.37,235,93.63,05048
5,49,392,42,10.71,350,89.29,05049
5,50,208,5,2.4,203,97.6,05050
5,51,232,2,0.86,230,99.14,05051
5,52,185,2,1.08,183,98.92,05052
5,53,289,3,1.04,286,98.96,05053
5,54,170,4,2.35,166,97.65,05054
5,55,270,7,2.59,263,97.41,05055
5,56,225,2,0.89,223,99.11,05056
5,57,354,25,7.06,329,92.94,05057
5,58,230,4,1.74,226,98.26,05058
5,59,193,6,3.11,187,96.89,05059
6,1,335,7,2.09,328,97.91,06001
6,2,381,8,2.1,373,97.9,06002
6,3,293,5,1.71,288,98.29,06003
6,4,195,7,3.59,188,96.41,06004
6,5,247,6,2.43,241,97.57,06005
6,6,279,4,1.43,275,98.57,06006
6,7,274,3,1.09,271,98.91,06007
6,8,279,4,1.43,275,98.57,06008
6,9,379,10,2.64,369,97.36,06009
6,10,308,12,3.9,296,96.1,06010
6,11,299,3,1.0,296,99.0,06011
6,12,310,5,1.61,305,98.39,06012
6,13,304,8,2.63,296,97.37,06013
6,14,368,4,1.09,364,98.91,06014
6,15,294,7,2.38,287,97.62,06015
6,16,308,3,0.97,305,99.03,06016
6,17,328,6,1.83,322,98.17,06017
6,18,124,1,0.81,123,99.19,06018
6,19,302,8,2.65,294,97.35,06019
6,20,75,1,1.33,74,98.67,06020
6,21,289,6,2.08,283,97.92,06021
6,22,321,7,2.18,314,97.82,06022
6,23,290,4,1.38,286,98.62,06023
6,24,270,7,2.59,263,97.41,06024
6,25,318,5,1.57,313,98.43,06025
6,26,294,8,2.72,286,97.28,06026
6,27,367,8,2.18,359,97.82,06027
6,28,358,4,1.12,354,98.88,06028
6,29,320,5,1.56,315,98.44,06029
6,30,335,4,1.19,331,98.81,06030
6,31,363,9,2.48,354,97.52,06031
6,32,368,11,2.99,357,97.01,06032
6,33,257,4,1.56,253,98.44,06033
6,34,296,5,1.69,291,98.31,06034
6,35,390,8,2.05,382,97.95,06035
6,36,195,3,1.54,192,98.46,06036
6,37,343,11,3.21,332,96.79,06037
6,38,378,7,1.85,371,98.15,06038
6,39,190,7,3.68,183,96.32,06039
6,40,226,2,0.88,224,99.12,06040
6,41,320,10,3.13,310,96.88,06041
6,42,225,2,0.89,223,99.11,06042
6,43,325,7,2.15,318,97.85,06043
6,44,312,9,2.88,303,97.12,06044
6,45,198,6,3.03,192,96.97,06045
6,46,245,6,2.45,239,97.55,06046
6,47,334,11,3.29,323,96.71,06047
6,48,310,7,2.26,303,97.74,06048
6,49,291,4,1.37,287,98.63,06049
6,50,299,3,1.0,296,99.0,06050
6,51,241,1,0.41,240,99.59,06051
6,52,279,8,2.87,271,97.13,06052
6,53,303,8,2.64,295,97.36,06053
6,54,278,3,1.08,275,98.92,06054
6,55,241,2,0.83,239,99.17,06055
6,56,225,1,0.44,224,99.56,06056
6,57,195,7,3.59,188,96.41,06057
6,58,257,9,3.5,248,96.5,06058
6,59,258,7,2.71,251,97.29,06059
6,60,191,3,1.57,188,98.43,06060
6,61,220,0,0.0,220,100.0,06061
6,62,341,4,1.17,337,98.83,06062
6,63,262,5,1.91,257,98.09,06063
6,64,325,7,2.15,318,97.85,06064
7,1,364,1,0.27,363,99.73,07001
7,2,396,8,2.02,388,97.98,07002
7,3,308,11,3.57,297,96.43,07003
7,4,322,9,2.8,313,97.2,07004
7,5,305,8,2.62,297,97.38,07005
7,6,308,12,3.9,296,96.1,07006
7,7,336,14,4.17,322,95.83,07007
7,8,377,16,4.24,361,95.76,07008
7,9,316,12,3.8,304,96.2,07009
7,10,481,11,2.29,470,97.71,07010
7,11,295,4,1.36,291,98.64,07011
7,12,358,5,1.4,353,98.6,07012
7,13,141,5,3.55,136,96.45,07013
7,14,334,19,5.69,315,94.31,07014
7,15,477,13,2.73,464,97.27,07015
7,16,318,5,1.57,313,98.43,07016
7,17,309,5,1.62,304,98.38,07017
7,18,345,7,2.03,338,97.97,07018
7,19,325,7,2.15,318,97.85,07019
7,20,188,3,1.6,185,98.4,07020
7,21,307,14,4.56,293,95.44,07021
7,22,285,3,1.05,282,98.95,07022
7,23,380,8,2.11,372,97.89,07023
7,24,364,5,1.37,359,98.63,07024
7,25,277,11,3.97,266,96.03,07025
7,26,296,12,4.05,284,95.95,07026
7,27,347,9,2.59,338,97.41,07027
7,28,334,8,2.4,326,97.6,07028
7,29,145,5,3.45,140,96.55,07029
7,30,373,10,2.68,363,97.32,07030
7,31,361,5,1.39,356,98.61,07031
7,32,393,12,3.05,381,96.95,07032
7,33,341,6,1.76,335,98.24,07033
7,34,232,6,2.59,226,97.41,07034
7,35,400,14,3.5,386,96.5,07035
7,36,486,9,1.85,477,98.15,07036
7,37,391,7,1.79,384,98.21,07037
7,38,377,16,4.24,361,95.76,07038
7,39,377,5,1.33,372,98.67,07039
7,40,269,9,3.35,260,96.65,07040
7,41,401,6,1.5,395,98.5,07041
7,42,431,11,2.55,420,97.45,07042
7,43,387,10,2.58,377,97.42,07043
7,44,408,16,3.92,392,96.08,07044
7,45,396,5,1.26,391,98.74,07045
7,46,76,4,5.26,72,94.74,07046
8,1,344,4,1.16,340,98.84,08001
8,2,248,7,2.82,241,97.18,08002
8,3,392,4,1.02,388,98.98,08003
8,4,339,6,1.77,333,98.23,08004
8,5,362,8,2.21,354,97.79,08005
8,6,350,7,2.0,343,98.0,08006
8,7,275,2,0.73,273,99.27,08007
8,8,355,4,1.13,351,98.87,08008
8,9,366,3,0.82,363,99.18,08009
8,10,376,7,1.86,369,98.14,08010
8,11,246,5,2.03,241,97.97,08011
8,12,317,9,2.84,308,97.16,08012
8,13,294,1,0.34,293,99.66,08013
8,14,374,6,1.6,368,98.4,08014
8,15,282,2,0.71,280,99.29,08015
8,16,349,8,2.29,341,97.71,08016
8,17,257,0,0.0,257,100.0,08017
8,18,246,2,0.81,244,99.19,08018
8,19,390,4,1.03,386,98.97,08019
8,20,276,6,2.17,270,97.83,08020
8,21,242,6,2.48,236,97.52,08021
8,22,272,3,1.1,269,98.9,08022
8,23,320,7,2.19,313,97.81,08023
8,24,298,5,1.68,293,98.32,08024
8,25,320,4,1.25,316,98.75,08025
8,26,243,5,2.06,238,97.94,08026
8,27,351,7,1.99,344,98.01,08027
8,28,274,2,0.73,272,99.27,08028
8,29,319,4,1.25,315,98.75,08029
8,30,301,6,1.99,295,98.01,08030
8,31,317,6,1.89,311,98.11,08031
8,32,496,6,1.21,490,98.79,08032
8,33,279,9,3.23,270,96.77,08033
8,34,377,6,1.59,371,98.41,08034
8,35,398,7,1.76,391,98.24,08035
8,36,326,5,1.53,321,98.47,08036
8,37,299,4,1.34,295,98.66,08037
8,38,328,2,0.61,326,99.39,08038
8,39,328,7,2.13,321,97.87,08039
8,40,375,4,1.07,371,98.93,08040
8,41,291,4,1.37,287,98.63,08041
8,42,303,8,2.64,295,97.36,08042
8,43,308,7,2.27,301,97.73,08043
8,44,358,5,1.4,353,98.6,08044
8,45,355,11,3.1,344,96.9,08045
8,46,284,5,1.76,279,98.24,08046
8,47,313,7,2.24,306,97.76,08047
8,48,308,12,3.9,296,96.1,08048
8,49,366,7,1.91,359,98.09,08049
8,50,306,7,2.29,299,97.71,08050
8,51,297,6,2.02,291,97.98,08051
8,52,339,2,0.59,337,99.41,08052
8,53,332,9,2.71,323,97.29,08053
8,54,369,8,2.17,361,97.83,08054
8,55,328,5,1.52,323,98.48,08055
8,56,327,8,2.45,319,97.55,08056
8,57,359,4,1.11,355,98.89,08057
8,58,318,6,1.89,312,98.11,08058
8,59,306,5,1.63,301,98.37,08059
8,60,423,6,1.42,417,98.58,08060
8,61,286,4,1.4,282,98.6,08061
8,62,406,3,0.74,403,99.26,08062
8,63,333,3,0.9,330,99.1,08063
8,64,219,0,0.0,219,100.0,08064
8,65,343,10,2.92,333,97.08,08065
8,66,455,6,1.32,449,98.68,08066
9,1,317,4,1.26,313,98.74,09001
9,2,349,6,1.72,343,98.28,09002
9,3,245,5,2.04,240,97.96,09003
9,4,320,7,2.19,313,97.81,09004
9,5,324,5,1.54,319,98.46,09005
9,6,248,3,1.21,245,98.79,09006
9,7,280,5,1.79,275,98.21,09007
9,8,216,3,1.39,213,98.61,09008
9,9,299,1,0.33,298,99.67,09009
9,10,299,4,1.34,295,98.66,09010
9,11,255,4,1.57,251,98.43,09011
9,12,270,5,1.85,265,98.15,09012
9,13,360,9,2.5,351,97.5,09013
9,14,340,4,1.18,336,98.82,09014
9,15,126,3,2.38,123,97.62,09015
9,16,292,6,2.05,286,97.95,09016
9,17,261,4,1.53,257,98.47,09017
9,18,256,5,1.95,251,98.05,09018
9,19,276,7,2.54,269,97.46,09019
9,20,309,3,0.97,306,99.03,09020
9,21,192,2,1.04,190,98.96,09021
9,22,345,3,0.87,342,99.13,09022
9,23,207,4,1.93,203,98.07,09023
9,24,202,3,1.49,199,98.51,09024
9,25,165,9,5.45,156,94.55,09025
9,26,185,6,3.24,179,96.76,09026
9,27,187,3,1.6,184,98.4,09027
9,28,284,10,3.52,274,96.48,09028
9,29,305,1,0.33,304,99.67,09029
9,30,340,8,2.35,332,97.65,09030
9,31,334,8,2.4,326,97.6,09031
9,32,364,6,1.65,358,98.35,09032
9,33,231,5,2.16,226,97.84,09033
9,34,355,5,1.41,350,98.59,09034
9,35,308,5,1.62,303,98.38,09035
9,36,192,2,1.04,190,98.96,09036
9,37,390,62,15.9,328,84.1,09037
9,38,359,6,1.67,353,98.33,09038
9,39,290,4,1.38,286,98.62,09039
9,40,378,3,0.79,375,99.21,09040
9,41,408,8,1.96,400,98.04,09041
9,42,374,5,1.34,369,98.66,09042
9,43,288,2,0.69,286,99.31,09043
9,44,332,4,1.2,328,98.8,09044
9,45,432,9,2.08,423,97.92,09045
9,46,302,2,0.66,300,99.34,09046
9,47,227,8,3.52,219,96.48,09047
9,48,312,5,1.6,307,98.4,09048
9,49,168,5,2.98,163,97.02,09049
9,50,379,9,2.37,370,97.63,09050
9,51,237,4,1.69,233,98.31,09051
9,52,312,8,2.56,304,97.44,09052
10,1,227,7,3.08,220,96.92,10001
10,2,179,35,19.55,144,80.45,10002
10,3,271,63,23.25,208,76.75,10003
10,4,306,17,5.56,289,94.44,10004
10,5,200,41,20.5,159,79.5,10005
10,6,364,6,1.65,358,98.35,10006
10,7,85,2,2.35,83,97.65,10007
10,8,256,58,22.66,198,77.34,10008
10,9,279,52,18.64,227,81.36,10009
10,10,283,7,2.47,276,97.53,10010
10,11,287,46,16.03,241,83.97,10011
10,12,269,58,21.56,211,78.44,10012
10,13,344,52,15.12,292,84.88,10013
10,14,57,5,8.77,52,91.23,10014
10,15,131,21,16.03,110,83.97,10015
10,16,249,69,27.71,180,72.29,10016
10,17,200,38,19.0,162,81.0,10017
10,18,271,10,3.69,261,96.31,10018
10,19,432,92,21.3,340,78.7,10019
10,20,459,91,19.83,368,80.17,10020
10,21,206,53,25.73,153,74.27,10021
10,22,96,14,14.58,82,85.42,10022
10,23,288,25,8.68,263,91.32,10023
10,24,251,68,27.09,183,72.91,10024
10,25,368,13,3.53,355,96.47,10025
10,26,239,36,15.06,203,84.94,10026
10,27,310,52,16.77,258,83.23,10027
10,28,267,7,2.62,260,97.38,10028
10,29,312,10,3.21,302,96.79,10029
10,30,297,33,11.11,264,88.89,10030
10,31,304,39,12.83,265,87.17,10031
10,32,290,51,17.59,239,82.41,10032
10,33,266,33,12.41,233,87.59,10033
10,34,277,28,10.11,249,89.89,10034
10,35,296,32,10.81,264,89.19,10035
10,36,296,12,4.05,284,95.95,10036
10,37,274,10,3.65,264,96.35,10037
10,38,366,79,21.58,287,78.42,10038
10,39,287,33,11.5,254,88.5,10039
10,40,315,9,2.86,306,97.14,10040
10,41,463,126,27.21,337,72.79,10041
10,42,266,67,25.19,199,74.81,10042
10,43,282,10,3.55,272,96.45,10043
10,44,279,37,13.26,242,86.74,10044
10,45,257,24,9.34,233,90.66,10045
10,46,261,27,10.34,234,89.66,10046
11,1,242,31,12.81,211,87.19,11001
11,2,218,25,11.47,193,88.53,11002
11,3,272,32,11.76,240,88.24,11003
11,4,302,48,15.89,254,84.11,11004
11,5,217,24,11.06,193,88.94,11005
11,6,363,42,11.57,321,88.43,11006
11,7,261,31,11.88,230,88.12,11007
11,8,276,33,11.96,243,88.04,11008
11,9,240,19,7.92,221,92.08,11009
11,10,218,22,10.09,196,89.91,11010
11,11,303,41,13.53,262,86.47,11011
11,12,285,25,8.77,260,91.23,11012
11,13,299,36,12.04,263,87.96,11013
11,14,131,19,14.5,112,85.5,11014
11,15,228,23,10.09,205,89.91,11015
11,16,303,29,9.57,274,90.43,11016
11,17,378,55,14.55,323,85.45,11017
11,18,204,22,10.78,182,89.22,11018
11,19,269,28,10.41,241,89.59,11019
11,20,356,29,8.15,327,91.85,11020
11,21,395,30,7.59,365,92.41,11021
11,22,206,21,10.19,185,89.81,11022
11,23,253,24,9.49,229,90.51,11023
11,24,367,22,5.99,345,94.01,11024
11,25,209,15,7.18,194,92.82,11025
11,26,364,30,8.24,334,91.76,11026
11,27,80,10,12.5,70,87.5,11027
11,28,57,2,3.51,55,96.49,11028
11,29,322,30,9.32,292,90.68,11029
11,30,268,34,12.69,234,87.31,11030
11,31,70,7,10.0,63,90.0,11031
11,32,231,23,9.96,208,90.04,11032
11,33,325,6,1.85,319,98.15,11033
11,34,167,14,8.38,153,91.62,11034
11,35,298,25,8.39,273,91.61,11035
11,36,190,25,13.16,165,86.84,11036
11,37,460,61,13.26,399,86.74,11037
11,38,379,40,10.55,339,89.45,11038
11,39,347,29,8.36,318,91.64,11039
11,40,288,26,9.03,262,90.97,11040
11,41,226,25,11.06,201,88.94,11041
11,42,174,12,6.9,162,93.1,11042
11,43,297,34,11.45,263,88.55,11043
11,44,289,43,14.88,246,85.12,11044
11,45,220,31,14.09,189,85.91,11045
11,46,180,9,5.0,171,95.0,11046
11,47,246,27,10.98,219,89.02,11047
11,48,144,13,9.03,131,90.97,11048
11,49,195,13,6.67,182,93.33,11049
11,50,147,16,10.88,131,89.12,11050
11,51,256,27,10.55,229,89.45,11051
11,52,266,29,10.9,237,89.1,11052
11,53,230,16,6.96,214,93.04,11053
11,54,80,1,1.25,79,98.75,11054
12,1,150,10,6.67,140,93.33,12001
12,2,135,17,12.59,118,87.41,12002
12,3,131,12,9.16,119,90.84,12003
12,4,143,13,9.09,130,90.91,12004
12,5,71,4,5.63,67,94.37,12005
12,6,170,14,8.24,156,91.76,12006
12,7,174,9,5.17,165,94.83,12007
12,8,161,20,12.42,141,87.58,12008
12,9,143,16,11.19,127,88.81,12009
12,10,125,22,17.6,103,82.4,12010
12,11,152,14,9.21,138,90.79,12011
12,12,130,25,19.23,105,80.77,12012
12,13,109,21,19.27,88,80.73,12013
12,14,203,12,5.91,191,94.09,12014
12,15,194,7,3.61,187,96.39,12015
12,16,140,13,9.29,127,90.71,12016
12,17,82,10,12.2,72,87.8,12017
12,18,133,10,7.52,123,92.48,12018
12,19,164,11,6.71,153,93.29,12019
12,20,197,5,2.54,192,97.46,12020
12,21,190,23,12.11,167,87.89,12021
12,22,173,11,6.36,162,93.64,12022
12,23,137,12,8.76,125,91.24,12023
12,24,80,11,13.75,69,86.25,12024
12,25,182,18,9.89,164,90.11,12025
12,26,118,7,5.93,111,94.07,12026
12,27,101,27,26.73,74,73.27,12027
12,28,128,11,8.59,117,91.41,12028
12,29,240,38,15.83,202,84.17,12029
12,30,194,35,18.04,159,81.96,12030
13,1,223,45,20.18,178,79.82,13001
13,2,183,37,20.22,146,79.78,13002
13,3,299,55,18.39,244,81.61,13003
13,4,304,54,17.76,250,82.24,13004
13,5,261,23,8.81,238,91.19,13005
13,6,261,43,16.48,218,83.52,13006
13,7,309,41,13.27,268,86.73,13007
13,8,266,61,22.93,205,77.07,13008
13,9,297,34,11.45,263,88.55,13009
13,10,260,48,18.46,212,81.54,13010
13,11,263,27,10.27,236,89.73,13011
13,12,314,54,17.2,260,82.8,13012
13,13,322,26,8.07,296,91.93,13013
13,14,207,31,14.98,176,85.02,13014
13,15,313,38,12.14,275,87.86,13015
13,16,252,35,13.89,217,86.11,13016
13,17,203,19,9.36,184,90.64,13017
13,18,249,34,13.65,215,86.35,13018
13,19,235,28,11.91,207,88.09,13019
13,20,251,30,11.95,221,88.05,13020
13,21,222,38,17.12,184,82.88,13021
13,22,303,39,12.87,264,87.13,13022
13,23,270,34,12.59,236,87.41,13023
13,24,344,65,18.9,279,81.1,13024
13,25,255,42,16.47,213,83.53,13025
13,26,235,22,9.36,213,90.64,13026
13,27,293,37,12.63,256,87.37,13027
13,28,226,37,16.37,189,83.63,13028
13,29,283,38,13.43,245,86.57,13029
13,30,316,23,7.28,293,92.72,13030
13,31,284,34,11.97,250,88.03,13031
13,32,244,22,9.02,222,90.98,13032
13,33,294,38,12.93,256,87.07,13033
13,34,284,48,16.9,236,83.1,13034
13,35,343,53,15.45,290,84.55,13035
13,36,233,41,17.6,192,82.4,13036
13,37,213,25,11.74,188,88.26,13037
13,38,156,28,17.95,128,82.05,13038
13,39,304,66,21.71,238,78.29,13039
13,40,258,32,12.4,226,87.6,13040
13,41,282,37,13.12,245,86.88,13041
13,42,361,48,13.3,313,86.7,13042
13,43,240,20,8.33,220,91.67,13043
13,44,240,39,16.25,201,83.75,13044
13,45,271,26,9.59,245,90.41,13045
